gene_symbol,mean_logfc,median_logfc,common_experiment,organism,signature_type
CCL20,2.548916706051438,2.548916706051438,2.548916706051438,human,UP
PAEP,2.299390464916838,2.299390464916838,2.299390464916838,human,UP
SFN,2.212800995539298,2.212800995539298,2.212800995539298,human,UP
S100A10,1.975784431141016,1.975784431141016,1.975784431141016,human,UP
SCGB2A2,1.877494407652883,1.877494407652883,1.877494407652883,human,UP
SERPINB1,1.810040002074005,1.810040002074005,1.810040002074005,human,UP
MT2A,1.783707305446726,1.783707305446726,1.783707305446726,human,UP
LAMB3,1.684134660363685,1.684134660363685,1.684134660363685,human,UP
PHLDA2,1.635853018462536,1.635853018462536,1.635853018462536,human,UP
CRYAB,1.62888228024966,1.62888228024966,1.62888228024966,human,UP
HMOX1,1.577701513531619,1.577701513531619,1.577701513531619,human,UP
KRT17,1.503252272853041,1.503252272853041,1.503252272853041,human,UP
DEFB1,1.496625620241633,1.496625620241633,1.496625620241633,human,UP
FAM25A,1.489114304233783,1.489114304233783,1.489114304233783,human,UP
SDCBP2,1.468999470347922,1.468999470347922,1.468999470347922,human,UP
S100P,1.462687431096772,1.462687431096772,1.462687431096772,human,UP
KRT7,1.46094644849152,1.46094644849152,1.46094644849152,human,UP
DUSP5,1.447663937909766,1.447663937909766,1.447663937909766,human,UP
SOD2,1.433417517242368,1.433417517242368,1.433417517242368,human,UP
ITGA2,1.398452278341322,1.398452278341322,1.398452278341322,human,UP
AREG,1.393040346995678,1.393040346995678,1.393040346995678,human,UP
CXCL8,1.387941228499574,1.387941228499574,1.387941228499574,human,UP
ANXA1,1.375738109210901,1.375738109210901,1.375738109210901,human,UP
TM4SF1,1.373447525201724,1.373447525201724,1.373447525201724,human,UP
G0S2,1.37162294039852,1.37162294039852,1.37162294039852,human,UP
ANXA2,1.321718261116283,1.321718261116283,1.321718261116283,human,UP
S100A6,1.305180242175979,1.305180242175979,1.305180242175979,human,UP
ISG20,1.240266058111448,1.240266058111448,1.240266058111448,human,UP
HMGA1,1.239313236889761,1.239313236889761,1.239313236889761,human,UP
S100A14,1.218788130285631,1.218788130285631,1.218788130285631,human,UP
LMO7,1.200771476081294,1.200771476081294,1.200771476081294,human,UP
SCGB1D4,1.189397811816973,1.189397811816973,1.189397811816973,human,UP
S100A11,1.165547263935295,1.165547263935295,1.165547263935295,human,UP
MT1E,1.160615837494182,1.160615837494182,1.160615837494182,human,UP
PLAUR,1.15810995132624,1.15810995132624,1.15810995132624,human,UP
IDO1,1.155946060870192,1.155946060870192,1.155946060870192,human,UP
CD55,1.125225564345645,1.125225564345645,1.125225564345645,human,UP
EMP1,1.114593481490165,1.114593481490165,1.114593481490165,human,UP
HES4,1.107064713682316,1.107064713682316,1.107064713682316,human,UP
C12orf75,1.068611789238207,1.068611789238207,1.068611789238207,human,UP
CSF3,1.049998075706145,1.049998075706145,1.049998075706145,human,UP
CD44,1.029880261019314,1.029880261019314,1.029880261019314,human,UP
SLPI,1.018165199898196,1.018165199898196,1.018165199898196,human,UP
STC1,1.016140689044913,1.016140689044913,1.016140689044913,human,UP
SPP1,1.011050503427693,1.011050503427693,1.011050503427693,human,UP
KRT23,0.9990799733904144,0.9990799733904144,0.9990799733904144,human,UP
AC025580.1,0.9924318244624856,0.9924318244624856,0.9924318244624856,human,UP
CXCL14,0.9899147911441636,0.9899147911441636,0.9899147911441636,human,UP
LAMC2,0.9500314099212888,0.9500314099212888,0.9500314099212888,human,UP
PLAU,0.9457393405067124,0.9457393405067124,0.9457393405067124,human,UP
NEAT1,0.9448826324237904,0.9448826324237904,0.9448826324237904,human,UP
LGALS3,0.9410217786946528,0.9410217786946528,0.9410217786946528,human,UP
NDRG1,0.937919452125798,0.937919452125798,0.937919452125798,human,UP
SDC4,0.93625059393504,0.93625059393504,0.93625059393504,human,UP
SAA1,0.9354158939248628,0.9354158939248628,0.9354158939248628,human,UP
TXNRD1,0.9348489324799936,0.9348489324799936,0.9348489324799936,human,UP
TNFRSF12A,0.9242514890816862,0.9242514890816862,0.9242514890816862,human,UP
TMEM265,0.9165285918240018,0.9165285918240018,0.9165285918240018,human,UP
CLDN1,0.914993322340696,0.914993322340696,0.914993322340696,human,UP
PERP,0.8969219715354146,0.8969219715354146,0.8969219715354146,human,UP
RIMKLB,0.8867835785796641,0.8867835785796641,0.8867835785796641,human,UP
CD9,0.8803247861806511,0.8803247861806511,0.8803247861806511,human,UP
ADIRF,0.8784783987334412,0.8784783987334412,0.8784783987334412,human,UP
SH3BGRL3,0.8759716037628262,0.8759716037628262,0.8759716037628262,human,UP
C11orf96,0.872998455329006,0.872998455329006,0.872998455329006,human,UP
FAM107B,0.862690863426339,0.862690863426339,0.862690863426339,human,UP
PTGS2,0.8612192003090933,0.8612192003090933,0.8612192003090933,human,UP
GPRC5A,0.8555514048622268,0.8555514048622268,0.8555514048622268,human,UP
NUPR1,0.846194269338771,0.846194269338771,0.846194269338771,human,UP
KRT19,0.8446214670798504,0.8446214670798504,0.8446214670798504,human,UP
CAST,0.8443023415058717,0.8443023415058717,0.8443023415058717,human,UP
DUSP1,0.8413456516564715,0.8413456516564715,0.8413456516564715,human,UP
S100A13,0.8301824104979669,0.8301824104979669,0.8301824104979669,human,UP
YWHAH,0.829869997304602,0.829869997304602,0.829869997304602,human,UP
SCGB2A1,0.8202143711181717,0.8202143711181717,0.8202143711181717,human,UP
C19orf33,0.8185555835047569,0.8185555835047569,0.8185555835047569,human,UP
WWTR1,0.8164641528428631,0.8164641528428631,0.8164641528428631,human,UP
TPM4,0.8046542742970137,0.8046542742970137,0.8046542742970137,human,UP
CLIC1,0.8046519598181252,0.8046519598181252,0.8046519598181252,human,UP
ATP13A3,0.7931419594291587,0.7931419594291587,0.7931419594291587,human,UP
CD59,0.7919176085207487,0.7919176085207487,0.7919176085207487,human,UP
GPX3,0.7891549346246498,0.7891549346246498,0.7891549346246498,human,UP
ISG15,0.7879506817912924,0.7879506817912924,0.7879506817912924,human,UP
ELK3,0.7854068668825105,0.7854068668825105,0.7854068668825105,human,UP
S100A16,0.784618726458274,0.784618726458274,0.784618726458274,human,UP
RAB11FIP1,0.7795773689769558,0.7795773689769558,0.7795773689769558,human,UP
MT1X,0.7792123105523707,0.7792123105523707,0.7792123105523707,human,UP
MAST4,0.7724236302580432,0.7724236302580432,0.7724236302580432,human,UP
RCAN1,0.7702111324942207,0.7702111324942207,0.7702111324942207,human,UP
FOSL1,0.7612894993896511,0.7612894993896511,0.7612894993896511,human,UP
TNFAIP2,0.7605988059395952,0.7605988059395952,0.7605988059395952,human,UP
RAP1B,0.7591494823587956,0.7591494823587956,0.7591494823587956,human,UP
PCCA,0.7514069317725083,0.7514069317725083,0.7514069317725083,human,UP
GADD45A,0.7477359468113725,0.7477359468113725,0.7477359468113725,human,UP
