gene_symbol,logfc_dz:912,logfc_dz:913,logfc_dz:503,logfc_dz:877,logfc_dz:878,mean_logfc,median_logfc,common_experiment,organism,signature_type
GATM,,,-0.0263092014938592,-0.0216925516724586,-0.0206663981080055,-0.0228893837581078,-0.0216925516724586,,human,DOWN
SUCLA2,,0.0134279262274503,-0.0396273657679557,-0.0352089367806911,-0.0297888554632663,-0.0227993079461157,-0.0324988961219787,,human,DOWN
RPS9,,-0.0227413233369588,,,,-0.0227413233369588,-0.0227413233369588,,human,DOWN
ETFA,-0.0233726613223552,-0.0217751655727624,,,,-0.0225739134475588,-0.0225739134475588,-0.0233726613223552,human,DOWN
STAT3,,-0.0224982369691133,,,,-0.0224982369691133,-0.0224982369691133,,human,DOWN
PITX2,,,-0.0242464840412139,-0.0233878176659345,-0.0195814259350299,-0.0224052425473928,-0.0233878176659345,,human,DOWN
PGM1,0.0298696868121624,0.0327523872256279,-0.0276326742023229,-0.0605909340083599,-0.0863192230463028,-0.022384151443839,-0.0276326742023229,0.0298696868121624,human,DOWN
CHMP1B,,-0.0223202854394912,,,,-0.0223202854394912,-0.0223202854394912,,human,DOWN
RPS3A,,-0.0222532879561185,,,,-0.0222532879561185,-0.0222532879561185,,human,DOWN
KCMF1,,,-0.0224840547889471,-0.0204179175198078,-0.0235732067376375,-0.0221583930154641,-0.0224840547889471,,human,DOWN
PLA2G2A,,-0.0221014879643917,,,,-0.0221014879643917,-0.0221014879643917,,human,DOWN
CLIC5,,,-0.0162108764052391,-0.0219898764044046,-0.0276310611516237,-0.0219439379870891,-0.0219898764044046,,human,DOWN
FHL3,,,,-0.023807119578123,-0.0197150185704231,-0.0217610690742731,-0.0217610690742731,,human,DOWN
MDH2,-0.0186483245342969,-0.0189783070236444,-0.0233896356076002,-0.0254759192466735,-0.0215913672000169,-0.0216167107224464,-0.0215913672000169,-0.0186483245342969,human,DOWN
NDUFS2,-0.0236533787101507,-0.0110871968790888,-0.0257459823042154,-0.023173488676548,-0.0242655985057353,-0.0215851290151476,-0.0236533787101507,-0.0236533787101507,human,DOWN
CAPZA2,0.0115235708653926,,-0.034303106367588,-0.0383254736661911,-0.0250153988599777,-0.021530102007091,-0.0296592526137828,0.0115235708653926,human,DOWN
ART3,0.0104401130229234,,-0.026079362258315,-0.028517797589302,-0.0408485829830169,-0.0212514074519276,-0.0272985799238085,0.0104401130229234,human,DOWN
COX5B,,-0.021234268322587,,,,-0.021234268322587,-0.021234268322587,,human,DOWN
PHKB,,,-0.0213899333029985,-0.0238231755793094,-0.0181993190199136,-0.0211374759674072,-0.0213899333029985,,human,DOWN
RPL11,-0.0132213002070784,-0.0255477000027894,,,-0.0240164063870906,-0.0209284688656528,-0.0240164063870906,-0.0132213002070784,human,DOWN
OAZ2,,,-0.023115387186408,-0.0226267464458942,-0.0168431065976619,-0.0208617467433214,-0.0226267464458942,,human,DOWN
PDZRN3,,0.0117162223905324,-0.0358945056796073,-0.0318074710667133,-0.0274384226649999,-0.020856044255197,-0.0296229468658566,,human,DOWN
NDUFAB1,-0.026036350056529,-0.0141070401296019,,,-0.0219989418983459,-0.0207141106948256,-0.0219989418983459,-0.026036350056529,human,DOWN
HSP90AB1,-0.0094324359670281,,-0.0244741104543209,-0.0243906006217002,-0.0245016030967235,-0.0206996875349432,-0.0244323555380105,-0.0094324359670281,human,DOWN
YBX3,,,,-0.0206216890364885,,-0.0206216890364885,-0.0206216890364885,,human,DOWN
ACYP2,,,-0.0242433156818151,-0.0200237147510051,-0.0175512060523033,-0.0206060788283745,-0.0200237147510051,,human,DOWN
RHOBTB1,0.0131820021197199,0.0237866193056106,-0.0405636504292488,-0.0494042970240116,-0.0493348389863967,-0.0204668330028653,-0.0405636504292488,0.0131820021197199,human,DOWN
COX7C,-0.0094488989561796,-0.0103045981377363,-0.0244463589042425,-0.0202977433800697,-0.0366895124316215,-0.0202374223619699,-0.0202977433800697,-0.0094488989561796,human,DOWN
NDUFS3,-0.0239610709249973,-0.0164807997643947,,,,-0.020220935344696,-0.020220935344696,-0.0239610709249973,human,DOWN
SERBP1,-0.0070455400273203,,-0.0253041684627532,-0.022365653887391,-0.0261381193995475,-0.020213370444253,-0.0238349111750721,-0.0070455400273203,human,DOWN
PDP1,,0.0096971178427338,-0.0355953909456729,-0.033228725194931,-0.0214005708694458,-0.0201318922918289,-0.0273146480321884,,human,DOWN
APOD,0.0122544607147574,0.0823061019182205,-0.0777416303753852,-0.0666385367512703,-0.0508137792348861,-0.0201266767457127,-0.0508137792348861,0.0122544607147574,human,DOWN
MAOA,-0.0081946002319455,,-0.0295813363045454,-0.0246689151972532,-0.0177383609116077,-0.0200458031613379,-0.0212036380544304,-0.0081946002319455,human,DOWN
NDUFB1,-0.0113765159621834,,-0.0211155265569686,-0.0207945983856916,-0.0264993961900472,-0.0199465092737227,-0.0209550624713301,-0.0113765159621834,human,DOWN
RGS5,-0.023194745182991,,-0.0263082571327686,-0.0172136519104242,-0.012357834726572,-0.0197686222381889,-0.0202041985467076,-0.023194745182991,human,DOWN
CD59,,-0.011679807677865,-0.0237479787319898,-0.0194056648761034,-0.0222226846963167,-0.0192640339955687,-0.02081417478621,,human,DOWN
RPS3,0.0086431968957185,,-0.0303549021482467,-0.0161219052970409,-0.037497766315937,-0.0188328442163765,-0.0232384037226438,0.0086431968957185,human,DOWN
HSPA2,0.0479802601039409,0.048142984509468,-0.0758599564433097,-0.0594564750790596,-0.0548427551984787,-0.0188071884214878,-0.0548427551984787,0.0479802601039409,human,DOWN
ALDH2,-0.0203320141881704,-0.0207260400056839,-0.0152423372492194,,,-0.0187667971476912,-0.0203320141881704,-0.0203320141881704,human,DOWN
B2M,-0.0299733653664588,-0.0452408567070961,,0.0193405225872993,,-0.0186245664954185,-0.0299733653664588,-0.0299733653664588,human,DOWN
GSTO1,-0.0302342269569635,-0.0388572290539741,,0.0133621264249086,,-0.018576443195343,-0.0302342269569635,-0.0302342269569635,human,DOWN
NDRG2,,0.0118184546008706,-0.0276143290102481,-0.0288085620850324,-0.0277865603566169,-0.0180977492127567,-0.0277004446834325,,human,DOWN
C20orf24,0.0101839145645499,,-0.0242033395916223,-0.0283394064754247,-0.0291228145360946,-0.0178704115096479,-0.0262713730335235,0.0101839145645499,human,DOWN
RTN2,,0.0185589306056499,-0.0293529964983463,-0.0296609699726104,-0.0309397745877504,-0.0178487026132643,-0.0295069832354784,,human,DOWN
SLC25A12,-0.0072537236846983,-0.0095609277486801,-0.0243309549987316,-0.0269556697458028,-0.0210755802690982,-0.0178353712894022,-0.0210755802690982,-0.0072537236846983,human,DOWN
AGL,0.0358785763382911,0.0608909092843532,-0.042716596275568,-0.0720753744244575,-0.0702513232827186,-0.0176547616720199,-0.042716596275568,0.0358785763382911,human,DOWN
PRDX1,0.0205253567546606,,-0.0345448069274425,-0.0238709989935159,-0.03132189437747,-0.0173030858859419,-0.0275964466854929,0.0205253567546606,human,DOWN
NEK7,,0.0182854328304529,-0.0308892540633678,-0.0289350897073745,-0.0266953203827142,-0.0170585578307509,-0.0278152050450444,,human,DOWN
NRAP,-0.0338453985750675,-0.0720364078879356,0.056063238531351,,,-0.0166061893105506,-0.0338453985750675,-0.0338453985750675,human,DOWN
APIP,0.0113077377900481,0.0164762716740369,-0.0414608269929885,-0.0339944697916507,-0.0352359488606452,-0.0165814472362399,-0.0339944697916507,0.0113077377900481,human,DOWN
TNKS2,0.0074177924543619,,-0.0269934460520744,-0.0253629256039857,-0.021065779030323,-0.0165010895580053,-0.0232143523171544,0.0074177924543619,human,DOWN
KCNS3,0.0080609889701008,,-0.0257529895752668,-0.0253058616071939,-0.0195982251316308,-0.0156490218359977,-0.0224520433694124,0.0080609889701008,human,DOWN
OAT,0.007398463319987,0.0111214397475123,-0.0341322496533393,-0.0395294092595577,-0.0230416599661111,-0.0156366831623017,-0.0230416599661111,0.007398463319987,human,DOWN
TNNC2,0.0797876790165901,-0.0619891285896301,,,-0.0645389705896377,-0.0155801400542259,-0.0619891285896301,0.0797876790165901,human,DOWN
SLN,-0.0117776775732636,0.2195834070444107,-0.079898364841938,-0.0588605068624019,-0.1454087346792221,-0.015272375382483,-0.0588605068624019,-0.0117776775732636,human,DOWN
UTP11L,,0.0096838166937232,-0.0191764868795871,-0.0261877831071615,-0.0239594262093305,-0.014909969875589,-0.0215679565444588,,human,DOWN
NDUFC1,,0.0131413228809833,-0.0256593823432922,-0.0215812288224697,-0.0246951971203088,-0.0146986213512718,-0.0231382129713892,,human,DOWN
SEPP1,-0.0092290407046675,0.044537778943777,-0.0409846156835556,-0.028898611664772,-0.0386764034628868,-0.0146501785144209,-0.028898611664772,-0.0092290407046675,human,DOWN
CNBP,0.0418232791125774,0.0285637266933918,-0.0443253181874752,-0.0288029052317142,-0.0675875172019004,-0.0140657469630241,-0.0288029052317142,0.0418232791125774,human,DOWN
MYF6,-0.0252017807215452,-0.0447822101414203,0.0289007872343063,,,-0.013694401209553,-0.0252017807215452,-0.0252017807215452,human,DOWN
SYNE2,0.0218878053128719,0.0217999350279569,-0.0398838073015213,-0.045864388346672,-0.0249072816222906,-0.013393547385931,-0.0249072816222906,0.0218878053128719,human,DOWN
RPS15A,0.0245603341609239,0.0161770563572645,-0.0238616280257701,-0.0255763083696365,-0.0580469146370887,-0.0133494921028614,-0.0238616280257701,0.0245603341609239,human,DOWN
NEDD4,0.0092142596840858,0.0130495196208357,-0.0300979353487491,-0.0213777311146259,-0.0345174260437488,-0.0127458626404404,-0.0213777311146259,0.0092142596840858,human,DOWN
SERINC1,0.0080685466527938,0.0122527675703167,-0.0268120374530553,-0.0265516247600317,-0.023561991751194,-0.011320867948234,-0.023561991751194,0.0080685466527938,human,DOWN
ATP5G1,-0.0214832480996847,-0.0253555998206138,0.0133494613692164,,,-0.0111631288503607,-0.0214832480996847,-0.0214832480996847,human,DOWN
OSBPL1A,0.0100577659904956,0.0162506606429815,-0.0250623617321252,-0.0266378168016672,-0.0287371277809143,-0.0108257759362459,-0.0250623617321252,0.0100577659904956,human,DOWN
ZNF91,0.0220865011215209,0.0424669682979583,-0.0351407341659069,-0.0333160273730754,-0.0489487312734127,-0.0105704046785831,-0.0333160273730754,0.0220865011215209,human,DOWN
EIF3E,0.0168607551604509,0.0361486785113811,-0.0375800766050815,-0.0326765142381191,-0.0348852947354316,-0.01042649038136,-0.0326765142381191,0.0168607551604509,human,DOWN
HMGB1,0.0230641737580299,0.0230954810976982,-0.0375817492604255,-0.0293175410479307,-0.0275583378970623,-0.009659594669938,-0.0275583378970623,0.0230641737580299,human,DOWN
DCAF6,0.0080870473757386,0.0240648295730352,-0.0221772473305463,-0.0305129904299974,-0.0276992730796337,-0.0096475267782807,-0.0221772473305463,0.0080870473757386,human,DOWN
PRKAR1A,,0.0240189526230096,-0.0211964510381221,-0.0200213864445686,-0.0200849492102861,-0.0093209585174918,-0.0200531678274273,,human,DOWN
MAFB,,0.0124829327687621,-0.0201143082231283,-0.0202240664511919,,-0.0092851473018527,-0.0201143082231283,,human,DOWN
MYH1,0.2146728485822677,0.138425126671791,-0.0760910809040069,-0.138307511806488,-0.1829600185155868,-0.0088521271944046,-0.0760910809040069,0.2146728485822677,human,DOWN
FBXO3,0.0126091595739126,0.0106708593666553,-0.0251298695802688,-0.0217785146087408,-0.0202255565673112,-0.0087707843631505,-0.0202255565673112,0.0126091595739126,human,DOWN
RPLP0P6,0.0387222729623317,-0.0339000448584556,,,-0.0265304185450077,-0.0072360634803771,-0.0265304185450077,0.0387222729623317,human,DOWN
ARL6IP5,0.0222653523087501,0.0312463492155075,-0.0277665797621011,-0.0240707509219646,-0.0246168654412031,-0.0045884989202022,-0.0240707509219646,0.0222653523087501,human,DOWN
ATP2A1,0.1394948214292526,0.1007973104715347,-0.0688199549913406,-0.0644581764936447,-0.1217311322689056,-0.0029434263706207,-0.0644581764936447,0.1394948214292526,human,DOWN
RTN4,0.0422891825437545,0.0554644651710987,-0.0259911492466926,-0.0328037478029727,-0.0426815226674079,-0.000744554400444,-0.0259911492466926,0.0422891825437545,human,DOWN
