id,cell_type,ctrl_ids,disease_name,geo_id,organism,pert_ids,platform,version
dz:P1683,Mucous Membrane,GSM237986|GSM237988,Neoplasm Metastasis|Colorectal Cancer|Malignant Neoplasms|Neoplasm Metastasis|Neoplasms,GSE9348,human,GSM237935|GSM237949|GSM237971,GPL570,2.0
dz:P1682,Mucous Membrane,GSM237986|GSM237988,Neoplasm Metastasis|Colorectal Cancer|Malignant Neoplasms|Neoplasm Metastasis|Neoplasms,GSE9348,human,GSM237934|GSM237942|GSM237946,GPL570,2.0
dz:P1689,Mucous Membrane,GSM237986|GSM237988,Neoplasm Metastasis|Colorectal Cancer|Malignant Neoplasms|Neoplasm Metastasis|Neoplasms,GSE9348,human,GSM237958|GSM237980,GPL570,2.0
dz:P1688,Mucous Membrane,GSM237986|GSM237988,Neoplasm Metastasis|Colorectal Cancer|Malignant Neoplasms|Neoplasm Metastasis|Neoplasms,GSE9348,human,GSM237955|GSM237964,GPL570,2.0
dz:P2488,Cells|Peripheral blood mononuclear cell (cell),GSM844203|GSM844204,Communicable Diseases|Influenza|Respiratory Syncytial Virus Infections,GSE34205,human,GSM844172|GSM844175|GSM844230,GPL570,2.0
dz:P2482,Cells|Peripheral blood mononuclear cell (cell),GSM844203|GSM844204,Communicable Diseases|Influenza|Respiratory Syncytial Virus Infections,GSE34205,human,GSM844158|GSM844176|GSM844178|GSM844185|GSM844220,GPL570,2.0
dz:P2480,Cells|Peripheral blood mononuclear cell (cell),GSM844203|GSM844204,Communicable Diseases|Influenza,GSE34205,human,GSM844155|GSM844227,GPL570,2.0
dz:P2481,Cells|Peripheral blood mononuclear cell (cell),GSM844203|GSM844204,Communicable Diseases|Influenza|Respiratory Syncytial Virus Infections,GSE34205,human,GSM844157|GSM844215,GPL570,2.0
dz:P2487,Cells|Peripheral blood mononuclear cell (cell),GSM844203|GSM844204,Communicable Diseases|Influenza|Respiratory Syncytial Virus Infections,GSE34205,human,GSM844169|GSM844183,GPL570,2.0
dz:P2484,Cells|Peripheral blood mononuclear cell (cell),GSM844203|GSM844204,Communicable Diseases|Influenza,GSE34205,human,GSM844161|GSM844179,GPL570,2.0
dz:P2818,Blood|Body tissue|Whole blood sample|whole blood specimen,GSM983483|GSM983484,Influenza|Pneumonia|Systemic Inflammatory Response Syndrome|Inflammatory Response,GSE40012,human,GSM983452|GSM983453,GPL6947,2.0
dz:P2534,Cells,GSM902367|GSM902368|GSM902369,,GSE36818,mouse,GSM902364|GSM902365|GSM902366,GPL6887,2.0
dz:P2535,Cells,GSM902367|GSM902368|GSM902369,,GSE36818,mouse,GSM902370|GSM902371,GPL6887,2.0
dz:P2532,Intestines,GSM901319|GSM901320|GSM901321|GSM901322|GSM901323|GSM901324|GSM901325,Crohn Disease|Ulcerative Colitis|Degenerative polyarthritis,GSE36807,human,GSM901327|GSM901330|GSM901334|GSM901335,GPL570,2.0
dz:P2533,Back|Cells|Neural Stem Cells|Induced Pluripotent Stem Cells,GSM902367|GSM902368|GSM902369,Dentatorubral-Pallidoluysian Atrophy|ICHTHYOSIS PREMATURITY SYNDROME|Withdrawal (dysfunction),GSE36818,mouse,GSM902359|GSM902360|GSM902361|GSM902362|GSM902363,GPL6887,2.0
dz:P2530,Blood|Intracranial,GSM901104|GSM901108|GSM901117|GSM901121|GSM901126|GSM901130|GSM901135|GSM901139|GSM901144|GSM901145|GSM901149|GSM901155|GSM901159,"Intracranial Aneurysm|Degenerative polyarthritis|Aneurysm, Ruptured",GSE36791,human,GSM901106|GSM901110|GSM901111|GSM901112|GSM901116|GSM901119|GSM901120|GSM901124|GSM901127|GSM901128|GSM901129|GSM901133|GSM901138|GSM901141|GSM901142|GSM901147|GSM901151|GSM901152|GSM901157|GSM901161|GSM901162,GPL10558,2.0
dz:P2531,Intestines,GSM901319|GSM901320|GSM901321|GSM901322|GSM901323|GSM901324|GSM901325,Crohn Disease|Ulcerative Colitis|Degenerative polyarthritis,GSE36807,human,GSM901326|GSM901331|GSM901332|GSM901333,GPL570,2.0
dz:P1542,Cells|neutrophil,GSM1650330|GSM1650331|GSM1650332|GSM1650333|GSM1650334|GSM1650335|GSM1650336|GSM1650337|GSM1650338|GSM1650339|GSM1650340|GSM1650341|GSM1650342,"Degenerative polyarthritis|Arthritis, Juvenile Rheumatoid",GSE67596,human,GSM1650343|GSM1650344|GSM1650345|GSM1650346|GSM1650347|GSM1650348|GSM1650349|GSM1650350|GSM1650351|GSM1650352|GSM1650353|GSM1650354|GSM1650355|GSM1650356,GPL570,2.0
dz:P1543,Cells|neutrophil,GSM1650330|GSM1650331|GSM1650332|GSM1650333|GSM1650334|GSM1650335|GSM1650336|GSM1650337|GSM1650338|GSM1650339|GSM1650340|GSM1650341|GSM1650342,"Degenerative polyarthritis|Arthritis, Juvenile Rheumatoid",GSE67596,human,GSM1650357|GSM1650358|GSM1650359|GSM1650360|GSM1650361|GSM1650362|GSM1650363|GSM1650364,GPL570,2.0
dz:P1540,Right side of heart|Wall of right ventricle|Arteries|Lung|Body tissue,GSM1648027|GSM1648028,sphingosine|Idiopathic pulmonary hypertension,GSE67492,human,GSM1648025|GSM1648026,GPL6244,2.0
dz:P1541,Cells|neutrophil,GSM1650330|GSM1650331|GSM1650332|GSM1650333|GSM1650334|GSM1650335|GSM1650336|GSM1650337|GSM1650338|GSM1650339|GSM1650340|GSM1650341|GSM1650342,"Degenerative polyarthritis|Arthritis, Juvenile Rheumatoid",GSE67596,human,GSM1650322|GSM1650323|GSM1650324|GSM1650325|GSM1650326|GSM1650327|GSM1650328|GSM1650329,GPL570,2.0
dz:P1544,Cells|neutrophil,GSM1650365|GSM1650366|GSM1650367|GSM1650368|GSM1650369|GSM1650370|GSM1650371|GSM1650372|GSM1650373|GSM1650374|GSM1650375|GSM1650376|GSM1650377|GSM1650378|GSM1650379,"Degenerative polyarthritis|Arthritis, Juvenile Rheumatoid",GSE67596,human,GSM1650322|GSM1650323|GSM1650324|GSM1650325|GSM1650326|GSM1650327|GSM1650328|GSM1650329,GPL570,2.0
dz:P1545,Cells,GSM1650365|GSM1650366|GSM1650367|GSM1650368|GSM1650369|GSM1650370|GSM1650371|GSM1650372|GSM1650373|GSM1650374|GSM1650375|GSM1650376|GSM1650377|GSM1650378|GSM1650379,"Degenerative polyarthritis|Arthritis, Juvenile Rheumatoid",GSE67596,human,GSM1650343|GSM1650344|GSM1650345|GSM1650346|GSM1650347|GSM1650348|GSM1650349|GSM1650350|GSM1650351|GSM1650352|GSM1650353|GSM1650354|GSM1650355|GSM1650356,GPL570,2.0
dz:P2019,Entire skin|Epidermis|Skin structure of back|Tissue type,GSM684685|GSM684686|GSM684687,Inflammation|Psoriasis,GSE27628,mouse,GSM684700|GSM684701,GPL1261,2.0
dz:P2018,Entire skin|Epidermis|Skin structure of back|Tissue type,GSM684685|GSM684686|GSM684687,Inflammation|Psoriasis,GSE27628,mouse,GSM684694|GSM684695|GSM684696,GPL1261,2.0
dz:P579,Blood Cells|Hematopoietic System|Body tissue|Erythroid Progenitor Cells|Cells [Chemical/Ingredient],GSM1354869|GSM1354870,Thalassemia|Degenerative polyarthritis,GSE56088,human,GSM1354872|GSM1354873|GSM1354874|GSM1354875|GSM1354878|GSM1354879|GSM1354880|GSM1354881,GPL10558,2.0
