"exp_id","cmap_score","p.x","q","subset_comparison_id","analysis_id","name","concentration","duration","cell_line","array_platform","vehicle","vendor","vendor_catalog_id","vendor_catalog_name","drug_concept_id","cas_number","DrugBank.ID","drug_name","r","p.y","num_peers","valid"
1436,-0.208424005835492,0.03714,0.260406896551724,"file16e92e72185_logFC_0","CMAP","naltrexone",9.6e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","116","Naltrexone hydrochloride dihydrate [16676-29-2]","C0355800","16676-29-2","DB00704","naltrexone",0.150410159089971,5.31339329949601e-67,4,1
5764,-0.218207338613087,0.02364,0.202990154711674,"file16e92e72185_logFC_0","CMAP","neomycin",4.2e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","158","Neomycin sulfate [1405-10-3]","C0770899","1405-10-3","DB00994","neomycin",0.151899193447461,2.59283286954216e-68,4,1
4087,-0.36454299314625,9.99990000099999e-06,0.00554545454545455,"file16e92e72185_logFC_0","CMAP","nicotinic acid",3.24e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","881","Niacin [59-67-6]","C0772043","59-67-6","DB00627","nicotinic acid",0.206446431993819,8.38622097466585e-126,3,1
3939,-0.199868561887263,0.05401,0.315545367717287,"file16e92e72185_logFC_0","CMAP","niflumic acid",1.42e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","255","Niflumic acid [4394-00-7]","C0028067","4394-00-7","DB04552","niflumic acid",0.16697349673509,2.37204285602921e-82,3,1
1451,-0.198497730763698,0.05706,0.326209934395501,"file16e92e72185_logFC_0","CMAP","nomifensine",1.12e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","108","Nomifensine maleate [32795-47-4]","C0028277","32795-47-4","DB04821","nomifensine",0.186885530774772,4.80917506459988e-103,4,1
1317,-0.189720048421408,0.07882,0.386284337349398,"file16e92e72185_logFC_0","CMAP","norfloxacin",1.26e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","221","Norfloxacin [70458-96-7]","C0028365","70458-96-7","DB01059","norfloxacin",0.236745940804167,5.98739478998338e-166,4,1
2143,-0.25102021726028,0.00444,0.0870868167202572,"file16e92e72185_logFC_0","CMAP","pivmecillinam",8.4e-06,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","1053","Pivmecillinam hydrochloride [32887-03-9]","C0350794","32887-03-9","DB01605","pivmecillinam",0.150787680396251,2.47804174850339e-67,3,1
2234,-0.243987884750169,0.00637,0.102796296296296,"file16e92e72185_logFC_0","CMAP","pralidoxime",2.32e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","943","Pralidoxime chloride [51-15-0]","C0138210","51-15-0","DB00733","pralidoxime",0.180975387586961,1.20772100775376e-96,3,1
2736,-0.183011974814442,0.10023,0.440809661139149,"file16e92e72185_logFC_0","CMAP","prilocaine",1.56e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","199","Prilocaine hydrochloride [1786-81-8]","C0008846","1786-81-8","DB00750","prilocaine",0.180603222758965,3.00363412137002e-96,5,1
1641,-0.179354813376296,0.11402,0.47544976076555,"file16e92e72185_logFC_0","CMAP","progesterone",1.28e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","477","Progesterone [57-83-0]","C0873071","57-83-0","DB00396","progesterone",0.28290079176079,4.59192987809601e-239,3,1
