drug_name,in_cmap
Gemfibrozil,Yes
Glasdegib,No
Glycyrrhizic acid,No
Goserelin (acetate),No
HI-TOPK-032,No
Harringtonine,No
Hesperidin,Yes
Hexylresorcinol,No
Homoharringtonine,No
Hydroxyfasudil,No
Hydroxyurea,No
IQ 1,No
Idarubicin (hydrochloride),No
Idoxuridine,Yes
Imiquimod (hydrochloride),No
Imiquimod (maleate),No
Indacaterol (maleate),No
Infigratinib,No
Ipatasertib,No
Irinotecan,Yes
Irinotecan (hydrochloride),No
Isocorydine,Yes
Ivabradine (hydrochloride),No
Ivermectin,Yes
Ixazomib,No
Ixazomib citrate,No
L-Eflornithine (monohydrochloride),No
L-Thyroxine (sodium salt pentahydrate),No
LB-100,No
LJI308,No
LY-2584702 (tosylate salt),No
LY2090314,No
Lactate (calcium),No
Lapatinib ditosylate,No
Larotrectinib,No
Larotrectinib sulfate,No
Lenalidomide (hemihydrate),No
Levobupivacaine (hydrochloride),No
Lidocaine (hydrochloride),No
Ligustrazine,No
Lipoic acid,No
Lonafarnib,No
Loperamide (hydrochloride),No
Lopinavir,No
Lucanthone,No
Lumateperone (tosylate),No
MK-3903,No
MK-8353,No
ML264,No
Macitentan,No
Malotilate,No
Mebendazole,Yes
Medroxyprogesterone acetate,No
Megestrol,Yes
Meloxicam,No
Menadione,Yes
Methotrexate,Yes
Methyl aminolevulinate (hydrochloride),No
Methylprednisolone succinate,No
Methylthiouracil,No
Mifepristone,Yes
Minodronic acid,No
Mitoxantrone (dihydrochloride),No
Monocrotaline,Yes
Mozavaptan,No
NG25,No
NVP-BHG712,No
Nafamostat (mesylate),No
Naproxen,Yes
Neratinib,No
Neratinib (maleate),No
Nevirapine,No
Niclosamide (olamine),No
Nimesulide,Yes
Norepinephrine (hydrochloride),No
OTS514,No
Olanzapine,No
Oleic acid,No
Omeprazole,Yes
Omeprazole (sodium),No
Orlistat,Yes
Ornidazole,Yes
Osimertinib (mesylate),No
Ouabain (Octahydrate),No
Oxaliplatin,No
Oxaprozin,Yes
PF-06260933,No
PH-797804,No
Paclitaxel,Yes
Palmatine (chloride),No
Panobinostat,No
Pasireotide (acetate),No
Pemetrexed,No
