drug_name,in_tahoe
alprostadil,No
alsterpaullone,No
altizide,No
altretamine,Yes
alverine,No
alvespimycin,No
amantadine,No
ambroxol,No
amikacin,No
amiloride,No
aminocaproic acid,No
aminoglutethimide,No
aminohippuric acid,No
aminophenazone,No
aminophylline,No
amiodarone,No
amiprilose,No
amitriptyline,No
amodiaquine,No
amoxapine,No
amoxicillin,No
amphotericin B,No
ampicillin,No
amprolium,No
ampyrone,No
amrinone,No
amylocaine,No
anabasine,No
androsterone,No
anisomycin,No
antazoline,No
antimycin A,No
apigenin,No
apomorphine,No
apramycin,No
arachidonic acid,No
arachidonyltrifluoromethane,No
arcaine,No
arecoline,No
artemisinin,No
articaine,No
ascorbic acid,No
asiaticoside,No
astemizole,No
atovaquone,No
atractyloside,No
atracurium besilate,No
atropine,No
atropine methonitrate,No
atropine oxide,No
azacitidine,No
azacyclonol,No
azaperone,No
azapropazone,No
azathioprine,No
azlocillin,No
aztreonam,No
bacampicillin,No
bacitracin,No
baclofen,No
bambuterol,No
beclometasone,No
bemegride,No
bendroflumethiazide,No
benfluorex,No
benfotiamine,No
benperidol,No
benserazide,No
benzamil,No
benzathine benzylpenicillin,No
benzbromarone,No
benzethonium chloride,No
benzocaine,No
benzonatate,No
benzthiazide,No
benzydamine,No
benzylpenicillin,No
bephenium hydroxynaphthoate,No
bepridil,No
berberine,No
bergenin,Yes
beta-escin,No
betahistine,No
betamethasone,No
betaxolol,No
betazole,No
bethanechol,No
betonicine,No
betulin,No
betulinic acid,No
bezafibrate,No
bicuculline,No
biotin,No
biperiden,No
bisacodyl,No
bisoprolol,No
blebbistatin,No
boldine,No
bretylium tosilate,No
brinzolamide,No
bromocriptine,No
bromopride,No
bromperidol,No
brompheniramine,No
bucladesine,No
budesonide,Yes
bufexamac,No
buflomedil,No
bumetanide,No
bupivacaine,No
bupropion,No
buspirone,No
butacaine,No
butamben,No
butein,No
butirosin,No
butoconazole,No
butyl hydroxybenzoate,No
caffeic acid,No
calcium folinate,No
calcium pantothenate,No
calmidazolium,No
calycanthine,No
camptothecin,No
canadine,No
canavanine,No
canrenoic acid,No
cantharidin,No
capsaicin,No
captopril,Yes
carbachol,No
carbamazepine,Yes
carbarsone,No
carbenoxolone,No
carbimazole,No
carbinoxamine,No
carcinine,No
carisoprodol,No
carmustine,No
carteolol,No
cefaclor,No
cefadroxil,No
cefalexin,No
cefalonium,No
cefalotin,No
cefamandole,No
cefapirin,No
cefazolin,No
cefepime,No
cefixime,No
cefmetazole,No
cefoperazone,No
ceforanide,No
cefotaxime,No
cefotetan,No
cefotiam,No
cefoxitin,No
cefsulodin,No
ceftazidime,No
cefuroxime,No
celastrol,No
celecoxib,Yes
cephaeline,No
cetirizine,No
chenodeoxycholic acid,No
chlorambucil,No
chloramphenicol,No
