disease_id,disease_name,drug_id,drug_common_name,drug_target_class,drug_synonyms,drug_type,drug_mechanism_of_action,disease_therapeutic_areas
EFO_0005531,urticaria,CHEMBL1000,CETIRIZINE,Membrane receptor,AC-170|Cetiderm|Cetirizina|Cetirizine,Small molecule,Histamine H1 receptor antagonist,Skin/Integumentary
EFO_0005531,urticaria,CHEMBL1542,AZATHIOPRINE,Enzyme,Azathioprine|Azathioprinum|Azatioprina|BW-57-322|NSC-39084,Small molecule,Amidophosphoribosyltransferase inhibitor,Skin/Integumentary
EFO_0005531,urticaria,CHEMBL160,CYCLOSPORINE,Enzyme,"27-400|ANTIBIOTIC S-7481F1|Atopica|Ciclosporin|Ciclosporin a|Ciclosporina|Ciclosporine|Ciclosporinum|Cyclosporin|Cyclosporin a|Cyclosporine|Cyclosporine a|Cyclosporine microemulsion|Cyclosporine, modified|Equoral|Mitogard|NSC-290193|Neoplanta|Neurostat|OL-27-400|Ramihyphin a|SANG-35|SDZ-OXL-400|Vevye|Zinograf me",Protein,Cyclophilin A modulator,Skin/Integumentary
EFO_0005531,urticaria,CHEMBL1042,CHOLECALCIFEROL,Transcription factor,"7-dehydrocholesterol, activated|AK R215 COMPONENT COLECALCIFEROL|AK-R215 COMPONENT COLECALCIFEROL|Cholecalciferol|Colecalciferol|Colecalciferolum|Delsterol|Delta-d|Deparal|Ebivit|NSC-375571|Provitina|Ricketon|Vitamin d|Vitamin d (cholecalciferol)|Vitamin d assay system suitability|Vitamin d-3|Vitamin d3|Vitamin d3 (as cholecalciferol)",Small molecule,Vitamin D receptor agonist,Skin/Integumentary
EFO_0005531,urticaria,CHEMBL34259,METHOTREXATE,Enzyme,"(r)-methotrexate|ADX-2191|Abitrexate|Amethopterin|CL 14377|CL-14377|D-amethopterin|D-methotrexate|EMT-25299|Folex|Jylamvo|Methotrexate|Methotrexate, (r)-|Methotrexate, d-|Methotrexatum|Methylaminopterin|Metotrexato|Mexate|Mexate-AQ|NSC-740|R-9985|R-methotrexate|TCMDC-123832|TCMDC-125488|TCMDC-125858|Trexall",Small molecule,Dihydrofolate reductase inhibitor,Skin/Integumentary
EFO_0005531,urticaria,CHEMBL1628227,DOXEPIN,Transporter,Doxepin|Doxepina|Doxepine|P-3693A|Zonalon,Small molecule,Norepinephrine transporter inhibitor,Skin/Integumentary
MONDO_0002050,mental depression,CHEMBL1643,RIBAVIRIN,Enzyme,Cotronak|NSC-163039|Ribavirin|Ribavirin biopartners|Ribavirin mylan|Ribavirin teva|Ribavirina|Ribavirine|SCH 18908|SCH-18908|Tribavirin,Small molecule,Inosine-5'-monophosphate dehydrogenase 1 inhibitor,Nervous System|Psychiatric
MONDO_0002974,cervical cancer,CHEMBL23,DILTIAZEM,Ion channel,Cardizem|Dilt-CD|Diltiazem|Diltiazem extended release|Diltzac|Ditiaz|Surazem|Tiamate|Tiazac,Small molecule,Voltage-gated L-type calcium channel blocker,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL1042,CHOLECALCIFEROL,Transcription factor,"7-dehydrocholesterol, activated|AK R215 COMPONENT COLECALCIFEROL|AK-R215 COMPONENT COLECALCIFEROL|Cholecalciferol|Colecalciferol|Colecalciferolum|Delsterol|Delta-d|Deparal|Ebivit|NSC-375571|Provitina|Ricketon|Vitamin d|Vitamin d (cholecalciferol)|Vitamin d assay system suitability|Vitamin d-3|Vitamin d3|Vitamin d3 (as cholecalciferol)",Small molecule,Vitamin D receptor agonist,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL413,SIROLIMUS,Enzyme|Ion channel,AY-22989|Fyarro|Hyftor|L04AA10|NSC-226080|Npc-12g|Rapalimus|Rapamycin|SM-88 COMPONENT SIROLIMUS|Sirolimus|WY-090217,Small molecule,FK506-binding protein 1A inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL1096882,FLUDARABINE PHOSPHATE,Enzyme,2-f-ara-amp|2-f-araa|2-fluoro ara-a|2-fluorovidarabine|Fludarabina|Fludarabine|Fludarabine 5'-monophosphate|Fludarabine monophosphate|Fludarabine phosphate|Fluradosa|NSC-118218|NSC-118218H|NSC-312887|NSC-328002,Small molecule,DNA polymerase (alpha/delta/epsilon) inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL1393,SPIRONOLACTONE,Transcription factor,Espironolactona|NSC-150399|SC-9420|Spironolactone|Spironolactone ceva|Spironolactonum|Verospirone,Small molecule,Mineralocorticoid receptor antagonist,Cancer/Tumor|Reproductive/Breast
