disease_name,disease_id,match_type,q_threshold,tahoe_hits_count,cmap_hits_count,common_hits_count,known_drugs_in_database_count,known_drugs_available_in_cmap_count,known_drugs_available_in_tahoe_count,tahoe_in_known_count,cmap_in_known_count,common_in_known_count,total_in_known_count,phase_0.5,phase_1.0,phase_2.0,phase_3.0,phase_4.0,"status_Active, not recruiting",status_Completed,status_Enrolling by invitation,status_Not yet recruiting,status_Recruiting,status_Suspended,status_Terminated,status_Unknown,status_Unknown status,status_Withdrawn
urticaria,EFO_0005531,name,0.05,76,841,3,527,9,4,0,6,0,6,0.0,4.0,2.0,5.0,1.0,0.0,7.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0
intellectual disability,HP_0001249,name,0.05,24,19,0,91,4,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mental depression,MONDO_0002050,synonym,0.05,184,15,1,2252,69,13,1,1,0,2,0.0,1.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
cervical cancer,MONDO_0002974,name,0.05,179,117,4,1023,15,23,9,2,0,11,0.0,8.0,15.0,17.0,0.0,4.0,13.0,0.0,4.0,5.0,0.0,4.0,0.0,5.0,5.0
colorectal adenocarcinoma,EFO_0000365,name,0.05,276,21,1,743,12,19,16,0,0,16,0.0,13.0,20.0,4.0,0.0,10.0,13.0,0.0,0.0,3.0,0.0,5.0,0.0,3.0,3.0
muscular dystrophy,MONDO_0020121,name,0.05,61,1,0,45,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
malignant pleural mesothelioma,EFO_0000770,name,0.05,202,12,0,246,3,4,3,0,0,3,0.0,5.0,10.0,3.0,1.0,5.0,6.0,0.0,1.0,3.0,0.0,0.0,1.0,2.0,1.0
osteoarthritis,MONDO_0005178,name,0.05,78,541,3,1689,35,16,2,19,1,20,1.0,3.0,7.0,16.0,27.0,0.0,23.0,1.0,0.0,4.0,0.0,4.0,15.0,6.0,1.0
obesity,EFO_0001073,name,0.05,184,918,16,1702,34,12,6,25,1,30,4.0,19.0,27.0,14.0,4.0,6.0,36.0,0.0,3.0,8.0,2.0,3.0,1.0,6.0,3.0
glioblastoma multiforme,EFO_0000519,name,0.05,237,27,0,1726,32,50,31,1,0,32,6.0,29.0,27.0,1.0,0.0,7.0,25.0,0.0,1.0,11.0,1.0,11.0,0.0,3.0,4.0
epilepsy syndrome,MONDO_0015650,name,0.05,288,90,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicotine addiction,EFO_0003768,synonym,0.05,239,710,18,785,27,9,5,13,1,17,4.0,7.0,11.0,5.0,0.0,0.0,19.0,0.0,0.0,2.0,0.0,3.0,1.0,2.0,0.0
esophagus squamous cell carcinoma,EFO_0005922,synonym,0.05,201,134,3,512,7,12,3,0,0,3,1.0,8.0,12.0,7.0,0.0,4.0,6.0,1.0,3.0,7.0,1.0,2.0,0.0,2.0,2.0
NASH,EFO_1001249,synonym,0.05,379,761,33,486,11,6,6,10,5,11,0.0,6.0,8.0,3.0,0.0,2.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0
hepatitis C virus related hepatocellular carcinoma,EFO_0008504,synonym,0.05,321,114,5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Premature aging,MONDO_0019303,synonym,0.05,205,272,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
melanoma in situ,0,no_match,0.05,330,8,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
actinic keratosis,EFO_0002496,name,0.05,379,33,2,478,11,5,5,1,0,6,1.0,1.0,5.0,2.0,4.0,0.0,7.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0
astrocytoma,EFO_0000272,name,0.05,162,52,1,267,6,8,1,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fragile X syndrome,MONDO_0010383,name,0.05,379,19,2,163,6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parasitic protozoa infectious disease,MONDO_0002428,synonym,0.05,72,658,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lung squamous cell carcinoma,EFO_0000708,synonym,0.05,361,25,0,391,6,14,13,0,0,13,0.0,9.0,17.0,4.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,6.0
arthritis,EFO_0005856,name,0.05,81,72,1,435,6,2,0,2,0,2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
melanoma,EFO_0000756,name,0.05,31,874,1,2142,39,39,3,24,0,27,2.0,25.0,32.0,5.0,1.0,7.0,19.0,0.0,0.0,12.0,0.0,15.0,1.0,4.0,7.0
pulmonary hypertension,MONDO_0005149,name,0.05,207,560,8,447,8,7,6,5,0,11,1.0,4.0,10.0,8.0,4.0,0.0,15.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,2.0
Anaplasmosis,MONDO_0025303,name,0.05,90,108,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pre-eclampsia,EFO_0000668,name,0.05,68,127,1,756,21,5,0,2,0,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Barrett's esophagus,EFO_0000280,name,0.05,290,1,1,230,7,2,1,0,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute myeloid leukemia,EFO_0000222,name,0.05,87,10,0,2215,41,52,12,2,0,14,1.0,32.0,21.0,16.0,7.0,10.0,23.0,1.0,5.0,11.0,3.0,9.0,2.0,8.0,5.0
Diabetic Nephropathy,EFO_0000401,name,0.05,322,5,0,507,11,9,9,0,0,9,0.0,1.0,7.0,2.0,1.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
idiopathic pulmonary fibrosis,EFO_0000768,name,0.05,129,0,0,644,13,11,4,0,0,4,1.0,0.0,2.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
papillary thyroid carcinoma,EFO_0000641,name,0.05,10,492,0,259,5,7,0,2,0,2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inflammatory bowel disease,EFO_0003767,name,0.05,345,109,8,538,11,7,6,1,1,6,0.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
Parkinson's disease,MONDO_0005180,synonym,0.05,249,313,10,1445,42,11,7,15,1,21,1.0,7.0,20.0,5.0,11.0,1.0,17.0,0.0,1.0,11.0,1.0,4.0,4.0,3.0,2.0
sickle cell anemia,MONDO_0011382,name,0.05,117,911,9,1124,24,12,3,15,0,18,4.0,15.0,17.0,7.0,2.0,4.0,19.0,1.0,1.0,8.0,3.0,7.0,1.0,0.0,1.0
testicular cancer,EFO_0005088,synonym,0.05,379,16,1,145,3,5,5,0,0,5,0.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
sarcoidosis,MONDO_0019338,name,0.05,207,383,6,376,6,3,3,1,0,4,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0
prolactinoma,EFO_1000496,synonym,0.05,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adenosquamous cell lung carcinoma,EFO_0000233,synonym,0.05,370,19,0,261,4,6,6,1,0,7,0.0,2.0,7.0,2.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JRA - Juvenile rheumatoid arthritis,0,no_match,0.05,283,19,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lung small cell carcinoma,EFO_0000702,synonym,0.05,109,18,0,1215,18,31,7,0,0,7,0.0,10.0,13.0,5.0,0.0,1.0,7.0,0.0,4.0,7.0,0.0,4.0,0.0,3.0,2.0
Schizophrenia,MONDO_0005090,name,0.05,6,0,0,2219,65,15,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
colitis,EFO_0003872,name,0.05,305,18,0,202,5,1,1,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Simian Acquired Immune Deficiency Syndrome,0,no_match,0.05,86,918,5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ischemic stroke,HP_0002140,name,0.05,219,28,1,651,13,7,4,1,0,5,0.0,6.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0
alcoholic hepatitis,EFO_1001345,synonym,0.05,251,6,0,142,4,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
testis seminoma,EFO_0003101,synonym,0.05,163,447,5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bipolar disorder,MONDO_0004985,name,0.05,0,80,0,1146,28,9,0,6,0,6,0.0,1.0,6.0,7.0,5.0,0.0,8.0,0.0,0.0,1.0,0.0,4.0,1.0,3.0,2.0
asthma,MONDO_0004979,name,0.05,0,3,0,1993,38,13,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arthropathy,HP_0003040,name,0.05,158,96,2,66,3,1,0,1,0,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
psoriatic arthritis,EFO_0003778,name,0.05,365,5,0,630,9,6,6,0,0,6,0.0,1.0,5.0,5.0,6.0,0.0,5.0,0.0,1.0,4.0,0.0,2.0,4.0,0.0,1.0
dilated cardiomyopathy,EFO_0000407,name,0.05,73,99,2,140,3,2,0,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Down syndrome,EFO_0001064,name,0.05,120,4,1,86,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
appendicitis,EFO_0007149,name,0.05,245,73,3,149,3,1,0,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
