disease_id,disease_name,disease_therapeutic_areas,drug_rank,drug_name_original,drug_id,drug_common_name,drug_target_class,drug_type,drug_mechanism_of_action,drug_synonyms
EFO_0005531,urticaria,Skin/Integumentary,1,esmolol hydrochloride,CHEMBL1201115,ESMOLOL HYDROCHLORIDE,Membrane receptor,Small molecule,Beta-2 adrenergic receptor antagonist,ASL-8052|Esmolol hcl|Esmolol hydrochloride
EFO_0005531,urticaria,Skin/Integumentary,2,ponatinib,CHEMBL1171837,PONATINIB,Unclassified protein|Enzyme|Other cytosolic protein,Small molecule,Bcr/Abl fusion protein inhibitor,AP-24534|AP24534|Ponatinib
EFO_0005531,urticaria,Skin/Integumentary,3,trametinib dmso_tf solvate,CHEMBL2103875,TRAMETINIB,Unclassified protein|Enzyme,Small molecule,Dual specificity mitogen-activated protein kinase kinase; MEK1/2 inhibitor,GSK-1120212|GSK1120212|JTP 74057|JTP-74057|TMT-212|TMT212|Tmt212|Trametinib
EFO_0005531,urticaria,Skin/Integumentary,4,paclitaxel,CHEMBL428647,PACLITAXEL,Structural protein,Small molecule,Tubulin inhibitor,(-)-paclitaxel|ABI-007|ABI-007 COMPONENT PACLITAXEL|BMS 181339-01|BMS-181339-01|Capxol|Cyclopax|DHP 107|DHP-107|Ebetaxel|Empac|Endotag 1|Genaxol|Genetaxyl|Genexol|Genexol-pm|Intaxel|Lep-etu|MBT 0206|MBT-0206|Mitotax|NK 105|NK-105|NSC-125973|Oncogel|Onxal|Onxol|Pacliex|Paclitaxel|Paclitaxel (taxus canadensis)|Paclitaxol|Plaxicel|QW-8184|Taxalbin|Taxol|Taxol a|Taxus|Taxus liberte|Taxus stent|Tocosol paclitaxel|Yewtaxan
EFO_0005531,urticaria,Skin/Integumentary,8,rimonabant hydrochloride,CHEMBL111,RIMONABANT,Membrane receptor,Small molecule,Cannabinoid CB1 receptor antagonist,Rimonabant|SR-14171|SR-141716|SR-141716A|SR141716|Zimulti
EFO_0005531,urticaria,Skin/Integumentary,9,edoxaban tosylate monohydrate,CHEMBL1269025,EDOXABAN,Enzyme|Secreted protein,Small molecule,Coagulation factor X inhibitor,DU-176|Edoxaban
EFO_0005531,urticaria,Skin/Integumentary,10,elimusertib hydrochloride,CHEMBL4647810,ELIMUSERTIB,Enzyme,Small molecule,Serine-protein kinase ATR inhibitor,BAY-1895344|Elimusertib
EFO_0005531,urticaria,Skin/Integumentary,11,larotrectinib sulfate,CHEMBL3989939,LAROTRECTINIB SULFATE,Enzyme,Small molecule,Neurotrophic tyrosine kinase receptor inhibitor,ARRY-470 SULFATE|LOXO-101 sulfate|Larotrectinib sulfate
EFO_0005531,urticaria,Skin/Integumentary,12,trametinib,CHEMBL2103875,TRAMETINIB,Unclassified protein|Enzyme,Small molecule,Dual specificity mitogen-activated protein kinase kinase; MEK1/2 inhibitor,GSK-1120212|GSK1120212|JTP 74057|JTP-74057|TMT-212|TMT212|Tmt212|Trametinib
EFO_0005531,urticaria,Skin/Integumentary,13,encorafenib,CHEMBL3301612,ENCORAFENIB,Unclassified protein|Enzyme,Small molecule,Serine/threonine-protein kinase B-raf inhibitor,Encorafenib|Lgx-818|Lgx818|NVP-LGX-818-NXA|NVP-LGX818|NVP-LGX818-NXA
EFO_0005531,urticaria,Skin/Integumentary,14,lonafarnib,CHEMBL298734,LONAFARNIB,Enzyme,Small molecule,Protein farnesyltransferase inhibitor,Lonafarnib|SCH 66336|SCH-66336|SCH66336|Sarasar
EFO_0005531,urticaria,Skin/Integumentary,15,regorafenib,CHEMBL1946170,REGORAFENIB,Enzyme|Unclassified protein,Small molecule,Fibroblast growth factor receptor 1 inhibitor,BAY 73-4506|BAY 73-4506 monohydrate|BAY-73-4506|BAY-734506|Regorafenib|Regorafenib anhydrous|Regorafenib hydrate|Regorafenib monohydrate
EFO_0005531,urticaria,Skin/Integumentary,16,docetaxel trihydrate,CHEMBL3545252,DOCETAXEL,Structural protein,Small molecule,Tubulin inhibitor,Docetaxel|Docetaxel (as trihydrate)|Docetaxel hydrate|Docetaxel trihydrate|RP 56976|RP-56976|XRP6976
EFO_0005531,urticaria,Skin/Integumentary,17,vemurafenib,CHEMBL1229517,VEMURAFENIB,Unclassified protein|Enzyme,Small molecule,Serine/threonine-protein kinase B-raf inhibitor,PLX-4032|PLX4032|RG 7204|RG-7204|RO 5185426|RO-51-85426|RO-5185426|Vemurafenib
EFO_0005531,urticaria,Skin/Integumentary,18,rverapamil hydrochloride,CHEMBL6966,VERAPAMIL,Ion channel,Small molecule,Voltage-gated L-type calcium channel blocker,"CP-16,533-1|CP-165331|D-365|Iproveratril|NSC-272306NA|Verapamil|Verapamil slow release|Verapamilo"
EFO_0005531,urticaria,Skin/Integumentary,19,idarubicin hydrochloride,CHEMBL1200976,IDARUBICIN HYDROCHLORIDE,Enzyme,Small molecule,DNA topoisomerase II alpha inhibitor,IMI 30|IMI-30|Idarubicin hcl|Idarubicin hydrochloride|NSC-256439
EFO_0005531,urticaria,Skin/Integumentary,20,tolmetin,CHEMBL1020,TOLMETIN,Enzyme,Small molecule,Cyclooxygenase inhibitor,MCN-2559|Tolectin|Tolmetin|Tolmetina|Tolmetine
