disease_id,disease_name,drug_id,drug_common_name,drug_target_class,drug_synonyms,drug_type,drug_mechanism_of_action,disease_therapeutic_areas
MONDO_0002974,cervical cancer,CHEMBL359744,DOXORUBICIN HYDROCHLORIDE,Enzyme,"Adriablastina cs|Adriamycin, hydrochloride|Doxorubicin HCl|Doxorubicin citrate|Doxorubicin citric acid salt|Doxorubicin hcl|Doxorubicin hydrochloride|Doxorubicin liposomal complex of the hydrochloride|Doxorubicini hydrochloridum|Hydroxydaunomycin hydrochloride|Liposomal doxorubicin hydrochloride",Small molecule,DNA topoisomerase II alpha inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL225072,PEMETREXED,Enzyme,LY-2315|LY-231514|LY231514|NSC-698037|Pemetrexed,Small molecule,GAR transformylase inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL3545185,SELINEXOR,Unclassified protein,KPT-330|Selinexor,Small molecule,Exportin-1 inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL1399,ANASTROZOLE,Enzyme,Anastrozol|Anastrozole|Arimidex|ICI D1033|ICI-D1033|NSC-719344|NSC-759855|Rvg-106400|ZD-1033|ZD1033,Small molecule,Cytochrome P450 19A1 inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL271227,ABIRATERONE ACETATE,Enzyme,Abiraterone acetate|CB-7630|CB7630|NSC-748121|NSC-749227,Small molecule,Cytochrome P450 17A1 inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL939,GEFITINIB,Enzyme,Gefitinib|Iressa|NSC-759856|ZD-1839|ZD1839,Small molecule,Epidermal growth factor receptor erbB1 inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL1983268,ENTRECTINIB,Enzyme,Entrectinib|NMS-E628|RXDX-101|Rxdx-101,Small molecule,Neurotrophic tyrosine kinase receptor inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL457,GEMFIBROZIL,Transcription factor,CI-719|Gemfibrozil|Gemfibrozilo|NSC-757024,Small molecule,Peroxisome proliferator-activated receptor alpha agonist,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL362558,LY-2090314,Enzyme,LY-2090314|LY2090314|Ly 2090314|Ly-2090314,Small molecule,Glycogen synthase kinase-3 alpha inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL408513,BELINOSTAT,Epigenetic regulator,Belinostat|NSC-726630|NSC726630|PX-105684|PXD-101|PXD101,Small molecule,Histone deacetylase inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL3989939,LAROTRECTINIB SULFATE,Enzyme,ARRY-470 SULFATE|LOXO-101 sulfate|Larotrectinib sulfate,Small molecule,Neurotrophic tyrosine kinase receptor inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL1750,CLOFARABINE,Enzyme,Clofarabina|Clofarabine|Clolar|NSC-759857,Small molecule,DNA polymerase (alpha/delta/epsilon) inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL1229517,VEMURAFENIB,Unclassified protein|Enzyme,PLX-4032|PLX4032|RG 7204|RG-7204|RO 5185426|RO-51-85426|RO-5185426|Vemurafenib,Small molecule,Serine/threonine-protein kinase B-raf inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL1873475,IBRUTINIB,Enzyme|Unclassified protein,CRA-032765|Ibrutinib|PC-32765|PCI 32765|PCI-32765|PCI-32765-00,Small molecule,Tyrosine-protein kinase BTK inhibitor,Cancer/Tumor|Reproductive/Breast
