disease_id,disease_name,disease_therapeutic_areas,drug_rank,drug_name_original,drug_id,drug_common_name,drug_target_class,drug_type,drug_mechanism_of_action,drug_synonyms
EFO_0005531,urticaria,Skin/Integumentary,48,ethotoin,CHEMBL1095,ETHOTOIN,Ion channel,Small molecule,Sodium channel alpha subunit blocker,Accenon|Ethotoin|Ethotoine|Etotoina|NSC-760074
EFO_0005531,urticaria,Skin/Integumentary,49,cyproterone,CHEMBL139835,CYPROTERONE ACETATE,Transcription factor,Small molecule,Glucocorticoid receptor antagonist,Ciproterona|Cyproterone|Cyproterone 17.alpha.-acetate|Cyproterone acetate|NSC-81430|SH 714|SH-714|SH714
EFO_0005531,urticaria,Skin/Integumentary,52,raloxifene,CHEMBL81,RALOXIFENE,Transcription factor,Small molecule,Estrogen receptor beta modulator,Eviden|Evista|J22.982B|Keoxifene|LY-139481|NSC-747974|Raloxifene|Raloxifeno|Raloxiphene|Raxeto
EFO_0005531,urticaria,Skin/Integumentary,54,codergocrine mesilate,CHEMBL2311030,ERGOLOID MESYLATES,Membrane receptor,Unknown,Dopamine receptor agonist,Co-dergocrine mesilate|Co-dergocrine mesylate|Codergocrine mesilate|Dihydroergotoxine mesilate|Dihydroergotoxine mesylate|Dihydroergotoxine methanesulfonate|Dihydrogenated ergot alkaloids|Ergoloid mesilates|Ergoloid mesylates|Hydrogenated ergot alkaloids
EFO_0005531,urticaria,Skin/Integumentary,55,diphenylpyraline,CHEMBL1492,DIPHENYLPYRALINE,Membrane receptor,Small molecule,Histamine H1 receptor antagonist,Difenilpiralina|Diphenylpyraline
EFO_0005531,urticaria,Skin/Integumentary,56,tanespimycin,CHEMBL109480,TANESPIMYCIN,Unclassified protein|Other cytosolic protein,Small molecule,Heat shock protein HSP90 inhibitor,17-AAG|17aag|BMS-722782|CNF-1010|CNF1010|KOS-953|NSC-330507|Tanespimicina|Tanespimycin|Tanespimycine
EFO_0005531,urticaria,Skin/Integumentary,59,prilocaine,CHEMBL1194,PRILOCAINE,Ion channel,Small molecule,Sodium channel alpha subunit blocker,ASTRA-1512|ASTRA-1515|Citanest|NSC-40027|Prilocaina|Prilocaine|Propitocaine
EFO_0005531,urticaria,Skin/Integumentary,63,thalidomide,CHEMBL468,THALIDOMIDE,Membrane receptor|Enzyme|Epigenetic regulator|Structural protein|Unclassified protein|Transcription factor|Other cytosolic protein|Other nuclear protein,Small molecule,CRL4(CRBN) E3 ubiquitin ligase inhibitor,.alpha.-phthalimidoglutarimide|Celgene|Contergan|Distaval|K-17|Myrin|N-phthalylglutamic acid imide|NSC-527179|NSC-66847|Neurosedyn|Pantosediv|Pharmion|Softenon|Talidomida|Thaled|Thalidomide|Thalidomide 
EFO_0005531,urticaria,Skin/Integumentary,66,mexiletine,CHEMBL558,MEXILETINE,Ion channel,Small molecule,Sodium channel alpha subunit blocker,(rs)-mexiletine|Dl-mexiletine|Mexiletina|Mexiletine
EFO_0005531,urticaria,Skin/Integumentary,67,riluzole,CHEMBL744,RILUZOLE,Ion channel,Small molecule,Sodium channel alpha subunit blocker,BHV-0223|NSC-753433|NSC-759823|RP 54274|RP-54274|Riluzol|Riluzole|Tiglutik
EFO_0005531,urticaria,Skin/Integumentary,73,arcaine,CHEMBL1098,BUPIVACAINE,Ion channel,Small molecule,Sodium channel protein type IV alpha subunit blocker,"Bucaine|Bupivacaina|Bupivacaine|Bupivacaine liposome|LIQ-865|LIQ865|Liposomal bupivacaine|Marcaine|Ropivacaine hydrochloride impurity, bupivacaine-|SKY-0402|SKY0402|Sensorcaine"
EFO_0005531,urticaria,Skin/Integumentary,75,suloctidil,CHEMBL404849,SULOCTIDIL,Ion channel,Small molecule,Voltage-gated calcium channel blocker,Bemperil|CP-556S|Cerebro|Circleton|Dulasi|Duloctil|Euvasal|Fluversin|Fluvisco|Hemoantin|Iangene|Loctidon|Locton|MJF 12637|MJF-12637|Octamet|Polivasal|Sudil|Suloctidil|Sulocton|Sulodene
EFO_0005531,urticaria,Skin/Integumentary,76,brompheniramine,CHEMBL811,BROMPHENIRAMINE,Membrane receptor,Small molecule,Histamine H1 receptor antagonist,BPN|Bromfed|Bromfenex|Bromfeniramina|Brompheniramine|Brotane|Dimetane|Dimetapp|Lodrane
EFO_0005531,urticaria,Skin/Integumentary,77,enalapril,CHEMBL578,ENALAPRIL,Enzyme,Small molecule,Angiotensin-converting enzyme inhibitor,C09AA02|Enalapril|Lexxel|Olinapril|Vaseretic|Vasotec
EFO_0005531,urticaria,Skin/Integumentary,84,mesoridazine,CHEMBL1088,MESORIDAZINE,Ion channel|Membrane receptor,Small molecule,Serotonin 2a (5-HT2a) receptor antagonist,Mesoridazina|Mesoridazine|NC-123|NSC-186066|Serentil|TPS-23|Thioridazine-2-sulfoxide
EFO_0005531,urticaria,Skin/Integumentary,85,flavoxate,CHEMBL1493,FLAVOXATE,Enzyme,Small molecule,Phosphodiesterase 4 inhibitor,Bladuril|Flavoxate|Flavoxato
EFO_0005531,urticaria,Skin/Integumentary,87,cetirizine,CHEMBL1000,CETIRIZINE,Membrane receptor,Small molecule,Histamine H1 receptor antagonist,AC-170|Cetiderm|Cetirizina|Cetirizine
