gene_symbol,logfc_dz:393,logfc_dz:149,logfc_dz:945,logfc_dz:947,logfc_dz:946,logfc_dz:883,mean_logfc,median_logfc,common_experiment,organism
HBA2,0.23864106833934784,-0.026494933292269707,0.21646654605865479,0.2098027765750885,0.16910192370414734,,0.16150347627699374,0.2098027765750885,,human
LDHA,0.1420271098613739,,0.031062576919794083,0.09751021862030029,0.07889547944068909,,0.08737384621053934,0.08820284903049469,,human
HSPA8,0.13379760086536407,0.059306252747774124,0.11014220118522644,0.1165640726685524,,,0.10495253186672926,0.11335313692688942,,human
FOS,0.12312561273574829,-0.037888266146183014,0.019763601943850517,0.11008284240961075,0.030718326568603516,0.04353123530745506,0.04822222546984752,0.03712478093802929,0.04353123530745506,human
SLPI,0.10515712946653366,0.035751212388277054,0.23932163417339325,,,-0.06480630487203598,0.078855917789042,0.07045417092740536,-0.06480630487203598,human
GJA1,0.08739893138408661,-0.07052379846572876,0.05546704679727554,0.0347403809428215,0.042009539902210236,,0.029818420112133027,0.042009539902210236,,human
IER2,0.08612818270921707,-0.07955744117498398,-0.0736285150051117,0.12028476595878601,0.032716117799282074,,0.017188622057437895,0.032716117799282074,,human
RPS5,0.08351379632949829,0.07578297704458237,0.028691399842500687,0.11365025490522385,-0.02954772859811783,0.026374610140919685,0.049744218277434506,0.05223718844354153,0.026374610140919685,human
HSP90AA1,0.08334053307771683,0.031590674072504044,0.06598015129566193,0.04288383945822716,0.025519488379359245,,0.04986293725669384,0.04288383945822716,,human
HBB,0.08330877125263214,,0.06451675295829773,0.08057975023984909,0.05783279985189438,0.05246231332421303,0.06774007752537728,0.06451675295829773,0.05246231332421303,human
HSPB1,0.08202140033245087,0.07358992099761963,0.02996714413166046,0.07498137652873993,0.03287500888109207,-0.08461280912160873,0.03480367362499237,0.05323246493935585,-0.08461280912160873,human
EGR1,0.0747499018907547,-0.0601627342402935,,0.050266560167074203,0.02777964249253273,0.027927696704864502,0.024112213402986526,0.027927696704864502,0.027927696704864502,human
YBX1,0.07295095175504684,0.03832374885678291,0.040510986000299454,0.050439927726984024,0.02656993269920349,,0.04575910940766335,0.040510986000299454,,human
PAEP,0.0727979838848114,-0.12642988562583923,,0.04609522223472595,,-0.04983185604214668,-0.01434213388711214,-0.0018683169037103653,-0.04983185604214668,human
RASD1,0.07145610451698303,-0.03037833794951439,,,0.020803846418857574,-0.04730471596121788,0.0036442242562770844,-0.004787245765328407,-0.04730471596121788,human
SH3KBP1,0.06937997788190842,0.15852077305316925,0.18045668303966522,0.16392108798027039,-0.08689223974943161,,0.09707725644111634,0.15852077305316925,,human
LUM,0.06695021688938141,-0.19456356763839722,0.0804668739438057,0.047231581062078476,0.048804402351379395,,0.009777901321649551,0.048804402351379395,,human
RAN,0.061553679406642914,,0.030785854905843735,0.04700976982712746,0.0418512187898159,,0.0453001307323575,0.04443049430847168,,human
IGFBP2,0.061114389449357986,-0.038694076240062714,-0.03917552903294563,0.018283942714333534,0.04803772270679474,,0.009913289919495583,0.018283942714333534,,human
IFITM2,0.06042402610182762,,-0.01463093888014555,0.03104488179087639,0.08767307549715042,-0.016545811668038368,0.029593046568334103,0.03104488179087639,-0.016545811668038368,human
LGALS1,0.0599246509373188,-0.029924876987934113,0.049772217869758606,0.10700248181819916,0.06247731298208237,-0.045766737312078476,0.033914174884557724,0.054848434403538704,-0.045766737312078476,human
IFITM1,0.05705663189291954,,-0.059320464730262756,0.04000743106007576,0.062407925724983215,,0.02503788098692894,0.04853203147649765,,human
TUBA1A,0.054330013692379,-0.12404684722423553,0.040568042546510696,0.09025979042053223,-0.02224750630557537,,0.007772698625922203,0.040568042546510696,,human
SPARC,0.054025523364543915,,0.04831501841545105,0.04923779144883156,,0.03248744085431099,0.04601644352078438,0.048776404932141304,0.03248744085431099,human
RPS17,0.05219198763370514,,0.04918171465396881,0.07684419304132462,,,0.05940596510966619,0.05219198763370514,,human
DYNLL1,0.05086047202348709,0.02456871047616005,0.028096579015254974,0.040542688220739365,0.039910316467285156,,0.03679575324058533,0.039910316467285156,,human
EIF3E,0.04993857443332672,0.03348517790436745,,0.05383056029677391,0.032995034009218216,0.016512872651219368,0.037352443858981135,0.03348517790436745,0.016512872651219368,human
TSPAN1,0.04755573719739914,,0.02301812544465065,0.051560577005147934,,,0.04071147988239924,0.04755573719739914,,human
SERPINF1,0.046956367790699005,-0.03723343461751938,-0.043241020292043686,0.05751574784517288,,0.02968909963965416,0.010737352073192596,0.02968909963965416,0.02968909963965416,human
LDHB,0.04625694826245308,,,0.04532841593027115,0.06645762175321579,,0.05268099531531334,0.04625694826245308,,human
EEF1B2,0.04545639827847481,0.017834067344665527,,0.045815348625183105,0.01978570595383644,,0.03222288005053997,0.032621052116155624,,human
EIF3CL,0.04440668970346451,,-0.0865628570318222,0.04280366748571396,0.037853047251701355,,0.009625136852264404,0.04032835736870766,,human
ATF4,0.04414667934179306,0.014420493505895138,,0.029341408982872963,0.026222387328743935,,0.028532742289826274,0.02778189815580845,,human
FAU,0.04412207379937172,-0.02669619955122471,-0.028332915157079697,0.044717252254486084,0.040116481482982635,,0.014785338565707207,0.040116481482982635,,human
SLC25A5,0.04247208312153816,0.05490551143884659,-0.10046038776636124,0.036539167165756226,0.034003157168626785,,0.013491906225681305,0.036539167165756226,,human
TBCA,0.0404733382165432,0.027863847091794014,0.04530131816864014,0.018777957186102867,0.010887269861996174,,0.02866074610501528,0.027863847091794014,,human
MIR1244-2,0.040327638387680054,,-0.041140880435705185,,0.07853277772665024,,0.025906511892875034,0.040327638387680054,,human
FTL,0.04004015028476715,0.07548161596059799,0.06700129061937332,0.04328920692205429,-0.02099398896098137,0.21974588930606842,0.07076069402197997,0.055145248770713806,0.21974588930606842,human
PSMA6,0.0397014394402504,0.017011811956763268,0.027290554717183113,0.03954260051250458,,,0.03088660165667534,0.033416577614843845,,human
JUNB,0.03954297676682472,-0.06512123346328735,-0.015346589498221874,0.029635436832904816,0.013760751113295555,,0.000494268350303173,0.013760751113295555,,human
