gene_symbol,logfc_dz:326,logfc_dz:117,logfc_dz:950,logfc_dz:951,logfc_dz:949,logfc_dz:948,mean_logfc,median_logfc,common_experiment,organism
TMSB4XP8,0.1371750831604004,-0.07657445967197418,,,,,0.030300311744213104,0.030300311744213104,,human
KRT14,0.13191182911396027,-0.1338368058204651,,,,,-0.0009624883532524109,-0.0009624883532524109,,human
KRT6A,0.11870765686035156,,-0.01673659309744835,,,,0.05098553188145161,0.05098553188145161,-0.01673659309744835,human
TGFBI,0.11435503512620926,,,-0.014800162054598331,-0.02612326480448246,,0.024477202755709488,-0.014800162054598331,,human
SDCBP,0.11336714774370193,0.04959511756896973,,,,,0.08148113265633583,0.08148113265633583,,human
LDHB,0.10554574429988861,,,,,,0.10554574429988861,0.10554574429988861,,human
MMP1,0.1013164147734642,0.024053635075688362,,,,,0.06268502492457628,0.06268502492457628,,human
TMA7,0.09891029447317123,,,,,,0.09891029447317123,0.09891029447317123,,human
CD63,0.09850353747606277,0.09408487379550934,,0.017873700708150864,,,0.07015403732657433,0.09408487379550934,,human
IFI27,0.09734184294939041,,0.033389728516340256,,-0.030201787129044533,-0.04587767273187637,0.01366302790120244,0.0015939706936478615,0.033389728516340256,human
H2AFZ,0.09650148451328278,0.011508259922266006,,,,,0.05400487221777439,0.05400487221777439,,human
NPM1,0.0837797001004219,0.02508351393043995,,,,,0.05443160701543093,0.05443160701543093,,human
IFITM3,0.08164814859628677,-0.02749365009367466,,,,,0.027077249251306057,0.027077249251306057,,human
FABP5,0.08138345181941986,0.01653704047203064,,,,0.059403445571660995,0.05244131262103716,0.059403445571660995,,human
FTH1P5,0.07836122065782547,-0.012448256835341454,,,,,0.03295648191124201,0.03295648191124201,,human
S100A4,0.07529065757989883,-0.07657540589570999,,,,,-0.0006423741579055786,-0.0006423741579055786,,human
IFITM1,0.07408230006694794,-0.025455119088292122,,,,,0.024313590489327908,0.024313590489327908,,human
MRFAP1,0.0713648796081543,,,,,,0.0713648796081543,0.0713648796081543,,human
HIF1A,0.07121594995260239,,,,,,0.07121594995260239,0.07121594995260239,,human
KRT5,0.06992843002080917,-0.0648016557097435,,,,,0.002563387155532837,0.002563387155532837,,human
IFI30,0.06913676112890244,,,-0.041623543947935104,-0.04010392352938652,,-0.0041969021161397295,-0.04010392352938652,,human
RPL22L1,0.06882810592651367,,,,,,0.06882810592651367,0.06882810592651367,,human
CCNG1,0.06580504029989243,,,,,,0.06580504029989243,0.06580504029989243,,human
SRP9,0.06532317399978638,,,,,,0.06532317399978638,0.06532317399978638,,human
PSME2,0.06393387913703918,,,,,,0.06393387913703918,0.06393387913703918,,human
HLA-DRB4,0.0637163296341896,-0.03657224029302597,,,,-0.020878849551081657,0.002088413263360659,-0.020878849551081657,,human
CDK2AP1,0.06006411835551262,0.023514989763498306,,,,0.017952848225831985,0.03384398544828097,0.023514989763498306,,human
LAP3,0.05983952432870865,,,,,,0.05983952432870865,0.05983952432870865,,human
