gene_symbol,logfc_dz:1053,logfc_dz:1051,logfc_dz:1050,logfc_dz:1054,logfc_dz:1052,logfc_dz:1049,mean_logfc,median_logfc,common_experiment,organism
TMSB4XP8,0.21521085500717163,0.13442818820476532,0.25904086232185364,-0.04324249178171158,0.20555146038532257,0.26566487550735474,0.1727756249407927,0.2103811576962471,0.13442818820476532,human
GJA1,0.16123606264591217,0.05940309911966324,0.019316881895065308,-0.050200432538986206,,0.09951858967542648,0.0578548401594162,0.05940309911966324,0.05940309911966324,human
AMIGO2,0.15822772681713104,,,-0.13246674835681915,0.011038869619369507,,0.012266616026560465,0.011038869619369507,,human
RPL39,0.14666809141635895,0.13748161494731903,0.08830316364765167,0.10285743325948715,0.11557681858539581,0.15784701704978943,0.12478902315100034,0.12652921676635742,0.13748161494731903,human
PTX3,0.14393118023872375,,,0.030032284557819366,,,0.08698173239827156,0.08698173239827156,,human
DYNLT3,0.1310642510652542,,,0.038234513252973557,,0.013780313543975353,0.06102635928740104,0.038234513252973557,,human
PRDX4,0.12911199033260345,0.06961362808942795,0.11795099079608917,0.14030423760414124,0.12292161583900452,0.14471502602100372,0.12076958144704501,0.12601680308580399,0.06961362808942795,human
RPS4X,0.12099601328372955,0.0664532408118248,0.15660451352596283,0.11192528158426285,0.17686650156974792,0.14741481840610504,0.1300433948636055,0.1342054158449173,0.0664532408118248,human
MAGED1,0.1162160113453865,-0.029497560113668442,0.025541510432958603,0.1323966532945633,0.09640049934387207,0.07386129349470139,0.06915306796630223,0.08513089641928673,-0.029497560113668442,human
SMS,0.10095008462667465,0.09699013084173203,0.09759998321533203,0.035890109837055206,0.12673740088939667,0.12548702955245972,0.09727578982710838,0.09927503392100334,0.09699013084173203,human
PLS3,0.10039065033197403,0.07241079211235046,0.14775584638118744,-0.019447101280093193,0.12495303153991699,0.13921982049942017,0.09421383993079264,0.11267184093594551,0.07241079211235046,human
WBP5,0.09079967439174652,0.06918387115001678,0.043511152267456055,0.04530758038163185,0.07036223262548447,0.0521397665143013,0.06188404622177283,0.06066181883215904,0.06918387115001678,human
NGFRAP1,0.0883844867348671,0.14674772322177887,0.1099095419049263,0.11882927268743515,0.2071142941713333,0.12910354137420654,0.1333481433490912,0.12396640703082085,0.14674772322177887,human
ARMCX1,0.08606693148612976,-0.014066781848669052,0.09285569936037064,0.020734282210469246,0.027166618034243584,0.0739823654294014,0.047789852445324264,0.05057449173182249,-0.014066781848669052,human
