gene_symbol,logfc_dz:109,logfc_dz:505,logfc_dz:481,logfc_dz:506,logfc_dz:507,mean_logfc,median_logfc,common_experiment,organism
KLF1,,0.0277933981269598,,0.04053724184632301,0.016542229801416397,0.028290956591566403,0.0277933981269598,,human
SHISA4,,-0.02550239861011505,,,0.016200168058276176,-0.004651115275919437,-0.004651115275919437,,human
ABCC13,,0.01735241897404194,,0.014983590692281723,0.015618627890944481,0.015984879185756046,0.015618627890944481,,human
LTF,,-0.06547467410564423,,-0.04510696604847908,-0.0644940584897995,-0.05835856621464094,-0.0644940584897995,,human
SIGLEC10,,-0.03271963819861412,,-0.026920698583126068,-0.05043916404247284,-0.03669316694140434,-0.03271963819861412,,human
FRG1B,,-0.024035619571805,,-0.024926789104938507,-0.047982294112443924,-0.03231490092972914,-0.024926789104938507,,human
CA2,,0.03183746710419655,-0.06208932399749756,0.03752146288752556,-0.047413554042577744,-0.010035987012088299,-0.0077880434691905975,,human
MAP3K7CL,,-0.038022708147764206,,-0.023088037967681885,-0.04503454640507698,-0.03538176417350769,-0.038022708147764206,,human
CAMP,,-0.02235526032745838,,-0.019755244255065918,-0.04142070934176445,-0.027843737974762917,-0.02235526032745838,,human
LINC01002,,-0.01971380226314068,,-0.027385178953409195,-0.036939509212970734,-0.028012830143173535,-0.027385178953409195,,human
ND2,,-0.056159503757953644,0.09507248550653458,-0.02967778593301773,-0.03636803850531578,-0.006783210672438145,-0.033022912219166756,,human
KDM5D,,-0.02065553143620491,,-0.015023579820990562,-0.03578498959541321,-0.02382136695086956,-0.02065553143620491,,human
DCAF6,,-0.0719643384218216,-0.08420571684837341,-0.031450800597667694,-0.03537886589765549,-0.05574993044137955,-0.05367160215973854,,human
COX1,,-0.06016813963651657,-0.061985522508621216,-0.09008459001779556,-0.033299531787633896,-0.06138444598764181,-0.06107683107256889,,human
COX2,,-0.04341000318527222,-0.04422838240861893,-0.02837156504392624,-0.03239220380783081,-0.03710053861141205,-0.037901103496551514,,human
CRISP3,,-0.019261660054326057,,-0.02159937657415867,-0.03194886073470116,-0.024269965787728626,-0.02159937657415867,,human
CEACAM8,,-0.01730545610189438,,-0.024553200230002403,-0.0310562364757061,-0.024304964269200962,-0.024553200230002403,,human
TCN1,,-0.022021275013685226,,-0.02846384234726429,-0.029258880764245987,-0.026581332708398502,-0.02846384234726429,,human
MMP9,,-0.031299103051424026,,-0.025995809584856033,-0.02675170637667179,-0.02801553967098395,-0.02675170637667179,,human
RAP1GAP2,,-0.021138643845915794,-0.019573671743273735,-0.014902396127581596,-0.026661105453968048,-0.020568954292684793,-0.020356157794594765,,human
LST1,,-0.01889759488403797,,-0.015237228013575077,-0.026346541941165924,-0.02016045494625966,-0.01889759488403797,,human
MMP8,,-0.018660003319382668,,,-0.023942966014146805,-0.021301484666764736,-0.021301484666764736,,human
GGTA1P,,-0.024782616645097733,0.026442544534802437,,-0.02115839533507824,-0.006499489148457845,-0.02115839533507824,,human
HLA-DMB,,-0.01577441208064556,-0.01652352325618267,,-0.02070748433470726,-0.017668473223845165,-0.01652352325618267,,human
HLA-DRB4,,-0.020192423835396767,-0.028554262593388557,-0.019972100853919983,-0.02000751532614231,-0.022181575652211905,-0.02009996958076954,,human
HCK,,-0.02848786488175392,,-0.027087608352303505,-0.019673096016049385,-0.02508285641670227,-0.027087608352303505,,human
AMPD2,,-0.025867696851491928,-0.019944600760936737,-0.018602363765239716,-0.019440531730651855,-0.02096379827708006,-0.019692566245794296,,human
FGR,,-0.031284719705581665,,-0.022231029346585274,-0.01847110129892826,-0.0239956167836984,-0.022231029346585274,,human
DDX11L2,,-0.04450318589806557,-0.05318932980298996,-0.02653166651725769,-0.018422085791826248,-0.035661567002534866,-0.03551742620766163,,human
RGS2,,-0.018976926803588867,,-0.029728056862950325,-0.01839904859662056,-0.022368010754386585,-0.018976926803588867,,human
CYP4F3,,-0.01798361726105213,,-0.01816614717245102,-0.01802617684006691,-0.01805864709119002,-0.01802617684006691,,human
SH3KBP1,,-0.051802948117256165,,-0.030912883579730988,-0.017612382769584656,-0.033442738155523934,-0.030912883579730988,,human
S100A4,,-0.022431645542383194,,-0.02599954418838024,-0.016740228980779648,-0.021723806237181027,-0.022431645542383194,,human
CEBPB,,-0.029980015009641647,-0.021228400990366936,-0.03410438075661659,-0.016674058511853218,-0.0254967138171196,-0.02560420800000429,,human
ALDH2,,-0.02283899486064911,,-0.016667475923895836,-0.016643721610307693,-0.018716730798284214,-0.016667475923895836,,human
BASP1,,-0.03658866137266159,,-0.030908633023500443,-0.016137702390551567,-0.027878332262237866,-0.030908633023500443,,human
S100A9,,-0.028621802106499672,,-0.03226810321211815,-0.016090143471956253,-0.025660016263524692,-0.028621802106499672,,human
CD52,,0.01789858750998974,,,-0.0160180926322937,0.0009402474388480186,0.0009402474388480186,,human
DUSP6,,-0.017966432496905327,,-0.020137304440140724,-0.015799997374415398,-0.017967911437153816,-0.017966432496905327,,human
PROK2,,-0.040822990238666534,0.01821797899901867,-0.03950321674346924,-0.015612221322953701,-0.0194301123265177,-0.02755771903321147,,human
RNF182,,0.09987839311361313,,0.09056643396615982,,0.09522241353988647,0.09522241353988647,,human
BNIP3L,,0.08552630245685577,0.03282015770673752,0.08734949678182602,,0.06856531898180644,0.08552630245685577,,human
RAB2B,,0.07853919267654419,,0.07388444244861603,,0.07621181756258011,0.07621181756258011,,human
TRAK2,,0.0773794949054718,,0.08132894337177277,,0.07935421913862228,0.07935421913862228,,human
YOD1,,0.0736045390367508,,0.07136894762516022,,0.0724867433309555,0.0724867433309555,,human
FECH,,0.07338417321443558,,0.06748763471841812,,0.07043590396642685,0.07043590396642685,,human
KRT1,,0.06797853112220764,,0.08367255330085754,,0.07582554221153259,0.07582554221153259,,human
RPIA,,0.06547540426254272,,0.06267432868480682,,0.06407486647367477,0.06407486647367477,,human
SLC22A4,,0.06503626704216003,,0.05514374002814293,,0.06009000353515148,0.06009000353515148,,human
HEMGN,,0.06498340517282486,-0.016644379124045372,0.06755336374044418,,0.03863079659640789,0.06498340517282486,,human
RNF11,,0.06439437717199326,-0.0441909022629261,0.07145103812217712,,0.030551504343748093,0.06439437717199326,,human
ISCA1,,0.061637915670871735,,0.05751229077577591,,0.05957510322332382,0.05957510322332382,,human
SLC1A5,,0.05685131251811981,,0.05820281803607941,,0.05752706527709961,0.05752706527709961,,human
C9orf78,,0.056759465485811234,,0.06306123733520508,,0.059910351410508156,0.059910351410508156,,human
SLC14A1,,0.054529935121536255,,0.060955412685871124,,0.05774267390370369,0.05774267390370369,,human
HBZ,,0.0530061200261116,,0.07478341460227966,,0.06389476731419563,0.06389476731419563,,human
TMEM14B,,0.051167942583560944,,0.03552629053592682,,0.04334711655974388,0.04334711655974388,,human
JHDM1D-AS1,,0.04912542551755905,,0.05995399132370949,,0.05453970842063427,0.05453970842063427,,human
ABCB10,,0.04873470589518547,0.020500821992754936,0.04184455797076225,,0.03702669528623422,0.04184455797076225,,human
FAM117A,,0.048644356429576874,,0.046108677983284,,0.047376517206430435,0.047376517206430435,,human
POC1B,,0.04835286736488342,,0.0442286878824234,,0.04629077762365341,0.04629077762365341,,human
JAZF1,,0.04822806268930435,,0.05318953096866608,,0.050708796828985214,0.050708796828985214,,human
USP12,,0.04792432859539986,,0.05311490595340729,,0.05051961727440357,0.05051961727440357,,human
BCL2L1,,0.047738753259181976,,0.05568145588040352,,0.05171010456979275,0.05171010456979275,,human
FOXO3,,0.04656854271888733,,0.0546635240316391,,0.050616033375263214,0.050616033375263214,,human
ARL4A,,0.04572129622101784,0.02227409929037094,0.05654122307896614,,0.04151220619678497,0.04572129622101784,,human
SFRP2,,0.045635584741830826,,0.03842215612530708,,0.042028870433568954,0.042028870433568954,,human
BIRC2,,0.045398734509944916,,0.03847702965140343,,0.04193788208067417,0.04193788208067417,,human
NUDT4,,0.04392000287771225,0.01515286322683096,0.04665157571434975,,0.03524148060629765,0.04392000287771225,,human
TERF2IP,,0.04376767948269844,,0.03829939290881157,,0.041033536195755005,0.041033536195755005,,human
NME4,,0.04352020472288132,,0.03393770009279251,,0.038728952407836914,0.038728952407836914,,human
CYSTM1,,0.04309985414147377,,0.040274862200021744,,0.04168735817074776,0.04168735817074776,,human
FKBP1B,,0.04296596720814705,-0.029723649844527245,0.04843441769480705,,0.020558911686142285,0.04296596720814705,,human
SLC7A5,,0.04254114255309105,,0.06146114319562912,,0.052001142874360085,0.052001142874360085,,human
SLC6A8,,0.04243287816643715,,0.05210258811712265,,0.0472677331417799,0.0472677331417799,,human
ABCG2,,0.04203633964061737,,0.04184094816446304,,0.04193864390254021,0.04193864390254021,,human
RNF123,,0.041870422661304474,,0.04145906865596771,,0.04166474565863609,0.04166474565863609,,human
POLR1D,,0.04155481234192848,,0.03776644915342331,,0.039660630747675896,0.039660630747675896,,human
CCNDBP1,,0.04123137518763542,,0.03766820207238197,,0.0394497886300087,0.0394497886300087,,human
