gene_symbol,logfc_dz:323,logfc_dz:678,logfc_dz:198,logfc_dz:115,mean_logfc,median_logfc,common_experiment,organism
MB,0.3557915985584259,0.04433824121952057,,,0.20006491988897324,0.20006491988897324,,human
MYL2,0.21216897666454315,0.0354691706597805,-0.05647050216794014,,0.06372254838546117,0.0354691706597805,,human
TNNI3,0.20940928161144257,0.0500665158033371,0.029497984796762466,,0.09632459407051404,0.0500665158033371,,human
MYZAP,0.19680966436862946,,,,0.19680966436862946,0.19680966436862946,,human
MPP4,0.17230868339538574,,,0.02903532050549984,0.10067200195044279,0.10067200195044279,0.02903532050549984,human
HSPB8,0.13893744349479675,0.048934999853372574,,,0.09393622167408466,0.09393622167408466,,human
ASAH1,0.13325104117393494,-0.021820252761244774,,,0.05571539420634508,0.05571539420634508,,human
MYOZ2,0.13077032566070557,0.04635715112090111,,,0.08856373839080334,0.08856373839080334,,human
FABP4,0.1249573677778244,0.04781002551317215,0.017735382542014122,,0.06350092527767022,0.04781002551317215,,human
MYL7,0.1227574348449707,0.10063207149505615,-0.07677905261516571,-0.06003669649362564,0.021643439307808876,0.020297687500715256,-0.06003669649362564,human
MLYCD,0.11040890216827393,0.01675407402217388,0.04300130158662796,,0.056721425925691925,0.04300130158662796,,human
TNNC2,0.10623292624950409,,,,0.10623292624950409,0.10623292624950409,,human
CRYM,0.09337758272886276,,,0.03379138931632042,0.06358448602259159,0.06358448602259159,0.03379138931632042,human
DUSP27,0.09201596677303314,,,,0.09201596677303314,0.09201596677303314,,human
MYH7,0.09032090753316879,-0.033985648304224014,-0.02868526801466942,,0.009216663738091787,-0.02868526801466942,,human
SLC25A4,0.080912746489048,-0.055518750101327896,-0.02065296471118927,,0.001580343892176946,-0.02065296471118927,,human
GJA1,0.07819575071334839,,,,0.07819575071334839,0.07819575071334839,,human
TP53INP2,0.07457631826400757,0.015202319249510765,,,0.04488931875675917,0.04488931875675917,,human
TTC12,0.06823112070560455,,,,0.06823112070560455,0.06823112070560455,,human
LINC01279,0.06554163247346878,,,,0.06554163247346878,0.06554163247346878,,human
CSRP3,0.06462061405181885,-0.017545215785503387,-0.013525780290365219,,0.011183205991983414,-0.013525780290365219,,human
ZAK,0.06307291984558105,,,,0.06307291984558105,0.06307291984558105,,human
PROS1,0.06215162202715874,-0.02732156217098236,,0.03594767674803734,0.02359257886807124,0.03594767674803734,0.03594767674803734,human
PDLIM3,0.06047559529542923,0.06122777983546257,,,0.0608516875654459,0.0608516875654459,,human
STK38L,0.05931796133518219,0.030377060174942017,,0.02320192940533161,0.037632316971818604,0.030377060174942017,0.02320192940533161,human
MYLK3,0.05678528547286987,,,,0.05678528547286987,0.05678528547286987,,human
MDH1,0.05552416667342186,0.015686623752117157,-0.031832970678806305,,0.01312593991557757,0.015686623752117157,,human
TXNIP,0.054839517921209335,0.264960378408432,0.02604314126074314,,0.11528101253012817,0.054839517921209335,,human
SMYD1,0.05377289280295372,-0.05329984426498413,,,0.00023652426898479462,0.00023652426898479462,,human
MAOA,0.05229989066720009,,,,0.05229989066720009,0.05229989066720009,,human
CTNNA3,0.05216795206069946,,,,0.05216795206069946,0.05216795206069946,,human
MLLT11,0.051130954176187515,-0.06625262647867203,-0.014896965585649014,,-0.010006212629377842,-0.014896965585649014,,human
CDPF1,0.04903135821223259,,,,0.04903135821223259,0.04903135821223259,,human
ATP5A1,0.048761140555143356,,-0.02437843196094036,,0.012191354297101498,0.012191354297101498,,human
SH3BGR,0.04727697744965553,,0.02196439355611801,,0.03462068550288677,0.03462068550288677,,human
COL3A1,0.04705294594168663,,0.031059585511684418,,0.039056265726685524,0.039056265726685524,,human
HIST2H2BE,0.04676477983593941,,0.012429004535079002,,0.029596892185509205,0.029596892185509205,,human
NFE2L1,0.04616072028875351,-0.01751449704170227,,,0.01432311162352562,0.01432311162352562,,human
CA3,0.04593994840979576,,,,0.04593994840979576,0.04593994840979576,,human
ASPN,0.04569600895047188,,0.010973366908729076,0.04636253044009209,0.03434396876643101,0.04569600895047188,0.04636253044009209,human
PPP1R14C,0.044964827597141266,,,,0.044964827597141266,0.044964827597141266,,human
GABARAPL1,0.04432672634720802,-0.03258456662297249,,,0.005871079862117767,0.005871079862117767,,human
TMEM63B,0.04308536276221275,,,,0.04308536276221275,0.04308536276221275,,human
MFN2,0.042484350502491,0.02587437629699707,0.014276704750955105,,0.027545143850147724,0.02587437629699707,,human
FYCO1,0.04181866720318794,,-0.015394376590847969,,0.013212145306169987,0.013212145306169987,,human
LAMB2,0.04108044132590294,,,,0.04108044132590294,0.04108044132590294,,human
SGCG,0.04073222354054451,0.020032964646816254,0.014192480593919754,,0.024985889593760174,0.020032964646816254,,human
HSPB7,0.04026881605386734,,-0.034962400794029236,,0.002653207629919052,0.002653207629919052,,human
CD36,0.039368581026792526,0.07346988469362259,0.014105988666415215,,0.04231481812894344,0.039368581026792526,,human
LPL,0.03833800554275513,0.0981975570321083,0.07324135303497314,0.026771221309900284,0.059137034229934216,0.055789679288864136,0.026771221309900284,human
NPPB,0.03674449771642685,0.07411383837461472,0.35668620467185974,0.1626177579164505,0.15754057466983795,0.11836579814553261,0.1626177579164505,human
HSPA1L,0.03652719780802727,,,-0.020489579066634178,0.008018809370696545,0.008018809370696545,-0.020489579066634178,human
SDHD,0.03581589087843895,,,,0.03581589087843895,0.03581589087843895,,human
GHITM,0.03544324263930321,,-0.018453599885106087,,0.00849482137709856,0.00849482137709856,,human
CDH2,0.034766096621751785,,,,0.034766096621751785,0.034766096621751785,,human
HVCN1,0.03462135046720505,,,,0.03462135046720505,0.03462135046720505,,human
SH3BP2,0.034448351711034775,,,,0.034448351711034775,0.034448351711034775,,human
UQCRC2,0.03296109661459923,,-0.014019163325428963,,0.009470966644585133,0.009470966644585133,,human
SLC12A7,0.03214819356799126,,,,0.03214819356799126,0.03214819356799126,,human
ACTN2,0.03202211856842041,0.02380109578371048,0.01640315353870392,,0.024075455963611603,0.02380109578371048,,human
ATAD5,0.03191046044230461,,,,0.03191046044230461,0.03191046044230461,,human
LUM,0.0313490629196167,0.07058915495872498,,0.029687197878956795,0.04387513858576616,0.0313490629196167,0.029687197878956795,human
CYB5R1,0.030907168984413147,0.029761631041765213,0.0316634438931942,,0.03077741463979085,0.030907168984413147,,human
VDAC3,0.030863961204886436,0.017772814258933067,,,0.024318387731909752,0.024318387731909752,,human
SLC30A10,0.030336199328303337,,,,0.030336199328303337,0.030336199328303337,,human
HSPA2,0.030147112905979156,,,0.025576645508408546,0.02786187920719385,0.02786187920719385,0.025576645508408546,human
ALAS1,0.0300910584628582,,,,0.0300910584628582,0.0300910584628582,,human
CRYAB,0.029799068346619606,0.021735498681664467,-0.015503051690757275,,0.012010505112508932,0.021735498681664467,,human
RAB9B,0.028931286185979843,,,,0.028931286185979843,0.028931286185979843,,human
LRRC49,0.028904767706990242,,,,0.028904767706990242,0.028904767706990242,,human
SLC27A6,0.028153007850050926,,,,0.028153007850050926,0.028153007850050926,,human
CEP85L,0.028142618015408516,,,,0.028142618015408516,0.028142618015408516,,human
C14orf159,0.028095003217458725,,,,0.028095003217458725,0.028095003217458725,,human
RNF115,0.028070075437426567,,0.010156010277569294,,0.01911304285749793,0.01911304285749793,,human
