gene_symbol,logfc_dz:827,logfc_dz:753,logfc_dz:635,logfc_dz:828,logfc_dz:829,logfc_dz:830,logfc_dz:634,logfc_dz:467,logfc_dz:318,logfc_dz:712,logfc_dz:713,logfc_dz:714,logfc_dz:715,logfc_dz:565,logfc_dz:567,logfc_dz:568,logfc_dz:729,logfc_dz:566,mean_logfc,median_logfc,common_experiment,organism
SLPI,0.2294272482395172,-0.06438391655683517,0.07380639016628265,0.1088290736079216,0.07563348859548569,-0.03172658011317253,0.34548628330230713,0.1102847158908844,,,,,,,,,,,0.10591958789154887,0.09223128110170364,0.2294272482395172,human
BPIFB1,0.1184774786233902,,0.17083430290222168,0.21597856283187866,0.1297295093536377,0.18202367424964905,0.03952474147081375,0.18314135074615479,,,,,,,,,,,0.14852994573967798,0.17083430290222168,0.1184774786233902,human
AGR2,0.10939721763134003,0.025723587721586227,0.049416959285736084,0.06975440680980682,0.032086361199617386,0.06252790987491608,0.144599050283432,0.059080820530653,0.04456572234630585,,,,,,,,,,0.06635022618704373,0.059080820530653,0.10939721763134003,human
LCE1D,0.09064377099275589,,0.07292041182518005,-0.12206444144248962,0.10253668576478958,0.11166654527187347,0.10899016261100769,-0.014652431942522526,,,,,,,,,,,0.05000581472579922,0.09064377099275589,0.09064377099275589,human
SAP25,0.09016730636358261,,-0.038213130086660385,0.08230551332235336,-0.07165621221065521,,0.07542163878679276,0.06552834063768387,,,,,,,,,,,0.03392557613551617,0.07047498971223831,0.09016730636358261,human
KRT19,0.062341973185539246,-0.02821096032857895,0.07187021523714066,0.04104838892817497,0.1063665822148323,0.24940825998783112,-0.20064868032932281,0.12233195453882217,,,,,,,,,,,0.05306346667930484,0.06710609421133995,0.062341973185539246,human
CDC42EP5,0.05803501233458519,,,0.04017544537782669,-0.023160463199019432,,0.05251132324337959,0.036399055272340775,0.0340626984834671,,,,,,,,,,0.03300384525209665,0.03828725032508373,0.05803501233458519,human
HIST1H4C,0.057720787823200226,,0.027804965153336525,0.039924025535583496,0.014182168990373611,-0.014507305808365345,0.06221742182970047,0.024465762078762054,,-0.0418885201215744,-0.023554731160402298,-0.030223529785871506,-0.01808592677116394,,,,,,0.008914101614870808,0.014182168990373611,0.057720787823200226,human
LCE5A,0.05653303116559982,,-0.00842903833836317,0.042898472398519516,-0.026955774053931236,,0.05162418261170387,0.0409865565598011,,,,,,,,,,,0.02610957172388832,0.04194251447916031,0.05653303116559982,human
RPS14,0.054837461560964584,,,0.04287683218717575,,-0.01836538314819336,0.05351927876472473,0.024817975237965584,,,,,,-0.03421860933303833,-0.02687552571296692,-0.04692469537258148,,,0.00620841677300632,0.003226296044886112,0.054837461560964584,human
FLJ22184,0.05428897216916084,,0.02430843934416771,0.030071038752794266,0.02535354346036911,0.03117392212152481,0.02096393145620823,0.041305702179670334,,,,,,,,,,,0.03249507849769933,0.030071038752794266,0.05428897216916084,human
TFF3,0.05381179228425026,0.09156731516122818,,0.034714002162218094,,0.017664290964603424,0.05551294609904289,0.035607434809207916,0.045720722526311874,,,,,,,,,,0.047799786286694665,0.045720722526311874,0.05381179228425026,human
HCN2,0.05127473175525665,,-0.014884253032505512,,-0.06071421504020691,-0.042115725576877594,0.033560510724782944,,,,,,,,,,,,-0.006575790233910084,-0.014884253032505512,0.05127473175525665,human
