gene_symbol,logfc_dz:930,logfc_dz:931,logfc_dz:796,logfc_dz:795,logfc_dz:632,logfc_dz:671,logfc_dz:466,logfc_dz:724,mean_logfc,median_logfc,common_experiment,organism
NFKBIA,0.3081890344619751,0.16988913714885712,,,,,,,0.2390390858054161,0.2390390858054161,,human
PPBP,0.2671615183353424,0.17198309302330017,0.06929682195186615,0.01384055893868208,-0.059311941266059875,-0.02661767601966858,-0.0332801453769207,,0.057581747083791664,0.01384055893868208,,human
HBA2,0.19667290151119232,-0.027441954240202904,0.18883641064167023,-0.09432467073202133,0.40602341294288635,0.3868904113769531,0.41894081234931946,,0.21079961769282818,0.19667290151119232,,human
NFKBIZ,0.1605370044708252,0.12032517045736313,,,,,,,0.14043108746409416,0.14043108746409416,,human
PF4,0.14425043761730194,0.17755940556526184,0.009255382232367992,-0.03616006299853325,-0.07246420532464981,-0.017139535397291183,-0.048873625695705414,,0.022346827999821732,-0.017139535397291183,,human
FTH1,0.10423317551612854,0.018117045983672142,0.022286247462034225,,0.0068008857779204845,0.027780234813690186,0.02312329225242138,,0.033723480300977826,0.022704769857227802,,human
CCL4,0.1016995757818222,0.0309189073741436,,,,,,,0.0663092415779829,0.0663092415779829,,human
CCL3L3,0.09706048667430878,0.022535189986228943,,,,,,,0.05979783833026886,0.05979783833026886,,human
IL1B,0.09622246026992798,0.021353183314204216,,,,,,,0.0587878217920661,0.0587878217920661,,human
LINC00936,0.08879943192005157,-0.013407702557742596,,,,,,,0.03769586468115449,0.03769586468115449,,human
IER2,0.08493223041296005,,-0.01920110173523426,,-0.04017498716711998,-0.02451201342046261,-0.040654562413692474,,-0.007922086864709854,-0.02451201342046261,,human
FTH1P5,0.07474397867918015,0.036842796951532364,-0.030619816854596138,-0.09084544330835342,0.030200423672795296,0.04831365868449211,0.051384638994932175,,0.017145748117140362,0.036842796951532364,,human
TNFAIP3,0.07473380863666534,0.04467860236763954,,,,,,,0.05970620550215244,0.05970620550215244,,human
NRGN,0.07156006991863251,0.07884812355041504,,-0.023161599412560463,,,,,0.04241553135216236,0.07156006991863251,,human
SRGN,0.06971557438373566,0.05068579688668251,0.2099369615316391,0.18232165277004242,-0.013055283576250076,0.0369596853852272,,,0.08942739789684613,0.060200685635209084,,human
