gene_symbol,logfc_dz:770,logfc_dz:573,logfc_dz:544,logfc_dz:302,logfc_dz:107,logfc_dz:461,logfc_dz:572,logfc_dz:570,logfc_dz:546,logfc_dz:181,mean_logfc,median_logfc,common_experiment,organism
APOD,0.13637608289718628,0.055898718535900116,0.13314609229564667,0.02880163863301277,,,,,,,0.08855563309043646,0.09452240541577339,0.13314609229564667,human
TENM2,0.09736847132444382,,0.12136225402355194,,,,,,,,0.10936536267399788,0.10936536267399788,0.12136225402355194,human
CDR1,0.09293622523546219,,0.06602589040994644,,,,,,,,0.07948105782270432,0.07948105782270432,0.06602589040994644,human
PRR18,0.09069153666496277,,0.05394204705953598,,,,,,,,0.07231679186224937,0.07231679186224937,0.05394204705953598,human
ARNT2,0.08090145140886307,,0.04118743911385536,,0.01440904289484024,-0.01826215162873268,,,,,0.029558945447206497,0.0277982410043478,0.04118743911385536,human
CNDP1,0.07909467816352844,,0.06256662309169769,,,,,,,,0.07083065062761307,0.07083065062761307,0.06256662309169769,human
TUFM,0.07844538986682892,,0.06986673921346664,,0.017573608085513115,,,,,,0.055295245721936226,0.06986673921346664,0.06986673921346664,human
MAL,0.07251686602830887,,0.06460200250148773,0.035255130380392075,0.018704475834965706,-0.019682100042700768,,,,,0.034279274940490725,0.035255130380392075,0.06460200250148773,human
REEP6,0.0669018104672432,,0.06604965031147003,,,,,,,,0.06647573038935661,0.06647573038935661,0.06604965031147003,human
GPR37,0.06523679941892624,,0.052675940096378326,,,,,,,,0.05895636975765228,0.05895636975765228,0.052675940096378326,human
DPM3,0.061513762921094894,,0.02963179349899292,,,,,,,,0.04557277821004391,0.04557277821004391,0.02963179349899292,human
YBX1,0.061459627002477646,,0.07329826056957245,,,,0.013943045400083065,0.022997161373496056,,,0.042924523586407304,0.04222839418798685,0.07329826056957245,human
PLP1,0.057957686483860016,0.06483802199363708,0.05836305394768715,-0.04696376621723175,-0.02322428859770298,-0.132135808467865,,,,,-0.0035275168096025786,0.017366698943078518,0.05836305394768715,human
ZNF791,0.05781618878245354,,0.041988857090473175,,,,,,0.023822864517569542,,0.04120930346349875,0.041988857090473175,0.041988857090473175,human
EEF1A2,0.057254303246736526,,0.03484346345067024,-0.027326855808496475,-0.037770576775074005,-0.023925544694066048,,,,,0.0006149578839540482,-0.023925544694066048,0.03484346345067024,human
TMBIM4,0.056544627994298935,,0.03896047919988632,,,,,-0.0558268204331398,,0.018328512087464333,0.014501699712127447,0.028644495643675327,0.03896047919988632,human
NHP2,0.05328144505620003,,0.03339649736881256,0.014008961617946625,-0.018807196989655495,,,-0.015212436206638813,-0.019567547366023064,-0.02561650052666664,0.003069031850567886,-0.015212436206638813,0.03339649736881256,human
ARMCX6,0.05259520933032036,,0.043953873217105865,,,,,,,,0.04827454127371311,0.04827454127371311,0.043953873217105865,human
DROSHA,0.05245472118258476,,0.038214512169361115,,,,,,,,0.04533461667597294,0.04533461667597294,0.038214512169361115,human
YTHDF1,0.05243270844221115,,0.03616350144147873,,,,,,,,0.04429810494184494,0.04429810494184494,0.03616350144147873,human
ZSCAN16,0.052417900413274765,,0.05303578823804855,,,,,,,,0.05272684432566166,0.05272684432566166,0.05303578823804855,human
CNP,0.050107572227716446,0.029580647125840187,0.03121379390358925,0.044160954654216766,-0.038372986018657684,,,,,,0.023337996378540993,0.03121379390358925,0.03121379390358925,human
SF3A2,0.04983152821660042,,0.03428295999765396,,,-0.015222583897411823,,,,,0.022963968105614185,0.03428295999765396,0.03428295999765396,human
SCO2,0.049589283764362335,,0.01816798746585846,,,,,,,,0.0338786356151104,0.0338786356151104,0.01816798746585846,human
NCOA4,0.048549436032772064,-0.019569771364331245,0.018965324386954308,-0.017921652644872665,,,0.016610924154520035,-0.1248658150434494,,,-0.013038592413067818,-0.0006553642451763153,0.018965324386954308,human
FLJ20021,0.048513077199459076,,0.025483043864369392,,,,,,,,0.036998060531914234,0.036998060531914234,0.025483043864369392,human
C16orf89,0.048227690160274506,,0.0430985726416111,,,,,,,,0.0456631314009428,0.0456631314009428,0.0430985726416111,human
RBBP7,0.04820637404918671,,0.04996087774634361,,,,,,,,0.04908362589776516,0.04908362589776516,0.04996087774634361,human
METTL1,0.04809900373220444,,0.044771648943424225,,,,,,,,0.04643532633781433,0.04643532633781433,0.044771648943424225,human
ENPP2,0.04575657099485397,-0.026270659640431404,0.03213662654161453,,-0.022326644510030746,,,,,,0.007323973346501589,0.004904991015791893,0.03213662654161453,human
RHOG,0.04550142586231232,,0.03231270983815193,,,,0.03252921625971794,-0.03180963173508644,,-0.011229108087718487,0.013460922427475453,0.03231270983815193,0.03231270983815193,human
SLC35E2,0.04419508948922157,,0.02508660964667797,,,,,,,,0.03464084956794977,0.03464084956794977,0.02508660964667797,human
FIP1L1,0.04372260719537735,,0.036929626017808914,,,,,,,,0.04032611660659313,0.04032611660659313,0.036929626017808914,human
