Disease,Known Drugs (DB),Available (CMAP),Hits (CMAP),Recovered (CMAP),Recovery Rate (CMAP),Available (TAHOE),Hits (TAHOE),Recovered (TAHOE),Recovery Rate (TAHOE),Total Candidates,Total Recovered,Overall Recovery Rate
scleroderma,224,4,300,2,50.00%,1,230,1,100.00%,978,3,0.31%
autoimmune thrombocytopenic purpura,605,16,28,2,12.50%,11,379,11,100.00%,474,13,2.74%
psoriasis,150,20,273,15,75.00%,14,332,14,100.00%,574,25,4.36%
psoriatic arthritis,630,9,5,0,0.00%,6,365,6,100.00%,709,6,0.85%
inclusion body myositis,69,1,7,0,0.00%,1,357,1,100.00%,419,1,0.24%
discoid lupus erythematosus,84,1,6,0,0.00%,2,357,2,100.00%,433,2,0.46%
dermatomyositis,29,4,93,0,0.00%,2,370,2,100.00%,463,2,0.43%
Sjogren's syndrome,304,6,701,4,66.67%,4,315,4,100.00%,1086,8,0.74%
inflammatory bowel disease,538,11,109,1,9.09%,7,345,6,85.71%,503,6,1.19%
ankylosing spondylitis,634,12,7,0,0.00%,9,272,7,77.78%,417,7,1.68%
Crohn's disease,1283,27,102,2,7.41%,12,332,9,75.00%,476,11,2.31%
relapsing-remitting multiple sclerosis,816,19,679,6,31.58%,9,248,6,66.67%,1065,12,1.13%
rheumatoid arthritis,2397,45,164,8,17.78%,25,272,16,64.00%,859,22,2.56%
systemic lupus erythematosus,1071,20,268,8,40.00%,15,267,9,60.00%,894,16,1.79%
ulcerative colitis,1192,24,68,3,12.50%,10,207,5,50.00%,619,8,1.29%
multiple sclerosis,1885,43,247,12,27.91%,16,141,7,43.75%,774,18,2.33%
juvenile idiopathic arthritis (sJIA),41,11,72,0,0.00%,8,81,3,37.50%,191,3,1.57%
type 1 diabetes mellitus,1788,31,201,8,25.81%,12,178,2,16.67%,807,10,1.24%
