gene_symbol,logfc_dz:693,logfc_dz:1075,logfc_dz:1074,logfc_dz:1073,logfc_dz:1079,logfc_dz:692,logfc_dz:691,logfc_dz:450,logfc_dz:512,logfc_dz:816,mean_logfc,median_logfc,common_experiment,organism,signature_type
AOC4P,,0.091199055314064,0.0230372305959463,0.2247796654701233,0.1486049741506576,,,,,,0.1219052313826978,0.1199020147323608,0.091199055314064,human,UP
FOLR3,,,,,,,0.116139106452465,,,,0.116139106452465,0.116139106452465,,human,UP
HLA-DRA,,,,,,,0.0494867712259292,,0.150158405303955,,0.0998225882649421,0.0998225882649421,,human,UP
CFL1,0.168417751789093,,-0.0100926747545599,,,0.106238767504692,0.1688480377197265,,0.0529932230710983,,0.09728102106601,0.106238767504692,,human,UP
ISG15,0.1372552812099456,,,,,0.1054057478904724,0.1488071531057357,-0.0386817306280136,0.0781454592943191,0.1179872304201126,0.091486523548762,0.1116964891552925,,human,UP
BCL2A1,,,,,,,,,,0.0912096798419952,0.0912096798419952,0.0912096798419952,,human,UP
FKTN,,0.0220814868807792,0.0830646604299545,0.1366800814867019,0.1189173683524131,,,,,,0.0901858992874622,0.1009910143911838,0.0220814868807792,human,UP
IFI27,0.0141608864068984,,,,,0.0264732614159584,0.0887331366539001,,0.2460662573575973,0.0695445537567138,0.0889956191182136,0.0695445537567138,,human,UP
C1QA,,,,,,,,,0.0881697311997413,,0.0881697311997413,0.0881697311997413,,human,UP
NR4A2,,,,,,,,0.0873452946543693,,,0.0873452946543693,0.0873452946543693,,human,UP
RPLP2,,0.1811699420213699,-0.0274717360734939,0.2527767419815063,-0.0659244805574417,,,,,,0.0851376168429851,0.0768491029739379,0.1811699420213699,human,UP
HLA-C,0.1305612027645111,,,,,,0.1030624210834503,-0.0409236885607242,0.1396746039390564,,0.0830936348065733,0.1168118119239807,,human,UP
FTH1,,,,,,,0.0461146421730518,0.1819844245910644,0.0718545392155647,0.0302082523703575,0.0825404645875096,0.0589845906943082,,human,UP
MMP3,,,,,,,,,0.0805433914065361,,0.0805433914065361,0.0805433914065361,,human,UP
GPX3,,,,,,,,,0.0791132450103759,,0.0791132450103759,0.0791132450103759,,human,UP
HLA-A,0.1102106943726539,-0.027783453464508,,,,0.0629666075110435,0.1279658079147339,0.0791181996464729,0.1105681732296943,,0.0771743382016817,0.0946644470095634,-0.027783453464508,human,UP
MMP1,,,,,,,,,0.0769707038998603,,0.0769707038998603,0.0769707038998603,,human,UP
IFI44L,0.1255055963993072,,,,,0.0913900807499885,0.0612861514091491,0.0104372138157486,0.0768801867961883,0.0881023034453392,0.0756002554359535,0.0824912451207637,,human,UP
IFITM2,0.0805903971195221,,,,,0.059069599956274,0.1075205504894256,,,0.0464908182621002,0.0734178414568305,0.069829998537898,,human,UP
PFKFB3,,,,,,,,0.071022130548954,,,0.071022130548954,0.071022130548954,,human,UP
HLA-DPB1,,,,,,0.0763886347413063,0.0489250980317592,0.0324776917695999,0.1227167174220085,,0.0701270354911685,0.0626568663865327,,human,UP
C1QB,,,,,,,,,0.0695661976933479,,0.0695661976933479,0.0695661976933479,,human,UP
HLA-G,0.1195914819836616,,,,,,0.0875471383333206,-0.0260486453771591,0.0929121896624565,,0.0685005411505699,0.0902296639978885,,human,UP
