drug,source,phase,cmap_score,tahoe_score
VERAPAMIL,BOTH,3.0,-0.215532258296047,-0.398365895997914
BROMOCRIPTINE,CMAP_ONLY,2.0,-0.403370373940977,
CAPTOPRIL,CMAP_ONLY,3.0,-0.291557903619383,
ENALAPRIL,CMAP_ONLY,2.0,-0.220384152551124,
ERGOCALCIFEROL,CMAP_ONLY,3.0,-0.312218906451382,
ESTRADIOL,CMAP_ONLY,1.0,-0.367425726298179,
FLUOXETINE,CMAP_ONLY,0.5,-0.279309642971738,
HYDROCORTISONE,CMAP_ONLY,1.0,-0.209677670289818,
OMEPRAZOLE,CMAP_ONLY,3.0,-0.297857922590725,
PIOGLITAZONE,CMAP_ONLY,1.0,-0.208010429018226,
RAMIPRIL,CMAP_ONLY,3.0,-0.318088981059488,
SIROLIMUS,CMAP_ONLY,3.0,-0.308263909721206,
CANAGLIFLOZIN,TAHOE_ONLY,2.0,,-0.381404872414238
DAPAGLIFLOZIN,TAHOE_ONLY,3.0,,-0.285803466297181
