drug,source,phase,cmap_score,tahoe_score
DEXAMETHASONE,BOTH,4.0,-0.556891209547854,-0.691608577560827
METHOTREXATE,BOTH,4.0,-0.547863591155994,-0.829015881457523
HYDROCORTISONE,CMAP_ONLY,4.0,-0.548262055950833,
DIMETHYL FUMARATE,TAHOE_ONLY,2.0,,-0.719541206860529
FILGOTINIB,TAHOE_ONLY,3.0,,-0.761810358628437
TOFACITINIB,TAHOE_ONLY,3.0,,-0.789106359366478
