drug,source,phase,cmap_score,tahoe_score
DEXAMETHASONE,BOTH,4.0,-0.204590704148048,-0.211096745424825
AZATHIOPRINE,CMAP_ONLY,3.0,-0.121821413678012,
FAMOTIDINE,CMAP_ONLY,1.0,-0.190415366948338,
FULVESTRANT,CMAP_ONLY,2.0,-0.198618024532388,
METHOTREXATE,CMAP_ONLY,3.0,-0.136208965844246,
PIOGLITAZONE,CMAP_ONLY,1.0,-0.132886149119553,
RAMIPRIL,CMAP_ONLY,2.0,-0.146771073302762,
SIMVASTATIN,CMAP_ONLY,1.0,-0.165820227883318,
SIROLIMUS,CMAP_ONLY,2.0,-0.188151257558851,
THALIDOMIDE,CMAP_ONLY,2.0,-0.143045131686076,
CYTARABINE,TAHOE_ONLY,2.0,,-0.286263534178838
DIPHENHYDRAMINE,TAHOE_ONLY,3.0,,-0.216717096450476
FILGOTINIB,TAHOE_ONLY,2.0,,-0.34516978528142
MELOXICAM,TAHOE_ONLY,1.0,,-0.272262650117719
TOFACITINIB,TAHOE_ONLY,1.0,,-0.266846063312119
