"exp_id","cmap_score","p.x","q","subset_comparison_id","analysis_id","name","concentration","duration","cell_line","array_platform","vehicle","vendor","vendor_catalog_id","vendor_catalog_name","drug_concept_id","cas_number","DrugBank.ID","drug_name","r","p.y","num_peers","valid"
5499,-0.245832637221484,0.02512,0.121612698412698,"file16e94a0ad192_logFC_0","CMAP","estradiol",1e-07,6,"MCF7","HT_HG-U133A","DMSO","Sigma-Aldrich","E1024","estradiol, USP","C1330622","NULL","DB00783","estradiol",0.348333112530351,0,36,1
5763,-0.318245625386349,0.00062,0.0097979274611399,"file16e94a0ad192_logFC_0","CMAP","estriol",1.38e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","1096","Estriol [50-27-1]","C0059648","50-27-1","DB04573","estriol",0.231275051425355,2.98406010102988e-158,3,1
3875,-0.191255375888059,0.15998,0.457071629213483,"file16e94a0ad192_logFC_0","CMAP","estrone",1.48e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","914","Estrone [53-16-7]","C0014942","53-16-7","DB00655","estrone",0.396024431152417,0,3,1
4732,-0.200358614291587,0.12454,0.379088822355289,"file16e94a0ad192_logFC_0","CMAP","ethotoin",1.96e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","696","Ethotoin [86-35-1]","C0015046","86-35-1","DB00754","ethotoin",0.514726446326852,0,5,1
5788,-0.286812728368948,0.00385,0.0340856313497823,"file16e94a0ad192_logFC_0","CMAP","etodolac",1.4e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","231","Etodolac [41340-25-4]","C0059865","41340-25-4","DB00749","etodolac",0.317907514542553,9.50895616158981e-305,4,1
2651,-0.309151561173666,0.00108,0.0143217391304348,"file16e94a0ad192_logFC_0","CMAP","etomidate",1.64e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","1041","Etomidate [33125-97-2]","C0015131","33125-97-2","DB00292","etomidate",0.191893041590411,1.2234822167569e-108,2,1
1766,-0.296888323701506,0.00209,0.0225131810193322,"file16e94a0ad192_logFC_0","CMAP","fenoprofen",7.2e-06,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","754","Fenoprofen calcium salt dihydrate [53746-45-5]","C0015837","53746-45-5","DB00573","fenoprofen",0.389828037008193,0,5,1
2568,-0.305926859916973,0.00126,0.0160459290187891,"file16e94a0ad192_logFC_0","CMAP","flecainide",8.4e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","735","Flecainide acetate [54143-56-5]","C0086303","54143-56-5","DB01195","flecainide",0.25377256179397,3.35989632389771e-191,5,1
1764,-0.244003244551845,0.02713,0.127643793369314,"file16e94a0ad192_logFC_0","CMAP","flumetasone",9.8e-06,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","734","Flumethasone [2135-17-3]","NULL","2135-17-3","DB00663","flumetasone",0.335533797313308,0,5,1
2564,-0.271439735276845,0.00823,0.0583755813953488,"file16e94a0ad192_logFC_0","CMAP","fluocinonide",8e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","774","Fluocinonide [356-12-7]","C0016299","356-12-7","DB01047","fluocinonide",0.272204846049876,8.61722357814781e-221,4,1
4093,-0.344937102069472,0.00013,0.00357207207207207,"file16e94a0ad192_logFC_0","CMAP","flupentixol",7.8e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","340","Flupentixol dihydrochloride cis-(Z) [2413-38-9]","C0770891","2413-38-9","DB00875","flupentixol",0.167106669817639,1.75749733024623e-82,3,1
431,-0.333677231364402,0.00027,0.00575874125874126,"file16e94a0ad192_logFC_0","CMAP","fluphenazine",1e-05,6,"MCF7","HT_HG-U133A_EA","DMSO","Sigma-Aldrich","F8548","fluphenazine dihydrochloride","C0700567","NULL","DB00623","fluphenazine",0.549123262715866,0,17,1
2254,-0.225611889021691,0.05535,0.213828372387587,"file16e94a0ad192_logFC_0","CMAP","fluspirilene",8.4e-06,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","906","Fluspirilen [1841-19-6]","C0016383","1841-19-6","DB04842","fluspirilene",0.369423148837083,0,3,1
2084,-0.26497158200498,0.01127,0.0724174553101998,"file16e94a0ad192_logFC_0","CMAP","fluvoxamine",9.2e-06,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","995","Fluvoxamine maleate [61718-82-9]","C0085228","61718-82-9","DB00176","fluvoxamine",0.22682667995332,3.85960551140176e-152,3,1
432,-0.344486654664035,0.00015,0.00384453781512605,"file16e94a0ad192_logFC_0","CMAP","fulvestrant",1e-08,6,"MCF7","HT_HG-U133A_EA","DMSO","Tocris","1047","ICI 182,780","C0935916","NULL","DB00947","fulvestrant",0.331109901193589,0,39,1
2198,-0.261150692468998,0.01325,0.0800851485148515,"file16e94a0ad192_logFC_0","CMAP","ganciclovir",1.56e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","839","Ganciclovir [82410-32-0]","C0017066","82410-32-0","DB01004","ganciclovir",0.16571112993535,4.01928583156762e-81,3,1
423,-0.337271394990978,0.00022,0.00510266159695818,"file16e94a0ad192_logFC_0","CMAP","geldanamycin",1e-06,6,"MCF7","HT_HG-U133A_EA","DMSO","MP Biomedicals","195994","geldanamycin","EXPT01571","NULL","DB02424","geldanamycin",0.52628609561879,0,14,1
5745,-0.326650632756282,0.00043,0.00780654761904762,"file16e94a0ad192_logFC_0","CMAP","glibenclamide",8e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","316","Glibenclamide [10238-21-8]","NULL","10238-21-8","DB01016","glibenclamide",0.289585494621113,6.63893364921249e-251,3,1
3873,-0.251978164781987,0.01965,0.103599827139153,"file16e94a0ad192_logFC_0","CMAP","glipizide",9e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","131","Glipizide [29094-61-9]","C0017642","29094-61-9","DB01067","glipizide",0.26266549770381,3.5195672242361e-205,4,1
456,-0.357847441897596,8e-05,0.00280459770114943,"file16e94a0ad192_logFC_0","CMAP","haloperidol",1e-05,6,"HL60","HT_HG-U133A","DMSO","Sigma-Aldrich","H1512","haloperidol","C0720809","NULL","DB00502","haloperidol",0.322708876980729,1.75678443786948e-314,31,1
4916,-0.273869715545361,0.00739,0.0545169082125604,"file16e94a0ad192_logFC_0","CMAP","hexestrol",1.48e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","699","Hexestrol [84-16-2]","NULL","84-16-2","DB07931","hexestrol",0.313575401108319,4.04866030462733e-296,3,1
4188,-0.236276698102488,0.03636,0.156525052928723,"file16e94a0ad192_logFC_0","CMAP","hexetidine",1.18e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","551","Hexetidine [141-94-6]","C0019468","141-94-6","DB08958","hexetidine",0.193095168214446,5.25975006943776e-110,3,1
3967,-0.260226915831252,0.01379,0.0823082191780822,"file16e94a0ad192_logFC_0","CMAP","hyoscyamine",1.38e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","233","Hyoscyamine (L) [101-31-5]","C0004261","101-31-5","DB00424","hyoscyamine",0.426100356434068,0,4,1
3764,-0.225692203429259,0.05512,0.213074778200254,"file16e94a0ad192_logFC_0","CMAP","idoxuridine",1.12e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","18","Idoxuridine [54-42-2]","C0020811","54-42-2","DB00249","idoxuridine",0.183595063250133,1.87172451105025e-99,4,1
1597,-0.251842376027442,0.01976,0.10387338501292,"file16e94a0ad192_logFC_0","CMAP","ifenprodil",8.4e-06,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","311","Ifenprodil tartrate [23210-58-4]","C0063340","23210-58-4","DB08954","ifenprodil",0.151596598375198,4.80175352592315e-68,3,1
5836,-0.272043649190531,0.00807,0.0577781690140845,"file16e94a0ad192_logFC_0","CMAP","imipenem",1.34e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","519","Imipenem [74431-23-5]","MMS_109","74431-23-5","DB01598","imipenem",0.296349657482415,3.22317373319478e-263,3,1
1043,-0.425389739477659,9.99990000099999e-06,0.000554545454545455,"file16e94a0ad192_logFC_0","CMAP","imipramine",1.26e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","72","Imipramine hydrochloride [113-52-0]","C0020934","113-52-0","DB00458","imipramine",0.186079030275603,3.70104411214804e-102,3,1
5841,-0.302906485594964,0.00149,0.018178,"file16e94a0ad192_logFC_0","CMAP","iobenguane",1.08e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","490","Iobenguane sulfate","MMS_443","NULL","DB06704","iobenguane",0.229379587522051,1.24484704379903e-155,3,1
698,-0.337305382417293,0.00022,0.00510266159695818,"file16e94a0ad192_logFC_0","CMAP","iproniazid",1.44e-05,6,"HL60","HG-U133A","DMSO","Prestwick Chemical","176","Iproniazide phosphate [305-33-9]","C0022059","305-33-9","DB04818","iproniazid",0.222467779865728,2.80665213885108e-146,4,1
1283,-0.312034966435874,0.00087,0.0121164383561644,"file16e94a0ad192_logFC_0","CMAP","isoconazole",9.6e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","127","Isoconazole [27523-40-6]","C0700489","27523-40-6","DB08943","isoconazole",0.235363926088754,5.50378465509802e-164,4,1
