drug,source,phase,cmap_score,tahoe_score
NALTREXONE,CMAP_ONLY,2.0,-0.192040890112033,
ALLOPURINOL,TAHOE_ONLY,3.0,,-0.412293033278712
BUDESONIDE,TAHOE_ONLY,4.0,,-0.390166825235392
DEXAMETHASONE,TAHOE_ONLY,4.0,,-0.387012055827703
FENOFIBRATE,TAHOE_ONLY,2.0,,-0.396334019121489
FILGOTINIB,TAHOE_ONLY,3.0,,-0.423804000421315
METHOTREXATE,TAHOE_ONLY,2.0,,-0.340344200615051
OMEPRAZOLE,TAHOE_ONLY,1.0,,-0.340354042811829
ROSIGLITAZONE,TAHOE_ONLY,2.0,,-0.326925444496054
TOFACITINIB,TAHOE_ONLY,3.0,,-0.412248182215323
