rank,primary_key,drug_name,desc_4,desc_3,desc_2
56,DB01023,felodipine,Beta blocking agents and calcium channel blockers,"BETA BLOCKING AGENTS, OTHER COMBINATIONS",BETA BLOCKING AGENTS
56,DB01023,felodipine,ACE inhibitors and calcium channel blockers,"ACE INHIBITORS, COMBINATIONS",AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM
56,DB01023,felodipine,Dihydropyridine derivatives,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,CALCIUM CHANNEL BLOCKERS
57,DB01581,sulfamerazine,Sulfonamides,CHEMOTHERAPEUTICS FOR TOPICAL USE,ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE
57,DB01581,sulfamerazine,Long-acting sulfonamides,SULFONAMIDES AND TRIMETHOPRIM,ANTIBACTERIALS FOR SYSTEMIC USE
57,DB01581,sulfamerazine,Sulfonamides,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS
58,DB04570,latamoxef,Third-generation cephalosporins,OTHER BETA-LACTAM ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE
59,DB00784,mefenamic acid,Fenamates,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS
60,DB00726,trimipramine,Non-selective monoamine reuptake inhibitors,ANTIDEPRESSANTS,PSYCHOANALEPTICS
61,DB01232,saquinavir,Protease inhibitors,DIRECT ACTING ANTIVIRALS,ANTIVIRALS FOR SYSTEMIC USE
62,DB00502,haloperidol,Butyrophenone derivatives,ANTIPSYCHOTICS,PSYCHOLEPTICS
63,DB00672,chlorpropamide,Sulfonylureas,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",DRUGS USED IN DIABETES
64,DB00598,labetalol,Alpha and beta blocking agents and thiazides,BETA BLOCKING AGENTS AND THIAZIDES,BETA BLOCKING AGENTS
65,DB08954,ifenprodil,Other peripheral vasodilators,PERIPHERAL VASODILATORS,PERIPHERAL VASODILATORS
66,DB00945,acetylsalicylic acid,Platelet aggregation inhibitors excl. heparin,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS
66,DB00945,acetylsalicylic acid,Salicylic acid and derivatives,OTHER ANALGESICS AND ANTIPYRETICS,ANALGESICS
66,DB00945,acetylsalicylic acid,"Beta blocking agents, other combinations","BETA BLOCKING AGENTS, OTHER COMBINATIONS",BETA BLOCKING AGENTS
66,DB00945,acetylsalicylic acid,Antiinflammatory/antirheumatic agents in combination with corticosteroids,ANTIINFLAMMATORY/ANTIRHEUMATIC AGENTS IN COMBINATION,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS
66,DB00945,acetylsalicylic acid,"HMG CoA reductase inhibitors, other combinations","LIPID MODIFYING AGENTS, COMBINATIONS",LIPID MODIFYING AGENTS
66,DB00945,acetylsalicylic acid,Other agents for local oral treatment,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS
67,DB01239,chlorprothixene,Thioxanthene derivatives,ANTIPSYCHOTICS,PSYCHOLEPTICS
68,DB01604,pivampicillin,"Combinations of penicillins, incl. beta-lactamase inhibitors","BETA-LACTAM ANTIBACTERIALS, PENICILLINS",ANTIBACTERIALS FOR SYSTEMIC USE
69,DB00679,thioridazine,Phenothiazines with piperidine structure,ANTIPSYCHOTICS,PSYCHOLEPTICS
70,DB00292,etomidate,Other general anesthetics,"ANESTHETICS, GENERAL",ANESTHETICS
71,DB00684,tobramycin,Other aminoglycosides,AMINOGLYCOSIDE ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE
71,DB00684,tobramycin,Antibiotics,ANTIINFECTIVES,OPHTHALMOLOGICALS
72,DB00489,sotalol,"Beta blocking agents, non-selective",BETA BLOCKING AGENTS,BETA BLOCKING AGENTS
73,DB01041,thalidomide,Other immunosuppressants,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS
74,DB00656,trazodone,Other antidepressants,ANTIDEPRESSANTS,PSYCHOANALEPTICS
75,DB00434,cyproheptadine,Other antihistamines for systemic use,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE
76,DB00692,phentolamine,Antidotes,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS
76,DB00692,phentolamine,Imidazoline derivatives,PERIPHERAL VASODILATORS,PERIPHERAL VASODILATORS
