rank,primary_key,drug_name,desc_4,desc_3,desc_2
126,DB01614,acepromazine,Phenothiazines with aliphatic side-chain,ANTIPSYCHOTICS,PSYCHOLEPTICS
127,DB00778,roxithromycin,Macrolides,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",ANTIBACTERIALS FOR SYSTEMIC USE
128,DB00251,terconazole,Triazole derivatives,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS
129,DB01061,azlocillin,"Combinations of penicillins, incl. beta-lactamase inhibitors","BETA-LACTAM ANTIBACTERIALS, PENICILLINS",ANTIBACTERIALS FOR SYSTEMIC USE
130,DB00991,oxaprozin,Propionic acid derivatives,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS
131,DB00643,mebendazole,Benzimidazole derivatives,ANTINEMATODAL AGENTS,ANTHELMINTICS
132,DB01275,hydralazine,Hydrazinophthalazine derivatives,"ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON",ANTIHYPERTENSIVES
133,DB09018,bromopride,Propulsives,PROPULSIVES,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
134,DB00827,cinoxacin,Other quinolones,QUINOLONE ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE
135,DB06698,betahistine,Antivertigo preparations,ANTIVERTIGO PREPARATIONS,OTHER NERVOUS SYSTEM DRUGS
136,DB00805,minaprine,Other antidepressants,ANTIDEPRESSANTS,PSYCHOANALEPTICS
137,DB09069,trimetazidine,Other cardiac preparations,OTHER CARDIAC PREPARATIONS,CARDIAC THERAPY
138,DB04115,berberine,NA,NA,NA
139,DB00390,digoxin,Digitalis glycosides,CARDIAC GLYCOSIDES,CARDIAC THERAPY
140,DB01090,pentolonium,NA,NA,NA
141,DB00994,neomycin,Antibiotics,ANTIINFECTIVES,OPHTHALMOLOGICALS
141,DB00994,neomycin,Antibiotics,INTESTINAL ANTIINFECTIVES,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS"
141,DB00994,neomycin,Other antibiotics for topical use,ANTIBIOTICS FOR TOPICAL USE,ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE
141,DB00994,neomycin,Antiinfectives,ANTIINFECTIVES,OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS
141,DB00994,neomycin,Other aminoglycosides,AMINOGLYCOSIDE ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE
141,DB00994,neomycin,Antibiotics,THROAT PREPARATIONS,THROAT PREPARATIONS
141,DB00994,neomycin,Antiinfectives,IRRIGATING SOLUTIONS,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS
141,DB00994,neomycin,Antiinfectives and antiseptics for local oral treatment,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS
141,DB00994,neomycin,Antiinfectives,ANTIINFECTIVES,OTOLOGICALS
142,DB00867,ritodrine,"Sympathomimetics, labour repressants",OTHER GYNECOLOGICALS,OTHER GYNECOLOGICALS
143,DB00783,estradiol,"Progestogens and estrogens, fixed combinations",PROGESTOGENS AND ESTROGENS IN COMBINATION,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
143,DB00783,estradiol,Intravaginal contraceptives,CONTRACEPTIVES FOR TOPICAL USE,OTHER GYNECOLOGICALS
144,DB01132,pioglitazone,Combinations of oral blood glucose lowering drugs,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",DRUGS USED IN DIABETES
145,DB00540,nortriptyline,Non-selective monoamine reuptake inhibitors,ANTIDEPRESSANTS,PSYCHOANALEPTICS
146,DB00411,carbachol,Choline esters,PARASYMPATHOMIMETICS,OTHER NERVOUS SYSTEM DRUGS
146,DB00411,carbachol,Parasympathomimetics,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,OPHTHALMOLOGICALS
147,DB00734,risperidone,Other antipsychotics,ANTIPSYCHOTICS,PSYCHOLEPTICS
148,DB01004,ganciclovir,Antivirals,ANTIINFECTIVES,OPHTHALMOLOGICALS
148,DB01004,ganciclovir,Nucleosides and nucleotides excl. reverse transcriptase inhibitors,DIRECT ACTING ANTIVIRALS,ANTIVIRALS FOR SYSTEMIC USE
149,DB01582,sulfadimidine,Short-acting sulfonamides,SULFONAMIDES AND TRIMETHOPRIM,ANTIBACTERIALS FOR SYSTEMIC USE
149,DB01582,sulfadimidine,Sulfonamides,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS
150,DB01180,rescinnamine,Rauwolfia alkaloids and diuretics in combination,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,ANTIHYPERTENSIVES
151,DB00346,alfuzosin,Alpha-adrenoreceptor antagonists,DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY,UROLOGICALS
152,DB00394,beclometasone,Corticosteroids acting locally,INTESTINAL ANTIINFLAMMATORY AGENTS,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS"
152,DB00394,beclometasone,Adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids,"ADRENERGICS, INHALANTS",DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
152,DB00394,beclometasone,Corticosteroids,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,NASAL PREPARATIONS
152,DB00394,beclometasone,"Corticosteroids, potent, combinations with antibiotics","CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS","CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS"
153,DB00500,tolmetin,Acetic acid derivatives and related substances,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS
153,DB00500,tolmetin,"Antiinflammatory preparations, non-steroids for topical use",TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN
154,DB00602,ivermectin,Other dermatologicals,OTHER DERMATOLOGICAL PREPARATIONS,OTHER DERMATOLOGICAL PREPARATIONS
154,DB00602,ivermectin,Avermectines,ANTINEMATODAL AGENTS,ANTHELMINTICS
155,DB00978,lomefloxacin,Fluoroquinolones,ANTIINFECTIVES,OPHTHALMOLOGICALS
155,DB00978,lomefloxacin,Fluoroquinolones,QUINOLONE ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE
156,DB00848,levamisole,Imidazothiazole derivatives,ANTINEMATODAL AGENTS,ANTHELMINTICS
157,DB00527,cinchocaine,Anesthetics for topical use,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.","ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC."
157,DB00527,cinchocaine,Local anesthetics,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,VASOPROTECTIVES
157,DB00527,cinchocaine,Local anesthetics,LOCAL ANESTHETICS,OPHTHALMOLOGICALS
157,DB00527,cinchocaine,Analgesics and anesthetics,OTHER OTOLOGICALS,OTOLOGICALS
157,DB00527,cinchocaine,Amides,"ANESTHETICS, LOCAL",ANESTHETICS
158,DB00176,fluvoxamine,Selective serotonin reuptake inhibitors,ANTIDEPRESSANTS,PSYCHOANALEPTICS
159,DB01124,tolbutamide,Sulfonylureas,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",DRUGS USED IN DIABETES
159,DB01124,tolbutamide,Tests for diabetes,OTHER DIAGNOSTIC AGENTS,DIAGNOSTIC AGENTS
160,DB00256,lymecycline,Tetracyclines,TETRACYCLINES,ANTIBACTERIALS FOR SYSTEMIC USE
161,DB01053,benzylpenicillin,Antibiotics,ANTIINFECTIVES,OPHTHALMOLOGICALS
161,DB01053,benzylpenicillin,"Combinations of penicillins, incl. beta-lactamase inhibitors","BETA-LACTAM ANTIBACTERIALS, PENICILLINS",ANTIBACTERIALS FOR SYSTEMIC USE
162,DB00590,doxazosin,Alpha-adrenoreceptor antagonists,"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",ANTIHYPERTENSIVES
163,DB01231,difenidol,NA,NA,NA
164,DB00624,testosterone,3-oxoandrosten (4) derivatives,ANDROGENS,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
165,DB01118,amiodarone,"Antiarrhythmics, class III","ANTIARRHYTHMICS, CLASS I AND III",CARDIAC THERAPY
166,DB06691,mepyramine,Substituted ethylene diamines,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE
166,DB06691,mepyramine,Antihistamines for topical use,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.","ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC."
167,DB00456,cefalotin,First-generation cephalosporins,OTHER BETA-LACTAM ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE
168,DB06774,capsaicin,Other local anesthetics,"ANESTHETICS, LOCAL",ANESTHETICS
168,DB06774,capsaicin,Capsaicin and similar agents,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN
169,DB00195,betaxolol,"Beta blocking agents, selective",BETA BLOCKING AGENTS,BETA BLOCKING AGENTS
169,DB00195,betaxolol,Beta blocking agents,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,OPHTHALMOLOGICALS
170,DB00997,doxorubicin,Anthracyclines and related substances,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,ANTINEOPLASTIC AGENTS
171,DB00513,aminocaproic acid,Amino acids,ANTIFIBRINOLYTICS,ANTIHEMORRHAGICS
172,DB06439,tyloxapol,Expectorants,"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS",COUGH AND COLD PREPARATIONS
173,DB00882,clomifene,"Ovulation stimulants, synthetic",GONADOTROPINS AND OTHER OVULATION STIMULANTS,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
174,DB01062,oxybutynin,Drugs for urinary frequency and incontinence,UROLOGICALS,UROLOGICALS
175,DB01301,rolitetracycline,Tetracyclines,TETRACYCLINES,ANTIBACTERIALS FOR SYSTEMIC USE
176,DB01001,salbutamol,"Adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics","ADRENERGICS, INHALANTS",DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
177,DB04825,prenylamine,Other vasodilators used in cardiac diseases,VASODILATORS USED IN CARDIAC DISEASES,CARDIAC THERAPY
178,DB00623,fluphenazine,Phenothiazines with piperazine structure,ANTIPSYCHOTICS,PSYCHOLEPTICS
179,DB00316,paracetamol,Anilides,OTHER ANALGESICS AND ANTIPYRETICS,ANALGESICS
180,DB00194,vidarabine,Antivirals,ANTIINFECTIVES,OPHTHALMOLOGICALS
180,DB00194,vidarabine,Nucleosides and nucleotides excl. reverse transcriptase inhibitors,DIRECT ACTING ANTIVIRALS,ANTIVIRALS FOR SYSTEMIC USE
181,DB00671,cefixime,Third-generation cephalosporins,OTHER BETA-LACTAM ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE
182,DB01016,glibenclamide,Sulfonylureas,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",DRUGS USED IN DIABETES
183,DB00338,omeprazole,Proton pump inhibitors,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),DRUGS FOR ACID RELATED DISORDERS
184,DB01054,nitrendipine,Dihydropyridine derivatives,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,CALCIUM CHANNEL BLOCKERS
184,DB01054,nitrendipine,ACE inhibitors and calcium channel blockers,"ACE INHIBITORS, COMBINATIONS",AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM
185,DB00433,prochlorperazine,Phenothiazines with piperazine structure,ANTIPSYCHOTICS,PSYCHOLEPTICS
186,DB08984,etofenamate,"Antiinflammatory preparations, non-steroids for topical use",TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN
187,DB01580,oxprenolol,"Beta blocking agents, non-selective, and thiazides",BETA BLOCKING AGENTS AND THIAZIDES,BETA BLOCKING AGENTS
188,DB00807,proxymetacaine,Local anesthetics,LOCAL ANESTHETICS,OPHTHALMOLOGICALS
189,DB00594,amiloride,Other potassium-sparing agents,POTASSIUM-SPARING AGENTS,DIURETICS
190,DB01645,genistein,NA,NA,NA
191,DB01011,metyrapone,Tests for pituitary function,OTHER DIAGNOSTIC AGENTS,DIAGNOSTIC AGENTS
192,DB00746,deferoxamine,Iron chelating agents,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS
193,DB01115,nifedipine,Dihydropyridine derivatives,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,CALCIUM CHANNEL BLOCKERS
193,DB01115,nifedipine,Beta blocking agents and calcium channel blockers,"BETA BLOCKING AGENTS, OTHER COMBINATIONS",BETA BLOCKING AGENTS
194,DB11562,bicuculline,NA,NA,NA
195,DB00543,amoxapine,Non-selective monoamine reuptake inhibitors,ANTIDEPRESSANTS,PSYCHOANALEPTICS
196,DB00868,benzonatate,Other cough suppressants,"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS",COUGH AND COLD PREPARATIONS
197,DB00514,dextromethorphan,Other nervous system drugs,OTHER NERVOUS SYSTEM DRUGS,OTHER NERVOUS SYSTEM DRUGS
197,DB00514,dextromethorphan,Opium alkaloids and derivatives,"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS",COUGH AND COLD PREPARATIONS
198,DB09134,ioversol,"Watersoluble, nephrotropic, low osmolar X-ray contrast media","X-RAY CONTRAST MEDIA, IODINATED",CONTRAST MEDIA
199,DB01077,etidronic acid,"Bisphosphonates, combinations",DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,DRUGS FOR TREATMENT OF BONE DISEASES
200,DB01394,colchicine,Preparations with no effect on uric acid metabolism,ANTIGOUT PREPARATIONS,ANTIGOUT PREPARATIONS
201,DB09357,dexpanthenol,Other cicatrizants,CICATRIZANTS,PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS
201,DB09357,dexpanthenol,Other plain vitamin preparations,OTHER PLAIN VITAMIN PREPARATIONS,VITAMINS
201,DB09357,dexpanthenol,Other ophthalmologicals,OTHER OPHTHALMOLOGICALS,OPHTHALMOLOGICALS
202,DB00339,pyrazinamide,Other drugs for treatment of tuberculosis,DRUGS FOR TREATMENT OF TUBERCULOSIS,ANTIMYCOBACTERIALS
203,DB04571,trioxysalen,Psoralens for systemic use,ANTIPSORIATICS FOR SYSTEMIC USE,ANTIPSORIATICS
204,DB00358,mefloquine,"Artemisinin and derivatives, combinations",ANTIMALARIALS,ANTIPROTOZOALS
205,DB04626,apramycin,NA,NA,NA
206,DB04821,nomifensine,Other antidepressants,ANTIDEPRESSANTS,PSYCHOANALEPTICS
207,DB00396,progesterone,"Progestogens and estrogens, fixed combinations",PROGESTOGENS AND ESTROGENS IN COMBINATION,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
208,DB01018,guanfacine,Imidazoline receptor agonists,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",ANTIHYPERTENSIVES
209,DB01067,glipizide,Sulfonylureas,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",DRUGS USED IN DIABETES
210,DB00412,rosiglitazone,Combinations of oral blood glucose lowering drugs,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",DRUGS USED IN DIABETES
211,DB00808,indapamide,"ACE inhibitors, other combinations","ACE INHIBITORS, COMBINATIONS",AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM
211,DB00808,indapamide,Sulfonamides,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS
211,DB00808,indapamide,"Sulfonamides, plain","LOW-CEILING DIURETICS, EXCL. THIAZIDES",DIURETICS
211,DB00808,indapamide,"HMG CoA reductase inhibitors, other combinations","LIPID MODIFYING AGENTS, COMBINATIONS",LIPID MODIFYING AGENTS
212,DB00477,chlorpromazine,Phenothiazines with aliphatic side-chain,ANTIPSYCHOTICS,PSYCHOLEPTICS
213,DB00206,reserpine,Rauwolfia alkaloids and diuretics in combination,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,ANTIHYPERTENSIVES
214,DB00344,protriptyline,Non-selective monoamine reuptake inhibitors,ANTIDEPRESSANTS,PSYCHOANALEPTICS
215,DB00140,riboflavin,Other plain vitamin preparations,OTHER PLAIN VITAMIN PREPARATIONS,VITAMINS
215,DB00140,riboflavin,Other ophthalmologicals,OTHER OPHTHALMOLOGICALS,OPHTHALMOLOGICALS
216,DB01182,propafenone,"Antiarrhythmics, class Ic","ANTIARRHYTHMICS, CLASS I AND III",CARDIAC THERAPY
217,DB00925,phenoxybenzamine,Other peripheral vasodilators,PERIPHERAL VASODILATORS,PERIPHERAL VASODILATORS
218,DB00912,repaglinide,Combinations of oral blood glucose lowering drugs,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",DRUGS USED IN DIABETES
219,DB09205,moxisylyte,Other peripheral vasodilators,PERIPHERAL VASODILATORS,PERIPHERAL VASODILATORS
219,DB09205,moxisylyte,Drugs used in erectile dysfunction,UROLOGICALS,UROLOGICALS
220,DB00356,chlorzoxazone,"Oxazol, thiazine, and triazine derivatives","MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",MUSCLE RELAXANTS
221,DB00345,aminohippuric acid,Tests for renal function and ureteral injuries,OTHER DIAGNOSTIC AGENTS,DIAGNOSTIC AGENTS
222,DB00819,acetazolamide,Carbonic anhydrase inhibitors,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,OPHTHALMOLOGICALS
222,DB00819,acetazolamide,Sulfonamides,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS
223,DB01113,papaverine,Drugs used in erectile dysfunction,UROLOGICALS,UROLOGICALS
223,DB01113,papaverine,Papaverine and derivatives,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
224,DB01035,procainamide,"Antiarrhythmics, class Ia","ANTIARRHYTHMICS, CLASS I AND III",CARDIAC THERAPY
225,DB01598,imipenem,Carbapenems,OTHER BETA-LACTAM ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE
226,DB00363,clozapine,"Diazepines, oxazepines, thiazepines and oxepines",ANTIPSYCHOTICS,PSYCHOLEPTICS
227,DB00266,dicoumarol,Vitamin K antagonists,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS
228,DB00715,paroxetine,Selective serotonin reuptake inhibitors,ANTIDEPRESSANTS,PSYCHOANALEPTICS
229,DB00863,ranitidine,H2-receptor antagonists,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),DRUGS FOR ACID RELATED DISORDERS
230,DB00655,estrone,"Estrogens, combinations with other drugs",ESTROGENS,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
231,DB00779,nalidixic acid,Other quinolones,QUINOLONE ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE
232,DB08814,triflusal,Platelet aggregation inhibitors excl. heparin,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS
233,DB00457,prazosin,Alpha-adrenoreceptor antagonists and diuretics,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,ANTIHYPERTENSIVES
234,DB03615,ribostamycin,Other aminoglycosides,AMINOGLYCOSIDE ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE
235,DB01074,perhexiline,Other non-selective calcium channel blockers,NON-SELECTIVE CALCIUM CHANNEL BLOCKERS,CALCIUM CHANNEL BLOCKERS
236,DB01223,aminophylline,Xanthines,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
237,DB01412,theobromine,Xanthines,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
237,DB01412,theobromine,Xanthine derivatives,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",DIURETICS
238,DB00395,carisoprodol,Carbamic acid esters,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",MUSCLE RELAXANTS
239,DB01403,levomepromazine,Phenothiazines with aliphatic side-chain,ANTIPSYCHOTICS,PSYCHOLEPTICS
240,DB01188,ciclopirox,Other antiinfectives and antiseptics,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS
240,DB01188,ciclopirox,Other antifungals for topical use,ANTIFUNGALS FOR TOPICAL USE,ANTIFUNGALS FOR DERMATOLOGICAL USE
241,DB01095,fluvastatin,HMG CoA reductase inhibitors,"LIPID MODIFYING AGENTS, PLAIN",LIPID MODIFYING AGENTS
242,DB00331,metformin,Combinations of oral blood glucose lowering drugs,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",DRUGS USED IN DIABETES
243,DB01106,levocabastine,"Antiallergic agents, excl. corticosteroids",DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,NASAL PREPARATIONS
243,DB01106,levocabastine,Other antiallergics,DECONGESTANTS AND ANTIALLERGICS,OPHTHALMOLOGICALS
244,DB00562,benzthiazide,Sulfonamides,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS
245,DB01222,budesonide,Corticosteroids,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,NASAL PREPARATIONS
245,DB01222,budesonide,"Adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics","ADRENERGICS, INHALANTS",DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
245,DB01222,budesonide,"Corticosteroids, potent (group III)","CORTICOSTEROIDS, PLAIN","CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS"
245,DB01222,budesonide,Corticosteroids acting locally,INTESTINAL ANTIINFLAMMATORY AGENTS,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS"
246,DB04820,nialamide,"Monoamine oxidase inhibitors, non-selective",ANTIDEPRESSANTS,PSYCHOANALEPTICS
247,DB00214,torasemide,"Sulfonamides, plain",HIGH-CEILING DIURETICS,DIURETICS
247,DB00214,torasemide,Sulfonamides,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS
248,DB00424,hyoscyamine,"Belladonna alkaloids, tertiary amines","BELLADONNA AND DERIVATIVES, PLAIN",DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
249,DB00257,clotrimazole,Imidazole derivatives,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS
249,DB00257,clotrimazole,Antiinfectives and antiseptics for local oral treatment,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS
249,DB00257,clotrimazole,Imidazole and triazole derivatives,ANTIFUNGALS FOR TOPICAL USE,ANTIFUNGALS FOR DERMATOLOGICAL USE
250,DB06729,sulfaphenazole,Sulfonamides,ANTIINFECTIVES,OPHTHALMOLOGICALS
250,DB06729,sulfaphenazole,Sulfonamides,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS
250,DB06729,sulfaphenazole,Long-acting sulfonamides,SULFONAMIDES AND TRIMETHOPRIM,ANTIBACTERIALS FOR SYSTEMIC USE
251,DB08991,epirizole,NA,NA,NA
252,DB00165,pyridoxine,Combinations of drugs for treatment of tuberculosis,DRUGS FOR TREATMENT OF TUBERCULOSIS,ANTIMYCOBACTERIALS
252,DB00165,pyridoxine,Other plain vitamin preparations,OTHER PLAIN VITAMIN PREPARATIONS,VITAMINS
253,DB00738,pentamidine,Other agents against leishmaniasis and trypanosomiasis,AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS,ANTIPROTOZOALS
254,DB00722,lisinopril,ACE inhibitors and diuretics,"ACE INHIBITORS, COMBINATIONS",AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM
254,DB00722,lisinopril,"HMG CoA reductase inhibitors, other combinations","LIPID MODIFYING AGENTS, COMBINATIONS",LIPID MODIFYING AGENTS
255,DB00235,milrinone,Phosphodiesterase inhibitors,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,CARDIAC THERAPY
256,DB00263,sulfafurazole,Sulfonamides,ANTIINFECTIVES,OPHTHALMOLOGICALS
256,DB00263,sulfafurazole,Short-acting sulfonamides,SULFONAMIDES AND TRIMETHOPRIM,ANTIBACTERIALS FOR SYSTEMIC USE
256,DB00263,sulfafurazole,Sulfonamides,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS
257,DB08437,puromycin,NA,NA,NA
258,DB01586,ursodeoxycholic acid,Bile acids and derivatives,BILE THERAPY,BILE AND LIVER THERAPY
259,DB00458,imipramine,Non-selective monoamine reuptake inhibitors,ANTIDEPRESSANTS,PSYCHOANALEPTICS
260,DB02010,staurosporine,NA,NA,NA
261,DB02546,vorinostat,Other antineoplastic agents,OTHER ANTINEOPLASTIC AGENTS,ANTINEOPLASTIC AGENTS
262,DB00773,etoposide,Podophyllotoxin derivatives,PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS,ANTINEOPLASTIC AGENTS
263,DB00836,loperamide,Antipropulsives,ANTIPROPULSIVES,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS"
264,DB00914,phenformin,Biguanides,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",DRUGS USED IN DIABETES
265,DB02266,flufenamic acid,Fenamates,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS
266,DB00567,cefalexin,First-generation cephalosporins,OTHER BETA-LACTAM ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE
267,DB00627,nicotinic acid,Nicotinic acid and derivatives,PERIPHERAL VASODILATORS,PERIPHERAL VASODILATORS
267,DB00627,nicotinic acid,Nicotinic acid and derivatives,"LIPID MODIFYING AGENTS, PLAIN",LIPID MODIFYING AGENTS
