interaction,name,selected,shared interaction,shared name,type,,,type,57,13
interacts with,Scopolamine (interacts with) CHRM4,FALSE,interacts with,Scopolamine (interacts with) CHRM4,CHRM4,,,F9,1,
interacts with,Scopolamine (interacts with) CHRM2,FALSE,interacts with,Scopolamine (interacts with) CHRM2,CHRM2,,,F2,1,
interacts with,Medrysone (interacts with) NR3C1,FALSE,interacts with,Medrysone (interacts with) NR3C1,NR3C1,,,CACNA2D2,1,
interacts with,Flumethasone (interacts with) NR3C1,FALSE,interacts with,Flumethasone (interacts with) NR3C1,NR3C1,,,KCNH2,1,
interacts with,Flunisolide (interacts with) NR3C1,FALSE,interacts with,Flunisolide (interacts with) NR3C1,NR3C1,,,PDE1B,1,
interacts with,Levonorgestrel (interacts with) SRD5A1,FALSE,interacts with,Levonorgestrel (interacts with) SRD5A1,SRD5A1,,,PDE1A,1,
interacts with,Levonorgestrel (interacts with) AR,FALSE,interacts with,Levonorgestrel (interacts with) AR,AR,,,KCNQ1,1,
interacts with,Levonorgestrel (interacts with) PGR,FALSE,interacts with,Levonorgestrel (interacts with) PGR,PGR,,,ATP1A1,1,
interacts with,Levonorgestrel (interacts with) SHBG,FALSE,interacts with,Levonorgestrel (interacts with) SHBG,SHBG,,,CACNA1H,1,
interacts with,Levonorgestrel (interacts with) NR3C1,FALSE,interacts with,Levonorgestrel (interacts with) NR3C1,NR3C1,,,CACNA1A,1,
interacts with,Levonorgestrel (interacts with) ESR1,FALSE,interacts with,Levonorgestrel (interacts with) ESR1,ESR1,,,,,
interacts with,Menadione (interacts with) NQO2,FALSE,interacts with,Menadione (interacts with) NQO2,NQO2,,,,,
interacts with,Menadione (interacts with) VKORC1,FALSE,interacts with,Menadione (interacts with) VKORC1,VKORC1,,,,,
interacts with,Menadione (interacts with) VKORC1L1,FALSE,interacts with,Menadione (interacts with) VKORC1L1,VKORC1L1,,,,,
interacts with,Menadione (interacts with) GGCX,FALSE,interacts with,Menadione (interacts with) GGCX,GGCX,,,,,
interacts with,Menadione (interacts with) NQO1,FALSE,interacts with,Menadione (interacts with) NQO1,NQO1,,,,,
interacts with,Menadione (interacts with) PROS1,FALSE,interacts with,Menadione (interacts with) PROS1,PROS1,,,,,
interacts with,Menadione (interacts with) PROC,FALSE,interacts with,Menadione (interacts with) PROC,PROC,,,,,
interacts with,Menadione (interacts with) BGLAP,FALSE,interacts with,Menadione (interacts with) BGLAP,BGLAP,,,,,
interacts with,Menadione (interacts with) F9,FALSE,interacts with,Menadione (interacts with) F9,F9,,,,,
interacts with,Menadione (interacts with) F2,FALSE,interacts with,Menadione (interacts with) F2,F2,,,,,
interacts with,Bepridil (interacts with) CACNA2D2,FALSE,interacts with,Bepridil (interacts with) CACNA2D2,CACNA2D2,,,,,
interacts with,Bepridil (interacts with) KCNH2,FALSE,interacts with,Bepridil (interacts with) KCNH2,KCNH2,,,,,
interacts with,Bepridil (interacts with) PDE1B,FALSE,interacts with,Bepridil (interacts with) PDE1B,PDE1B,,,,,
interacts with,Bepridil (interacts with) TNNC1,FALSE,interacts with,Bepridil (interacts with) TNNC1,TNNC1,,,,,
interacts with,Bepridil (interacts with) PDE1A,FALSE,interacts with,Bepridil (interacts with) PDE1A,PDE1A,,,,,
interacts with,Bepridil (interacts with) KCNQ1,FALSE,interacts with,Bepridil (interacts with) KCNQ1,KCNQ1,,,,,
interacts with,Bepridil (interacts with) CALM1,FALSE,interacts with,Bepridil (interacts with) CALM1,CALM1,,,,,
interacts with,Bepridil (interacts with) ATP1A1,FALSE,interacts with,Bepridil (interacts with) ATP1A1,ATP1A1,,,,,
interacts with,Bepridil (interacts with) CACNA1H,FALSE,interacts with,Bepridil (interacts with) CACNA1H,CACNA1H,,,,,
interacts with,Bepridil (interacts with) CACNA1A,FALSE,interacts with,Bepridil (interacts with) CACNA1A,CACNA1A,,,,,
