"","primary_key","rank","drug_name","cmap_score_unstratified","cmap_score_I-II","cmap_score_III-IV","cmap_score_PE","cmap_score_ESE","cmap_score_MSE","desc_4","desc_3","desc_2","notes","ref"
"247","DB01015",18,"sulfamethoxazole",-0.586009288885841,-0.557089387018181,-0.62763640454884,-0.545874400871036,-0.638159493475022,-0.567661733362061,"Combinations of sulfonamides and trimethoprim, incl. derivatives","SULFONAMIDES AND TRIMETHOPRIM","ANTIBACTERIALS FOR SYSTEMIC USE","",""
"299","DB01153",19,"sertaconazole",-0.584254834850642,-0.527330877370124,-0.627179290877516,-0.511475894149597,-0.59830259559459,-0.570710656513554,"Imidazole and triazole derivatives","ANTIFUNGALS FOR TOPICAL USE","ANTIFUNGALS FOR DERMATOLOGICAL USE","",""
"300","DB01153",19,"sertaconazole",-0.584254834850642,-0.527330877370124,-0.627179290877516,-0.511475894149597,-0.59830259559459,-0.570710656513554,"Imidazole derivatives","ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS","GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS","",""
"355","DB04711",20,"adipiodone",-0.583765659794744,-0.582394112327349,-0.568438241562637,-0.563081164280092,-0.488555002603044,-0.498321064284217,"Watersoluble, hepatotropic X-ray contrast media","X-RAY CONTRAST MEDIA, IODINATED","CONTRAST MEDIA","",""
"354","DB04690",21,"camptothecin",-0.580599622482906,-0.557198565627257,-0.56395565934949,-0.542873947458621,-0.694056870522272,-0.554515233300913,NA,NA,NA,"",""
"389","DB08943",22,"isoconazole",-0.579699060682616,-0.558523833827483,-0.627449295381828,-0.585834665691549,-0.620963684699081,-0.475806175349791,"Imidazole derivatives","ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS","GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS","",""
"390","DB08943",22,"isoconazole",-0.579699060682616,-0.558523833827483,-0.627449295381828,-0.585834665691549,-0.620963684699081,-0.475806175349791,"Imidazole and triazole derivatives","ANTIFUNGALS FOR TOPICAL USE","ANTIFUNGALS FOR DERMATOLOGICAL USE","",""
"132","DB00641",23,"simvastatin",-0.576814289618731,-0.574068894860852,-0.574089765476687,-0.554942757222938,-0.499545310551709,-0.515435380959087,"HMG CoA reductase inhibitors","LIPID MODIFYING AGENTS, PLAIN","LIPID MODIFYING AGENTS","",""
"133","DB00641",23,"simvastatin",-0.576814289618731,-0.574068894860852,-0.574089765476687,-0.554942757222938,-0.499545310551709,-0.515435380959087,"Dipeptidyl peptidase 4 (DPP-4) inhibitors","BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","DRUGS USED IN DIABETES","",""
"393","DB08981",24,"fenbufen",-0.571290840488763,-0.562509124014194,-0.611771895590121,-0.549150943110789,-0.570305014767808,-0.540447745816383,"Propionic acid derivatives","ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS","ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS","fenbufen is an NSAID, a class of drugs commonly used to treat endometriosis. there is some patient data showing that it has been applied to endometriosis but no clinical trials (yet)",""
"60","DB00359",25,"sulfadiazine",-0.568918681909138,-0.560105870578864,-0.581766440865823,-0.570194638841235,-0.575973974151563,-0.532911893944237,"Sulfonamides","ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS","GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS","",""
"61","DB00359",25,"sulfadiazine",-0.568918681909138,-0.560105870578864,-0.581766440865823,-0.570194638841235,-0.575973974151563,-0.532911893944237,"Combinations of sulfonamides and trimethoprim, incl. derivatives","SULFONAMIDES AND TRIMETHOPRIM","ANTIBACTERIALS FOR SYSTEMIC USE","",""
"382","DB06816",26,"pyrvinium",-0.568576546777891,-0.494152725307383,-0.573255237184123,-0.471632332238487,-0.478740873018094,-0.459117264907641,"Other antinematodals","ANTINEMATODAL AGENTS","ANTHELMINTICS","",""
"385","DB08313",27,"nocodazole",-0.565598693197425,-0.573244741277038,-0.593134494733779,-0.54757966810557,-0.600607836289694,-0.546963477003847,NA,NA,NA,"",""
"376","DB06743",28,"ginkgolide A",-0.564382940754697,-0.622749252668367,-0.575730546069789,-0.5927704924906,-0.538260012461885,-0.569297290591955,NA,NA,NA,"",""
"274","DB01092",29,"ouabain",-0.563315887674978,-0.433747276643782,-0.513740048344265,-0.450059907493494,-0.565117765679519,-0.460685491606631,"Strophanthus glycosides","CARDIAC GLYCOSIDES","CARDIAC THERAPY","",""
"168","DB00755",30,"tretinoin",-0.552413446090288,-0.461270479489625,-0.534605574824914,-0.487943292759622,-0.480957013097611,-0.510128113472258,"Other antineoplastic agents","OTHER ANTINEOPLASTIC AGENTS","ANTINEOPLASTIC AGENTS","",""
"169","DB00755",30,"tretinoin",-0.552413446090288,-0.461270479489625,-0.534605574824914,-0.487943292759622,-0.480957013097611,-0.510128113472258,"Retinoids for topical use in acne","ANTI-ACNE PREPARATIONS FOR TOPICAL USE","ANTI-ACNE PREPARATIONS","",""
"151","DB00714",31,"apomorphine",-0.540364315492284,-0.509650346971842,-0.533215954269128,-0.490840334427315,-0.469250275914069,-0.506485804343623,"Drugs used in erectile dysfunction","UROLOGICALS","UROLOGICALS","",""
"152","DB00714",31,"apomorphine",-0.540364315492284,-0.509650346971842,-0.533215954269128,-0.490840334427315,-0.469250275914069,-0.506485804343623,"Dopamine agonists","DOPAMINERGIC AGENTS","ANTI-PARKINSON DRUGS","",""
"73","DB00409",32,"remoxipride",-0.535150189093856,-0.573498614393807,-0.600668557486119,-0.525167630762368,-0.528754631043071,-0.508933841309617,"Benzamides","ANTIPSYCHOTICS","PSYCHOLEPTICS","",""
"35","DB00313",33,"valproic acid",-0.534585483931231,-0.545953347623024,-0.549184970669989,-0.49997449825313,-0.531708336186132,-0.495421477168295,"Fatty acid derivatives","ANTIEPILEPTICS","ANTIEPILEPTICS","",""
"411","DB11582",34,"thiocolchicoside",-0.532687616785113,-0.476585873237688,-0.556204749570314,-0.446970846316532,-0.58971272928068,-0.563427584805702,"Other centrally acting agents","MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS","MUSCLE RELAXANTS","",""
"275","DB01094",35,"hesperetin",-0.532406880873129,-0.505527129729756,-0.498043131378601,-0.524827031160109,-0.512783587917799,-0.542639357100698,NA,NA,NA,"",""
"125","DB00618",36,"demeclocycline",-0.531638321406591,-0.540230227727015,-0.58918900770463,-0.53847586864785,-0.607947495013164,-0.589973041874591,"Tetracycline and derivatives","ANTIBIOTICS FOR TOPICAL USE","ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE","",""
"126","DB00618",36,"demeclocycline",-0.531638321406591,-0.540230227727015,-0.58918900770463,-0.53847586864785,-0.607947495013164,-0.589973041874591,"Tetracyclines","TETRACYCLINES","ANTIBACTERIALS FOR SYSTEMIC USE","",""
"225","DB00968",37,"methyldopa",-0.527374266237416,-0.502072580530059,-0.528539976857443,-0.494232174819229,-0.538178914036099,-0.534174446819941,NA,NA,NA,"",""
"319","DB01242",38,"clomipramine",-0.525106327229748,-0.459771450910006,-0.536134508903985,-0.430585433661528,-0.49811937774398,-0.485389734864586,"Non-selective monoamine reuptake inhibitors","ANTIDEPRESSANTS","PSYCHOANALEPTICS","",""
"282","DB01110",39,"miconazole",-0.52318045492288,-0.442422740151996,-0.540431573899373,-0.431446225676628,-0.587155365780455,-0.488781568076294,"Antiinfectives and antiseptics for local oral treatment","STOMATOLOGICAL PREPARATIONS","STOMATOLOGICAL PREPARATIONS","",""
"283","DB01110",39,"miconazole",-0.52318045492288,-0.442422740151996,-0.540431573899373,-0.431446225676628,-0.587155365780455,-0.488781568076294,"Imidazole derivatives","ANTIMYCOTICS FOR SYSTEMIC USE","ANTIMYCOTICS FOR SYSTEMIC USE","",""
"284","DB01110",39,"miconazole",-0.52318045492288,-0.442422740151996,-0.540431573899373,-0.431446225676628,-0.587155365780455,-0.488781568076294,"Antiinfectives","ANTIINFECTIVES","OTOLOGICALS","",""
"285","DB01110",39,"miconazole",-0.52318045492288,-0.442422740151996,-0.540431573899373,-0.431446225676628,-0.587155365780455,-0.488781568076294,"Imidazole derivatives","ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS","GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS","",""
"286","DB01110",39,"miconazole",-0.52318045492288,-0.442422740151996,-0.540431573899373,-0.431446225676628,-0.587155365780455,-0.488781568076294,"Imidazole and triazole derivatives","ANTIFUNGALS FOR TOPICAL USE","ANTIFUNGALS FOR DERMATOLOGICAL USE","",""
"287","DB01110",39,"miconazole",-0.52318045492288,-0.442422740151996,-0.540431573899373,-0.431446225676628,-0.587155365780455,-0.488781568076294,"Imidazole derivatives","INTESTINAL ANTIINFECTIVES","ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS","",""
"347","DB02709",40,"resveratrol",-0.522323517533044,-0.510905589985106,-0.541056711929736,-0.48378780471886,-0.540326299874994,-0.452062815483355,NA,NA,NA,"",""
"20","DB00244",41,"mesalazine",-0.520044954698359,-0.495632267971048,-0.458519658604711,-0.507550786296658,NA,-0.467986952788411,"Aminosalicylic acid and similar agents","INTESTINAL ANTIINFLAMMATORY AGENTS","ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS","",""
"6","DB00170",42,"menadione",-0.518635253259034,-0.566728093628871,-0.532224221916963,-0.539545969492131,-0.650567014356431,-0.485582212953132,"Vitamin K","VITAMIN K AND OTHER HEMOSTATICS","ANTIHEMORRHAGICS","",""
"147","DB00694",43,"daunorubicin",-0.515397962743453,-0.516055699841604,-0.548752796711051,-0.505761341685804,-0.58349624787009,-0.46794454451194,"Anthracyclines and related substances","CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES","ANTINEOPLASTIC AGENTS","has been used to alleviate dysmenorrhea in endometriosis patients","http://www.repdevmed.org/article.asp?issn=2096-2924;year=2018;volume=2;issue=2;spage=74;epage=80;aulast=Yang"
"167","DB00754",44,"ethotoin",-0.513538519293759,-0.489905393304325,-0.554062744064558,-0.483387124729909,-0.472054846075906,-0.497944172416601,"Hydantoin derivatives","ANTIEPILEPTICS","ANTIEPILEPTICS","",""
"364","DB04828",45,"zomepirac",-0.509235407446519,-0.450691604601208,-0.569423653194888,-0.45510276987872,-0.619597068571805,-0.552955541551977,"Acetic acid derivatives and related substances","ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS","ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS","",""
"46","DB00332",46,"ipratropium bromide",-0.508835209080337,-0.60327165554787,-0.508870857848082,-0.585206090854512,-0.465251908217251,-0.513178217675698,"Anticholinergics","OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS","DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES","",""
"47","DB00332",46,"ipratropium bromide",-0.508835209080337,-0.60327165554787,-0.508870857848082,-0.585206090854512,-0.465251908217251,-0.513178217675698,"Other nasal preparations","DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE","NASAL PREPARATIONS","",""
"212","DB00896",47,"rimexolone",-0.50696103597676,-0.454153194353455,-0.537276051733539,-0.469611751032064,-0.552825074427542,-0.467318911866834,"Glucocorticoids","CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN","CORTICOSTEROIDS FOR SYSTEMIC USE","",""
"213","DB00896",47,"rimexolone",-0.50696103597676,-0.454153194353455,-0.537276051733539,-0.469611751032064,-0.552825074427542,-0.467318911866834,"Corticosteroids, plain","ANTIINFLAMMATORY AGENTS","OPHTHALMOLOGICALS","",""
"141","DB00674",48,"galantamine",-0.506331527180095,-0.530040204672123,-0.555710587461312,-0.527411568370399,-0.516327804430213,-0.557587196144527,"Anticholinesterases","ANTI-DEMENTIA DRUGS","PSYCHOANALEPTICS","",""
"52","DB00342",49,"terfenadine",-0.504557724435788,-0.424544144883613,-0.45903475391724,-0.425637770594065,-0.524830902605384,-0.378463134007558,"Other antihistamines for systemic use","ANTIHISTAMINES FOR SYSTEMIC USE","ANTIHISTAMINES FOR SYSTEMIC USE","",""
"148","DB00703",50,"methazolamide",-0.502193503788104,-0.508816427552544,-0.5346020279372,-0.502540881677513,-0.488791623408192,-0.401104033340686,"Sulfonamides","ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS","GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS","",""
"149","DB00703",50,"methazolamide",-0.502193503788104,-0.508816427552544,-0.5346020279372,-0.502540881677513,-0.488791623408192,-0.401104033340686,"Carbonic anhydrase inhibitors","ANTIGLAUCOMA PREPARATIONS AND MIOTICS","OPHTHALMOLOGICALS","",""
