"","exp_id","cmap_score","p","q","subset_comparison_id","analysis_id","name","concentration","duration","cell_line","array_platform","vehicle","vendor","vendor_catalog_id","vendor_catalog_name","drug_concept_id","cas_number","DrugBank.ID","valid"
"116",5905,-0.464610046472986,0,0,"ESE_endo","cmap","griseofulvin",1.12e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","226","Griseofulvin [126-07-8]","C0720718","126-07-8","DB00400",1
"117",2886,-0.464549832686053,0,0,"ESE_endo","cmap","tolbutamide",1.48e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","190","Tolbutamide [64-77-7]","C0040374","64-77-7","DB01124",1
"118",1918,-0.464115597265505,0,0,"ESE_endo","cmap","papaverine",1.06e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","583","Papaverine hydrochloride [61-25-6]","C0700461","61-25-6","DB01113",1
"119",411,-0.464050359682284,0,0,"ESE_endo","cmap","prochlorperazine",1e-05,6,"MCF7","HT_HG-U133A_EA","DMSO","Sigma-Aldrich","P9178","prochlorperazine dimaleate salt","C0770888","NULL","DB00433",1
"120",4573,-0.463602560011759,0,0,"ESE_endo","cmap","diclofenac",1.26e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","594","Diclofenac sodium [15307-79-6]","C0700583","15307-79-6","DB00586",1
"121",3914,-0.463361166600137,0,0,"ESE_endo","cmap","pivampicillin",8.6e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","1009","Pivampicillin [33817-20-8]","C0085884","33817-20-8","DB01604",1
"122",2136,-0.46289603483242,0,0,"ESE_endo","cmap","iopanoic acid",7e-06,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","1052","Iopanoic acid [96-83-3]","C0022028","96-83-3","DB08946",1
"123",4103,-0.459168342102729,0,0,"ESE_endo","cmap","promethazine",1.24e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","888","Promethazine hydrochloride [58-33-3]","C0772132","58-33-3","DB01069",1
"124",2762,-0.458682792191528,0,0,"ESE_endo","cmap","mebendazole",1.36e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","217","Mebendazole [31431-39-7]","C0025023","31431-39-7","DB00643",1
"125",4247,-0.457553586323102,0,0,"ESE_endo","cmap","trimetazidine",1.18e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","549","Trimetazidine dihydrochloride [13171-25-0]","C0041037","13171-25-0","DB09069",1
"126",60,-0.4561997449921,0,0,"ESE_endo","cmap","staurosporine",1e-06,6,"MCF7","HG-U133A","DMSO","Calbiochem","569397","staurosporine","EXPT02970","NULL","DB02010",1
"127",515,-0.456132497890364,0,0,"ESE_endo","cmap","vorinostat",1e-05,6,"PC3","HT_HG-U133A","DMSO","BioVision","1604-1","SAHA","MMS_422","NULL","DB02546",1
"128",911,-0.454920255846156,0,0,"ESE_endo","cmap","procaine",1.46e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","41","Procaine hydrochloride [51-05-8]","C0033218","51-05-8","DB00721",1
"129",4819,-0.454320845180522,0,0,"ESE_endo","cmap","benzylpenicillin",1.12e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","1078","Benzylpenicillin sodium [69-57-8]","NULL","69-57-8","DB01053",1
"130",5760,-0.450550629603681,0,0,"ESE_endo","cmap","nomifensine",1.12e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","108","Nomifensine maleate [32795-47-4]","C0028277","32795-47-4","DB04821",1
"131",4206,-0.450247874108832,0,0,"ESE_endo","cmap","protriptyline",1.34e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","930","Protriptyline hydrochloride [1225-55-4]","C0700557","1225-55-4","DB00344",1
"132",4414,-0.449656250327444,0,0,"ESE_endo","cmap","ritodrine",1.24e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","349","Ritodrine hydrochloride [23239-51-2]","C0035661","23239-51-2","DB00867",1
"133",4716,-0.449559793438721,0,0,"ESE_endo","cmap","sulfamerazine",1.52e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","694","Sulfamerazine [127-79-7]","C0038684","127-79-7","DB01581",1
"134",5835,-0.449181214504188,0,0,"ESE_endo","cmap","tranylcypromine",2.36e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","173","Tranylcypromine hydrochloride [1986-47-6]","C0040778","1986-47-6","DB00752",1
"135",5766,-0.448418996954575,0,0,"ESE_endo","cmap","mepyramine",1e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","289","Pyrilamine maleate [59-33-6]","NULL","59-33-6","DB06691",1
"136",1533,-0.448189014737378,0,0,"ESE_endo","cmap","salbutamol",1.68e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","198","Salbutamol [18559-94-9]","NULL","18559-94-9","DB01001",1
"137",3236,-0.448001985978441,0,0,"ESE_endo","cmap","minaprine",1.08e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","66","Minaprine dihydrochloride [25953-17-7]","C0771667","25953-17-7","DB00805",1
"138",3758,-0.447755963497383,0,0,"ESE_endo","cmap","roxithromycin",4.8e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","854","Roxithromycin [80214-83-1]","C0035891","80214-83-1","DB00778",1
"139",2846,-0.447325244734236,0,0,"ESE_endo","cmap","deferoxamine",6e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","725","Deferoxamine mesylate [138-14-7]","C0011145","138-14-7","DB00746",1
"140",2196,-0.447125333526247,0,0,"ESE_endo","cmap","latamoxef",7e-06,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","819","Moxalactam disodium salt [64953-12-4]","NULL","64953-12-4","DB04570",1
"141",4269,-0.446609066689173,0,0,"ESE_endo","cmap","perhexiline",1.02e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","286","Perhexiline maleate [6724-53-4]","C0070413","6724-53-4","DB01074",1
"142",3876,-0.44612229671316,0,0,"ESE_endo","cmap","clomifene",6.6e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","397","Clomiphene citrate (Z,E) [50-41-9]","APRD00880","50-41-9","DB00882",1
"143",4985,-0.443936012337295,0,0,"ESE_endo","cmap","ranitidine",1.14e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","201","Ranitidine hydrochloride [66357-59-3]","C0139919","66357-59-3","DB00863",1
"144",5997,-0.443368718083643,0,0,"ESE_endo","cmap","chlorzoxazone",2.36e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","163","Chlorzoxazone [95-25-0]","C0008296","95-25-0","DB00356",1
"145",4030,-0.441000679934943,0,0,"ESE_endo","cmap","alfuzosin",9.4e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","322","Alfuzosin hydrochloride [81403-68-1]","C0051150","81403-68-1","DB00346",1
"146",3882,-0.4401915257743,0,0,"ESE_endo","cmap","methotrexate",8.8e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","373","Amethopterin (R,S) [59-05-2]","C0025677","59-05-2","DB00563",1
"147",1795,-0.439505741696777,0,0,"ESE_endo","cmap","amoxicillin",1.1e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","357","Amoxicillin [26787-78-0]","MMS_106","26787-78-0","DB01060",1
"148",5695,-0.438571028513202,0,0,"ESE_endo","cmap","naproxen",1.58e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","791","(R) -Naproxen sodium salt [26159-34-2]","C0546873","26159-34-2","DB00788",1
"149",3287,-0.437971869037382,0,0,"ESE_endo","cmap","hydralazine",2.04e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","169","Hydralazine hydrochloride [304-20-1]","C0020223","304-20-1","DB01275",1
"150",3641,-0.436499322576955,0,0,"ESE_endo","cmap","amiodarone",5.8e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","409","Amiodarone hydrochloride [19774-82-4]","C0700442","19774-82-4","DB01118",1
"151",5947,-0.436292378054163,0,0,"ESE_endo","cmap","difenidol",1.16e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","252","Diphenidol hydrochloride [3254-89-5]","NULL","3254-89-5","DB01231",1
