Metric,N,Mean,SD,Median,Q1,Q3,Min,Max,IQR,P5,P95,Skewness,Kurtosis
CMAP Precision (%),101,5.498883518865984,6.51800268466816,4.166666666666666,0.0,8.064516129032258,0.0,42.857142857142854,8.064516129032258,0.0,16.39344262295082,2.5109290416080468,10.289584116305408
CMAP Recall (%),78,60.69161202170493,36.93126955626791,61.32478632478633,26.25,100.0,0.0,100.0,73.75,0.0,100.0,-0.2346063805307674,-1.4870544605667197
TAHOE Precision (%),112,9.934563463850079,13.713268222734033,4.884143571104044,1.6003024193548385,13.010752688172042,0.0,65.07936507936508,11.410450268817204,0.0,41.47619047619027,2.2410086308633943,5.1596659187267875
TAHOE Recall (%),95,57.999553664101924,31.476621997788076,59.09090909090909,30.0,88.69047619047618,0.0,100.0,58.690476190476176,0.0,100.0,-0.11438639216612152,-1.10206081230908
