Platform,Disease,U_count,P_count,I_count
CMAP,Urinary System|Musculoskeletal|Nervous System|Immune System,0,0,15
CMAP,Visual System,8,7,80
TAHOE,Cancer/Tumor,47,46,121
TAHOE,Cancer/Tumor|Endocrine System,34,34,60
TAHOE,Cancer/Tumor|Endocrine System|Gastrointestinal,2,2,16
TAHOE,Cancer/Tumor|Endocrine System|Reproductive/Breast,101,97,109
TAHOE,Cancer/Tumor|Gastrointestinal,101,99,140
TAHOE,Cancer/Tumor|Gastrointestinal|Infectious Disease|Respiratory,14,14,60
TAHOE,Cancer/Tumor|Nervous System,35,34,77
TAHOE,Cancer/Tumor|Reproductive/Breast,55,54,63
TAHOE,Cancer/Tumor|Reproductive/Breast|Skin/Integumentary,23,23,75
TAHOE,Cancer/Tumor|Respiratory,59,58,140
TAHOE,Cancer/Tumor|Skin/Integumentary,39,39,61
TAHOE,Cardiovascular,33,33,132
TAHOE,Cardiovascular|Genetic/Congenital|Musculoskeletal|Nervous System,0,0,63
TAHOE,Cardiovascular|Musculoskeletal,1,1,46
TAHOE,Cardiovascular|Musculoskeletal|Pregnancy/Perinatal,2,2,64
TAHOE,Endocrine System|Cancer/Tumor,25,24,56
TAHOE,Endocrine System|Cancer/Tumor|Gastrointestinal,21,21,63
TAHOE,Endocrine System|Gastrointestinal|Cancer/Tumor|Pancreas,25,25,41
TAHOE,Endocrine System|Genetic/Congenital|Nervous System|Metabolic|Psychiatric,0,0,62
TAHOE,Endocrine System|Genetic/Congenital|Reproductive/Breast,1,1,16
TAHOE,Gastrointestinal,2,2,58
TAHOE,Gastrointestinal|Cancer/Tumor,41,41,94
TAHOE,Gastrointestinal|Endocrine System,7,7,62
TAHOE,Gastrointestinal|Genetic/Congenital,0,0,58
TAHOE,Gastrointestinal|Genetic/Congenital|Immune System,11,11,81
TAHOE,Gastrointestinal|Immune System|Genetic/Congenital,0,0,62
TAHOE,Gastrointestinal|Respiratory|Cancer/Tumor,16,16,65
TAHOE,Genetic/Congenital,0,0,105
TAHOE,Genetic/Congenital|Cancer/Tumor|Gastrointestinal,0,0,4
TAHOE,Genetic/Congenital|Cancer/Tumor|Hematologic|Immune System,13,13,49
TAHOE,Genetic/Congenital|Endocrine System|Respiratory|Cancer/Tumor,10,10,65
TAHOE,Genetic/Congenital|Hematologic,1,1,56
TAHOE,Genetic/Congenital|Hematologic|Cancer/Tumor|Immune System|Musculoskeletal,0,0,26
TAHOE,Genetic/Congenital|Hematologic|Immune System,11,11,62
TAHOE,Genetic/Congenital|Immune System|Gastrointestinal,15,15,64
TAHOE,Genetic/Congenital|Immune System|Hematologic|Metabolic|Cancer/Tumor,5,4,62
TAHOE,Genetic/Congenital|Metabolic,7,7,57
TAHOE,Genetic/Congenital|Musculoskeletal,1,1,42
TAHOE,Genetic/Congenital|Musculoskeletal|Reproductive/Breast|Cancer/Tumor,0,0,65
TAHOE,Genetic/Congenital|Nervous System,8,8,60
TAHOE,Genetic/Congenital|Nervous System|Musculoskeletal,5,5,58
TAHOE,Genetic/Congenital|Respiratory,5,5,60
TAHOE,Genetic/Congenital|Skin/Integumentary,7,7,94
TAHOE,Hematologic,19,18,81
TAHOE,Hematologic|Cancer/Tumor|Genetic/Congenital,27,26,61
TAHOE,Hematologic|Cancer/Tumor|Immune System|Genetic/Congenital,15,14,64
TAHOE,Hematologic|Genetic/Congenital,5,5,66
TAHOE,Hematologic|Musculoskeletal|Immune System|Cancer/Tumor|Genetic/Congenital,39,36,62
TAHOE,Immune System|Genetic/Congenital|Skin/Integumentary,14,14,60
TAHOE,Immune System|Hematologic|Cancer/Tumor|Genetic/Congenital,2,2,62
TAHOE,Immune System|Hematologic|Genetic/Congenital,4,4,65
TAHOE,Immune System|Hematologic|Genetic/Congenital|Cancer/Tumor,26,25,63
TAHOE,Immune System|Musculoskeletal,21,21,132
TAHOE,Immune System|Skin/Integumentary,2,2,63
TAHOE,Immune System|Visual System|Gastrointestinal,4,4,66
TAHOE,Infectious Disease,10,10,142
TAHOE,Infectious Disease|Endocrine System|Gastrointestinal,0,0,29
TAHOE,Infectious Disease|Reproductive/Breast,6,5,57
TAHOE,Infectious Disease|Respiratory,12,12,92
TAHOE,Metabolic,7,7,71
TAHOE,Metabolic|Endocrine System|Pancreas,29,28,62
TAHOE,Metabolic|Psychiatric|Nervous System|Genetic/Congenital,3,3,62
TAHOE,Metabolic|Urinary System,9,9,64
TAHOE,Musculoskeletal,13,13,123
TAHOE,Musculoskeletal|Cardiovascular,4,4,63
TAHOE,Musculoskeletal|Genetic/Congenital,1,1,68
TAHOE,Musculoskeletal|Hematologic|Cancer/Tumor|Immune System,18,18,59
TAHOE,Musculoskeletal|Immune System,9,9,61
