Disease,I,S,P,Precision_%,Recall_%,Platform
Cancer/Tumor,61,10,43,16.39344262295082,23.25581395348837,CMAP
Cancer/Tumor|Endocrine System,6,0,0,0.0,,CMAP
Cancer/Tumor|Endocrine System|Gastrointestinal,36,1,1,2.7777777777777777,100.0,CMAP
Cancer/Tumor|Endocrine System|Reproductive/Breast,50,9,29,18.0,31.03448275862069,CMAP
Cancer/Tumor|Gastrointestinal,160,22,36,13.750000000000002,61.111111111111114,CMAP
Cancer/Tumor|Gastrointestinal|Infectious Disease|Respiratory,43,0,9,0.0,0.0,CMAP
Cancer/Tumor|Nervous System,56,4,4,7.142857142857142,100.0,CMAP
Cancer/Tumor|Reproductive/Breast,59,8,13,13.559322033898304,61.53846153846154,CMAP
Cancer/Tumor|Reproductive/Breast|Skin/Integumentary,89,5,6,5.617977528089887,83.33333333333334,CMAP
Cancer/Tumor|Respiratory,73,0,4,0.0,0.0,CMAP
Cancer/Tumor|Skin/Integumentary,38,1,9,2.631578947368421,11.11111111111111,CMAP
Cardiovascular,118,23,40,19.491525423728813,57.49999999999999,CMAP
Cardiovascular|Genetic/Congenital|Musculoskeletal|Nervous System,31,0,0,0.0,,CMAP
Cardiovascular|Musculoskeletal,57,2,2,3.508771929824561,100.0,CMAP
Endocrine System|Cancer/Tumor,38,1,6,2.631578947368421,16.666666666666664,CMAP
Endocrine System|Cancer/Tumor|Gastrointestinal,40,4,4,10.0,100.0,CMAP
Endocrine System|Gastrointestinal|Cancer/Tumor|Pancreas,39,6,35,15.384615384615383,17.142857142857142,CMAP
Endocrine System|Genetic/Congenital|Nervous System|Metabolic|Psychiatric,50,0,0,0.0,,CMAP
Endocrine System|Genetic/Congenital|Reproductive/Breast,18,1,1,5.555555555555555,100.0,CMAP
Gastrointestinal|Cancer/Tumor,127,6,7,4.724409448818897,85.71428571428571,CMAP
Gastrointestinal|Endocrine System,50,3,10,6.0,30.0,CMAP
Gastrointestinal|Genetic/Congenital,57,1,4,1.7543859649122806,25.0,CMAP
Gastrointestinal|Genetic/Congenital|Immune System,43,3,3,6.976744186046512,100.0,CMAP
Gastrointestinal|Immune System|Genetic/Congenital,51,1,1,1.96078431372549,100.0,CMAP
Gastrointestinal|Respiratory|Cancer/Tumor,8,0,0,0.0,,CMAP
Genetic/Congenital,17,0,0,0.0,,CMAP
Genetic/Congenital|Cancer/Tumor|Hematologic|Immune System,63,8,8,12.698412698412698,100.0,CMAP
Genetic/Congenital|Endocrine System|Respiratory|Cancer/Tumor,11,0,0,0.0,,CMAP
Genetic/Congenital|Hematologic,54,3,3,5.555555555555555,100.0,CMAP
Genetic/Congenital|Hematologic|Cancer/Tumor|Immune System|Musculoskeletal,7,0,0,0.0,,CMAP
Genetic/Congenital|Hematologic|Immune System,16,2,2,12.5,100.0,CMAP
Genetic/Congenital|Immune System|Gastrointestinal,96,3,4,3.125,75.0,CMAP
Genetic/Congenital|Immune System|Hematologic|Metabolic|Cancer/Tumor,36,0,2,0.0,0.0,CMAP
Genetic/Congenital|Metabolic,48,2,2,4.166666666666666,100.0,CMAP
Genetic/Congenital|Musculoskeletal|Reproductive/Breast|Cancer/Tumor,36,1,3,2.7777777777777777,33.33333333333333,CMAP
Genetic/Congenital|Nervous System,37,3,15,8.108108108108109,20.0,CMAP
Genetic/Congenital|Respiratory,56,1,1,1.7857142857142856,100.0,CMAP
Genetic/Congenital|Skin/Integumentary,61,2,2,3.278688524590164,100.0,CMAP
Hematologic,97,9,17,9.278350515463918,52.94117647058824,CMAP
Hematologic|Cancer/Tumor|Genetic/Congenital,41,4,16,9.75609756097561,25.0,CMAP
Hematologic|Genetic/Congenital,44,2,18,4.545454545454546,11.11111111111111,CMAP
Hematologic|Musculoskeletal|Immune System|Cancer/Tumor|Genetic/Congenital,41,6,6,14.634146341463412,100.0,CMAP
Immune System|Genetic/Congenital|Skin/Integumentary,29,1,1,3.4482758620689653,100.0,CMAP
Immune System|Hematologic|Cancer/Tumor|Genetic/Congenital,34,0,1,0.0,0.0,CMAP
Immune System|Hematologic|Genetic/Congenital,34,0,0,0.0,,CMAP
Immune System|Hematologic|Genetic/Congenital|Cancer/Tumor,44,5,10,11.363636363636363,50.0,CMAP
Immune System|Musculoskeletal,91,3,7,3.296703296703297,42.857142857142854,CMAP
Immune System|Skin/Integumentary,68,1,1,1.4705882352941175,100.0,CMAP
Immune System|Visual System|Gastrointestinal,41,0,3,0.0,0.0,CMAP
Infectious Disease,142,6,7,4.225352112676056,85.71428571428571,CMAP
Infectious Disease|Endocrine System|Gastrointestinal,39,2,2,5.128205128205128,100.0,CMAP
Infectious Disease|Reproductive/Breast,65,7,10,10.76923076923077,70.0,CMAP
Infectious Disease|Respiratory,53,3,6,5.660377358490567,50.0,CMAP
Metabolic,36,3,26,8.333333333333332,11.538461538461538,CMAP
Metabolic|Psychiatric|Nervous System|Genetic/Congenital,15,1,1,6.666666666666667,100.0,CMAP
Metabolic|Urinary System,3,0,0,0.0,,CMAP
Musculoskeletal,104,10,25,9.615384615384617,40.0,CMAP
Musculoskeletal|Cardiovascular,5,0,0,0.0,,CMAP
Musculoskeletal|Genetic/Congenital,45,1,5,2.2222222222222223,20.0,CMAP
Musculoskeletal|Hematologic|Cancer/Tumor|Immune System,8,2,2,25.0,100.0,CMAP
Musculoskeletal|Immune System,29,1,1,3.4482758620689653,100.0,CMAP
Musculoskeletal|Immune System|Urinary System,43,4,9,9.30232558139535,44.44444444444444,CMAP
Musculoskeletal|Immune System|Visual System|Genetic/Congenital,44,2,5,4.545454545454546,40.0,CMAP
Musculoskeletal|Respiratory,38,2,5,5.263157894736842,40.0,CMAP
Nervous System,33,1,1,3.0303030303030303,100.0,CMAP
Nervous System|Cancer/Tumor,37,2,2,5.405405405405405,100.0,CMAP
Nervous System|Genetic/Congenital,33,0,0,0.0,,CMAP
Nervous System|Immune System,75,8,23,10.666666666666668,34.78260869565217,CMAP
Nervous System|Musculoskeletal|Genetic/Congenital,1,0,0,0.0,,CMAP
Nervous System|Psychiatric,124,10,15,8.064516129032258,66.66666666666666,CMAP
Nervous System|Psychiatric|Genetic/Congenital,37,0,0,0.0,,CMAP
Nervous System|Psychiatric|Infectious Disease,1,0,0,0.0,,CMAP
Nervous System|Urinary System|Respiratory|Musculoskeletal|Immune System|Skin/Integumentary,4,0,0,0.0,,CMAP
Nervous System|Visual System,57,2,5,3.508771929824561,40.0,CMAP
Pancreas|Cancer/Tumor|Endocrine System|Gastrointestinal,1,0,0,0.0,,CMAP
Pancreas|Endocrine System|Gastrointestinal|Immune System|Metabolic,50,8,16,16.0,50.0,CMAP
Pancreas|Endocrine System|Metabolic,45,4,33,8.88888888888889,12.12121212121212,CMAP
Phenotype,132,3,3,2.272727272727273,100.0,CMAP
Pregnancy/Perinatal|Cardiovascular|Genetic/Congenital,39,2,2,5.128205128205128,100.0,CMAP
Psychiatric,4,0,0,0.0,,CMAP
Psychiatric|Endocrine System|Gastrointestinal,5,0,0,0.0,,CMAP
Psychiatric|Nervous System,71,1,22,1.4084507042253522,4.545454545454546,CMAP
Reproductive/Breast,8,0,0,0.0,,CMAP
Reproductive/Breast|Cancer/Tumor,113,21,47,18.58407079646018,44.680851063829785,CMAP
Reproductive/Breast|Cancer/Tumor|Skin/Integumentary,46,3,3,6.521739130434782,100.0,CMAP
Reproductive/Breast|Genetic/Congenital|Endocrine System,42,0,1,0.0,0.0,CMAP
Reproductive/Breast|Skin/Integumentary|Cancer/Tumor,14,6,6,42.857142857142854,100.0,CMAP
Respiratory,73,5,7,6.8493150684931505,71.42857142857143,CMAP
Respiratory|Cancer/Tumor,15,1,1,6.666666666666667,100.0,CMAP
Respiratory|Genetic/Congenital|Metabolic,43,0,0,0.0,,CMAP
Respiratory|Immune System,57,6,9,10.526315789473683,66.66666666666666,CMAP
Respiratory|OTAR_0000009,23,1,1,4.3478260869565215,100.0,CMAP
Skin/Integumentary,40,1,6,2.5,16.666666666666664,CMAP
Skin/Integumentary|Cancer/Tumor,20,1,1,5.0,100.0,CMAP
Skin/Integumentary|Immune System,24,1,1,4.166666666666666,100.0,CMAP
Skin/Integumentary|Immune System|Genetic/Congenital,43,2,4,4.651162790697675,50.0,CMAP
Urinary System|Cancer/Tumor,42,2,11,4.761904761904762,18.181818181818183,CMAP
Urinary System|Genetic/Congenital|Cancer/Tumor,43,0,0,0.0,,CMAP
Urinary System|Immune System|Skin/Integumentary|Nervous System|Musculoskeletal,58,0,0,0.0,,CMAP
Urinary System|Musculoskeletal|Nervous System|Immune System,15,0,0,0.0,,CMAP
Visual System,80,3,7,3.75,42.857142857142854,CMAP
Cancer/Tumor,121,30,46,24.793388429752067,65.21739130434783,TAHOE
Cancer/Tumor|Endocrine System,60,13,34,21.666666666666668,38.23529411764706,TAHOE
Cancer/Tumor|Endocrine System|Gastrointestinal,16,2,2,12.5,100.0,TAHOE
Cancer/Tumor|Endocrine System|Reproductive/Breast,109,58,97,53.21100917431193,59.79381443298969,TAHOE
Cancer/Tumor|Gastrointestinal,140,72,99,51.42857142857142,72.72727272727273,TAHOE
Cancer/Tumor|Gastrointestinal|Infectious Disease|Respiratory,60,11,14,18.333333333333332,78.57142857142857,TAHOE
Cancer/Tumor|Nervous System,77,18,34,23.376623376623375,52.94117647058824,TAHOE
Cancer/Tumor|Reproductive/Breast,63,41,54,65.07936507936508,75.92592592592592,TAHOE
Cancer/Tumor|Reproductive/Breast|Skin/Integumentary,75,10,23,13.333333333333334,43.47826086956522,TAHOE
Cancer/Tumor|Respiratory,140,40,58,28.57142857142857,68.96551724137932,TAHOE
Cancer/Tumor|Skin/Integumentary,61,11,39,18.0327868852459,28.205128205128204,TAHOE
