drug,source,phase,cmap_score,tahoe_score
BUPROPION,CMAP_ONLY,2.0,-0.234472804521373,
HYDROCORTISONE,CMAP_ONLY,4.0,-0.148107759265555,
NALTREXONE,CMAP_ONLY,2.0,-0.209744473163369,
BUDESONIDE,TAHOE_ONLY,4.0,,-0.401571476697856
DEXAMETHASONE,TAHOE_ONLY,4.0,,-0.435520282913631
DIPHENHYDRAMINE,TAHOE_ONLY,1.0,,-0.438217931918861
FILGOTINIB,TAHOE_ONLY,3.0,,-0.464006653174127
METHOTREXATE,TAHOE_ONLY,3.0,,-0.337250587346135
OMEPRAZOLE,TAHOE_ONLY,1.0,,-0.356208892855673
TOFACITINIB,TAHOE_ONLY,2.0,,-0.514804988062887
VERAPAMIL,TAHOE_ONLY,1.0,,-0.461929028464248
