drug,source,phase,cmap_score,tahoe_score
BUDESONIDE,BOTH,2.0,-0.301381366019453,-0.394547729426834
HYDROCORTISONE,CMAP_ONLY,2.0,-0.195044990158485,
ALLOPURINOL,TAHOE_ONLY,1.0,,-0.391672191636104
DAPAGLIFLOZIN,TAHOE_ONLY,2.0,,-0.406057757952381
FENOFIBRATE,TAHOE_ONLY,2.0,,-0.396483103087217
FILGOTINIB,TAHOE_ONLY,2.0,,-0.488828388620882
ROSIGLITAZONE,TAHOE_ONLY,2.0,,-0.383056204591751
