drug,source,phase,cmap_score,tahoe_score
CELECOXIB,BOTH,4.0,-0.177475984797266,-0.283980790141738
DEXAMETHASONE,BOTH,4.0,-0.242901254120523,-0.296469777137665
METHOTREXATE,BOTH,4.0,-0.123053262994669,-0.216523229829439
NAPROXEN,BOTH,4.0,-0.196658943445318,-0.279641567870208
DICLOFENAC,CMAP_ONLY,4.0,-0.135061857891112,
DIFLUNISAL,CMAP_ONLY,4.0,-0.144898807106748,
DIPYRIDAMOLE,CMAP_ONLY,2.0,-0.153123122780064,
ENALAPRIL,CMAP_ONLY,2.0,-0.215700966285421,
ETODOLAC,CMAP_ONLY,4.0,-0.139748811255109,
FAMOTIDINE,CMAP_ONLY,4.0,-0.145703748399073,
LEFLUNOMIDE,CMAP_ONLY,4.0,-0.178645587222725,
LOVASTATIN,CMAP_ONLY,2.0,-0.198139794114358,
METFORMIN,CMAP_ONLY,2.0,-0.143663465562776,
METHYLPREDNISOLONE,CMAP_ONLY,4.0,-0.261868405678097,
OXAPROZIN,CMAP_ONLY,4.0,-0.179742776226325,
PIOGLITAZONE,CMAP_ONLY,3.0,-0.198387634168325,
PREDNISOLONE,CMAP_ONLY,4.0,-0.154055863595887,
PREDNISONE,CMAP_ONLY,4.0,-0.164611472808964,
RAMIPRIL,CMAP_ONLY,2.0,-0.165133224702815,
REPAGLINIDE,CMAP_ONLY,1.0,-0.13883272388774,
ROSIGLITAZONE,CMAP_ONLY,2.0,-0.160419786447679,
SPIRONOLACTONE,CMAP_ONLY,3.0,-0.129617047998557,
SULINDAC,CMAP_ONLY,4.0,-0.159866218528277,
BINIMETINIB,TAHOE_ONLY,2.0,,-0.270483507064173
CILOSTAZOL,TAHOE_ONLY,3.0,,-0.316685585306182
CLOBETASOL PROPIONATE,TAHOE_ONLY,3.0,,-0.280442059211436
DIMETHYL FUMARATE,TAHOE_ONLY,2.0,,-0.26689904845135
FILGOTINIB,TAHOE_ONLY,3.0,,-0.281230552927964
MELOXICAM,TAHOE_ONLY,4.0,,-0.278366905878125
PACLITAXEL,TAHOE_ONLY,2.0,,-0.33478202959155
PH-797804,TAHOE_ONLY,2.0,,-0.256426573290995
TEMSIROLIMUS,TAHOE_ONLY,2.0,,-0.260532576955138
TIRABRUTINIB,TAHOE_ONLY,1.0,,-0.34964446533598
