drug,source,phase,cmap_score,tahoe_score
CLEMASTINE,CMAP_ONLY,2.0,-0.339810315468148,
DEXTROMETHORPHAN,CMAP_ONLY,3.0,-0.177475411873406,
DOMPERIDONE,CMAP_ONLY,2.0,-0.456715097484178,
GUANABENZ,CMAP_ONLY,1.0,-0.317765973699968,
LIOTHYRONINE,CMAP_ONLY,1.0,-0.176007388236864,
MELATONIN,CMAP_ONLY,2.0,-0.202223559044564,
PIOGLITAZONE,CMAP_ONLY,1.0,-0.36286226471898,
PREDNISONE,CMAP_ONLY,2.0,-0.309546910694152,
SIROLIMUS,CMAP_ONLY,1.0,-0.347382531280316,
CYTARABINE,TAHOE_ONLY,2.0,,-0.419107452693046
DIMETHYL FUMARATE,TAHOE_ONLY,4.0,,-0.405647831556455
TEMSIROLIMUS,TAHOE_ONLY,2.0,,-0.392783561381296
