gene_symbol,logfc_dz:326,logfc_dz:117,logfc_dz:950,logfc_dz:951,logfc_dz:949,logfc_dz:948,mean_logfc,median_logfc,common_experiment,organism,signature_type
PTER,,,,-0.0298363622277975,,,-0.0298363622277975,-0.0298363622277975,,human,DOWN
ZNF721,,-0.0298285968601703,,,,,-0.0298285968601703,-0.0298285968601703,,human,DOWN
ZNF347,,,,,,-0.0297912955284118,-0.0297912955284118,-0.0297912955284118,,human,DOWN
LRRC23,,,-0.0275385323911905,,,-0.0320409461855888,-0.0297897392883896,-0.0297897392883896,-0.0275385323911905,human,DOWN
ASPRV1,,,,-0.0297632180154323,,,-0.0297632180154323,-0.0297632180154323,,human,DOWN
CSF1R,,,,-0.03537193313241,-0.0238524880260229,,-0.0296122105792164,-0.0296122105792164,,human,DOWN
KBTBD7,,,-0.029477771371603,,,,-0.029477771371603,-0.029477771371603,-0.029477771371603,human,DOWN
DSP,,-0.037017785012722,,,,-0.0218543764203786,-0.0294360807165503,-0.0294360807165503,,human,DOWN
PLXND1,,,,,,-0.0293999202549457,-0.0293999202549457,-0.0293999202549457,,human,DOWN
MARCH1,,,,-0.0413641147315502,-0.0174318458884954,,-0.0293979803100228,-0.0293979803100228,,human,DOWN
DAGLA,,,,-0.0153468530625104,-0.0282089430838823,-0.0446359291672706,-0.0293972417712211,-0.0282089430838823,,human,DOWN
NOV,-0.0293915979564189,,,,,,-0.0293915979564189,-0.0293915979564189,,human,DOWN
SMCO4,,,,-0.0293293297290802,,,-0.0293293297290802,-0.0293293297290802,,human,DOWN
TSPO,-0.0293291434645652,,,,,,-0.0293291434645652,-0.0293291434645652,,human,DOWN
SMG1,,,,,-0.0292760673910379,,-0.0292760673910379,-0.0292760673910379,,human,DOWN
BDP1,,,,,-0.0292190611362457,,-0.0292190611362457,-0.0292190611362457,,human,DOWN
KLRG1,,,-0.029157780110836,,,,-0.029157780110836,-0.029157780110836,-0.029157780110836,human,DOWN
MNDA,,,0.0156157305464148,-0.0380499474704265,-0.0343971662223339,-0.0596751756966114,-0.0291266397107392,-0.0362235568463802,0.0156157305464148,human,DOWN
TSPAN33,,,,,,-0.02891724742949,-0.02891724742949,-0.02891724742949,,human,DOWN
LILRB3,,,,-0.0289136264473199,,,-0.0289136264473199,-0.0289136264473199,,human,DOWN
RBMY2FP,,,,,,-0.0289036929607391,-0.0289036929607391,-0.0289036929607391,,human,DOWN
