gene_symbol,logfc_dz:392,logfc_dz:978,logfc_dz:148,logfc_dz:602,logfc_dz:24,logfc_dz:52,logfc_dz:39,logfc_dz:478,logfc_dz:448,logfc_dz:504,logfc_dz:11,mean_logfc,median_logfc,common_experiment,organism,signature_type
CLCA2,0.0378254167735576,,,,,0.0208196453750133,0.1870789676904678,,,,,0.0819080099463462,0.0378254167735576,0.0378254167735576,human,UP
FOSL1,,,,,,,,,,0.0814574062824249,,0.0814574062824249,0.0814574062824249,,human,UP
FMO1,0.0798765048384666,,,,,,,,,,,0.0798765048384666,0.0798765048384666,0.0798765048384666,human,UP
TIAL1,,,,,,,,,,,0.0795968994498252,0.0795968994498252,0.0795968994498252,,human,UP
CLDN23,0.010864426381886,,,,,,,,,,0.1478941738605499,0.0793793001212179,0.0793793001212179,0.010864426381886,human,UP
CDH1,,,,,,,0.0792411640286445,,,,,0.0792411640286445,0.0792411640286445,,human,UP
ANXA4,,,,,,,,,,,0.0777879282832145,0.0777879282832145,0.0777879282832145,,human,UP
SPRR3,,,,,,,0.0754667893052101,,,,,0.0754667893052101,0.0754667893052101,,human,UP
CSK,,,,,,,,,,,0.074948526918888,0.074948526918888,0.074948526918888,,human,UP
MTCH2,,,,,,,,,,0.073954738676548,,0.073954738676548,0.073954738676548,,human,UP
ZC3H3,,,,,,,,,,,0.0734853893518447,0.0734853893518447,0.0734853893518447,,human,UP
FSIP1,0.0716369673609733,,,,,0.074992261826992,,,,,,0.0733146145939827,0.0733146145939827,0.0716369673609733,human,UP
MAP4K2,,,,,,,0.0348943471908569,,,,0.1089072525501251,0.071900799870491,0.071900799870491,,human,UP
BAIAP2,,,,,,,,,,,0.0716912597417831,0.0716912597417831,0.0716912597417831,,human,UP
LOC150383,,,,,,,,,,,0.0708976238965988,0.0708976238965988,0.0708976238965988,,human,UP
PARD6B,0.0664503574371337,,,,,0.0741533413529396,,,,,,0.0703018493950367,0.0703018493950367,0.0664503574371337,human,UP
CCL18,0.0698885768651962,,,,,,,,,,,0.0698885768651962,0.0698885768651962,0.0698885768651962,human,UP
KRT75,,,,,,,0.0698048025369644,,,,,0.0698048025369644,0.0698048025369644,,human,UP
KCND1,,,,,,,,,,,0.0686078891158104,0.0686078891158104,0.0686078891158104,,human,UP
SERPINB7,,,,,,,0.0685871466994285,,,,,0.0685871466994285,0.0685871466994285,,human,UP
TRABD,,,,,,,0.0683828517794609,,,,,0.0683828517794609,0.0683828517794609,,human,UP
SFRP2,,-0.0134700443595647,,0.1494800895452499,,,,,,,,0.0680050225928425,0.0680050225928425,,human,UP
INA,,,,,,,,,,,0.0675810873508453,0.0675810873508453,0.0675810873508453,,human,UP
ZNF559,,,,,,,,,,,0.0675781890749931,0.0675781890749931,0.0675781890749931,,human,UP
SETP4,,,,,,,,,,0.0674478858709335,,0.0674478858709335,0.0674478858709335,,human,UP
COL1A2,,0.0445957370102405,0.1986458748579025,0.0781570598483085,0.0272953901439905,,,,-0.011695671826601,,,0.0673996780067682,0.0445957370102405,,human,UP
MORF4L2,,,,,,,,,0.0673336386680603,,,0.0673336386680603,0.0673336386680603,,human,UP
HSPA6,,,,,,,,,,,0.0671093240380287,0.0671093240380287,0.0671093240380287,,human,UP
GUCY2D,0.0886002331972122,,,,,0.0447788722813129,,,,,,0.0666895527392625,0.0666895527392625,0.0886002331972122,human,UP
ADIPOR2,,,,,,,,,,,0.0665367245674133,0.0665367245674133,0.0665367245674133,,human,UP
LOC642236,,,,,,,,,,,0.066359095275402,0.066359095275402,0.066359095275402,,human,UP
ENOX1,0.0983804389834404,,,,,0.0342788808047771,,,,,,0.0663296598941087,0.0663296598941087,0.0983804389834404,human,UP
DAPL1,0.0428445674479007,,,,,0.0896568521857261,,,,,,0.0662507098168134,0.0662507098168134,0.0428445674479007,human,UP
CRISP3,0.0994908884167671,0.0132951894775033,,,,0.0854323580861091,,,,,,0.0660728119934598,0.0854323580861091,0.0994908884167671,human,UP
CDK15,,,,,,,,0.0660521015524864,,,,0.0660521015524864,0.0660521015524864,,human,UP
PXDN,,,,0.0658770501613617,,,,,,,,0.0658770501613617,0.0658770501613617,,human,UP
FH,,,,,,,,,,,0.065678022801876,0.065678022801876,0.065678022801876,,human,UP
CRISP2,0.0594668127596378,,,,,0.0713828057050705,,,,,,0.0654248092323541,0.0654248092323541,0.0594668127596378,human,UP
COX6C,0.0231307931244373,0.1573740988969802,0.0330123454332351,0.0144127896055579,0.1405301690101623,,,,,0.0182950738817453,,0.0644592116586864,0.0280715692788362,0.0231307931244373,human,UP
MFAP5,0.064171202480793,,,,,,,,,,,0.064171202480793,0.064171202480793,0.064171202480793,human,UP
PKD1,,,,,,,,,,,0.0637871921062469,0.0637871921062469,0.0637871921062469,,human,UP
ITGB4,,,,,,,0.0735556334257125,0.0516090206801891,,,,0.0625823270529508,0.0625823270529508,,human,UP
CYP2B6,0.0117438277229666,,,,,0.1131857857108116,,,,,,0.0624648067168891,0.0624648067168891,0.0117438277229666,human,UP
HMGCS2,0.0540189407765865,,,,,0.0708963200449943,,,,,,0.0624576304107904,0.0624576304107904,0.0540189407765865,human,UP
CSTA,,,,,,0.0487283989787101,0.0753874108195304,,,,,0.0620579048991203,0.0620579048991203,,human,UP
PDK4,,,,,,,,,,,0.0613727122545242,0.0613727122545242,0.0613727122545242,,human,UP
FAM196A,0.0699969455599784,,,,,0.0508614405989646,,,,,,0.0604291930794715,0.0604291930794715,0.0699969455599784,human,UP
DDX18,,,,,,,,,,,0.059192307293415,0.059192307293415,0.059192307293415,,human,UP
PCK1,,,,,,,,,,,0.0586215183138847,0.0586215183138847,0.0586215183138847,,human,UP
DRD1,0.0790101587772369,,,,,0.03796898573637,,,,,,0.0584895722568035,0.0584895722568035,0.0790101587772369,human,UP
OTOR,0.0682549551129341,,,,,0.0477544963359832,,,,,,0.0580047257244586,0.0580047257244586,0.0682549551129341,human,UP
TUBA1C,,0.0549812391400337,0.0570457428693771,0.0664729326963424,0.0503565482795238,,,,-0.0384664312005043,0.1546006053686142,,0.0574984395255645,0.0560134910047054,,human,UP
ABCC11,0.1053477898240089,,,,,0.0095235211774706,,,,,,0.0574356555007398,0.0574356555007398,0.1053477898240089,human,UP
CCR5,0.062481690198183,,,,,0.0495225302875041,,,,,,0.0560021102428436,0.0560021102428436,0.062481690198183,human,UP
OLFM4,0.04926173761487,,,,,0.0624341629445552,,,,,,0.0558479502797126,0.0558479502797126,0.04926173761487,human,UP
DBT,,,,,,,,,,,0.0544863231480121,0.0544863231480121,0.0544863231480121,,human,UP
PCCB,,,,,,,,,,,0.0543660372495651,0.0543660372495651,0.0543660372495651,,human,UP
FTH1P5,,0.0290404614061117,,0.1112838983535766,,,,,,0.0226852875202894,,0.0543365490933259,0.0290404614061117,,human,UP
DCX,0.0366051569581031,,,,,0.0717773362994194,,,,,,0.0541912466287612,0.0541912466287612,0.0366051569581031,human,UP
ITGA6,,,,,,,0.1199757680296897,,-0.0118171004578471,,,0.0540793337859213,0.0540793337859213,,human,UP
PTPLB,,,,,,,,0.0538547746837139,,,,0.0538547746837139,0.0538547746837139,,human,UP
SHISA5,,,,,,,,0.0532622039318084,,,,0.0532622039318084,0.0532622039318084,,human,UP
LUM,,,0.0527472123503685,,,,,,,,,0.0527472123503685,0.0527472123503685,,human,UP
THBS2,,,0.0288262255489826,0.0766095221042633,,,,,,,,0.0527178738266229,0.0527178738266229,,human,UP
SPANXC,,,,,,,,,,0.052530214190483,,0.052530214190483,0.052530214190483,,human,UP
NDUFB6,,,,,,,,,,,0.0523072890937328,0.0523072890937328,0.0523072890937328,,human,UP
MMP2,,,0.0522577725350856,,,,,,,,,0.0522577725350856,0.0522577725350856,,human,UP
RHOJ,,,,,,,,,,,0.0515771806240081,0.0515771806240081,0.0515771806240081,,human,UP
RN7SK,,,,,,,,0.0514756515622139,,,,0.0514756515622139,0.0514756515622139,,human,UP
FCGR2B,0.0513304024934768,,,,,,,,,,,0.0513304024934768,0.0513304024934768,0.0513304024934768,human,UP
COX5A,,,,,,,,,,0.0563977770507335,0.0461863875389099,0.0512920822948217,0.0512920822948217,,human,UP
S100P,,0.0545152872800827,,,0.048002440482378,,,,,,,0.0512588638812303,0.0512588638812303,,human,UP
SKP2,,,,,,,,0.0509399212896823,,,,0.0509399212896823,0.0509399212896823,,human,UP
TIMP1,,,0.0222964268177747,0.0795603245496749,,,,,,,,0.0509283756837248,0.0509283756837248,,human,UP
HMGA1,,,,,,,,,,0.0508926063776016,,0.0508926063776016,0.0508926063776016,,human,UP
RPS27A,,,0.0694941654801368,,,,,,,0.0582609362900257,0.0247352793812751,0.0508301270504792,0.0582609362900257,,human,UP
CDKN1A,,,,,,,0.0508225187659263,,,,,0.0508225187659263,0.0508225187659263,,human,UP
PTPRT,0.0733260139822959,,,,,0.0282410942018032,,,,,,0.0507835540920496,0.0507835540920496,0.0733260139822959,human,UP
GZMA,0.0579291097819805,,,,,0.0432635731995105,,,,,,0.0505963414907455,0.0505963414907455,0.0579291097819805,human,UP
CEACAM6,,0.050503633916378,,,,,,,,,,0.050503633916378,0.050503633916378,,human,UP
HRASLS2,0.0531728267669677,,,,,0.0461651049554348,,,,,,0.0496689658612012,0.0496689658612012,0.0531728267669677,human,UP
SNRPF,,,,,,,,,,0.0496522635221481,,0.0496522635221481,0.0496522635221481,,human,UP
MAL2,,0.0569333136081695,,,0.0638465732336044,,,0.0279519204050302,,,,0.049577269082268,0.0569333136081695,,human,UP
CAPN13,0.0168502833694219,,,,,0.0822648629546165,,,,,,0.0495575731620192,0.0495575731620192,0.0168502833694219,human,UP
IL19,0.053440261632204,,,,,0.0455296710133552,,,,,,0.0494849663227796,0.0494849663227796,0.053440261632204,human,UP
AEBP1,,,0.0151765653863549,0.0837024599313736,,,,,,,,0.0494395126588642,0.0494395126588642,,human,UP
COL6A3,,0.0200751349329948,0.1147042140364646,0.0129904150962829,,,,,,,,0.0492565880219141,0.0200751349329948,,human,UP
ADCYAP1,0.040671456605196,,,,,0.0426402390003204,,,,,0.064067468047142,0.0491263878842194,0.0426402390003204,0.040671456605196,human,UP
LOC144571,,,,,,,,,,,0.0490922071039676,0.0490922071039676,0.0490922071039676,,human,UP
ACP2,,,,,,,,,,,0.0489286631345748,0.0489286631345748,0.0489286631345748,,human,UP
SS18,,,,,,,,,,,0.0489031821489334,0.0489031821489334,0.0489031821489334,,human,UP
MKRN1,,,,,,,,,,,0.0487792380154132,0.0487792380154132,0.0487792380154132,,human,UP
IL7R,,,,,,,,0.0486576780676841,,,,0.0486576780676841,0.0486576780676841,,human,UP
SYT13,0.0274782795459032,,,,,0.0698323100805282,,,,,,0.0486552948132157,0.0486552948132157,0.0274782795459032,human,UP
LCN1,,,,,,,,,,,0.0480502471327781,0.0480502471327781,0.0480502471327781,,human,UP
PTGES,,,,,,,,0.0478828661143779,,,,0.0478828661143779,0.0478828661143779,,human,UP
HDGF,,,,,,,,0.0478706285357475,,,,0.0478706285357475,0.0478706285357475,,human,UP
LOC158301,,,,,,,,,,,0.0477570481598377,0.0477570481598377,0.0477570481598377,,human,UP
RAC1,,,,,,,,,,0.0476674400269985,,0.0476674400269985,0.0476674400269985,,human,UP
RPL38,,,0.0473584234714508,,,,,,,,,0.0473584234714508,0.0473584234714508,,human,UP
TESK1,,,,,,,,,,,0.0472586899995803,0.0472586899995803,0.0472586899995803,,human,UP
NPAS2,,,,,,,,0.0471896789968013,,,,0.0471896789968013,0.0471896789968013,,human,UP
PLA2R1,,,,,,,,,,,0.0471120923757553,0.0471120923757553,0.0471120923757553,,human,UP
NME1,,0.0590022802352905,,,0.0347986742854118,,,,,,,0.0469004772603511,0.0469004772603511,,human,UP
FAM49A,0.0143318912014365,,,,,,,,,,0.0789803490042686,0.0466561201028525,0.0466561201028525,0.0143318912014365,human,UP
TMEM176A,0.0465057715773582,,,,,,,,,,,0.0465057715773582,0.0465057715773582,0.0465057715773582,human,UP
PTGDR,0.0462665185332298,,,,,0.0466798990964889,,,,,,0.0464732088148593,0.0464732088148593,0.0462665185332298,human,UP
S100A7,-0.0139488307759165,0.095380000770092,,,0.0570188984274864,,,,,,,0.0461500228072206,0.0570188984274864,-0.0139488307759165,human,UP
UCA1,,,,,,,,0.04606569185853,,,,0.04606569185853,0.04606569185853,,human,UP
ABCB8,,,,,,,,,,,0.0459865964949131,0.0459865964949131,0.0459865964949131,,human,UP
NAA11,,,,,,,,0.0457702502608299,,,,0.0457702502608299,0.0457702502608299,,human,UP
SLC12A5,,,,,,,,,,,0.0456171259284019,0.0456171259284019,0.0456171259284019,,human,UP
ALDH3B2,0.0280336122959852,,,,,0.0630960017442703,,,,,,0.0455648070201277,0.0455648070201277,0.0280336122959852,human,UP
AHNAK2,,,,,,,0.045439213514328,,,,,0.045439213514328,0.045439213514328,,human,UP
KLK5,,,,,,,0.0452597104012966,,,,,0.0452597104012966,0.0452597104012966,,human,UP
NISCH,,,-0.0301755722612142,,,,,,0.1205201968550682,,,0.0451723122969269,0.0451723122969269,,human,UP
SYT4,,,,,,0.0578608699142932,,,,,0.0319810025393962,0.0449209362268447,0.0449209362268447,,human,UP
NF1,,,,,,,,,,,0.044614303857088,0.044614303857088,0.044614303857088,,human,UP
CHGB,0.0284627880901098,0.0691249519586563,,,0.0361567810177803,,,,,,,0.0445815070221821,0.0361567810177803,0.0284627880901098,human,UP
GPX1,,,,0.0620139986276626,,,0.0271326750516891,,,,,0.0445733368396759,0.0445733368396759,,human,UP
ANXA8L1,,,0.0445468053221702,,,,,,,,,0.0445468053221702,0.0445468053221702,,human,UP
COL5A2,,0.0276252999901771,0.0387605689465999,0.0982631966471672,0.012982266023755,,,,,,,0.0444078329019248,0.0331929344683885,,human,UP
PECAM1,,,,,,,,,,,0.0442781150341033,0.0442781150341033,0.0442781150341033,,human,UP
AFAP1,,,,,,,,,,,0.0442498587071895,0.0442498587071895,0.0442498587071895,,human,UP
HMHA1,,,,,,,,,,,0.0442070215940475,0.0442070215940475,0.0442070215940475,,human,UP
CLN6,,,,,,,,0.0439770817756652,,,,0.0439770817756652,0.0439770817756652,,human,UP
F13A1,0.0645463243126869,,,,,-0.0252964086830616,,0.0921076461672782,,,,0.0437858539323012,0.0645463243126869,0.0645463243126869,human,UP
TF,,,,,,,,,,,0.0434841550886631,0.0434841550886631,0.0434841550886631,,human,UP
NDUFB9,,0.0374809689819812,,,0.0493062064051628,,,,,,,0.043393587693572,0.043393587693572,,human,UP
SNAI2,,,,,,,,0.0429415479302406,,,,0.0429415479302406,0.0429415479302406,,human,UP
KRT81,,,,,,,,0.0425168462097644,,,,0.0425168462097644,0.0425168462097644,,human,UP
DDIT4,,0.0320505127310752,,,0.0285348780453205,,0.0315962359309196,,0.0771133750677108,,,0.0423237504437565,0.0318233743309974,,human,UP
DCD,0.0558496937155723,0.0373837910592556,,,,0.0336713045835495,,,,,,0.0423015964527924,0.0373837910592556,0.0558496937155723,human,UP
SMCO4,,,,0.0421017557382583,,,,,,,,0.0421017557382583,0.0421017557382583,,human,UP
TIAM1,,,,,,,,,,,0.0417020693421363,0.0417020693421363,0.0417020693421363,,human,UP
NDUFC1,,,,,,,,,,,0.0416638478636741,0.0416638478636741,0.0416638478636741,,human,UP
NUDT21,,,,,,,,0.0416498221457004,,,,0.0416498221457004,0.0416498221457004,,human,UP
SIGLEC1,0.0415123589336872,,,,,,,,,,,0.0415123589336872,0.0415123589336872,0.0415123589336872,human,UP
ASF1B,,,,,,,,0.0409934148192405,,,,0.0409934148192405,0.0409934148192405,,human,UP
PKP1,,,,,,,0.0407480001449584,,,,,0.0407480001449584,0.0407480001449584,,human,UP
WLS,,,,,,,,,0.040550272911787,,,0.040550272911787,0.040550272911787,,human,UP
ACTG1,,,,,,,,,0.0404193811118602,,,0.0404193811118602,0.0404193811118602,,human,UP
HLA-DRB4,,0.0132066486403346,0.0738525763154029,0.0369773842394351,,0.0228112079203128,,,0.0548200979828834,,,0.0403335830196738,0.0369773842394351,,human,UP
SP110,,,,,,,,,,,0.0398992151021957,0.0398992151021957,0.0398992151021957,,human,UP
CRISPLD1,0.0601187236607074,-0.0110010104253888,,,,0.0704828277230262,,,,,,0.0398668469861149,0.0601187236607074,0.0601187236607074,human,UP
HLA-B,,0.042518213391304,0.0420517586171627,,0.0344946533441543,,,,,,,0.0396882084508736,0.0420517586171627,,human,UP
C20orf42,,,,,,,0.0395615473389625,,,,,0.0395615473389625,0.0395615473389625,,human,UP
RABGGTA,,,,,,,,,,,0.0394962057471275,0.0394962057471275,0.0394962057471275,,human,UP
HMGA2,,,,,,,0.039481945335865,,,,,0.039481945335865,0.039481945335865,,human,UP
PABPC3,,0.0469131208956241,0.0958896800875663,,0.0542325042188167,,,,-0.0304573383182287,0.0307660419493913,,0.0394688017666339,0.0469131208956241,,human,UP
TUBB4B,,0.0165777374058961,,,0.0104667833074927,,,0.052910778671503,,0.0777033567428588,,0.0394146640319377,0.0347442580386996,,human,UP
RPL39,,,0.0237261075526475,0.0431606546044349,0.017841788008809,,,,0.024902680888772,0.0873943194746971,,0.0394051101058721,0.024902680888772,,human,UP
SYT1,0.0412701666355133,,,,,0.0371271222829818,,,,,,0.0391986444592475,0.0391986444592475,0.0412701666355133,human,UP
LOC642073,,,,,,,,,,,0.0391263589262962,0.0391263589262962,0.0391263589262962,,human,UP
CYP2D6,,,,,,,,,,,0.0390539653599262,0.0390539653599262,0.0390539653599262,,human,UP
HS3ST2,0.0674392729997634,,,,,,0.0105609809979796,,,,,0.0390001269988715,0.0390001269988715,0.0674392729997634,human,UP
ITGA3,,,,,,,0.0502171069383621,0.0274441447108984,,,,0.0388306258246302,0.0388306258246302,,human,UP
SLC14A1,,,,,,0.0109293079003691,,0.0664260163903236,,,,0.0386776621453464,0.0386776621453464,,human,UP
ALOX15B,0.1251083016395568,-0.0161637812852859,,,-0.020615903660655,0.0663700476288795,,,,,,0.0386746660806238,0.0251031331717968,0.1251083016395568,human,UP
DSE,,,,,,,0.0385963581502437,,,,,0.0385963581502437,0.0385963581502437,,human,UP
LRPPRC,,,,,,,,,,,0.0383690260350704,0.0383690260350704,0.0383690260350704,,human,UP
PI15,0.0422629229724407,,,,,0.0341526716947555,,,,,,0.0382077973335981,0.0382077973335981,0.0422629229724407,human,UP
SERINC2,,,,,,,,0.0381121821701526,,,,0.0381121821701526,0.0381121821701526,,human,UP
NNMT,,,,0.038100179284811,,,,,,,,0.038100179284811,0.038100179284811,,human,UP
SOD3,,,,,,,,,,,0.0379778183996677,0.0379778183996677,0.0379778183996677,,human,UP
SYN1,,,,,,,,,,,0.0379091911017894,0.0379091911017894,0.0379091911017894,,human,UP
ARMCX6,,,,0.011830573901534,,,,,0.0638836249709129,,,0.0378570994362235,0.0378570994362235,,human,UP
DAZAP2,,,,,,,,0.037701703608036,,,,0.037701703608036,0.037701703608036,,human,UP
HPCAL1,,,,,,,,0.037674993276596,,,,0.037674993276596,0.037674993276596,,human,UP
HLA-DPB1,,,0.0459713637828826,0.0289887264370918,,,,,,,,0.0374800451099872,0.0374800451099872,,human,UP
GZMH,0.0372888334095478,,,,,,,,,,,0.0372888334095478,0.0372888334095478,0.0372888334095478,human,UP
C21orf45,,,,,,,,,,,0.0372505187988281,0.0372505187988281,0.0372505187988281,,human,UP
RAB1A,,,,,,,,,,,0.0370856374502182,0.0370856374502182,0.0370856374502182,,human,UP
ADH1C,0.026801723986864,,,,,0.0473092757165432,,,,,,0.0370554998517036,0.0370554998517036,0.026801723986864,human,UP
CTSD,,,,,,,,0.0369554907083511,,,,0.0369554907083511,0.0369554907083511,,human,UP
SESN2,,,,,,,0.036952719092369,,,,,0.036952719092369,0.036952719092369,,human,UP
ETV5,,,,,,,,,,,0.036798670887947,0.036798670887947,0.036798670887947,,human,UP
CHST1,0.0178312640637159,,,,,0.0556959509849548,,,,,,0.0367636075243353,0.0367636075243353,0.0178312640637159,human,UP
ITGAV,,,,0.0601672977209091,0.0133200287818908,,,,,,,0.0367436632513999,0.0367436632513999,,human,UP
CCT4,,,,,,,,,,0.0367157198488712,,0.0367157198488712,0.0367157198488712,,human,UP
NUP88,,,,,,,,,,,0.0365741401910781,0.0365741401910781,0.0365741401910781,,human,UP
CXorf36,,,,,,,,,,,0.0364688485860824,0.0364688485860824,0.0364688485860824,,human,UP
LRP1B,0.0231708325445652,,,,,0.0496899932622909,,,,,,0.036430412903428,0.036430412903428,0.0231708325445652,human,UP
ERG,,,,,,,,,,,0.0363480374217033,0.0363480374217033,0.0363480374217033,,human,UP
INSM1,,,,,,0.0362956672906875,,,,,,0.0362956672906875,0.0362956672906875,,human,UP
OST4,,,,0.0521435514092445,0.0204075835645198,,,,,,,0.0362755674868822,0.0362755674868822,,human,UP
COL4A5,,,-0.0097362212836742,,,,0.0232156328856945,,0.018028249964118,,0.1135354414582252,0.0362607757560908,0.0206219414249062,,human,UP
CHD2,,,,,,,,,,,0.0362553857266902,0.0362553857266902,0.0362553857266902,,human,UP
DACH1,,,,,,0.0362535156309604,,,,,,0.0362535156309604,0.0362535156309604,,human,UP
RPLP1,,,-0.0456782095134258,,,,,,0.0223573539406061,0.1319597214460373,,0.0362129552910725,0.0223573539406061,,human,UP
PPAPDC1A,,,,0.0489867143332958,,,,0.0232420023530721,,,,0.0361143583431839,0.0361143583431839,,human,UP
CATSPERB,0.0384455919265747,,,,,0.0335498489439487,,,,,,0.0359977204352617,0.0359977204352617,0.0384455919265747,human,UP
ZC3HAV1,,,,,,,,,,,0.0359256751835346,0.0359256751835346,0.0359256751835346,,human,UP
SERPINB9,,,,,,,,0.0357957705855369,,,,0.0357957705855369,0.0357957705855369,,human,UP
SNHG6,,,,,0.0357599668204784,,,,,,,0.0357599668204784,0.0357599668204784,,human,UP
NELL1,,,,,,,,,,,0.0357342697679996,0.0357342697679996,0.0357342697679996,,human,UP
CS,,,,,,,,,,0.0356490388512611,,0.0356490388512611,0.0356490388512611,,human,UP
DNASE2B,0.0489879623055458,,,,,0.022237816825509,,,,,,0.0356128895655274,0.0356128895655274,0.0489879623055458,human,UP
LHX3,,,,,,,,,,,0.0356093607842922,0.0356093607842922,0.0356093607842922,,human,UP
CCNE2,,,,,,,,0.0353893227875232,,,,0.0353893227875232,0.0353893227875232,,human,UP
COL11A1,,,,0.0353869162499904,,,,,,,,0.0353869162499904,0.0353869162499904,,human,UP
KCNK13,0.0413888730108737,,,,,0.0286529343575239,,,,,,0.0350209036841988,0.0350209036841988,0.0413888730108737,human,UP
RPL27A,,,0.0348016358911991,,,,,,,,,0.0348016358911991,0.0348016358911991,,human,UP
CCL3L3,0.0607288815081119,,,0.0193933192640543,,0.0239770170301198,,,,,,0.0346997392674287,0.0239770170301198,0.0607288815081119,human,UP
NCL,,,0.0147706074640154,,,,,,0.0415422804653644,0.0477527529001235,,0.0346885469431678,0.0415422804653644,,human,UP
TALDO1,,,,,,,,,,0.0346885435283184,,0.0346885435283184,0.0346885435283184,,human,UP
EMG1,,,,,,,,,,0.0345446690917015,,0.0345446690917015,0.0345446690917015,,human,UP
IDH2,,,,,,,,,,,0.0344653129577636,0.0344653129577636,0.0344653129577636,,human,UP
MIEN1,,0.057613056153059,,,0.0107771456241607,,,,,,,0.0341951008886098,0.0341951008886098,,human,UP
IREB2,,,,,,,,,,,0.0341925099492073,0.0341925099492073,0.0341925099492073,,human,UP
CCND2,,,,,,,0.0341862961649894,,,,,0.0341862961649894,0.0341862961649894,,human,UP
ABCG2,,,,,,,,,,,0.0341632366180419,0.0341632366180419,0.0341632366180419,,human,UP
N4BP3,0.0340855605900287,,,,,,,,,,,0.0340855605900287,0.0340855605900287,0.0340855605900287,human,UP
GMCL1,,,,,,,,,,,0.0340358018875122,0.0340358018875122,0.0340358018875122,,human,UP
DIRC2,,,,,,,,0.0340176746249198,,,,0.0340176746249198,0.0340176746249198,,human,UP
PBX1,,,,,,,,0.0339984744787216,,,,0.0339984744787216,0.0339984744787216,,human,UP
CHCHD10,,,,0.0339956134557724,,,,,,,,0.0339956134557724,0.0339956134557724,,human,UP
COL10A1,,0.016541626304388,,0.0510869063436985,,,,,,,,0.0338142663240432,0.0338142663240432,,human,UP
FCRL3,0.0512207224965095,,,,,0.0163773782551288,,,,,,0.0337990503758192,0.0337990503758192,0.0512207224965095,human,UP
GLIS2,,,,0.0337016023695468,,,,,,,,0.0337016023695468,0.0337016023695468,,human,UP
MRAS,,,,,,,,,,,0.033607218414545,0.033607218414545,0.033607218414545,,human,UP
TMEM109,,,,,,,,0.0334721207618713,,,,0.0334721207618713,0.0334721207618713,,human,UP
ACOX1,,,,,,,,,,,0.0334644056856632,0.0334644056856632,0.0334644056856632,,human,UP
