gene_symbol,logfc_dz:392,logfc_dz:978,logfc_dz:148,logfc_dz:602,logfc_dz:24,logfc_dz:52,logfc_dz:39,logfc_dz:478,logfc_dz:448,logfc_dz:504,logfc_dz:11,mean_logfc,median_logfc,common_experiment,organism,signature_type
FUZ,,,,,,,,,,,0.2258952260017395,0.2258952260017395,0.2258952260017395,,human,UP
SPRR1B,,,,,,,0.211286649107933,,,,,0.211286649107933,0.211286649107933,,human,UP
PPP1R14BP1,,,,,,,,,,,0.191435694694519,0.191435694694519,0.191435694694519,,human,UP
PERP,,,,,,,0.1812070608139038,,,,,0.1812070608139038,0.1812070608139038,,human,UP
NDP,,,,,,,,,,,0.1530229151248932,0.1530229151248932,0.1530229151248932,,human,UP
IGHV4-31,,0.1697160899639129,0.238883763551712,0.1799928694963455,0.1347555667161941,,,,-0.0122594079002738,,,0.1422177763655781,0.1697160899639129,,human,UP
CNGB1,,,,,,,0.1363008618354797,,,,,0.1363008618354797,0.1363008618354797,,human,UP
FOXO3,,,,,,,,,0.1262000501155853,,,0.1262000501155853,0.1262000501155853,,human,UP
LACRT,,,,,,0.1243289113044738,,,,,,0.1243289113044738,0.1243289113044738,,human,UP
COMP,,,,0.1176198199391365,,,,,,,,0.1176198199391365,0.1176198199391365,,human,UP
TRH,0.1167430132627487,,,,,0.1114416196942329,,,,,,0.1140923164784908,0.1140923164784908,0.1167430132627487,human,UP
OSBPL2,,,,,,,,,,,0.1124484166502952,0.1124484166502952,0.1124484166502952,,human,UP
LAMC2,,,,,,,0.1101415008306503,,,,,0.1101415008306503,0.1101415008306503,,human,UP
CCL8,0.1938286274671554,,,,,0.0246029626578092,,,,,,0.1092157950624823,0.1092157950624823,0.1938286274671554,human,UP
PLEKHS1,0.123602457344532,,,,,0.0859340950846672,,,,,,0.1047682762145996,0.1047682762145996,0.123602457344532,human,UP
SSX1,,,,,,,,0.1039429754018783,,,,0.1039429754018783,0.1039429754018783,,human,UP
CTHRC1,,0.0522331036627292,,0.1903570741415023,0.0651314631104469,,,,,,,0.1025738803048928,0.0651314631104469,,human,UP
LOC100132319,0.0557649545371532,,,,,0.1404305547475814,,,,,,0.0980977546423673,0.0980977546423673,0.0557649545371532,human,UP
TRGC2,0.0654824450612068,,,,,0.1221842542290687,,,,,,0.0938333496451377,0.0938333496451377,0.0654824450612068,human,UP
TARP,0.0521307028830051,,,,,0.1307501494884491,,,,,,0.0914404261857271,0.0914404261857271,0.0521307028830051,human,UP
NTS,,0.1085568815469741,,,0.0655548796057701,,,,,,,0.0870558805763721,0.0870558805763721,,human,UP
HDC,,,,,,0.0856467634439468,,,,,,0.0856467634439468,0.0856467634439468,,human,UP
GALC,,,,,,,,,,,0.0855547562241554,0.0855547562241554,0.0855547562241554,,human,UP
LAMA3,,,,,,,0.0830841735005378,,,,,0.0830841735005378,0.0830841735005378,,human,UP
MAP3K10,,,,,,,,,,,0.08273646235466,0.08273646235466,0.08273646235466,,human,UP
NFATC3,,,,,,,,,,,0.0826247036457061,0.0826247036457061,0.0826247036457061,,human,UP
