gene_symbol,logfc_dz:867,logfc_dz:868,logfc_dz:869,logfc_dz:873,logfc_dz:872,logfc_dz:871,logfc_dz:851,logfc_dz:850,mean_logfc,median_logfc,common_experiment,organism,signature_type
GREM1,,,,,,,0.4732381701469421,0.078239656984806,0.2757389135658741,0.2757389135658741,0.4732381701469421,human,UP
HBA2,0.1919085532426834,0.185945376753807,0.2226690053939819,0.0236590541899204,0.4208361506462097,0.3932469487190246,,,0.2397108481576045,0.2072887793183326,,human,UP
COX1,0.2193437218666076,0.2227275073528289,0.1662748157978058,0.1819985508918762,0.2801369130611419,0.236871063709259,,,0.2178920954465866,0.2210356146097183,,human,UP
IGHV4-31,0.1707192659378051,0.3073671758174896,0.3087247610092163,0.1850520521402359,0.1032743602991104,0.1111799180507659,,,0.1977195888757705,0.1778856590390205,,human,UP
SERPINB2,,,,,,,0.2809841334819793,0.0663443058729171,0.1736642196774482,0.1736642196774482,0.2809841334819793,human,UP
ND2,0.0657596588134765,0.2073540836572647,0.2087075561285019,0.2637158334255218,0.1010603308677673,0.0527014844119548,,,0.1498831578840812,0.154207207262516,,human,UP
CYAT1,0.100056879222393,0.2322807610034942,0.1884564310312271,0.1602388322353363,,0.0321781560778617,,,0.1426422119140625,0.1602388322353363,,human,UP
IGHA2,0.087309792637825,0.2050506770610809,0.2416762858629226,0.2875626981258392,0.0130260959267616,0.0161842126399278,,,0.1418016270423928,0.1461802348494529,,human,UP
SERPINE2,,,,,,,0.0256362464278936,0.2395841777324676,0.1326102120801806,0.1326102120801806,0.0256362464278936,human,UP
HLA-DRB5,0.1557631492614746,0.1230749562382698,0.1025550365447998,0.1161666586995124,0.1296573132276535,0.0977906808257103,,,0.1208346324662367,0.1196208074688911,,human,UP
HLA-DRB4,0.1549077183008194,0.0806133225560188,0.0857809036970138,0.1261592805385589,0.1305157542228698,0.0910259112715721,,,0.1115004817644755,0.1085925959050655,,human,UP
HLA-DRA,0.1313488483428955,0.0848362892866134,0.0835600197315216,0.1169856786727905,0.1148212254047393,0.1321507692337036,,,0.1106171384453773,0.1159034520387649,,human,UP
IGFBP3,,,,,,,0.0603285059332847,0.1322354972362518,0.0962820015847683,0.0962820015847683,0.0603285059332847,human,UP
CCL18,0.0934292301535606,0.1366502046585083,0.0346854478120803,0.0131522361189126,0.0819891244173049,0.1570467799901962,,,0.0861588371917605,0.0877091772854328,,human,UP
