gene_symbol,logfc_dz:1029,logfc_dz:1030,logfc_dz:1032,logfc_dz:1038,logfc_dz:1028,logfc_dz:1026,logfc_dz:1027,logfc_dz:1024,logfc_dz:1022,logfc_dz:1023,logfc_dz:464,logfc_dz:1035,logfc_dz:1025,logfc_dz:1021,logfc_dz:1041,logfc_dz:1036,logfc_dz:1037,logfc_dz:1039,logfc_dz:1040,logfc_dz:1033,logfc_dz:1034,mean_logfc,median_logfc,common_experiment,organism,signature_type
CDH18,,,,,,,,,,,,0.1938642114400863,,,,,,,,,,0.1938642114400863,0.1938642114400863,0.1938642114400863,human,UP
PDIA6,,,,,,,,,,,,,,,,,0.1854128986597061,,,,,0.1854128986597061,0.1854128986597061,,human,UP
FOXD4L5,,,,,,,,,,,,,,,,0.0797996744513511,0.1607895195484161,,,,,0.1202945969998836,0.1202945969998836,,human,UP
NBPF9,,,,,,,,,,,,,,,,,,0.1131156608462333,,,,0.1131156608462333,0.1131156608462333,,human,UP
FAM107A,,,,,,,,,,,,,,,0.0503965616226196,,,0.1903244704008102,0.0554922558367252,,,0.0987377626200517,0.0554922558367252,,human,UP
PSG4,,,,,,,,,,,,,,,,0.0987166315317154,,,,,,0.0987166315317154,0.0987166315317154,,human,UP
LIPC,,,,,,,,,,,,,,,,,,,,,0.0975805222988128,0.0975805222988128,0.0975805222988128,,human,UP
SNORD116-14,,,,,,,,,,,,,,,,,0.0934392213821411,,,,,0.0934392213821411,0.0934392213821411,,human,UP
SNORD116-15,,,,,,,,,,,,,,,,,0.0919889360666275,,,,,0.0919889360666275,0.0919889360666275,,human,UP
CXCL6,,,,,,,,,,,,0.0879861116409301,,,,,,,,,,0.0879861116409301,0.0879861116409301,0.0879861116409301,human,UP
RNU5D-1,,,,,,,,,,,,,,,,,0.0851699039340019,,,,,0.0851699039340019,0.0851699039340019,,human,UP
ZIC2,,,,,,,,,,,,,,,,,,0.0819157734513282,,,,0.0819157734513282,0.0819157734513282,,human,UP
H3F3A,,,,,,,,,,,,,,,,,,0.0791839957237243,,,,0.0791839957237243,0.0791839957237243,,human,UP
