gene_symbol,logfc_dz:827,logfc_dz:753,logfc_dz:635,logfc_dz:828,logfc_dz:829,logfc_dz:830,logfc_dz:634,logfc_dz:467,logfc_dz:318,logfc_dz:712,logfc_dz:713,logfc_dz:714,logfc_dz:715,logfc_dz:565,logfc_dz:567,logfc_dz:568,logfc_dz:729,logfc_dz:566,mean_logfc,median_logfc,common_experiment,organism,signature_type
BPIFB1,0.1184774786233902,,0.1708343029022216,0.2159785628318786,0.1297295093536377,0.182023674249649,0.0395247414708137,0.1831413507461547,,,,,,,,,,,0.1485299457396779,0.1708343029022216,0.1184774786233902,human,UP
DEFA1B,,,,,,,,,,0.2805993854999542,-0.0118374722078442,0.3902718424797058,0.1094073429703712,,0.0167098641395568,,,0.0277957916259765,0.1354911257512867,0.0686015672981739,,human,UP
MSMB,0.0244326815009117,0.0338197611272335,0.0582012683153152,0.2913394570350647,0.1648463308811187,0.4312527477741241,-0.0878063812851905,0.3709525167942047,-0.1113980710506439,,,,,,,,,,0.1306267012324598,0.0582012683153152,0.0244326815009117,human,UP
LOC101927157,,,,0.1308724582195282,,,,0.1223575100302696,,,,,,,,,,,0.1266149841248989,0.1266149841248989,,human,UP
SNORA45A,,,,,,,,,,,,,,,0.1715204417705536,,,0.081187717616558,0.1263540796935558,0.1263540796935558,,human,UP
SLPI,0.2294272482395172,-0.0643839165568351,0.0738063901662826,0.1088290736079216,0.0756334885954856,-0.0317265801131725,0.3454862833023071,0.1102847158908844,,,,,,,,,,,0.1059195878915488,0.0922312811017036,0.2294272482395172,human,UP
CCDC114,,,,,,,,,0.1040839031338691,,,,,,,,,,0.1040839031338691,0.1040839031338691,,human,UP
CLC,,,,,,,,,,,,,-0.0217945352196693,0.2336540669202804,0.0643260106444358,0.1388631910085678,,,0.1037621833384037,0.1015946008265018,,human,UP
HIST1H1E,,,,,,,,,,,,,,0.2029095590114593,0.0380995869636535,0.0309019908308982,,0.1011994406580925,0.0932776443660259,0.069649513810873,,human,UP
RNU4-1,,,,,,,,,,,,,,,0.1113227531313896,0.0581962801516056,,,0.0847595166414976,0.0847595166414976,,human,UP
