gene_symbol,logfc_dz:769,logfc_dz:768,logfc_dz:548,logfc_dz:853,logfc_dz:855,logfc_dz:891,logfc_dz:892,logfc_dz:854,logfc_dz:543,logfc_dz:767,logfc_dz:542,logfc_dz:465,logfc_dz:852,logfc_dz:547,logfc_dz:549,logfc_dz:545,mean_logfc,median_logfc,common_experiment,organism,signature_type
RGPD6,0.0258485805243253,,,,,,,,0.0174227952957153,,,,,,,,0.0216356879100203,0.0216356879100203,0.0258485805243253,human,UP
ENDOU,,,,,,,,,,,,,,,,0.0216246228665113,0.0216246228665113,0.0216246228665113,,human,UP
PI16,,,,,,,,,,,,,,,,0.0216113217175006,0.0216113217175006,0.0216113217175006,,human,UP
PIP5K1B,,,,,,,,,,,,,,0.0215992983430624,,,0.0215992983430624,0.0215992983430624,,human,UP
PKD2L1,,,,,,,,,,,,,,,,0.0215935353189706,0.0215935353189706,0.0215935353189706,,human,UP
LENEP,,,,,,,,0.0215758755803108,,,,,,,,,0.0215758755803108,0.0215758755803108,,human,UP
SLC26A11,,,,,,,,,,,,,,,,0.0215646866708993,0.0215646866708993,0.0215646866708993,,human,UP
PEAR1,,,,,,,,,,,0.0215638726949691,,,,,,0.0215638726949691,0.0215638726949691,,human,UP
MFI2,,,,,,,,,,,,,,0.0215528178960084,,,0.0215528178960084,0.0215528178960084,,human,UP
NSMF,,,,,0.0215514134615659,,,,,,,,,,,,0.0215514134615659,0.0215514134615659,,human,UP
HIST1H1C,,,,,,,,,,,,,,,,0.0215492919087409,0.0215492919087409,0.0215492919087409,,human,UP
RPS16P5,,,,,,,,,,0.0231475941836833,0.0199344530701637,,,,,,0.0215410236269235,0.0215410236269235,,human,UP
AGAP5,,0.0188878048211336,,,,,,,0.0241858027875423,,,,,,,,0.0215368038043379,0.0215368038043379,,human,UP
ARID3B,0.0239265095442533,,,,,,,,0.019146529957652,,,,,,,,0.0215365197509527,0.0215365197509527,0.0239265095442533,human,UP
GFPT1,,,,,,0.0215281471610069,,,,,,,,,,,0.0215281471610069,0.0215281471610069,,human,UP
HMGN3,,0.0226467605680227,,,0.0148971332237124,,,,0.0211169775575399,,,,0.0254168752580881,,0.0234544724225997,,0.0215064438059926,0.0226467605680227,,human,UP
KIDINS220,,,,,,0.0214975830167531,,,,,,,,,,,0.0214975830167531,0.0214975830167531,,human,UP
RPL35,,,-0.0406585074961185,,0.0469213463366031,,0.0153931323438882,0.0347887426614761,,,,0.0121845053508877,0.0603435710072517,,,,0.021495465033998,0.0250909375026822,,human,UP
SLC39A12,,,,,,,,,,,,,,,,0.0214757677167654,0.0214757677167654,0.0214757677167654,,human,UP
SYMPK,,,,,,,,,,,,,,,,0.0214696396142244,0.0214696396142244,0.0214696396142244,,human,UP
LMOD1,,,,,,,,,,,,,,0.0214614365249872,,,0.0214614365249872,0.0214614365249872,,human,UP
LOC100130987,,,,,,,,,,,0.0214611738920211,,,,,,0.0214611738920211,0.0214611738920211,,human,UP
FAM65B,,,0.0261184014379978,,,,,,,,,,,0.0238497387617826,0.0143395168706774,,0.0214358856901526,0.0238497387617826,,human,UP
ZNF565,,,,,,,,,,0.0210117325186729,0.0218501724302768,,,,,,0.0214309524744749,0.0214309524744749,,human,UP
ZNF37A,0.018648711964488,,,,,,,,0.0171702392399311,0.0235522165894508,0.0262663774192333,,,,,,0.0214093863032758,0.0211004642769694,0.018648711964488,human,UP
PSAPL1,,0.0213996861129999,,,,,,,,,,,,,,,0.0213996861129999,0.0213996861129999,,human,UP
SEC14L1,,,,,,,,,,,,,,,,0.0213851276785135,0.0213851276785135,0.0213851276785135,,human,UP
CALR,,,,,,0.013324661180377,0.0294338017702102,,,,,,,,,,0.0213792314752936,0.0213792314752936,,human,UP
AREG,,,,,,,,,,,,,,0.0213550254702568,,,0.0213550254702568,0.0213550254702568,,human,UP
SKIV2L2,,,,,,0.021341748535633,,,,,,,,,,,0.021341748535633,0.021341748535633,,human,UP
MT1M,,,,,0.0207521896809339,,,,,,,,0.0219160467386245,,,,0.0213341182097792,0.0213341182097792,,human,UP
MLST8,,0.0213299393653869,,,,,,,,,,,,,,,0.0213299393653869,0.0213299393653869,,human,UP
NAAA,,,,,,,,,,,,,,,,0.0213068705052137,0.0213068705052137,0.0213068705052137,,human,UP
TMEM191A,,0.0213062651455402,,,,,,,,,,,,,,,0.0213062651455402,0.0213062651455402,,human,UP
HSD17B6,,,,,,,,,,,,,,,,0.0212971903383731,0.0212971903383731,0.0212971903383731,,human,UP
TIAM1,,,,,0.0152328535914421,,0.0273462757468223,,,,,,,,,,0.0212895646691322,0.0212895646691322,,human,UP
EIF2D,,,,,,,,,,0.0175788570195436,0.0249835066497325,,,,,,0.0212811818346381,0.0212811818346381,,human,UP
GMNN,,,,,,,,,,,,,,,,0.0212710611522197,0.0212710611522197,0.0212710611522197,,human,UP
MLEC,,,,,,,,,,,,0.0212706271559,,,,,0.0212706271559,0.0212706271559,,human,UP
LOC100510519,,,,,,,,,,,,,,,0.0212555117905139,,0.0212555117905139,0.0212555117905139,,human,UP
MEGF11,,,,,,,,,,,,,,,,0.021251905709505,0.021251905709505,0.021251905709505,,human,UP
LRRC6,,,,,,,,,,0.0227170716971158,0.0197860673069953,,,,,,0.0212515695020556,0.0212515695020556,,human,UP
PDP1,0.0237438138574361,,,0.0187547095119953,,,,,,,,,,,,,0.0212492616847157,0.0212492616847157,0.0237438138574361,human,UP
ANKRD20A13P,,-0.0476586483418941,,0.0581093207001686,0.0243104808032512,,,,-0.0348549485206604,0.0683254674077034,0.0592592880129814,,,,,,0.0212484933435916,0.0412099007517099,,human,UP
