"","logFC","AveExpr","t","P.Value","adj.P.Val","B","probe.id"
"2353_at",-3.20354903258901,9.17409501547526,-8.65508232596888,6.29675427146233e-14,5.68205790734072e-13,21.1986020711211,"2353_at"
"2354_at",-3.12746799370611,8.17443758458225,-8.23431488833823,5.37118208407974e-13,3.6552589305744e-12,19.0885144125035,"2354_at"
"AFFX-HUMRGE/M10098_5_at",2.76574175411607,11.1043775410855,10.1350511354042,3.07087529388182e-17,8.37600659385821e-16,28.7149086291602,"AFFX-HUMRGE/M10098_5_at"
"AFFX-HUMRGE/M10098_M_at",2.63043882536915,10.6923262596023,12.162016284504,9.23053946372171e-22,1.92937112627424e-19,38.9844948701574,"AFFX-HUMRGE/M10098_M_at"
"1522_at",2.48930807116429,8.27991205956812,21.1100391769851,1.46760640386273e-39,3.00624495767242e-35,79.1550154773933,"1522_at"
"10562_at",2.33870504040348,5.75859469571366,5.96817455162235,3.29637343789529e-08,8.34337248262043e-08,8.28222430045937,"10562_at"
"5125_at",2.28817546717279,7.77906858027177,8.83310287857622,2.53023094951467e-14,2.57985319909699e-13,22.0965504655998,"5125_at"
"83690_at",2.16691894121163,7.1448155183861,6.18950636351929,1.18845641266956e-08,3.23770995572859e-08,9.27706992501643,"83690_at"
"3726_at",-2.15808062496371,9.23617479855965,-9.93252273394953,8.74884322974499e-17,2.03880892739586e-15,27.6824222904744,"3726_at"
"11197_at",2.10354544587718,5.64215476552436,6.38767738313133,4.70538355740881e-09,1.37240966499155e-08,10.1818553660838,"11197_at"
"132203_at",2.06557675360307,5.32934750599359,8.76642623257769,3.56113225309654e-14,3.48691362678918e-13,21.759916638077,"132203_at"
"7538_at",-2.05694730057595,10.6565127873102,-8.68798185502199,5.32136425961411e-14,4.92556825548737e-13,21.3643443365848,"7538_at"
"56547_at",2.03258367805134,9.40979394179318,3.6444298586483,0.000418622583991063,0.00063679377769738,-0.805061024654235,"56547_at"
"10926_at",2.01921104862244,7.24128440672156,9.72285106142617,2.58557789148519e-16,5.13704922688483e-15,26.6139170692504,"10926_at"
"347_at",-2.00381538091302,9.89747945531204,-6.18571761160745,1.20955410066818e-08,3.29124683821559e-08,9.2598975289598,"347_at"
"401190_at",1.95709609191172,4.6207565925794,10.3590282987536,9.6495480453514e-18,3.1524934953904e-16,29.8566499353141,"401190_at"
"2878_at",-1.93853051176469,10.1847843444085,-3.20340087326176,0.00179881898094746,0.00256042026306217,-2.1650081405812,"2878_at"
"79801_at",1.90511615848735,5.28189163760463,9.67494602155913,3.31163097605978e-16,6.32924834719158e-15,26.3698974693383,"79801_at"
"2052_at",-1.90414233715961,10.0995989177272,-10.9963649416401,3.6000261587814e-19,2.14385134117584e-17,33.10036255379,"2052_at"
"7153_at",1.90142879301779,7.68105034727122,5.64248950745543,1.43433309332197e-07,3.3060514328353e-07,6.8512078164058,"7153_at"
"126393_at",-1.88024126966861,7.50702069810937,-8.35471071681135,2.91401750656761e-13,2.14098761135333e-12,19.6902921839988,"126393_at"
"83540_at",1.87707309644524,6.14295570260765,8.7218585449092,4.47422812636834e-14,4.26034548337413e-13,21.535109768125,"83540_at"
"9592_at",-1.84374008510022,11.4040835831598,-11.1500422917186,1.63242638952836e-19,1.14515829325681e-17,33.8804624786348,"9592_at"
"5534_at",1.83987583986142,6.66488245458885,17.3219779044341,1.52212249453273e-32,7.79478929450213e-29,63.3977066639359,"5534_at"
"10403_at",1.7990716614137,6.3282587857248,7.02641608808936,2.20575201341749e-10,8.17637065559967e-10,13.177154138038,"10403_at"
"155465_at",1.79894112043842,8.25709655503547,6.58539896414266,1.84565524713182e-09,5.78433324391804e-09,11.0968319768947,"155465_at"
"4001_at",1.7870304586363,7.62122438677845,7.92990224327684,2.50136520592209e-12,1.42963071646507e-11,17.5753644187604,"4001_at"
"29070_at",1.78135899861246,6.43998762820609,10.1679841340603,2.59016561008506e-17,7.20882504850303e-16,28.8828056540259,"29070_at"
"84078_at",1.7774315816758,5.91941262574039,10.7600416822751,1.21697584467937e-18,5.62720839783572e-17,31.8989332800745,"84078_at"
