"exp_id","cmap_score","p.x","q","subset_comparison_id","analysis_id","name","concentration","duration","cell_line","array_platform","vehicle","vendor","vendor_catalog_id","vendor_catalog_name","drug_concept_id","cas_number","DrugBank.ID","drug_name","r","p.y","num_peers","valid"
923,-0.195000720763832,0.08767,0.35322787318362,"file16e95612cf3f_logFC_0","CMAP","acetazolamide",1.8e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","3","Acetazolamide [59-66-5]","C0000981","59-66-5","DB00819","acetazolamide",0.162039321523865,1.32835944221622e-77,3,1
4394,-0.233274607058507,0.01833,0.148849734042553,"file16e95612cf3f_logFC_0","CMAP","aciclovir",1.78e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","86","Acyclovir [59277-89-3]","NULL","59277-89-3","DB00787","aciclovir",0.237059890986861,2.13511897671481e-166,5,1
5412,-0.245866596014245,0.0098,0.106453097345133,"file16e95612cf3f_logFC_0","CMAP","aminophenazone",1.72e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","88","Amidopyrine [58-15-1]","NULL","58-15-1","DB01424","aminophenazone",0.180198937529972,8.06299697559495e-96,4,1
2204,-0.185896466321231,0.11915,0.419881571346043,"file16e95612cf3f_logFC_0","CMAP","aminophylline",9.6e-06,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","820","Aminophylline [317-34-0]","C1271551","317-34-0","DB01223","aminophylline",0.412091184879139,0,3,1
4369,-0.188720526281307,0.10852,0.398481949458484,"file16e95612cf3f_logFC_0","CMAP","amiodarone",5.8e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","409","Amiodarone hydrochloride [19774-82-4]","C0700442","19774-82-4","DB01118","amiodarone",0.324466243995119,4.33776297276177e-318,4,1
1895,-0.202106065564954,0.06773,0.306720861172977,"file16e95612cf3f_logFC_0","CMAP","amrinone",2.14e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","800","Amrinone [60719-84-8]","NULL","60719-84-8","DB01427","amrinone",0.177067576722764,1.56160831682166e-92,3,1
1004,-0.251956293568884,0.00728,0.0908139059304704,"file16e95612cf3f_logFC_0","CMAP","atropine",5.8e-06,6,"HL60","HG-U133A","DMSO","Prestwick Chemical","565","Atropine sulfate monohydrate [5908-99-6]","C0004259","5908-99-6","DB00572","atropine",0.295790076070166,3.46568246256299e-262,3,1
1179,-0.280968037590497,0.0015,0.0427570093457944,"file16e95612cf3f_logFC_0","CMAP","baclofen",1.88e-05,6,"PC3","HG-U133A","DMSO","Prestwick Chemical","85","Baclofen (R,S) [1134-47-0]","C0004609","1134-47-0","DB00181","baclofen",0.333325044152497,0,4,1
3787,-0.23594924447244,0.01617,0.139514851485149,"file16e95612cf3f_logFC_0","CMAP","benzocaine",2.42e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","712","Benzocaine [94-09-7]","C0005059","94-09-7","DB01086","benzocaine",0.171189807410987,1.58113667542257e-86,3,1
1650,-0.186398403488489,0.11711,0.415509302325581,"file16e95612cf3f_logFC_0","CMAP","bisacodyl",1.1e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","419","Bisacodyl [603-50-9]","C0005632","603-50-9","DB09020","bisacodyl",0.179464001215756,4.82472447872698e-95,3,1
