"exp_id","cmap_score","p.x","q","subset_comparison_id","analysis_id","name","concentration","duration","cell_line","array_platform","vehicle","vendor","vendor_catalog_id","vendor_catalog_name","drug_concept_id","cas_number","DrugBank.ID","drug_name","r","p.y","num_peers","valid"
923,-0.195000720763832,0.08767,0.35322787318362,"file16e95612cf3f_logFC_0","CMAP","acetazolamide",1.8e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","3","Acetazolamide [59-66-5]","C0000981","59-66-5","DB00819","acetazolamide",0.162039321523865,1.32835944221622e-77,3,1
4394,-0.233274607058507,0.01833,0.148849734042553,"file16e95612cf3f_logFC_0","CMAP","aciclovir",1.78e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","86","Acyclovir [59277-89-3]","NULL","59277-89-3","DB00787","aciclovir",0.237059890986861,2.13511897671481e-166,5,1
5412,-0.245866596014245,0.0098,0.106453097345133,"file16e95612cf3f_logFC_0","CMAP","aminophenazone",1.72e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","88","Amidopyrine [58-15-1]","NULL","58-15-1","DB01424","aminophenazone",0.180198937529972,8.06299697559495e-96,4,1
2204,-0.185896466321231,0.11915,0.419881571346043,"file16e95612cf3f_logFC_0","CMAP","aminophylline",9.6e-06,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","820","Aminophylline [317-34-0]","C1271551","317-34-0","DB01223","aminophylline",0.412091184879139,0,3,1
4369,-0.188720526281307,0.10852,0.398481949458484,"file16e95612cf3f_logFC_0","CMAP","amiodarone",5.8e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","409","Amiodarone hydrochloride [19774-82-4]","C0700442","19774-82-4","DB01118","amiodarone",0.324466243995119,4.33776297276177e-318,4,1
1895,-0.202106065564954,0.06773,0.306720861172977,"file16e95612cf3f_logFC_0","CMAP","amrinone",2.14e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","800","Amrinone [60719-84-8]","NULL","60719-84-8","DB01427","amrinone",0.177067576722764,1.56160831682166e-92,3,1
1004,-0.251956293568884,0.00728,0.0908139059304704,"file16e95612cf3f_logFC_0","CMAP","atropine",5.8e-06,6,"HL60","HG-U133A","DMSO","Prestwick Chemical","565","Atropine sulfate monohydrate [5908-99-6]","C0004259","5908-99-6","DB00572","atropine",0.295790076070166,3.46568246256299e-262,3,1
1179,-0.280968037590497,0.0015,0.0427570093457944,"file16e95612cf3f_logFC_0","CMAP","baclofen",1.88e-05,6,"PC3","HG-U133A","DMSO","Prestwick Chemical","85","Baclofen (R,S) [1134-47-0]","C0004609","1134-47-0","DB00181","baclofen",0.333325044152497,0,4,1
3787,-0.23594924447244,0.01617,0.139514851485149,"file16e95612cf3f_logFC_0","CMAP","benzocaine",2.42e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","712","Benzocaine [94-09-7]","C0005059","94-09-7","DB01086","benzocaine",0.171189807410987,1.58113667542257e-86,3,1
1650,-0.186398403488489,0.11711,0.415509302325581,"file16e95612cf3f_logFC_0","CMAP","bisacodyl",1.1e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","419","Bisacodyl [603-50-9]","C0005632","603-50-9","DB09020","bisacodyl",0.179464001215756,4.82472447872698e-95,3,1
4920,-0.18774010433491,0.11213,0.404969212551806,"file16e95612cf3f_logFC_0","CMAP","bupropion",1.44e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","249","Bupropion hydrochloride [31677-93-7]","C0700563","31677-93-7","DB01156","bupropion",0.183100923717934,6.39026681361923e-99,3,1
1812,-0.2210684332463,0.03227,0.20941170212766,"file16e95612cf3f_logFC_0","CMAP","buspirone",9.4e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","369","Buspirone hydrochloride [33386-08-2]","C0006462","33386-08-2","DB00490","buspirone",0.367802380638669,0,3,1
2210,-0.207312252794544,0.05629,0.276487530168946,"file16e95612cf3f_logFC_0","CMAP","carbachol",2.18e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","880","Carbachol [51-83-2]","C0006945","51-83-2","DB00411","carbachol",0.203482155581916,3.38457429389559e-122,3,1
2427,-0.185446105720675,0.12081,0.423286042504308,"file16e95612cf3f_logFC_0","CMAP","carteolol",1.22e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","446","Carteolol hydrochloride [51781-21-6]","C0543450","51781-21-6","DB00521","carteolol",0.206394899521393,9.69922227862107e-126,3,1
5216,-0.27767547179571,0.00187,0.0475850622406639,"file16e95612cf3f_logFC_0","CMAP","cefaclor",1.04e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","485","Cefaclor [70356-03-5]","C0007537","70356-03-5","DB00833","cefaclor",0.166365171746843,9.30262019576357e-82,3,1
550,-0.25380525742369,0.00662,0.0874420600858369,"file16e95612cf3f_logFC_0","CMAP","cefalexin",1.1e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","358","Cephalexin monohydrate [23325-78-2]","NULL","23325-78-2","DB00567","cefalexin",0.193961532059888,5.37479931208032e-111,4,1
4766,-0.207051174456354,0.05682,0.277725961538462,"file16e95612cf3f_logFC_0","CMAP","cefmetazole",8.2e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","700","Cefmetazole sodium salt [56796-39-5]","C0007550","56796-39-5","DB00274","cefmetazole",0.202149903695789,1.35440548065472e-120,3,1
3040,-0.250054762727798,0.00793,0.0950353634577603,"file16e95612cf3f_logFC_0","CMAP","cefotetan",7e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","473","Cefotetan [69712-56-7]","C0007555","69712-56-7","DB01330","cefotetan",0.159598717610956,2.61060113518969e-75,2,1
2386,-0.216079091842803,0.03982,0.236012609117362,"file16e95612cf3f_logFC_0","CMAP","chlormezanone",1.46e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","336","Chlormezanone [80-77-3]","C0008223","80-77-3","DB01178","chlormezanone",0.250000475638351,1.95415275667238e-185,3,1
3357,-0.218527614598366,0.03599,0.222492401215805,"file16e95612cf3f_logFC_0","CMAP","ciclacillin",1.18e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","1120","Cyclacillin [3485-14-1]","NULL","3485-14-1","DB01000","ciclacillin",0.331226963430545,0,3,1
3539,-0.270738087205285,0.0026,0.0550899653979239,"file16e95612cf3f_logFC_0","CMAP","citalopram",1e-06,6,"PC3","HT_HG-U133A","DMSO","Sigma-Aldrich","C7861","Citalopram hydrobromide [59729-32-7]","C0008845","59729-32-7","DB00215","citalopram",0.431928842293206,0,3,1
482,-0.25668465007,0.00577,0.083802380952381,"file16e95612cf3f_logFC_0","CMAP","clozapine",1e-05,6,"HL60","HT_HG-U133A","DMSO","Sigma-Aldrich","C-6305","clozapine","C0009079","NULL","DB00363","clozapine",0.384776188400096,0,16,1
4878,-0.29062135822254,0.00091,0.0353566878980892,"file16e95612cf3f_logFC_0","CMAP","cyclopentolate",1.22e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","1095","Cyclopentolate hydrochloride [5870-29-1]","C0010582","5870-29-1","DB00979","cyclopentolate",0.196534561064383,5.75769134190874e-114,3,1
