gene_symbol,logfc_dz:770,logfc_dz:573,logfc_dz:544,logfc_dz:302,logfc_dz:107,logfc_dz:461,logfc_dz:572,logfc_dz:570,logfc_dz:546,logfc_dz:181,mean_logfc,median_logfc,common_experiment,organism,signature_type
S100P,,,,,,,0.3320647180080414,0.0271041132509708,,,0.1795844156295061,0.1795844156295061,,human,UP
FCGR3B,,,,,,,0.1795159578323364,0.098035492002964,,,0.1387757249176502,0.1387757249176502,,human,UP
LTF,,,,,,,,0.1243186071515083,,,0.1243186071515083,0.1243186071515083,,human,UP
MT1E,,0.0584125742316246,,0.1193932369351387,0.032400693744421,0.243386298418045,,,,,0.1133982008323073,0.0889029055833816,,human,UP
TENM2,0.0973684713244438,,0.1213622540235519,,,,,,,,0.1093653626739978,0.1093653626739978,0.1213622540235519,human,UP
APOD,0.1363760828971862,0.0558987185359001,0.1331460922956466,0.0288016386330127,,,,,,,0.0885556330904364,0.0945224054157733,0.1331460922956466,human,UP
CXCR2,,,,,,,0.0876367464661598,,,,0.0876367464661598,0.0876367464661598,,human,UP
HSPE1,,,,,,,,,,0.0862669646739959,0.0862669646739959,0.0862669646739959,,human,UP
PUS7,,,0.0803049877285957,,,,,,,,0.0803049877285957,0.0803049877285957,0.0803049877285957,human,UP
DPM1,,,,,,,,,,0.077002614736557,0.077002614736557,0.077002614736557,,human,UP
GAPDH,0.02562334574759,0.0733027309179306,,,0.119847372174263,,0.0774145647883415,,,,0.0740470034070313,0.075358647853136,,human,UP
HCK,,,,,,,,0.0711351558566093,,,0.0711351558566093,0.0711351558566093,,human,UP
GFAP,,,,,,0.0697013065218925,,,,,0.0697013065218925,0.0697013065218925,,human,UP
RPS18,,0.0610352270305156,,0.1156930923461914,0.0972827821969986,0.0820121765136718,0.0308729968965053,,,0.0167304705828428,0.0672711242611209,0.0715237017720937,,human,UP
MT1H,,0.040941335260868,,0.0939097926020622,,0.0626175925135612,,,,,0.0658229067921638,0.0626175925135612,,human,UP
MTHFD1,,,,,,,,,,0.0655756741762161,0.0655756741762161,0.0655756741762161,,human,UP
VNN2,,,,,,,0.0537061467766761,0.0751485750079155,,,0.0644273608922958,0.0644273608922958,,human,UP
