gene_symbol,logfc_dz:769,logfc_dz:768,logfc_dz:548,logfc_dz:853,logfc_dz:855,logfc_dz:891,logfc_dz:892,logfc_dz:854,logfc_dz:543,logfc_dz:767,logfc_dz:542,logfc_dz:465,logfc_dz:852,logfc_dz:547,logfc_dz:549,logfc_dz:545,mean_logfc,median_logfc,common_experiment,organism,signature_type
ITM2A,,,-0.0579774677753448,,,,,-0.0525987334549427,,,,,,,-0.0262094363570213,-0.0306069795042276,-0.0418481542728841,-0.0416028564795851,,human,DOWN
IGFBP5,,,,,,,-0.0416753366589546,,,,,,,,,,-0.0416753366589546,-0.0416753366589546,,human,DOWN
SEMA3A,,,,,,,-0.0416551046073436,,,,,,,,,,-0.0416551046073436,-0.0416551046073436,,human,DOWN
ATP1B1,-0.021203938871622,-0.0172959193587303,,0.0515413358807563,-0.0784137025475502,,-0.0225041843950748,,-0.0311330799013376,,,-0.1342387199401855,-0.0781363397836685,,,,-0.0414230686146765,-0.0268186321482062,-0.021203938871622,human,DOWN
BCL2L14,,,,,,,,,,,,,,-0.0412075892090797,,,-0.0412075892090797,-0.0412075892090797,,human,DOWN
SUCLA2,-0.0592705532908439,,,,,,,,-0.0230626761913299,,,,,,,,-0.0411666147410869,-0.0411666147410869,-0.0592705532908439,human,DOWN
APOC1,,,,,,,,,,,,,,,,-0.0410559587180614,-0.0410559587180614,-0.0410559587180614,,human,DOWN
GPM6B,,,,0.0174586456269025,-0.0670736283063888,,0.0180560518056154,,,,,-0.1250671595335006,-0.0485787615180015,,,,-0.0410409703850746,-0.0485787615180015,,human,DOWN
CD8A,,,,,,,,,,,,,,,-0.040624726563692,,-0.040624726563692,-0.040624726563692,,human,DOWN
DMTN,,,,,,,,-0.0193845648318529,,,,-0.0616336837410926,,,,,-0.0405091242864728,-0.0405091242864728,,human,DOWN
GNL2,-0.0402614548802375,,,,,,,,,,,,,,,,-0.0402614548802375,-0.0402614548802375,-0.0402614548802375,human,DOWN
GDF3,,,,,,,,,,,,,,-0.0398334302008152,,,-0.0398334302008152,-0.0398334302008152,,human,DOWN
GOT2,,,,-0.0394927524030208,,,,,,,,,,,,,-0.0394927524030208,-0.0394927524030208,,human,DOWN
SMYD3,-0.0519883334636688,,,,,,,,-0.0264165345579385,,,,,,,,-0.0392024340108037,-0.0392024340108037,-0.0519883334636688,human,DOWN
DCUN1D2,-0.0391232408583164,,,,,,,,,,,,,,,,-0.0391232408583164,-0.0391232408583164,-0.0391232408583164,human,DOWN
DGKZ,,,,,,,,,,,,-0.0390284992754459,,,,,-0.0390284992754459,-0.0390284992754459,,human,DOWN
HSD11B1,,,,,,,,,,,,,,,,-0.0389372669160366,-0.0389372669160366,-0.0389372669160366,,human,DOWN
RPL29,,,-0.063136950135231,,,,,,,,,-0.0146993147209286,,,,,-0.0389181324280798,-0.0389181324280798,,human,DOWN
BCAN,,,,,,-0.0616253428161144,-0.0159364324063062,,,,,,,,,,-0.0387808876112103,-0.0387808876112103,,human,DOWN
