gene_symbol,logfc_dz:924,logfc_dz:594,logfc_dz:590,logfc_dz:593,logfc_dz:586,logfc_dz:762,logfc_dz:454,logfc_dz:710,logfc_dz:249,logfc_dz:760,logfc_dz:810,logfc_dz:188,logfc_dz:923,logfc_dz:759,logfc_dz:589,logfc_dz:587,logfc_dz:585,logfc_dz:591,logfc_dz:588,logfc_dz:993,logfc_dz:264,mean_logfc,median_logfc,common_experiment,organism,signature_type
MT1G,,0.0120616145431995,-0.0277164690196514,-0.0677111744880676,-0.017694354057312,,,,-0.0549347884953022,-0.0565210506319999,,,,,,0.0219075214117765,,,,,,-0.027229814391051,-0.0277164690196514,-0.0677111744880676,human,DOWN
ZNF706,,,,,,-0.0271306559443473,,,,,,-0.0271306559443473,,,,,,,,,,-0.0271306559443473,-0.0271306559443473,,human,DOWN
CCL25,,,,,,,,,,,,,,,,-0.0271185934543609,,,,,,-0.0271185934543609,-0.0271185934543609,,human,DOWN
KLF10,,,0.0182338953018188,,,,,,,,-0.0724409371614456,,,,,,,,,,,-0.0271035209298133,-0.0271035209298133,,human,DOWN
P2RX1,,,,-0.0270012039691209,,,,,,,,,,,,,,,,,,-0.0270012039691209,-0.0270012039691209,-0.0270012039691209,human,DOWN
EIF4A1,,-0.0212812274694442,,,,-0.0511013232171535,,,,,0.0155034530907869,-0.0511013232171535,,,,,,,,,,-0.0269951052032411,-0.0361912753432989,,human,DOWN
TMPRSS2,,,-0.0572667866945266,0.0221156999468803,,,,,,,,,,,-0.0186095666140317,,-0.0308339782059192,-0.0363427437841892,-0.0408625453710556,,,-0.026966653453807,-0.0335883609950542,0.0221156999468803,human,DOWN
NR1H4,,,-0.0208101905882358,,,,,,,,,,,,,,,-0.0331200845539569,,,,-0.0269651375710964,-0.0269651375710964,,human,DOWN
XIST,,,-0.0748937800526619,0.0635254383087158,,0.0335232987999916,,,-0.0293238647282123,,,0.0335232987999916,,-0.0147014539688825,-0.0378954634070396,-0.1059986650943756,-0.0212407857179641,-0.1157108172774314,,,,-0.0269192794337868,-0.0252823252230882,0.0635254383087158,human,DOWN
UGT2A3,,,0.0382600128650665,-0.0566572733223438,-0.149454727768898,,,,,,,,,,-0.0353086031973362,0.0200975257903337,-0.0385138802230358,,0.0334087945520877,,,-0.0268811644720179,-0.0353086031973362,-0.0566572733223438,human,DOWN
IL10RA,,,,,,-0.0268376879394054,,,,,,-0.0268376879394054,,,,,,,,,,-0.0268376879394054,-0.0268376879394054,,human,DOWN
IER5,,,,,,,,,,,-0.0268170125782489,,,,,,,,,,,-0.0268170125782489,-0.0268170125782489,,human,DOWN
LIN7A,,,,,,,,,,,,,,,,,,-0.0268080104142427,,,,-0.0268080104142427,-0.0268080104142427,,human,DOWN
RPS27A,,,,,,-0.0276993215084075,,,,,,-0.0276993215084075,,-0.0246969107538461,,,,,,,,-0.0266985179235537,-0.0276993215084075,,human,DOWN
GDPD2,,,,,,,,,,,,,,,-0.0297718159854412,,,-0.0235862918198108,,,,-0.026679053902626,-0.026679053902626,,human,DOWN
GDPD3,,,,,,,,,,,,,,,,,,-0.0266396291553974,,,,-0.0266396291553974,-0.0266396291553974,,human,DOWN
TRIM2,,,,,,,,,-0.0234119575470685,-0.0202735587954521,,,,-0.0361577905714511,,,,,,,,-0.0266144356379906,-0.0234119575470685,,human,DOWN
PJA2,,,,,,,,,-0.0288926754146814,-0.0167379844933748,,,,-0.0341338701546192,,,,,,,,-0.0265881766875584,-0.0288926754146814,,human,DOWN
CD52,,,,,,-0.0497784689068794,,,,,,-0.0497784689068794,,,,,-0.0295642800629138,0.0229934155941009,,,,-0.0265319505706429,-0.0396713744848966,,human,DOWN
UNG,,,-0.0219971258193254,,,,,,,,,,,,,,,-0.0310016516596078,,,,-0.0264993887394666,-0.0264993887394666,,human,DOWN
SBNO2,,,-0.0265866853296756,,,,,,,,,,,,,,,-0.0264016613364219,,,,-0.0264941733330488,-0.0264941733330488,,human,DOWN
GCNT2,,,-0.0223051439970731,,-0.0193909257650375,,,,,,,,,,-0.0270168166607618,,,-0.036923374980688,,,,-0.0264090653508901,-0.0246609803289175,,human,DOWN
CD6,,,,,,,,,,,,,,,,,-0.02637311629951,,,,,-0.02637311629951,-0.02637311629951,,human,DOWN
RAB17,,,,,,,,,,,,,,,,-0.0263434462249279,,,,,,-0.0263434462249279,-0.0263434462249279,,human,DOWN
GGNBP2,,,,,,-0.0263165943324565,,,,,,-0.0263165943324565,,,,,,,,,,-0.0263165943324565,-0.0263165943324565,,human,DOWN
UBXN4,,,,,,,,,-0.0224897861480712,,,,,-0.0299720410257577,,,,,,,,-0.0262309135869145,-0.0262309135869145,,human,DOWN
FCER2,,,-0.0177063029259443,,-0.0325618050992488,,,,,,,,,,,,-0.0370610021054744,,-0.0175485406070947,,,-0.0262194126844406,-0.0251340540125966,,human,DOWN
BIK,,,,,,,,,,,,,,,,,-0.0262028854340314,,,,,-0.0262028854340314,-0.0262028854340314,,human,DOWN
GPR37,,,-0.030278218910098,,,,,,,,,,,,,,,-0.0221265368163585,,,,-0.0262023778632283,-0.0262023778632283,,human,DOWN
BMP2,,,,,,,,,,,,,,,,,-0.0261895731091499,,,,,-0.0261895731091499,-0.0261895731091499,,human,DOWN
IMPA1,,-0.0214469879865646,,,,,,,,,-0.0306227300316095,,,,,,,,,,,-0.026034859009087,-0.026034859009087,,human,DOWN
HSP90AA1,-0.0135738542303442,-0.0262925121933221,,,,-0.0633700489997863,-0.0390681698918342,,-0.0137374410405755,,0.0665037184953689,-0.0633700489997863,-0.0315901301801204,-0.0495271608233451,,,,,,,,-0.0260028497626384,-0.0315901301801204,,human,DOWN
ATP1B3,,,,,,,,,-0.0441027618944644,-0.0409507527947425,,,,-0.0383988767862319,,,0.0194780845195055,,,,,-0.0259935767389833,-0.0396748147904872,,human,DOWN
ABCF1,,,,,,-0.0259566456079483,,,,,,-0.0259566456079483,,,,,,,,,,-0.0259566456079483,-0.0259566456079483,,human,DOWN
ABR,,,,,,,,,,,,,,,-0.025937370955944,,,,,,,-0.025937370955944,-0.025937370955944,,human,DOWN
SLC44A4,,-0.0207669138908386,,,,,-0.0106401117518544,-0.0418252311646938,,,-0.0284534618258476,,,,,,,,-0.0279625803232193,,,-0.0259296597912907,-0.0279625803232193,,human,DOWN
TXN,,,,,,,,0.0137719716876745,-0.0385553799569606,-0.0128953456878662,,,,-0.0660249218344688,,,,,,,,-0.0259259189479053,-0.0257253628224134,,human,DOWN
CYP2J2,,,,,-0.0221445746719837,,,,,,,,,,-0.0196794811636209,-0.0358876623213291,,,,,,-0.0259039060523112,-0.0221445746719837,,human,DOWN
SLC35F5,,,,,,,,,,,,,,,,,,,,-0.0258770249783992,-0.0258770249783992,-0.0258770249783992,-0.0258770249783992,,human,DOWN
BCAS1,,,,,,,,,-0.0429270267486572,-0.0256550051271915,,,,-0.0513161085546016,,0.0166441965848207,,,,,,-0.0258134859614074,-0.0342910159379243,,human,DOWN
GALNT14,,,,,,,,,,,,,,,,-0.0257861707359552,,,,,,-0.0257861707359552,-0.0257861707359552,,human,DOWN
PCSK1N,,,,,,,,,,,,,,,,,,,-0.0256543513387441,,,-0.0256543513387441,-0.0256543513387441,,human,DOWN
HOXA3,,,,,,,,,,,,,,,,,,,-0.0256507769227027,,,-0.0256507769227027,-0.0256507769227027,,human,DOWN
NANS,,,,-0.0276201348751783,-0.0236545577645301,,,,,,,,,,,,,,,,,-0.0256373463198542,-0.0256373463198542,-0.0276201348751783,human,DOWN
ACSBG1,,,,,,,,,,,,,,,,,,-0.0255486238747835,,,,-0.0255486238747835,-0.0255486238747835,,human,DOWN
TSC22D1,,,,,,,,,-0.0238248705863952,-0.0203124694526195,,,,-0.0325046107172966,,,,,,,,-0.0255473169187704,-0.0238248705863952,,human,DOWN
OVOL1,,,-0.0260773599147796,,,,,,,,,,,,,,,-0.0248366110026836,,,,-0.0254569854587316,-0.0254569854587316,,human,DOWN
C8G,,,,,,,,,,,,,,,,,,-0.0254246462136507,,,,-0.0254246462136507,-0.0254246462136507,,human,DOWN
TRAPPC8,,,,,,,,,-0.0279122423380613,-0.0170407630503177,,,,-0.0312567427754402,,,,,,,,-0.0254032493879397,-0.0279122423380613,,human,DOWN
GAL3ST1,,,,-0.0238390602171421,-0.0229735504835844,,,,,,,,,,-0.0233656782656908,-0.0364204198122024,-0.0201846398413181,,,,,-0.0253566697239875,-0.0233656782656908,-0.0238390602171421,human,DOWN
RAP1GAP,,,,-0.0184363592416048,,,,,-0.0146359875798225,,,,,,-0.0324990712106227,,,,-0.0358463823795318,,,-0.0253544501028955,-0.0254677152261137,-0.0184363592416048,human,DOWN
S100A10,-0.0317677892744541,,,,,,-0.0146970655769109,,-0.029456615447998,,,,-0.0128890816122293,-0.0377085320651531,,,,,,,,-0.0253038167953491,-0.029456615447998,,human,DOWN
CKMT1B,,,-0.0241426695138216,,-0.0208422690629959,,,,,,,,,,-0.0256473794579505,,-0.0283689573407173,-0.0255246572196483,-0.0272934585809707,,,-0.025303231862684,-0.0255860183387994,,human,DOWN
UTP20,,,,,,,,,,,,,,,,,-0.0252769514918327,,,,,-0.0252769514918327,-0.0252769514918327,,human,DOWN
SIK1,,,,,,-0.0252608656883239,,,,,,-0.0252608656883239,,,,,,,,,,-0.0252608656883239,-0.0252608656883239,,human,DOWN
SPINT2,,,,,,,,,-0.0336665324866771,-0.0345115177333354,-0.0159046538174152,,,-0.0169594120234251,,,,,,,,-0.0252605290152132,-0.0253129722550511,,human,DOWN
CACNA1E,,,,,,,,,,,,,,,,,,,-0.0252300761640071,,,-0.0252300761640071,-0.0252300761640071,,human,DOWN
SCO2,,,,,,-0.0252163112163543,,,,,,-0.0252163112163543,,,,,,,,,,-0.0252163112163543,-0.0252163112163543,,human,DOWN
SERINC1,,-0.0171255860477685,,,,,,,-0.0236213225871324,-0.0121521120890975,-0.0347238816320896,,,-0.0384306497871875,,,,,,,,-0.0252107104286551,-0.0236213225871324,,human,DOWN
SPINT1,,,-0.0344068929553031,,,,,,-0.0187737047672271,-0.0188999399542808,,,,,,,,-0.0287542212754488,,,,-0.025208689738065,-0.0238270806148648,,human,DOWN
CHP1,,,,,,,,,,,-0.0251407623291015,,,,,,,,,,,-0.0251407623291015,-0.0251407623291015,,human,DOWN
RBM47,,,-0.0209866445511579,,-0.0236310642212629,,,,,,,,,,-0.0283784735947847,,-0.0221079401671886,-0.0232128165662288,-0.0323442257940769,,,-0.0251101941491166,-0.0234219403937459,,human,DOWN
ARL6IP1,,-0.0224745366722345,,,,,,,-0.0247980076819658,-0.0239825136959552,-0.0140958717092871,,,-0.0399612784385681,,,,,,,,-0.0250624416396021,-0.0239825136959552,,human,DOWN
CAPN9,,,,-0.0250178668648004,,,,,,,,,,,,,,,,,,-0.0250178668648004,-0.0250178668648004,-0.0250178668648004,human,DOWN
MAGIX,,,,-0.0250054765492677,,,,,,,,,,,,,,,,,,-0.0250054765492677,-0.0250054765492677,-0.0250054765492677,human,DOWN
RTN4,,,,,,,,,-0.0148746687918901,,,,,-0.0350959450006485,,,,,,,,-0.0249853068962693,-0.0249853068962693,,human,DOWN
TMEM254,,,,-0.0249429084360599,,,,,,,,,,,,,,,,,,-0.0249429084360599,-0.0249429084360599,-0.0249429084360599,human,DOWN
CHST5,,,,-0.0249096658080816,,,,,,,,,,,,,,,,,,-0.0249096658080816,-0.0249096658080816,-0.0249096658080816,human,DOWN
ACIN1,,,,,,,,,-0.0303414165973663,-0.0114892637357115,,,,-0.0327342338860034,,,,,,,,-0.0248549714063604,-0.0303414165973663,,human,DOWN
HERC3,,,-0.0247701592743396,,,,,,,,,,,,,,,,,,,-0.0247701592743396,-0.0247701592743396,,human,DOWN
GALR3,,,,,,,,,,,,,,,,,,,-0.0247677583247423,,,-0.0247677583247423,-0.0247677583247423,,human,DOWN
ACVRL1,,,,-0.0247666593641042,,,,,,,,,,,,,,,,,,-0.0247666593641042,-0.0247666593641042,-0.0247666593641042,human,DOWN
CREG1,,,,,,,,-0.0247541312128305,,,,,,,,,,,,,,-0.0247541312128305,-0.0247541312128305,,human,DOWN
LUZP2,,,,-0.0191490892320871,-0.0301771983504295,,,,,,,,,,,,,,,,,-0.0246631437912583,-0.0246631437912583,-0.0191490892320871,human,DOWN
ITGA3,,,,,,,,,,,,,,,,,,,-0.0245919115841388,,,-0.0245919115841388,-0.0245919115841388,,human,DOWN
GSAP,,,,,,-0.0245878845453262,,,,,,-0.0245878845453262,,,,,,,,,,-0.0245878845453262,-0.0245878845453262,,human,DOWN
GGT1,,,,-0.0245616603642702,,,,,,,,,,,,,,,,,,-0.0245616603642702,-0.0245616603642702,-0.0245616603642702,human,DOWN
ZDHHC7,-0.0102949338033795,,,,,-0.0373937748372554,,-0.0131403049454092,,,,-0.0373937748372554,,,,,,,,,,-0.0245556971058249,-0.0252670398913323,,human,DOWN
AGPAT2,,,,,,,,,,,,,,,,,,,-0.024519108235836,,,-0.024519108235836,-0.024519108235836,,human,DOWN
SPTBN1,,,,,,,,,,,,,,,-0.0216049011796712,,,-0.0272881928831338,,,,-0.0244465470314025,-0.0244465470314025,,human,DOWN
TPPP3,,,,,,,,,,,,,,,,-0.0233250651508569,,,-0.0253434497863054,,,-0.0243342574685812,-0.0243342574685812,,human,DOWN
PIP5K1C,,,,,,,,,,,,,,,,,,,-0.0243288855999708,,,-0.0243288855999708,-0.0243288855999708,,human,DOWN
RPL36A,,0.0414710342884063,,,,,-0.0534572750329971,-0.0501511506736278,,-0.0118114463984966,-0.0399681739509105,,-0.0390427447855472,-0.0168519839644432,,,,,,,,-0.0242588200739451,-0.0390427447855472,,human,DOWN
EMID1,,,,-0.0241484995931386,,,,,,,,,,,,,,,,,,-0.0241484995931386,-0.0241484995931386,-0.0241484995931386,human,DOWN
NKX2-8,,,,-0.0193931479007005,,,,,,,,,,,,,,,-0.0288618505001068,,,-0.0241274992004036,-0.0241274992004036,-0.0193931479007005,human,DOWN
NHEJ1,,,,-0.0241156611591577,,,,,,,,,,,,,,,,,,-0.0241156611591577,-0.0241156611591577,-0.0241156611591577,human,DOWN
CWF19L1,,,,,-0.0170397646725177,,,,,,,,,,,,-0.0310803353786468,,,,,-0.0240600500255823,-0.0240600500255823,,human,DOWN
VILL,,,,,,,,,,,,,,,,,,-0.0240323990583419,,,,-0.0240323990583419,-0.0240323990583419,,human,DOWN
DDC,,,,,-0.0308778379112482,,,,,,,,,,-0.0171857234090566,,,,,,,-0.0240317806601524,-0.0240317806601524,,human,DOWN
