gene_symbol,logfc_dz:417,mean_logfc,median_logfc,common_experiment,organism,signature_type
DCAF6,0.1178680136799812,0.1178680136799812,0.1178680136799812,0.1178680136799812,human,UP
TUBB2A,0.1175104975700378,0.1175104975700378,0.1175104975700378,0.1175104975700378,human,UP
TUBB2B,0.0707657262682914,0.0707657262682914,0.0707657262682914,0.0707657262682914,human,UP
LAPTM5,0.0683955326676368,0.0683955326676368,0.0683955326676368,0.0683955326676368,human,UP
EEF2,0.0600603930652141,0.0600603930652141,0.0600603930652141,0.0600603930652141,human,UP
TMA7,0.0531914457678794,0.0531914457678794,0.0531914457678794,0.0531914457678794,human,UP
RPL23A,0.0526717044413089,0.0526717044413089,0.0526717044413089,0.0526717044413089,human,UP
RPS18,0.050613135099411,0.050613135099411,0.050613135099411,0.050613135099411,human,UP
LDHA,0.0499614141881465,0.0499614141881465,0.0499614141881465,0.0499614141881465,human,UP
HSP90AB1,0.0479510836303234,0.0479510836303234,0.0479510836303234,0.0479510836303234,human,UP
GAPDH,0.0468465201556682,0.0468465201556682,0.0468465201556682,0.0468465201556682,human,UP
IER3,0.046621635556221,0.046621635556221,0.046621635556221,0.046621635556221,human,UP
MIF,0.0464625209569931,0.0464625209569931,0.0464625209569931,0.0464625209569931,human,UP
HLA-DQA1,0.0464116185903549,0.0464116185903549,0.0464116185903549,0.0464116185903549,human,UP
BCL2A1,0.0457486771047115,0.0457486771047115,0.0457486771047115,0.0457486771047115,human,UP
RPS4X,0.0452504642307758,0.0452504642307758,0.0452504642307758,0.0452504642307758,human,UP
RPLP0,0.0448958873748779,0.0448958873748779,0.0448958873748779,0.0448958873748779,human,UP
UQCRH,0.0437962226569652,0.0437962226569652,0.0437962226569652,0.0437962226569652,human,UP
FTL,0.0437769815325737,0.0437769815325737,0.0437769815325737,0.0437769815325737,human,UP
PPIB,0.0415665097534656,0.0415665097534656,0.0415665097534656,0.0415665097534656,human,UP
RPL13A,0.039697952568531,0.039697952568531,0.039697952568531,0.039697952568531,human,UP
MYL12B,0.0394414104521274,0.0394414104521274,0.0394414104521274,0.0394414104521274,human,UP
B2M,0.0391765721142292,0.0391765721142292,0.0391765721142292,0.0391765721142292,human,UP
EIF5A,0.0388133004307746,0.0388133004307746,0.0388133004307746,0.0388133004307746,human,UP
PKM,0.0380967818200588,0.0380967818200588,0.0380967818200588,0.0380967818200588,human,UP
CKS2,0.0375863648951053,0.0375863648951053,0.0375863648951053,0.0375863648951053,human,UP
FCER2,0.0373177453875541,0.0373177453875541,0.0373177453875541,0.0373177453875541,human,UP
TPT1,0.0372485667467117,0.0372485667467117,0.0372485667467117,0.0372485667467117,human,UP
LY75,0.0365875177085399,0.0365875177085399,0.0365875177085399,0.0365875177085399,human,UP
RPL35,0.0362350903451442,0.0362350903451442,0.0362350903451442,0.0362350903451442,human,UP
RPL27,0.0361987575888633,0.0361987575888633,0.0361987575888633,0.0361987575888633,human,UP
RPL39,0.0360944494605064,0.0360944494605064,0.0360944494605064,0.0360944494605064,human,UP
DAD1,0.0360434800386428,0.0360434800386428,0.0360434800386428,0.0360434800386428,human,UP
CRELD2,0.0350425578653812,0.0350425578653812,0.0350425578653812,0.0350425578653812,human,UP
IFNGR1,0.0349817797541618,0.0349817797541618,0.0349817797541618,0.0349817797541618,human,UP
RPS29,0.0336805209517478,0.0336805209517478,0.0336805209517478,0.0336805209517478,human,UP
