gene_symbol,logfc_dz:857,logfc_dz:981,logfc_dz:509,mean_logfc,median_logfc,common_experiment,organism,signature_type
THBD,,-0.0231001842767,,-0.0231001842767,-0.0231001842767,-0.0231001842767,human,DOWN
VAMP3,-0.0224034450948238,,-0.0236312244087457,-0.0230173347517848,-0.0230173347517848,,human,DOWN
LUM,-0.022967554628849,,,-0.022967554628849,-0.022967554628849,,human,DOWN
MSH3,,-0.0226963777095079,,-0.0226963777095079,-0.0226963777095079,-0.0226963777095079,human,DOWN
MATN2,-0.0204497929662466,,-0.0244407188147306,-0.0224452558904886,-0.0224452558904886,,human,DOWN
MT4,,-0.0224171802401542,,-0.0224171802401542,-0.0224171802401542,-0.0224171802401542,human,DOWN
UCHL3,-0.0222526956349611,,-0.0225272178649902,-0.0223899567499756,-0.0223899567499756,,human,DOWN
CST6,,-0.022360036149621,,-0.022360036149621,-0.022360036149621,-0.022360036149621,human,DOWN
PIP,-0.0223396215587854,,,-0.0223396215587854,-0.0223396215587854,,human,DOWN
CPE,-0.0195568073540925,,-0.0250687152147293,-0.0223127612844109,-0.0223127612844109,,human,DOWN
F3,-0.0292860735207796,-0.0127616105601191,-0.0248593166470527,-0.0223023335759838,-0.0248593166470527,-0.0127616105601191,human,DOWN
HEBP2,-0.0248764399439096,,-0.0191549211740493,-0.0220156805589795,-0.0220156805589795,,human,DOWN
RPS4Y1,0.0452435277402401,-0.0734797418117523,-0.0377986393868923,-0.0220116178194681,-0.0377986393868923,-0.0734797418117523,human,DOWN
PAM,-0.0189071837812662,,-0.0250909309834241,-0.0219990573823452,-0.0219990573823452,,human,DOWN
OLFML3,-0.0204751156270504,,-0.0234637204557657,-0.021969418041408,-0.021969418041408,,human,DOWN
EID1,-0.0200647804886102,,-0.023555738851428,-0.0218102596700191,-0.0218102596700191,,human,DOWN
HMGCR,-0.0217113625258207,,,-0.0217113625258207,-0.0217113625258207,,human,DOWN
PPP1CC,-0.0208851862698793,,-0.0223727133125066,-0.021628949791193,-0.021628949791193,,human,DOWN
YWHAQ,-0.018680665642023,,-0.0244951304048299,-0.0215878980234265,-0.0215878980234265,,human,DOWN
DEFB1,-0.0221934355795383,-0.0209325794130563,,-0.0215630074962973,-0.0215630074962973,-0.0209325794130563,human,DOWN
EMP1,,-0.0215132031589746,,-0.0215132031589746,-0.0215132031589746,-0.0215132031589746,human,DOWN
RPL35,-0.041081104427576,0.0152204427868127,-0.0383100733160972,-0.0213902449856201,-0.0383100733160972,0.0152204427868127,human,DOWN
LAMP1,-0.0176534876227378,,-0.0249650590121746,-0.0213092733174562,-0.0213092733174562,,human,DOWN
ALDH3A2,-0.0248974543064832,-0.015031992457807,-0.0238016806542873,-0.0212437091395258,-0.0238016806542873,-0.015031992457807,human,DOWN
PGRMC1,-0.0211917757987976,,,-0.0211917757987976,-0.0211917757987976,,human,DOWN
CIRBP,,-0.0211552381515502,,-0.0211552381515502,-0.0211552381515502,-0.0211552381515502,human,DOWN
HLA-DPB1,,-0.0211235880851745,,-0.0211235880851745,-0.0211235880851745,-0.0211235880851745,human,DOWN
IMPDH2,,-0.0209932066500186,,-0.0209932066500186,-0.0209932066500186,-0.0209932066500186,human,DOWN
TECR,,-0.0209652800112962,,-0.0209652800112962,-0.0209652800112962,-0.0209652800112962,human,DOWN
DCN,-0.019937440752983,,-0.0219707004725933,-0.0209540706127882,-0.0209540706127882,,human,DOWN
MSMO1,-0.0591678135097026,,0.0175518002361059,-0.0208080066367983,-0.0208080066367983,,human,DOWN
UBL3,-0.0199809186160564,,-0.0215910859405994,-0.0207860022783279,-0.0207860022783279,,human,DOWN
KLK5,-0.0268014576286077,-0.0133092794567346,-0.0219878423959016,-0.020699526493748,-0.0219878423959016,-0.0133092794567346,human,DOWN
CDK2AP1,,,-0.0206783600151538,-0.0206783600151538,-0.0206783600151538,,human,DOWN
SCEL,,-0.0206642188131809,,-0.0206642188131809,-0.0206642188131809,-0.0206642188131809,human,DOWN
HMGN2,-0.0134070925414562,,-0.0278782434761524,-0.0206426680088043,-0.0206426680088043,,human,DOWN
RPL17,-0.0186419505625963,,-0.0225946977734565,-0.0206183241680264,-0.0206183241680264,,human,DOWN
IL18,,-0.0266013164073228,-0.01452920679003,-0.0205652615986764,-0.0205652615986764,-0.0266013164073228,human,DOWN
SYPL1,-0.0209028515964746,,-0.0201192814856767,-0.0205110665410757,-0.0205110665410757,,human,DOWN
CHP2,-0.01509615406394,-0.0259158238768577,,-0.0205059889703989,-0.0205059889703989,-0.0259158238768577,human,DOWN
PCBP1,-0.0195798464119434,,-0.0212316494435071,-0.0204057479277253,-0.0204057479277253,,human,DOWN
RPL15,,-0.0203517526388168,,-0.0203517526388168,-0.0203517526388168,-0.0203517526388168,human,DOWN
TM9SF2,-0.0215006154030561,,-0.0191989615559577,-0.0203497884795069,-0.0203497884795069,,human,DOWN
CD55,-0.024236487224698,-0.0124049363657832,-0.0242399387061595,-0.0202937874322136,-0.024236487224698,-0.0124049363657832,human,DOWN
TIPARP,,-0.0202225055545568,,-0.0202225055545568,-0.0202225055545568,-0.0202225055545568,human,DOWN
NACA,-0.0201323889195919,,-0.0201917886734008,-0.0201620887964963,-0.0201620887964963,,human,DOWN
AIDA,-0.0186195820569992,,-0.0216579549014568,-0.020138768479228,-0.020138768479228,,human,DOWN
FBL,,-0.0200407840311527,,-0.0200407840311527,-0.0200407840311527,-0.0200407840311527,human,DOWN
RPL27,-0.0349656194448471,0.01032589469105,-0.0354564227163791,-0.0200320491567254,-0.0349656194448471,0.01032589469105,human,DOWN
ZNF750,-0.0507188700139522,0.0291477292776107,-0.0381418205797672,-0.0199043204387029,-0.0381418205797672,0.0291477292776107,human,DOWN
RAB11A,-0.0214770678430795,-0.0202937256544828,-0.01680907048285,-0.0195266213268041,-0.0202937256544828,-0.0202937256544828,human,DOWN
DHCR24,-0.0301110595464706,-0.0386006385087966,0.011195134371519,-0.0191721878945827,-0.0301110595464706,-0.0386006385087966,human,DOWN
