gene_symbol,logfc_dz:493,logfc_dz:663,logfc_dz:407,logfc_dz:735,logfc_dz:656,logfc_dz:554,logfc_dz:660,mean_logfc,median_logfc,common_experiment,organism,signature_type
ITGAV,,,0.0201059039682149,,,,,0.0201059039682149,0.0201059039682149,,human,UP
VAPA,,,,,0.0200969371944665,,,0.0200969371944665,0.0200969371944665,,human,UP
UQCR11,,,,,0.0200422257184982,,,0.0200422257184982,0.0200422257184982,,human,UP
AMZ2,0.0200193785130977,,,,,,,0.0200193785130977,0.0200193785130977,0.0200193785130977,human,UP
LBP,,0.0565491653978824,-0.0266616865992546,,,,0.0300015527755022,0.01996301052471,0.0300015527755022,,human,UP
RPL30,0.0405559130012989,0.0380354076623916,,-0.0672857016324997,0.0604873038828372,-0.0194672290235757,0.0650157406926155,0.0195569057638446,0.0392956603318452,0.0405559130012989,human,UP
RPL13A,0.0530198961496353,,0.033242180943489,-0.0270526688545942,0.0581917203962802,-0.0149879604578018,0.0140743870288133,0.0194145925343036,0.0236582839861512,0.0530198961496353,human,UP
RPS27,0.0388864651322364,0.0283053610473871,,,,-0.0292344503104686,0.0390260592103004,0.0192458587698638,0.0335959130898118,0.0388864651322364,human,UP
MX1,,0.0269997417926788,0.0342494510114192,0.0268542747944593,,-0.013373932801187,,0.0186823836993426,0.026927008293569,,human,UP
OAZ1,,-0.0107963467016816,,0.0228945687413215,0.0331930220127105,,0.0270581915974617,0.018087358912453,0.0249763801693916,,human,UP
RPL19,0.082852579653263,0.0351098477840423,,-0.0568650998175144,0.0334593169391155,-0.0140574853867292,0.0237745847553014,0.0173789573212464,0.0286169508472085,0.082852579653263,human,UP
FTL,,0.0697892606258392,0.0448288209736347,0.020565154030919,0.0331695079803466,-0.038175668567419,-0.0277874525636434,0.0170649370799462,0.0268673310056328,,human,UP
RPS18,0.0686924085021019,0.0123838111758232,,-0.0462850332260131,0.0262628626078367,,0.0240181423723697,0.0170144382864236,0.0240181423723697,0.0686924085021019,human,UP
BTG1,,0.0244512632489204,,0.0632621571421623,,-0.0375147797167301,,0.0167328802247842,0.0244512632489204,,human,UP
CYP27A1,,0.0349906980991363,-0.0087693631649017,,,,0.0219963677227497,0.0160725675523281,0.0219963677227497,,human,UP
HSP90B1,,0.0367295891046524,-0.0222195573151111,,,,0.0287625640630722,0.0144241986175378,0.0287625640630722,,human,UP
EEF2,-0.0157324280589818,,,,0.0243979711085557,,0.0344360657036304,0.0143672029177347,0.0243979711085557,-0.0157324280589818,human,UP
