gene_symbol,logfc_dz:925,logfc_dz:927,logfc_dz:926,logfc_dz:928,mean_logfc,median_logfc,common_experiment,organism,signature_type
YWHAZ,,,-0.0215317644178867,,-0.0215317644178867,-0.0215317644178867,-0.0215317644178867,human,DOWN
TXNIP,-0.026479011401534,-0.0233671180903911,0.019275639206171,-0.0554701350629329,-0.0215101563371717,-0.0249230647459626,0.019275639206171,human,DOWN
PKM,-0.0154040167108178,,-0.0275839995592832,,-0.0214940081350505,-0.0214940081350505,-0.0275839995592832,human,DOWN
COL3A1,-0.0222246255725622,,,-0.0206348411738872,-0.0214297333732247,-0.0214297333732247,,human,DOWN
TMBIM6,-0.0213856007903814,,,,-0.0213856007903814,-0.0213856007903814,,human,DOWN
TSPAN13,-0.0151591720059514,,-0.0272035114467144,,-0.0211813417263329,-0.0211813417263329,-0.0272035114467144,human,DOWN
GOLGA8B,,,-0.0208884458988904,,-0.0208884458988904,-0.0208884458988904,-0.0208884458988904,human,DOWN
NCOA4,,-0.0265001859515905,-0.0141474623233079,-0.0219335108995437,-0.0208603863914807,-0.0219335108995437,-0.0141474623233079,human,DOWN
LAPTM4A,0.0368273332715034,-0.0384387820959091,-0.0270206816494464,-0.0538178570568561,-0.020612496882677,-0.0327297318726778,-0.0270206816494464,human,DOWN
SDC1,,-0.0205010585486888,,,-0.0205010585486888,-0.0205010585486888,,human,DOWN
TUFT1,,-0.0234881658107042,,-0.0173097159713506,-0.0203989408910274,-0.0203989408910274,,human,DOWN
ACADM,-0.0308863259851932,-0.0097048310562968,,,-0.020295578520745,-0.020295578520745,,human,DOWN
ALDH2,,-0.0200886353850364,,,-0.0200886353850364,-0.0200886353850364,,human,DOWN
KTN1,-0.0150207448750734,,-0.0251273550093173,,-0.0200740499421954,-0.0200740499421954,-0.0251273550093173,human,DOWN
TMEM14B,,-0.0211992897093296,-0.0238212253898382,-0.0128968423232436,-0.0193057858074704,-0.0211992897093296,-0.0238212253898382,human,DOWN
RPL27,0.0167876631021499,-0.0239170156419277,-0.0403693206608295,,-0.0158328910668691,-0.0239170156419277,-0.0403693206608295,human,DOWN
RPS18,0.0480290874838829,-0.0478311628103256,-0.0441453009843826,-0.0158721394836902,-0.0149548789486289,-0.0300087202340364,-0.0441453009843826,human,DOWN
MSMO1,-0.0408093854784965,-0.0425968021154403,0.0483121909201145,,-0.0116979988912741,-0.0408093854784965,0.0483121909201145,human,DOWN
KRT5,-0.0301394909620285,-0.0405979938805103,,0.0365683734416961,-0.0113897038002808,-0.0301394909620285,,human,DOWN
RPS7,0.0344836749136447,-0.0468302965164184,-0.0207649488002061,,-0.0110371901343266,-0.0207649488002061,-0.0207649488002061,human,DOWN
