gene_symbol,logfc_dz:494,logfc_dz:1060,logfc_dz:1063,logfc_dz:277,logfc_dz:1061,logfc_dz:310,logfc_dz:1062,mean_logfc,median_logfc,common_experiment,organism,signature_type
RPS3A,-0.0153700048103928,,-0.0339546911418437,,,,-0.0310524422675371,-0.0267923794065912,-0.0310524422675371,,human,DOWN
SPHK1,,,,,,-0.0267465505748987,,-0.0267465505748987,-0.0267465505748987,,human,DOWN
FLNC,,-0.011022170074284,,,,-0.0424076095223426,,-0.0267148897983133,-0.0267148897983133,-0.011022170074284,human,DOWN
SERPINH1,,-0.026672963052988,,,,,,-0.026672963052988,-0.026672963052988,-0.026672963052988,human,DOWN
MEIS1,,,,,,,-0.0266582425683736,-0.0266582425683736,-0.0266582425683736,,human,DOWN
CHCHD7,,,,,,,-0.0265191700309515,-0.0265191700309515,-0.0265191700309515,,human,DOWN
GLA,,,,,,,-0.026406493037939,-0.026406493037939,-0.026406493037939,,human,DOWN
GNAI1,,,,,,,-0.0262897424399852,-0.0262897424399852,-0.0262897424399852,,human,DOWN
GRIN2D,-0.0358142182230949,,,,,-0.0166867617517709,,-0.0262504899874329,-0.0262504899874329,,human,DOWN
AIF1,-0.0262469369918108,,,,,,,-0.0262469369918108,-0.0262469369918108,,human,DOWN
SIRPA,,,,,,-0.02623300999403,,-0.02623300999403,-0.02623300999403,,human,DOWN
RCN3,,,,,,-0.0262206941843032,,-0.0262206941843032,-0.0262206941843032,,human,DOWN
NACA2,-0.0261909924447536,,,,,,,-0.0261909924447536,-0.0261909924447536,,human,DOWN
NDUFS8,,,,,-0.0261651817709207,,,-0.0261651817709207,-0.0261651817709207,,human,DOWN
CXCL12,,-0.026139598339796,,,,,,-0.026139598339796,-0.026139598339796,-0.026139598339796,human,DOWN
TMEM14B,,,-0.0261095948517322,,,,,-0.0261095948517322,-0.0261095948517322,,human,DOWN
HSPA1A,,0.0107639543712139,,-0.0629731267690658,,,,-0.0261045861989259,-0.0261045861989259,0.0107639543712139,human,DOWN
SOBP,,,,-0.025985786691308,,,,-0.025985786691308,-0.025985786691308,,human,DOWN
ATP1A1,,,,-0.0259656757116317,,,,-0.0259656757116317,-0.0259656757116317,,human,DOWN
SSR2,-0.0259647499769926,,,,,,,-0.0259647499769926,-0.0259647499769926,,human,DOWN
CCL7,,,,,,-0.0259432327002286,,-0.0259432327002286,-0.0259432327002286,,human,DOWN
PMAIP1,,,-0.0259373821318149,,,,,-0.0259373821318149,-0.0259373821318149,,human,DOWN
PNRC1,-0.019374256953597,,-0.0323315076529979,,,,,-0.0258528823032975,-0.0258528823032975,,human,DOWN
GUK1,-0.025794144719839,,,,,,,-0.025794144719839,-0.025794144719839,,human,DOWN
LUC7L3,,,,,,,-0.0257598664611578,-0.0257598664611578,-0.0257598664611578,,human,DOWN
FILIP1L,,,,,,-0.0257283803075552,,-0.0257283803075552,-0.0257283803075552,,human,DOWN
EIF4G2,-0.0287622418254613,,,,-0.0224745795130729,,,-0.0256184106692671,-0.0256184106692671,,human,DOWN
DDAH2,,,-0.0255947671830654,,,,,-0.0255947671830654,-0.0255947671830654,,human,DOWN
NEFM,,,,-0.0255893263965845,,,,-0.0255893263965845,-0.0255893263965845,,human,DOWN
TMEM97,,,,,,,-0.0255592223256826,-0.0255592223256826,-0.0255592223256826,,human,DOWN
GYPC,,,-0.0255266614258289,,,,,-0.0255266614258289,-0.0255266614258289,,human,DOWN
CTNNA1,,,,,-0.0255201384425163,,,-0.0255201384425163,-0.0255201384425163,,human,DOWN
NREP,-0.0343668088316917,-0.0562119595706462,,,0.0140415858477354,,,-0.0255123941848675,-0.0343668088316917,-0.0562119595706462,human,DOWN
TBCA,-0.0299835465848445,-0.0206931717693805,-0.0160082373768091,,-0.0352820232510566,,,-0.0254917447455227,-0.0253383591771125,-0.0206931717693805,human,DOWN
DDX3X,,,,,,,-0.0254570357501506,-0.0254570357501506,-0.0254570357501506,,human,DOWN
NSA2,,-0.0210301652550697,,,-0.027932021766901,,-0.0272482093423604,-0.025403465454777,-0.0272482093423604,-0.0210301652550697,human,DOWN
SSRP1,-0.0253999661654233,,,,,,,-0.0253999661654233,-0.0253999661654233,,human,DOWN
CLK1,,,,,,,-0.0253114234656095,-0.0253114234656095,-0.0253114234656095,,human,DOWN
RPP21,,,,,-0.0252844616770744,,,-0.0252844616770744,-0.0252844616770744,,human,DOWN
ETFB,-0.0252750664949417,,,,,,,-0.0252750664949417,-0.0252750664949417,,human,DOWN
KLK3,-0.025251755490899,,,,,,,-0.025251755490899,-0.025251755490899,,human,DOWN
TUBA1A,,,-0.0443691574037075,-0.0239455848932266,-0.020456725731492,-0.0120225613936781,,-0.025198507355526,-0.0222011553123593,,human,DOWN
UQCR11,,,,-0.0251468922942876,,,,-0.0251468922942876,-0.0251468922942876,,human,DOWN
INPP5F,,,,-0.0251420810818672,,,,-0.0251420810818672,-0.0251420810818672,,human,DOWN
SRI,-0.0122859217226505,,,,,,-0.0379458144307136,-0.025115868076682,-0.025115868076682,,human,DOWN
