gene_symbol,logfc_dz:749,logfc_dz:748,logfc_dz:747,logfc_dz:750,logfc_dz:812,mean_logfc,median_logfc,common_experiment,organism,signature_type
HBD,0.0496709682047367,0.1557851135730743,0.2014099806547165,0.2461771517992019,0.2076167315244674,0.1721319891512394,0.2014099806547165,0.2014099806547165,human,UP
HBB,,0.0393179170787334,0.0641031637787818,0.215287372469902,0.0912974700331687,0.1025014808401465,0.0777003169059753,0.0641031637787818,human,UP
FTL,-0.0286261942237615,0.1349506676197052,0.0911598727107048,0.1816748529672622,0.0921579599380493,0.094263431802392,0.0921579599380493,0.0911598727107048,human,UP
IFITM2,0.0813546404242515,0.0801433771848678,0.0958240255713462,0.0547329597175121,0.0468990914523601,0.0717908188700676,0.0801433771848678,0.0958240255713462,human,UP
DCAF6,0.0641324296593666,0.125239610671997,0.075924813747406,0.0519677847623825,0.0348368510603904,0.0704202979803085,0.0641324296593666,0.075924813747406,human,UP
BEX1,-0.0201644711196422,,0.0768579840660095,0.0559908561408519,0.1665185987949371,0.069800741970539,0.0664244201034307,0.0768579840660095,human,UP
TALDO1,0.0647906363010406,0.06889109313488,0.0553630143404006,0.0777963176369667,0.0689053386449813,0.0671492800116539,0.06889109313488,0.0553630143404006,human,UP
TBC1D8,,0.0259199254214763,,0.1071399375796318,,0.066529931500554,0.066529931500554,,human,UP
HBA2,0.0327580906450748,,-0.0590589866042137,0.2178274542093277,0.0629730299115181,0.0636248970404267,0.0478655602782964,-0.0590589866042137,human,UP
RPS13,0.0537598356604576,0.0994731411337852,0.068715788424015,0.0493787340819835,0.0423595532774925,0.0627374105155468,0.0537598356604576,0.068715788424015,human,UP
RPS20,0.0836659148335456,0.1038479804992675,0.0232632104307413,0.0255438704043626,,0.0590802440419793,0.0546048926189541,0.0232632104307413,human,UP
RPL36A,0.013801772147417,0.0974140092730522,0.0687237754464149,0.0780094787478447,0.0251702181994915,0.056623850762844,0.0687237754464149,0.0687237754464149,human,UP
HSD17B11,0.0741374120116233,0.0671597048640251,0.0482171177864074,0.0306787863373756,,0.0550482552498579,0.0576884113252162,0.0482171177864074,human,UP
LMO2,0.0609439499676227,0.0446455962955951,0.0757561400532722,0.0347237959504127,,0.0540173705667257,0.0527947731316089,0.0757561400532722,human,UP
BMI1,0.0251553989946842,0.0370812006294727,0.0765775293111801,,0.0706755965948104,0.0523724313825368,0.0538783986121416,0.0765775293111801,human,UP
IL1B,0.0141050359234213,-0.025932740420103,0.0875355675816536,,0.1308646351099014,0.0516431245487183,0.0508203017525374,0.0875355675816536,human,UP
RPS18,0.08066426217556,0.0468474589288234,0.0569113157689571,0.0558191835880279,0.0146795837208628,0.0509843608364462,0.0558191835880279,0.0569113157689571,human,UP
PPA1,0.0301621165126562,0.0429405905306339,0.0390612073242664,0.168685644865036,-0.0269030332565307,0.0507893051952123,0.0390612073242664,0.0390612073242664,human,UP
ICAM3,0.0890851020812988,0.048340119421482,0.0368632338941097,0.028479803353548,,0.0506920646876096,0.0426016766577959,0.0368632338941097,human,UP
RPL11,0.0321768969297409,0.041416510939598,0.0810788795351982,,0.0470185242593288,0.0504227029159665,0.0442175175994634,0.0810788795351982,human,UP
OAZ1,0.0153397154062986,0.0421411395072937,0.0537871830165386,,0.0889215767383575,0.0500474036671221,0.0479641612619161,0.0537871830165386,human,UP
