gene_symbol,logfc_dz:825,logfc_dz:826,logfc_dz:797,logfc_dz:292,logfc_dz:880,logfc_dz:308,logfc_dz:818,logfc_dz:806,logfc_dz:559,logfc_dz:560,logfc_dz:468,logfc_dz:558,mean_logfc,median_logfc,common_experiment,organism,signature_type
HLA-DPA1,,,0.0383765622973442,,,,,,,,,0.5039172172546387,0.2711468897759914,0.2711468897759914,,human,UP
S100A8,,,,,,,0.1551681011915207,0.1625183820724487,,,0.2685809135437011,,0.1954224656025568,0.1625183820724487,,human,UP
ACTN3,,,,,0.1938285678625106,,,,,,,,0.1938285678625106,0.1938285678625106,,human,UP
DNASE1L3,,,,,,,,,,,,0.1356877833604812,0.1356877833604812,0.1356877833604812,,human,UP
HHEX,,,,,,,,,,,,0.1323776096105575,0.1323776096105575,0.1323776096105575,,human,UP
STAR,0.1318990886211395,,,,,,,,,,,,0.1318990886211395,0.1318990886211395,,human,UP
SELE,,,,,,,,,,,0.0254522878676652,0.2364768385887146,0.1309645632281899,0.1309645632281899,,human,UP
LRP2,,,,,,,0.0906444117426872,0.072485901415348,,0.1896485984325409,,,0.117592970530192,0.0906444117426872,,human,UP
MYH1,,,,0.2115755230188369,0.0232839211821556,,,,,,,,0.1174297221004962,0.1174297221004962,0.2115755230188369,human,UP
SPRR3,,,,,,,0.0925328433513641,0.0916153639554977,,,0.167783722281456,,0.1173106431961059,0.0925328433513641,,human,UP
ENO3,,,,0.112311840057373,0.1142694801092147,,,,,,,,0.1132906600832939,0.1132906600832939,0.112311840057373,human,UP
PYGM,,,,0.1303106695413589,0.0905982851982116,,,,,,,,0.1104544773697853,0.1104544773697853,0.1303106695413589,human,UP
MYL6B,,,,0.1007876843214035,0.1155110523104667,,,,,,,,0.1081493683159351,0.1081493683159351,0.1007876843214035,human,UP
CST3,,,,,,0.1041259691119194,,,,,,,0.1041259691119194,0.1041259691119194,,human,UP
S100A1,,,,0.079435758292675,0.1164244636893272,,,,,,,,0.0979301109910011,0.0979301109910011,0.079435758292675,human,UP
ANXA1,,,,,,0.0959951728582382,,,,,,,0.0959951728582382,0.0959951728582382,,human,UP
CASQ1,,,,0.0832507461309433,0.1058558225631713,,,,,,,,0.0945532843470573,0.0945532843470573,0.0832507461309433,human,UP
LGR5,,,,,,,0.056903950870037,0.0489628240466117,0.2457477152347564,,0.0248615946620702,,0.0941190212033689,0.0529333874583244,,human,UP
C5AR1,,,0.0887133851647377,,,,,,,,,,0.0887133851647377,0.0887133851647377,,human,UP
NMRK2,,,,0.0812571868300437,0.0818338170647621,,,,,,,,0.0815455019474029,0.0815455019474029,0.0812571868300437,human,UP
SMPX,,,,0.0699599757790565,0.0884512290358543,,,,,,,,0.0792056024074554,0.0792056024074554,0.0699599757790565,human,UP
MNDA,,,0.0789560005068779,,,,,,,,,,0.0789560005068779,0.0789560005068779,,human,UP
NAMPT,,,0.0788918659090995,,,,,,,,,,0.0788918659090995,0.0788918659090995,,human,UP
MXRA7,,,,,,0.0782430469989776,,,,,,,0.0782430469989776,0.0782430469989776,,human,UP
LCN2,,,,,,,0.0583180487155914,0.0583457201719284,,,0.1175468862056732,,0.0780702183643976,0.0583457201719284,,human,UP
AKR1C2,,,,,,0.0768505558371543,,,,,,,0.0768505558371543,0.0768505558371543,,human,UP
IFI30,,,0.0749266445636749,,,,,,,,,,0.0749266445636749,0.0749266445636749,,human,UP
FSTL1,,,,,,0.0738507136702537,,,,,,,0.0738507136702537,0.0738507136702537,,human,UP
LEPROT,,,,,,0.0431547462940216,,,,,,0.1040334552526474,0.0735941007733345,0.0735941007733345,,human,UP
TNNT3,,,,0.0942641422152519,0.0494451746344566,,,,,,,,0.0718546584248542,0.0718546584248542,0.0942641422152519,human,UP
CSF2RB,,,0.0712479799985885,,,,,,,,,,0.0712479799985885,0.0712479799985885,,human,UP
MYH4,,,,0.062797874212265,0.0778899863362312,,,,,,,,0.0703439302742481,0.0703439302742481,0.062797874212265,human,UP
NPTN,0.0900798961520195,0.074819378554821,0.0433556847274303,,,,,,,,,,0.0694183198114236,0.074819378554821,,human,UP
LEP,,,,,,0.0690624788403511,,,,,,,0.0690624788403511,0.0690624788403511,,human,UP
IRS1,,0.0684949457645416,,,,,,,,,,,0.0684949457645416,0.0684949457645416,,human,UP
NDNF,,,,,,,0.0249778125435113,,,0.1703286319971084,,0.0096064340323209,0.0683042928576469,0.0249778125435113,,human,UP
ITPR2,,,,,,,,,,0.0665230676531791,,,0.0665230676531791,0.0665230676531791,,human,UP
TNNI2,,,,0.0970466285943985,0.0343645326793193,,,,,,,,0.0657055806368589,0.0657055806368589,0.0970466285943985,human,UP
CFD,,,,,,0.0643580555915832,,,,,,,0.0643580555915832,0.0643580555915832,,human,UP
DPM1,0.0642773509025573,,,,,,,,,,,,0.0642773509025573,0.0642773509025573,,human,UP
CRELD2,0.063890665769577,,,,,,,,,,,,0.063890665769577,0.063890665769577,,human,UP
BMP6,,,,,,,,,,,,0.0633249729871749,0.0633249729871749,0.0633249729871749,,human,UP
SOCS3,,,,,,,,,,,,0.0615489520132541,0.0615489520132541,0.0615489520132541,,human,UP
CEACAM1,,,,,,,,,,,,0.0608225315809249,0.0608225315809249,0.0608225315809249,,human,UP
IGF1,,,,,,,,,,0.0596736036241054,,,0.0596736036241054,0.0596736036241054,,human,UP
GMNN,0.0590982437133789,,,,,,,,,,,,0.0590982437133789,0.0590982437133789,,human,UP
CSRP3,,,,0.0283887274563312,0.0894554778933525,,,,,,,,0.0589221026748418,0.0589221026748418,0.0283887274563312,human,UP
ESM1,,,,,,,-0.0292726512998342,,,,,0.1466393768787384,0.058683362789452,0.058683362789452,,human,UP
GRIA4,,,,,,,0.0574379973113536,0.0588088668882846,,0.091430053114891,0.0250533409416675,,0.0581825645640492,0.0581234320998191,,human,UP
LRRTM4,,,,,,,,0.0296843461692333,,0.0851746052503585,,,0.0574294757097959,0.0574294757097959,,human,UP
RND1,,,,,,,,0.0171349942684173,,,,0.0974318012595176,0.0572833977639675,0.0572833977639675,,human,UP
HSD3B2,0.1968005746603012,-0.1107451915740966,0.0832730382680893,,,,,,,,,,0.0564428071180979,0.0832730382680893,,human,UP
LCP2,,,,,,,,,,,,0.056056410074234,0.056056410074234,0.056056410074234,,human,UP
HSPA6,,,,,,,0.0627940744161605,0.071724459528923,,0.066393919289112,0.0220617949962615,,0.0557435620576143,0.0645939968526363,,human,UP
CD34,,,,,,0.0268288441002368,,,,,,0.0845587775111198,0.0556938108056783,0.0556938108056783,,human,UP
KPNA2,0.0547047294676303,,,,,,,,,,,,0.0547047294676303,0.0547047294676303,,human,UP
CEACAM7,,,,,,,0.039709948003292,0.0467383116483688,,,0.0770843923091888,,0.0545108839869499,0.0467383116483688,,human,UP
NQO1,,,,,,0.0544478297233581,,,,,,,0.0544478297233581,0.0544478297233581,,human,UP
AQP9,,,0.0541194230318069,,,,,,,,,,0.0541194230318069,0.0541194230318069,,human,UP
TESC,,,,,,,,,,,0.0530404448509216,,0.0530404448509216,0.0530404448509216,,human,UP
S100A12,,,0.0528355091810226,,,,,,,,,,0.0528355091810226,0.0528355091810226,,human,UP
CETP,,,,,,,,,,,,0.0523455180227756,0.0523455180227756,0.0523455180227756,,human,UP
