gene_symbol,logfc_dz:135,logfc_dz:485,logfc_dz:835,logfc_dz:834,logfc_dz:639,logfc_dz:638,logfc_dz:990,logfc_dz:866,logfc_dz:603,logfc_dz:991,mean_logfc,median_logfc,common_experiment,organism,signature_type
SERPINA3,,,0.0479820668697357,0.0936337560415268,,,0.1184944435954094,,-0.0165915414690971,-0.0256118942052125,0.0435813661664724,0.0479820668697357,,human,UP
MKRN1,,,,,,,,0.0435166992247104,,,0.0435166992247104,0.0435166992247104,,human,UP
MLPH,,0.01638656668365,0.0679003968834877,0.0772567167878151,,,,,0.0119420923292636,,0.0433714431710541,0.0421434817835688,,human,UP
PLAT,0.0264884121716022,,,,0.0330798812210559,0.069941908121109,,,,,0.0431700671712557,0.0330798812210559,0.069941908121109,human,UP
HLA-B,0.1064817383885383,,-0.0177041199058294,0.0634673833847045,0.1120113879442215,,0.0343676880002021,0.0420212596654892,,-0.0411812327802181,0.0427805863853011,0.0420212596654892,,human,UP
APOD,,,,0.060791477560997,,,0.0414868667721748,,0.0240712650120258,,0.0421165364483992,0.0414868667721748,,human,UP
OR51E2,,0.0661884322762489,0.0292439255863428,0.0237432736903429,,,0.0467498563230037,,,,0.0414813719689846,0.0379968909546732,,human,UP
TM9SF2,,,,,,,0.0414238795638084,,,,0.0414238795638084,0.0414238795638084,,human,UP
UCHL1,0.0145119847729802,,,,,0.0681860446929931,,,,,0.0413490147329866,0.0413490147329866,0.0681860446929931,human,UP
HPN,,,0.0502018742263317,0.0561919100582599,,,0.0159436222165823,,,,0.0407791355003913,0.0502018742263317,,human,UP
MANEA,,0.0407789349555969,,,,,,,,,0.0407789349555969,0.0407789349555969,,human,UP
PLAU,0.0342589244246482,,,,0.045672345906496,,,,,,0.0399656351655721,0.0399656351655721,,human,UP
SNCA,,,,,,,,0.0394701585173606,,,0.0394701585173606,0.0394701585173606,,human,UP
TRIT1,,,,0.0385754145681858,,,,,,,0.0385754145681858,0.0385754145681858,,human,UP
SERF2,0.0461234711110591,,,,0.0497710034251213,0.0172661021351814,,,,,0.0377201922237873,0.0461234711110591,0.0172661021351814,human,UP
TARBP1,,,,0.0375060588121414,,,,,,,0.0375060588121414,0.0375060588121414,,human,UP
THBS4,,,0.042757362127304,0.0469799414277076,,,0.0147759150713682,,0.0434237904846668,,0.0369842522777617,0.0430905763059854,,human,UP
AUP1,,,,0.0368927605450153,,,,,,,0.0368927605450153,0.0368927605450153,,human,UP
CST3,0.0363331586122512,,,,0.0371164679527282,,,,,,0.0367248132824897,0.0367248132824897,,human,UP
CMTM6,0.0359341241419315,,,,0.0368751622736454,,,,,,0.0364046432077884,0.0364046432077884,,human,UP
HLA-DMB,,,,0.0189459044486284,,,0.053690355271101,,,,0.0363181298598647,0.0363181298598647,,human,UP
FOLH1,,0.0252868607640266,0.050255861133337,0.0327548198401927,,,,,,,0.0360991805791854,0.0327548198401927,,human,UP
RPLP0,0.0536566972732543,-0.0304650384932756,0.0602313019335269,0.0641589388251304,0.070607028901577,0.0131043698638677,0.0170488581061363,,0.0270150788128376,0.0491252988576889,0.0360536148978604,0.0491252988576889,0.0131043698638677,human,UP
TM7SF2,,0.0359054878354072,,,,,,,,,0.0359054878354072,0.0359054878354072,,human,UP
HSPA1A,,,,,,-0.0146786700934171,,0.0461017861962318,0.0426785498857498,0.0690709203481674,0.0357931465841829,0.0443901680409908,-0.0146786700934171,human,UP
ADM,0.0403848141431808,,,,0.0469173267483711,0.0359393768012523,,0.0142894722521305,,0.0398787818849086,0.0354819543659687,0.0398787818849086,0.0359393768012523,human,UP
GLRX5,,,,,,,,0.0617103017866611,0.0092364912852644,,0.0354733965359628,0.0354733965359628,,human,UP
POMP,0.0150915831327438,,,,,0.0543865263462066,,,,,0.0347390547394752,0.0347390547394752,0.0543865263462066,human,UP
PPIB,0.0322841443121433,,0.0439077615737915,0.0406233631074428,0.0254225544631481,,0.0460888482630252,,0.0189634319394826,,0.0345483506098389,0.036453753709793,,human,UP
PTDSS1,0.0325841642916202,,,,0.0361729077994823,,,,,,0.0343785360455513,0.0343785360455513,,human,UP
FAM118A,,,0.0293669886887073,0.0393095202744007,,,,,,,0.034338254481554,0.034338254481554,,human,UP
GPX3,0.0359847284853458,,,,0.0284017175436019,0.0380089320242404,,,,,0.0341317926843961,0.0359847284853458,0.0380089320242404,human,UP
PBX3,0.030836408957839,,,,0.0367388874292373,,,,,,0.0337876481935381,0.0337876481935381,,human,UP
RHOC,,,,,,0.0336173549294471,,,,,0.0336173549294471,0.0336173549294471,0.0336173549294471,human,UP
GPRC5A,0.0361945182085037,,,,0.0391074270009994,0.0252107363194227,,,,,0.0335042271763086,0.0361945182085037,0.0252107363194227,human,UP
CEACAM6,,,,,,,,,,0.033447541296482,0.033447541296482,0.033447541296482,,human,UP
HADHB,,0.033419381827116,,,,,,,,,0.033419381827116,0.033419381827116,,human,UP
PSMA6,0.0364033170044422,,,,0.0354248620569705,0.0281870607286691,,,,,0.0333384132633606,0.0354248620569705,0.0281870607286691,human,UP
RPL36A,,0.0115015087649226,0.0518527589738369,0.0566753968596458,-0.0122423963621258,-0.0456744283437728,0.0674197599291801,0.0912852063775062,0.0316497273743152,0.0457870662212371,0.0331393999771939,0.0457870662212371,-0.0456744283437728,human,UP
PPIA,0.0292077027261257,,,,0.0300934594124555,0.040040198713541,,,,,0.0331137869507074,0.0300934594124555,0.040040198713541,human,UP
GOLPH3L,,0.0327889956533908,,,,,,,,,0.0327889956533908,0.0327889956533908,,human,UP
HILPDA,,,,,,,,,,0.032542522996664,0.032542522996664,0.032542522996664,,human,UP
MPP1,,0.0177901070564985,,,,,,0.0468259863555431,,,0.0323080467060208,0.0323080467060208,,human,UP
RPS23,0.0651606693863868,,,,0.063018262386322,,0.0148210227489471,0.0370315536856651,,-0.0198682695627212,0.0320326477289199,0.0370315536856651,,human,UP
RPL32,0.0580558404326438,0.0414647199213504,,0.0311336833983659,0.0501013286411762,0.0256404485553503,-0.0159650743007659,0.0531588494777679,0.0288485940545797,0.0158141180872917,0.0320280564741955,0.0311336833983659,0.0256404485553503,human,UP
KCNN4,,,,0.0319795571267604,,,,,,,0.0319795571267604,0.0319795571267604,,human,UP
IL13RA2,0.0293746553361415,,,,0.0344012714922428,,,,,,0.0318879634141922,0.0318879634141922,,human,UP
UBE2E3,,0.0318560078740119,,,,,,,,,0.0318560078740119,0.0318560078740119,,human,UP
NET1,,,,,,,0.0315530747175216,,,,0.0315530747175216,0.0315530747175216,,human,UP
LRP10,0.0312327109277248,,,,0.0316041149199008,,,,,,0.0314184129238128,0.0314184129238128,,human,UP
HLA-G,0.0416717156767845,,,,0.0460179261863231,,0.0199084002524614,0.0178790688514709,,,0.03136927774176,0.0307900579646229,,human,UP
NDUFB4,,,,,,0.0313504226505756,,,,,0.0313504226505756,0.0313504226505756,0.0313504226505756,human,UP
TMSB15A,,-0.0193774588406085,,0.0359587036073207,,,0.0853326395153999,,0.0290330350399017,0.0245512779802083,0.0310996394604444,0.0290330350399017,,human,UP
HOXC6,,,,,,,0.0332613922655582,,,0.0288649201393127,0.0310631562024354,0.0310631562024354,,human,UP
CTSK,0.0374452359974384,,,,0.0412395372986793,,,,0.013983953744173,,0.0308895756800969,0.0374452359974384,,human,UP
UAP1,,-0.0137141989544034,0.0403016917407512,0.0511555485427379,,0.0165572017431259,0.0693074911832809,,,0.0213891342282295,0.0308328114139537,0.0308454129844903,0.0165572017431259,human,UP
TFF3,,,0.0262446999549865,,,,0.0301019437611103,,,0.0361437909305095,0.0308301448822021,0.0301019437611103,,human,UP
GSTO1,0.0609887912869453,,,,0.0612434223294258,0.0848084911704063,,0.0096101043745875,-0.0124286543577909,-0.0192573964595794,0.0308274597239991,0.0352994478307664,0.0848084911704063,human,UP
ANXA3,,,,,,,0.0306834299117326,,,,0.0306834299117326,0.0306834299117326,,human,UP
COX6A1,0.0339739061892032,,,,0.0342443771660327,0.0439657941460609,,,0.010281809605658,,0.0306164717767387,0.034109141677618,0.0439657941460609,human,UP
SMURF2,,,,,,0.0306148566305637,,,,,0.0306148566305637,0.0306148566305637,0.0306148566305637,human,UP
FOLR3,,,,,,,,0.0305495206266641,,,0.0305495206266641,0.0305495206266641,,human,UP
TPT1,0.0389335714280605,0.0650288015604019,0.0181988887488842,,0.0297999903559684,0.0375906862318515,,-0.0176964625716209,0.0852323547005653,-0.0135111650452017,0.0304470831761136,0.03369533829391,0.0375906862318515,human,UP
UBA52,0.0495653375983238,,,-0.0199085790663957,0.0436659269034862,0.0417178086936473,,0.0536609254777431,0.0217230003327131,0.0221159942448139,0.0303629163120474,0.0417178086936473,0.0417178086936473,human,UP
AMACR,,,0.0230624601244926,0.037118587642908,,,,,,,0.0300905238837003,0.0300905238837003,,human,UP
RPL37A,,,,0.0299794804304838,,,,,,,0.0299794804304838,0.0299794804304838,,human,UP
PTTG1IP,,0.0297121852636337,,,,,,,,,0.0297121852636337,0.0297121852636337,,human,UP
RPL36,,0.0394590646028518,0.0532672144472599,0.0602869428694248,,0.0168176125735044,0.0507869534194469,-0.0324028767645359,0.0175462272018194,,0.0293944483356816,0.0394590646028518,0.0168176125735044,human,UP
PRDX6,,0.046335931867361,,,,0.0299194399267435,,0.0115961590781807,,,0.0292838436240951,0.0299194399267435,0.0299194399267435,human,UP
SH3BGRL3,,,,,,0.0292756408452987,,,,,0.0292756408452987,0.0292756408452987,0.0292756408452987,human,UP
RNF43,,,,0.0292243417352437,,,,,,,0.0292243417352437,0.0292243417352437,,human,UP
CPNE3,,0.0292144250124692,,,,,,,,,0.0292144250124692,0.0292144250124692,,human,UP
PLA2G7,,,0.015290031209588,0.0497052930295467,,,0.0221011508256196,,,,0.0290321583549181,0.0221011508256196,,human,UP
PRDX4,,,0.0292790532112121,,,-0.0125839365646243,0.0449556931853294,,,0.0544206351041793,0.0290178612340241,0.0371173731982708,-0.0125839365646243,human,UP
SERHL2,,,,0.0289676543325185,,,,,,,0.0289676543325185,0.0289676543325185,,human,UP
P4HB,,0.0148850018158555,,,,,0.0424494035542011,,,,0.0286672026850283,0.0286672026850283,,human,UP
SHC1,,,,,,0.0286579150706529,,,,,0.0286579150706529,0.0286579150706529,0.0286579150706529,human,UP
HLA-C,0.0629004389047622,,,0.0290715228766202,0.0680654719471931,,0.0498821809887886,-0.0094239935278892,,-0.0288831107318401,0.0286020850762724,0.0394768519327044,,human,UP
SPATA20,,0.040368765592575,,0.0168061293661594,,,,,,,0.0285874474793672,0.0285874474793672,,human,UP
DSP,,,,,,,0.0258460156619548,,,0.0312211420387029,0.0285335788503289,0.0285335788503289,,human,UP
ALDH1A3,,,0.0270364060997962,,,,0.109388843178749,,,-0.0508374758064746,0.0285292578240235,0.0270364060997962,,human,UP
TTC19,,0.0285059232264757,,,,,,,,,0.0285059232264757,0.0285059232264757,,human,UP
ATP6V0E2,,,0.0282316673547029,,,,,,,,0.0282316673547029,0.0282316673547029,,human,UP
DRAM1,0.0265190843492746,,,,0.0299263652414083,,,,,,0.0282227247953414,0.0282227247953414,,human,UP
GAS6,0.0273101385682821,,,,0.016279712319374,0.0475257150828838,,,0.0215612780302763,,0.028169211000204,0.0244357082992792,0.0475257150828838,human,UP
COPZ2,0.0341686978936195,,,,0.0307434257119894,0.019023023545742,,,,,0.0279783823837836,0.0307434257119894,0.019023023545742,human,UP
GHR,,,,0.0250950027257204,,,0.0307763908058404,,,,0.0279356967657804,0.0279356967657804,,human,UP
HMGN3,,,,,,,,,,0.0278994496911764,0.0278994496911764,0.0278994496911764,,human,UP
KLK11,,,0.0372527800500392,0.0259932149201631,,,,,,0.0204436909407377,0.0278965619703133,0.0259932149201631,,human,UP
CDKN1A,0.0323952436447143,,,,0.0261715613305568,0.0247777868062257,,,,,0.0277815305938323,0.0261715613305568,0.0247777868062257,human,UP
UQCR10,,,,,,0.0275159254670143,,,,,0.0275159254670143,0.0275159254670143,0.0275159254670143,human,UP
MFGE8,0.0362422876060009,,,,0.0327638648450374,0.0131550831720232,,,,,0.0273870785410205,0.0327638648450374,0.0131550831720232,human,UP
MFSD1,0.0326991453766822,,,,0.0282081048935651,0.018178790807724,,0.0302990302443504,,,0.0273462678305804,0.0292535675689578,0.018178790807724,human,UP
RPL27,,0.0436757169663906,0.0477905720472335,0.0457854010164737,,,0.0179283134639263,-0.0132106710225343,0.0215945653617382,,0.0272606496388713,0.0326351411640644,,human,UP
GOLPH3,,,,,,,0.0272454600781202,,,,0.0272454600781202,0.0272454600781202,,human,UP
RPS10,0.0801527351140976,0.031865332275629,,0.0184999983757734,0.0837840512394905,0.0330171361565589,-0.0218711998313665,0.0384166277945041,0.0142852859571576,-0.0329851768910884,0.0272405322434173,0.031865332275629,0.0330171361565589,human,UP
PDIA5,,,,,,,0.0272364933043718,,,,0.0272364933043718,0.0272364933043718,,human,UP
MARCKSL1,,0.0367899164557457,,0.0532037727534771,,-0.0144470809027552,0.0796809047460556,-0.010816597379744,0.0139092449098825,0.0316938944160938,0.0271448649998222,0.0316938944160938,-0.0144470809027552,human,UP
RPS20,0.0306029580533504,-0.0262718237936496,,0.0152477137744426,0.031110106036067,0.0227863509207963,-0.0251375176012516,0.0722638815641403,0.0671822130680084,0.0553899556398391,0.0270193152957492,0.0306029580533504,0.0227863509207963,human,UP
NT5E,0.0216476134955883,,,,0.0190616529434919,0.0397156216204166,,,,,0.0268082960198322,0.0216476134955883,0.0397156216204166,human,UP
TPM2,0.0336511321365833,,,,0.0311125218868255,0.0153516447171568,,,,,0.0267050995801885,0.0311125218868255,0.0153516447171568,human,UP
SSR4,0.0371623151004314,0.0458870865404605,0.0347284935414791,-0.0251370929181575,0.0352016985416412,0.0179837811738252,0.0410793721675872,,,,0.0267008077353239,0.0352016985416412,0.0179837811738252,human,UP
TMCO1,,0.0266071911901235,,,,,,,,,0.0266071911901235,0.0266071911901235,,human,UP
GNG11,0.0263851098716259,,,,0.0279098395258188,0.025472842156887,,,,,0.0265892638514439,0.0263851098716259,0.025472842156887,human,UP
RPS16,,,0.0277409255504608,0.0860628709197044,,-0.0366532988846302,0.045021153986454,,0.0107221817597746,,0.0265787666663527,0.0277409255504608,-0.0366532988846302,human,UP
RPL29,,0.0316720232367515,0.0268252287060022,0.0182227473706007,,-0.0140259787440299,0.0569222681224346,,0.0395787879824638,,0.0265325127790371,0.0292486259713768,-0.0140259787440299,human,UP
PAPSS2,0.0227971449494361,,,,0.0178322605788707,0.0389116592705249,,,,,0.0265136882662773,0.0227971449494361,0.0389116592705249,human,UP
SS18L2,,,0.0264049302786588,,,,,,,,0.0264049302786588,0.0264049302786588,,human,UP
CD164,,0.0252933334559202,,,,,0.0273566395044326,,,,0.0263249864801764,0.0263249864801764,,human,UP
APOC1,,,0.026316113770008,,,,,,,,0.026316113770008,0.026316113770008,,human,UP
YIPF6,,,,,,,,,,0.0262524019926786,0.0262524019926786,0.0262524019926786,,human,UP
SRSF6,,,,0.026163887232542,,,,,,,0.026163887232542,0.026163887232542,,human,UP
ANXA5,,,,,,0.0190427564084529,0.0304991044104099,,0.0289285294711589,,0.0261567967633406,0.0289285294711589,0.0190427564084529,human,UP
CDK5RAP3,,,0.0202320721000432,0.0320609807968139,,,,,,,0.0261465264484286,0.0261465264484286,,human,UP
SLC44A4,,0.0375909060239791,,,,,0.0146684534847736,,,,0.0261296797543764,0.0261296797543764,,human,UP
SERP1,,0.0261223539710044,,,,,,,,,0.0261223539710044,0.0261223539710044,,human,UP
RPL13A,0.081564761698246,-0.0275704879313707,0.0206445138901472,0.0435402020812034,0.0763300284743309,,0.0309862364083528,0.0388315096497535,0.0359757468104362,-0.0669746473431587,0.0259253181931045,0.0359757468104362,,human,UP
