gene_symbol,logfc_dz,mean_logfc,median_logfc,p_val,p_val_adj,pct.1,pct.2,signature_type
SELE,2.84142966103053,2.84142966103053,2.84142966103053,9.54354794904953e-35,2.7677243407038497e-30,0.349,0.036,UP
SERPINE1,2.3164059211128,2.3164059211128,2.3164059211128,5.91549949978449e-58,1.7155540099325e-53,0.548,0.091,UP
HSPA6,2.1810072934663,2.1810072934663,2.1810072934663,1.6380160164945901e-37,4.75041024943596e-33,0.388,0.133,UP
SOD2,2.08130380176113,2.08130380176113,2.08130380176113,9.171642005815809e-57,2.65986789810664e-52,0.827,0.526,UP
HSPH1,1.91208935654627,1.91208935654627,1.91208935654627,3.37317385537595e-71,9.782541497975781e-67,0.704,0.418,UP
HSPA1B,1.87547850346334,1.87547850346334,1.87547850346334,1.11156857406539e-73,3.22366002164704e-69,0.713,0.522,UP
CXCL2,1.85254980100913,1.85254980100913,1.85254980100913,3.24815850948129e-17,9.419984493346699e-13,0.438,0.174,UP
ICAM1,1.79519355185535,1.79519355185535,1.79519355185535,3.14381065511738e-60,9.11736528090591e-56,0.599,0.176,UP
KLF6,1.77481989874121,1.77481989874121,1.77481989874121,2.69075728803934e-60,7.80346521104288e-56,0.805,0.415,UP
CCL2,1.73735178739821,1.73735178739821,1.73735178739821,1.97191610856393e-14,5.71875390644626e-10,0.437,0.199,UP
CXCL8,1.73726519110048,1.73726519110048,1.73726519110048,7.5210908043503e-11,2.18119154416963e-06,0.51,0.214,UP
HSP90AA1,1.69007490213263,1.69007490213263,1.69007490213263,2.2699600033939597e-122,6.58311100584282e-118,0.927,0.866,UP
HSPA1A,1.66949785119688,1.66949785119688,1.66949785119688,1.55832966720832e-93,4.51931186787087e-89,0.787,0.64,UP
CXCL1,1.61705801469007,1.61705801469007,1.61705801469007,4.43465360591575e-21,1.28609389225163e-16,0.239,0.032,UP
NEAT1,1.60748653779937,1.60748653779937,1.60748653779937,8.772842220477e-31,2.54421197236053e-26,0.909,0.765,UP
IER3,1.55233414504012,1.55233414504012,1.55233414504012,6.65941528312749e-32,1.9312970262598e-27,0.791,0.524,UP
SQSTM1,1.5493265041876,1.5493265041876,1.5493265041876,4.62056174086133e-38,1.3400091104672e-33,0.753,0.441,UP
HSPD1,1.52668877204749,1.52668877204749,1.52668877204749,8.23056946461518e-75,2.3869474504330498e-70,0.774,0.625,UP
BAG3,1.52650105197165,1.52650105197165,1.52650105197165,6.76127503378785e-48,1.96083737254881e-43,0.529,0.187,UP
HMOX1,1.52012422956095,1.52012422956095,1.52012422956095,9.158781522201939e-26,2.65613822925378e-21,0.315,0.06,UP
EMP1,1.50813407321618,1.50813407321618,1.50813407321618,4.4939452658776294e-36,1.3032890665571702e-31,0.714,0.355,UP
NFKBIA,1.48820500246974,1.48820500246974,1.48820500246974,2.3076514233255904e-31,6.69241989278654e-27,0.821,0.605,UP
C2CD4B,1.35622613261499,1.35622613261499,1.35622613261499,7.22766341033562e-16,2.09609466563143e-11,0.517,0.295,UP
HSPB1,1.32272270694892,1.32272270694892,1.32272270694892,1.15306361193792e-66,3.3439997809811596e-62,0.867,0.766,UP
VCAM1,1.32218444582821,1.32218444582821,1.32218444582821,5.7034739258116797e-11,1.65406447322465e-06,0.236,0.046,UP
CFLAR,1.30755944323402,1.30755944323402,1.30755944323402,2.88612401209134e-31,8.37004824746609e-27,0.598,0.249,UP
DNAJB1,1.29385824933904,1.29385824933904,1.29385824933904,8.09879376486767e-50,2.34873117974927e-45,0.68,0.494,UP
PALM2-AKAP2,1.28602600025696,1.28602600025696,1.28602600025696,2.49554394382018e-27,7.237326991472899e-23,0.667,0.335,UP
CEBPD,1.26935754110801,1.26935754110801,1.26935754110801,1.56548027316845e-15,4.54004934021584e-11,0.694,0.483,UP
CD55,1.25896844059301,1.25896844059301,1.25896844059301,2.89519065724293e-28,8.39634242507024e-24,0.594,0.282,UP
ESM1,1.24132631176279,1.24132631176279,1.24132631176279,1.10752499247373e-06,0.0321193323067306,0.237,0.055,UP
TNFAIP3,1.21917362609332,1.21917362609332,1.21917362609332,1.01419159062793e-27,2.94125703198005e-23,0.543,0.211,UP
PIM3,1.20402421630834,1.20402421630834,1.20402421630834,4.8522036594487e-21,1.40718758327672e-16,0.626,0.36,UP
ZFAND2A,1.16241642814574,1.16241642814574,1.16241642814574,6.55298605156183e-39,1.9004314848134499e-34,0.448,0.217,UP
