gene_symbol,logfc_dz,mean_logfc,median_logfc,p_val,p_val_adj,pct.1,pct.2,signature_type
CCL20,2.54891670605144,2.54891670605144,2.54891670605144,3.09890504169422e-73,8.98713451141741e-69,0.434,0.103,UP
PAEP,2.29939046491684,2.29939046491684,2.29939046491684,0.0,0.0,0.462,0.462,UP
SFN,2.2128009955393,2.2128009955393,2.2128009955393,5.22224406758896e-85,1.51450300204147e-80,0.728,0.317,UP
S100A10,1.97578443114102,1.97578443114102,1.97578443114102,3.5548153447546796e-92,1.0309319981323e-87,0.952,0.662,UP
SERPINB1,1.810040002074,1.810040002074,1.810040002074,3.09964682285528e-12,8.98928575096258e-08,0.673,0.312,UP
MT2A,1.78370730544673,1.78370730544673,1.78370730544673,2.4498616078178703e-245,7.10484364883261e-241,0.882,0.727,UP
LAMB3,1.68413466036369,1.68413466036369,1.68413466036369,1.76554017111418e-137,5.12024305024824e-133,0.468,0.071,UP
PHLDA2,1.63585301846254,1.63585301846254,1.63585301846254,6.3926554059785705e-21,1.85393399428785e-16,0.741,0.38,UP
CRYAB,1.62888228024966,1.62888228024966,1.62888228024966,1.5614471582860398e-276,4.52835290374534e-272,0.459,0.364,UP
HMOX1,1.57770151353162,1.57770151353162,1.57770151353162,3.3002624661782e-13,9.57109117816341e-09,0.314,0.115,UP
DEFB1,1.49662562024163,1.49662562024163,1.49662562024163,1.6988032033081497e-83,4.92669916991397e-79,0.587,0.504,UP
FAM25A,1.48911430423378,1.48911430423378,1.48911430423378,1.30204937844382e-16,3.7760734024249095e-12,0.127,0.008,UP
SDCBP2,1.46899947034792,1.46899947034792,1.46899947034792,4.9901370371853995e-93,1.44718964215414e-88,0.564,0.219,UP
S100P,1.46268743109677,1.46268743109677,1.46268743109677,2.87101922981832e-36,8.32624286839612e-32,0.255,0.037,UP
KRT7,1.46094644849152,1.46094644849152,1.46094644849152,4.02835558951099e-161,1.16826340451408e-156,0.48,0.13,UP
DUSP5,1.44766393790977,1.44766393790977,1.44766393790977,6.12031082362761e-96,1.77495134196024e-91,0.545,0.172,UP
SOD2,1.43341751724237,1.43341751724237,1.43341751724237,1.9108245290559602e-31,5.5415822167152e-27,0.931,0.856,UP
CXCL8,1.38794122849957,1.38794122849957,1.38794122849957,1.07283572216669e-17,3.11133087785563e-13,0.818,0.671,UP
ANXA1,1.3757381092109,1.3757381092109,1.3757381092109,2.03341237470384e-13,5.8970992278786104e-09,0.94,0.796,UP
TM4SF1,1.37344752520172,1.37344752520172,1.37344752520172,2.6218991382623402e-264,7.60376969087461e-260,0.923,0.584,UP
G0S2,1.37162294039852,1.37162294039852,1.37162294039852,1.49451149422047e-243,4.33423278438879e-239,0.321,0.131,UP
ANXA2,1.32171826111628,1.32171826111628,1.32171826111628,1.09366535271004e-94,3.17173888939438e-90,0.941,0.796,UP
S100A6,1.30518024217598,1.30518024217598,1.30518024217598,4.04037100443788e-101,1.17174799499703e-96,0.85,0.65,UP
