gene_symbol,logfc_dz:377,logfc_dz:743,logfc_dz:746,logfc_dz:738,logfc_dz:737,mean_logfc,median_logfc,common_experiment,organism,signature_type
SNORD41,,,0.1714448779821396,,,0.1714448779821396,0.1714448779821396,,human,UP
HMGB2,0.1655792891979217,,,,,0.1655792891979217,0.1655792891979217,0.1655792891979217,human,UP
MMP9,,,0.1467757523059845,,,0.1467757523059845,0.1467757523059845,,human,UP
RPS28,,,0.1352486461400985,,,0.1352486461400985,0.1352486461400985,,human,UP
RPL35A,,,0.1301126927137375,,,0.1301126927137375,0.1301126927137375,,human,UP
FBXL16,,,,0.1215209141373634,0.1226306334137916,0.1220757737755775,0.1220757737755775,,human,UP
CHN1,,,,0.1269470304250717,0.1042374595999717,0.1155922450125217,0.1155922450125217,,human,UP
HLA-J,0.1280526220798492,,0.0942465588450431,,,0.1111495904624462,0.1111495904624462,0.1280526220798492,human,UP
CCL2,,,0.1103808283805847,,,0.1103808283805847,0.1103808283805847,,human,UP
IGHM,0.188797652721405,0.0177545603364706,,,,0.1032761065289378,0.1032761065289378,0.188797652721405,human,UP
CYB561A3,,,0.1003278344869613,,,0.1003278344869613,0.1003278344869613,,human,UP
SPARCL1,,,,0.1063842326402664,0.0795114710927009,0.0929478518664836,0.0929478518664836,,human,UP
RPS25,,0.0707250908017158,0.1127620711922645,,,0.0917435809969902,0.0917435809969902,,human,UP
RPS11,0.1532640606164932,,0.0289917681366205,,,0.0911279143765568,0.0911279143765568,0.1532640606164932,human,UP
LYZ,,-0.0069962982088327,0.1871654838323593,,,0.0900845928117632,0.0900845928117632,,human,UP
MAP1A,,,,0.0810292363166809,0.0942730978131294,0.0876511670649051,0.0876511670649051,,human,UP
CYBB,,,0.0867742598056793,,,0.0867742598056793,0.0867742598056793,,human,UP
NRGN,,0.0310074612498283,,0.1120342686772346,0.1164966747164726,0.0865128015478452,0.1120342686772346,,human,UP
VIM,0.0864138528704643,,,,,0.0864138528704643,0.0864138528704643,0.0864138528704643,human,UP
