disease_name,disease_id,match_type,q_threshold,tahoe_hits_count,cmap_hits_count,common_hits_count,known_drugs_in_database_count,known_drugs_available_in_cmap_count,known_drugs_available_in_tahoe_count,tahoe_in_known_count,cmap_in_known_count,common_in_known_count,total_in_known_count,phase_0.5,phase_1.0,phase_2.0,phase_3.0,phase_4.0,"status_Active, not recruiting",status_Completed,status_Enrolling by invitation,status_Not yet recruiting,status_Recruiting,status_Suspended,status_Terminated,status_Unknown,status_Unknown status,status_Withdrawn
esophagus adenocarcinoma,EFO_0000478,synonym,0.05,40,0,0,382,3,6,1,0,0,1,0.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
colorectal adenocarcinoma,EFO_0000365,name,0.05,7,0,0,743,12,19,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
papillary thyroid carcinoma,EFO_0000641,name,0.05,0,0,0,259,5,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
polycystic ovary syndrome,EFO_0000660,name,0.05,377,15,1,720,16,7,7,0,0,7,2.0,2.0,4.0,3.0,0.0,1.0,7.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
bipolar disorder,MONDO_0004985,name,0.05,105,0,0,1146,28,9,2,0,0,2,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
uterine fibroid,EFO_0000731,name,0.05,18,5,0,275,7,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
systemic lupus erythematosus,MONDO_0007915,name,0.05,364,0,0,1071,20,15,15,0,0,15,2.0,5.0,9.0,5.0,2.0,0.0,11.0,0.0,1.0,2.0,0.0,5.0,2.0,0.0,2.0
hepatocellular carcinoma,EFO_0000182,name,0.05,198,0,0,1423,23,39,16,0,0,16,0.0,16.0,18.0,10.0,1.0,2.0,15.0,0.0,2.0,8.0,3.0,9.0,1.0,4.0,1.0
fragile X syndrome,MONDO_0010383,name,0.05,70,0,0,163,6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arthritis,EFO_0005856,name,0.05,368,71,2,435,6,2,2,1,0,3,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
sickle cell anemia,MONDO_0011382,name,0.05,0,2,0,1124,24,12,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ovarian cancer,MONDO_0008170,name,0.05,0,31,0,1999,35,46,0,2,0,2,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
acne,EFO_0003894,name,0.05,377,88,2,394,11,7,7,1,0,8,1.0,5.0,8.0,6.0,11.0,1.0,16.0,0.0,0.0,2.0,0.0,2.0,5.0,5.0,0.0
Schizophrenia,MONDO_0005090,name,0.05,151,0,0,2219,65,15,6,0,0,6,0.0,2.0,3.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
autism spectrum disorder,EFO_0003756,name,0.05,379,413,21,366,14,3,3,4,1,6,1.0,1.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
colorectal cancer,MONDO_0005575,name,0.05,3,300,0,2124,36,46,0,13,0,13,0.0,9.0,11.0,6.0,0.0,1.0,11.0,0.0,0.0,3.0,0.0,6.0,0.0,4.0,1.0
stomach cancer,EFO_0003897,synonym,0.05,116,0,0,486,6,12,5,0,0,5,0.0,4.0,9.0,5.0,1.0,1.0,7.0,0.0,2.0,2.0,0.0,1.0,1.0,5.0,0.0
