disease_name,disease_id,match_type,q_threshold,tahoe_hits_list,cmap_hits_list,common_hits_list,tahoe_in_known_list,cmap_in_known_list,common_in_known_list,total_in_known_list
Huntington's disease,MONDO_0007739,synonym,0.05,"['ritonavir', 'pyridoxine', 'azd8055', 'glycyrrhizic acid', 'carbidopa monohydrate', 'furosemide', 'futibatinib', 'abemaciclib', 'sivelestat sodium tetrahydrate', 'anethole trithione', 'ng25', 'erdafitinib', 'tofacitinib', 'proglumide', 'indacaterol maleate', 'bimiralisib', 'dtp3', 'tofacitinib citrate', 'irinotecan hydrochloride', 'ots514', 'pf06260933', 'tucidinostat', 'berberine chloride hydrate', 'bendamustine', 'daidzin', 'busulfan', 'lidocaine hydrochloride', 'ckitin1', 'artesunate', 'mebendazole', 'delamanid', 'oxaprozin', 'bergenin', 'sonidegib', 'triclosan', '5fluorouracil', 'flutamide', 'talc', 'balsalazide sodium hydrate', 'verteporfin', 'ropivacaine hydrochloride monohydrate', 'neratinib maleate', 'ciclopirox', 'piroxicam', 'lopinavir', 'volasertib', 'eplerenone', 'drospirenone', 'dapagliflozin 2s12propanediol hydrate', 'bimatoprost', 'abiraterone acetate', 'rutin trihydrate', 'benztropine mesylate', 'darinaparsin', 'pentoxifylline', 'budesonide', 'ixazomib', 'bestatin', 'entrectinib', 'sbi0640756', 'dapagliflozin', 'digitoxin', 'hydroxyfasudil', 'oxaliplatin', 'relugolix', 'cinacalcet', 'pimozide', 'orlistat', 'niclosamide olamine', 'sulfisoxazole', 'ornidazole', 'dabrafenib', 'filgotinib', 'raltitrexed', 'doxycycline monohydrate', 'fulvestrant', 'gemfibrozil', 'xrk3f2', 'elimusertib hydrochloride', 'dexmedetomidine', 'crizotinib hydrochloride', 'paclitaxel', 'pentamidine isethionate', 'perindopril erbumine', 'allantoin', 'estrone sulfate potassium', 'regorafenib', 'rapamycin', 'rverapamil hydrochloride', 'flumatinib mesylate', 'pyridoxine hydrochloride', 'dt061', 'belumosudil', 'alpelisib', 'adenine', 'oleic acid', 'tak733', 'sacubitrilvalsartan', 'minodronic acid', 'azithromycin hydrate', 'gemcitabine', 'brivudine', 'tadalafil', 'bicalutamide', 'iq 1', 'diphenhydramine', 'nimesulide', 'trametinib dmso_tf solvate', 'pasireotide acetate', '8hydroxyquinoline', 'encorafenib', 'lucanthone', 'ipatasertib', 'tucatinib', 'ponatinib', 'medroxyprogesterone acetate', 'apalutamide', 'betamethasone dipropionate', 'tetracycline hydrochloride', 'ph797804', 'omeprazole', 'baicalin', 'dexamethasone', 'retinoic acid', 'auranofin', 'ribociclib', 'fedratinib hydrochloride hydrate', 'trimetrexate', 'tazarotene', 'belzutifan', 'clotrimazole', 'olanzapine', 'vismodegib', 'tomivosertib', 'daptomycin', 'anastrozole', 'sildenafil', 'almonertinib mesylate', 'ranolazine', 'silodosin', 'afatinib', 'menadione', 'neratinib', 'palmatine chloride', 'berbamine', 'torkinib', 'fenofibrate', 'olaparib', 'allopurinol', 'pentagastrin', 'econazole', 'posaconazole', 'temuterkib', 'ferulic acid', 'cytarabine hydrochloride', 'infigratinib', 'finasteride', 'norepinephrine hydrochloride', 'pioglitazone', 'rosiglitazone', 'meloxicam', 'quinestrol', 'pitavastatin calcium', 'bestatin hydrochloride', 'fingolimod hydrochloride', 'belumosudil mesylate', 'vincristine', 'canagliflozin hemihydrate', 'sapanisertib', 'rifaximin', 'mk8353', 'atazanavir sulfate', 'mifepristone', 'monocrotaline', 'harringtonine', 'leflornithine monohydrochloride', 'almonertinib hydrochloride', 'chlorhexidine diacetate', 'glasdegib', 'ivermectin', 'bisoprolol hemifumarate', 'artemether', 'vortioxetine', 'aprepitant', 'benproperine phosphate', 'azd1390', 'clofarabine', 'lonafarnib', 'bi3406', 'voriconazole', 'verapamil', 'bi78d3', 'canagliflozin', 'peretinoin', 'nevirapine', 'goserelin acetate', 'loperamide hydrochloride', 'omeprazole sodium', 'simotinib', 'methotrexate', 'cobimetinib', 'brimonidine', 'larotrectinib', 'edoxaban tosylate monohydrate', 'palbociclib', 'homoharringtonine', 'trametinib', 'cyclosporin a', 'fluvoxamine maleate', 'mk3903', 'cytarabine', 'dorzolamide hydrochloride', 'zileuton', 'irinotecan', 'naproxen', '18βglycyrrhetinic acid', 'ouabain octahydrate', 'levobupivacaine hydrochloride', 'azd2858', 'lactate calcium', 'terfenadine', 'γoryzanol', 'isocorydine', 'capivasertib', 'lipoic acid', 'malotilate', 'temsirolimus', 'altretamine', 'ml264', 'riluzole hydrochloride', 'fumaric acid', 'gsk1059615', 'azd7648', 'docetaxel trihydrate', 'pexidartinib hydrochloride', 'lthyroxine sodium salt pentahydrate', 'hitopk032', 'ex229', 'asciminib', 'tirabrutinib', 'cysteamine hydrochloride', 'vemurafenib', 'resveratrol', 'apto253', 'elagolix sodium', 'hydroxyurea', 'tak901', 'uridine', 'clobetasol propionate', 'esmolol hydrochloride', 'methylthiouracil', 'triamcinolone', 'epirubicin hydrochloride', 'radotinib', 'bentamapimod', 'tranilast', 'rucaparib phosphate', 'bosentan hydrate', 'amsacrine', 'rimonabant hydrochloride', 'gallic acid', 'erythromycin', 'tubulin inhibitor 6', 'bortezomib', 'lji308', '4egi1', 'tolcapone', 'topotecan hydrochloride', 'adagrasib', 'imiquimod maleate', 'bay1125976', 'lapatinib ditosylate', 'roxadustat', 'megestrol', 'pemigatinib', 'ralimetinib dimesylate', 'ixazomib citrate', 'imiquimod hydrochloride', 'capmatinib', 'cilostazol', 'sadenosyllmethionine disulfate tosylate', 'hexylresorcinol', 'mitoxantrone dihydrochloride', 'sodium salicylate', 'acetazolamide', 'everolimus', 'bexarotene', 'clopidogrel', 'panobinostat', 'cp21r7', 'procainamide hydrochloride', 'ataluren', '5azacytidine', 'lumateperone tosylate', 'vitamin k4', 'sulfatinib', 'trifluridine', 'demeclocycline', 'fusidic acid', 'thymopentin', 'cloxacillin sodium', 'berbamine dihydrochloride', 'mozavaptan', 'saquinavir', 'erk5in2', 'belinostat', 'valdecoxib', 'aliskiren', 'phenylephrine hydrochloride', 'decitabine', 'cabozantinib smalate', 'at7519', 'fostamatinib disodium hexahydrate', 'sunitinib', 'gallic acid hydrate', 'rmc6236', 'ligustrazine', 'osimertinib mesylate', 'fluvoxamine', 'tolmetin', 'dinaciclib', 'erlotinib', 'ly2584702 tosylate salt', 'diammonium glycyrrhizinate', 'doxorubicin hydrochloride', 'binimetinib', 'idarubicin hydrochloride', 'lenalidomide hemihydrate', '9ing41', 'rimonabant', 'methylprednisolone succinate', 'pravastatin sodium', 'vandetanib', 'crizotinib', 'ly2090314', 'docetaxel', 'sinomenine', 'plicamycin', 'venetoclax', 'darolutamide', 'acetohexamide', 'etc206', 'selinexor', 'dimethyl fumarate', 'penfluridol', 'entecavir monohydrate', 'nvpbhg712', 'macitentan', 'adenosine', 'hesperidin', 'scrizotinib', 'methyl aminolevulinate hydrochloride', 'celecoxib', 'cepharanthine', 'thymol', 'dihydroartemisinin', 'clonidine hydrochloride', 'ulk101', 'nafamostat mesylate', 'captopril', 'lb100', 'vilanterol', 'arbutin', 'tirabrutinib hydrochloride', 'carbamazepine', 'quinidine 15 dihydroquinidine', 'vinblastine sulfate', 'idoxuridine', 'gefitinib', 'ivabradine hydrochloride', 'pemetrexed', 'pimitespib', 'citalopram hydrobromide', 'larotrectinib sulfate', 'phenytoin sodium', 'aspirin', 'pralsetinib', 'folic acid', 'salicylic acid']",[],[],"['fenofibrate', 'olanzapine']",[],[],"['fenofibrate', 'olanzapine']"
liver cirrhosis,EFO_0001422,synonym,0.05,"['dt061', 'mk3903', 'cytarabine', 'pyridoxine', 'azithromycin hydrate', 'glycyrrhizic acid', 'brivudine', 'futibatinib', 'saquinavir', '18βglycyrrhetinic acid', 'nimesulide', 'terfenadine', 'tofacitinib', 'bimiralisib', 'decitabine', 'malotilate', 'ml264', 'riluzole hydrochloride', 'ipatasertib', 'pf06260933', 'ots514', 'fumaric acid', 'irinotecan hydrochloride', 'gsk1059615', 'ponatinib', 'medroxyprogesterone acetate', 'ph797804', 'azd7648', 'dexamethasone', 'auranofin', 'oxaprozin', 'trimetrexate', 'sonidegib', 'belzutifan', 'erlotinib', 'ly2584702 tosylate salt', '5fluorouracil', 'hitopk032', 'tomivosertib', 'lenalidomide hemihydrate', '9ing41', 'ex229', 'methylprednisolone succinate', 'ranolazine', 'neratinib', 'pravastatin sodium', 'temuterkib', 'tak901', 'clobetasol propionate', 'esmolol hydrochloride', 'pentoxifylline', 'budesonide', 'darolutamide', 'belumosudil mesylate', 'vincristine', 'bentamapimod', 'canagliflozin hemihydrate', 'sapanisertib', 'monocrotaline', 'pimozide', 'entecavir monohydrate', 'leflornithine monohydrochloride', 'nvpbhg712', 'bortezomib', 'lji308', 'celecoxib', 'thymol', 'bay1125976', 'ulk101', 'raltitrexed', 'bi78d3', 'canagliflozin', 'roxadustat', 'lb100', 'vilanterol', 'pemigatinib', 'simotinib', 'carbamazepine', 'quinidine 15 dihydroquinidine', 'xrk3f2', 'idoxuridine', 'brimonidine', 'ivabradine hydrochloride', 'pimitespib', 'allantoin', 'clopidogrel', 'estrone sulfate potassium', 'aspirin', 'cyclosporin a']","['hecogenin', '5151277', 'troglitazone', 'ethisterone', 'mefexamide']",[],"['erlotinib', 'dexamethasone', 'pentoxifylline']",[],[],"['erlotinib', 'dexamethasone', 'pentoxifylline']"
atopic dermatitis,EFO_0000274,synonym,0.05,"['cp21r7', 'fluvoxamine maleate', 'procainamide hydrochloride', 'flumatinib mesylate', 'pyridoxine hydrochloride', 'dt061', 'ataluren', 'mk3903', 'ritonavir', 'alpelisib', 'adenine', 'sulfatinib', 'tak733', 'pyridoxine', 'azd8055', 'demeclocycline', 'azithromycin hydrate', 'fusidic acid', 'cloxacillin sodium', 'gemcitabine', 'furosemide', 'trifluridine', 'zileuton', 'brivudine', 'futibatinib', 'saquinavir', 'irinotecan', 'tadalafil', 'bicalutamide', '18βglycyrrhetinic acid', 'belinostat', 'iq 1', 'diphenhydramine', 'ng25', 'ouabain octahydrate', 'aliskiren', 'trametinib dmso_tf solvate', 'pasireotide acetate', 'lactate calcium', 'terfenadine', 'γoryzanol', 'isocorydine', 'tofacitinib', 'proglumide', 'bimiralisib', 'dtp3', 'encorafenib', 'decitabine', 'lipoic acid', 'cabozantinib smalate', 'at7519', 'tofacitinib citrate', 'ipatasertib', 'ml264', 'riluzole hydrochloride', 'fostamatinib disodium hexahydrate', 'ots514', 'pf06260933', 'sunitinib', 'gsk1059615', 'ponatinib', 'tetracycline hydrochloride', 'apalutamide', 'betamethasone dipropionate', 'tucidinostat', 'rmc6236', 'ph797804', 'omeprazole', 'azd7648', 'ligustrazine', 'fluvoxamine', 'daidzin', 'busulfan', 'lidocaine hydrochloride', 'dexamethasone', 'pexidartinib hydrochloride', 'auranofin', 'ckitin1', 'mebendazole', 'fedratinib hydrochloride hydrate', 'trimetrexate', 'bergenin', 'belzutifan', 'erlotinib', 'ly2584702 tosylate salt', 'diammonium glycyrrhizinate', 'lthyroxine sodium salt pentahydrate', 'triclosan', 'doxorubicin hydrochloride', '5fluorouracil', 'talc', 'vismodegib', 'idarubicin hydrochloride', 'hitopk032', 'tomivosertib', 'balsalazide sodium hydrate', 'lenalidomide hemihydrate', '9ing41', 'anastrozole', 'sildenafil', 'rimonabant', 'almonertinib mesylate', 'tirabrutinib', 'cysteamine hydrochloride', 'ranolazine', 'silodosin', 'afatinib', 'neratinib', 'ropivacaine hydrochloride monohydrate', 'verteporfin', 'ciclopirox', 'vemurafenib', 'torkinib', 'berbamine', 'volasertib', 'resveratrol', 'fenofibrate', 'olaparib', 'apto253', 'bimatoprost', 'dapagliflozin 2s12propanediol hydrate', 'vandetanib', 'pentagastrin', 'crizotinib', 'elagolix sodium', 'econazole', 'hydroxyurea', 'temuterkib', 'tak901', 'cytarabine hydrochloride', 'rutin trihydrate', 'infigratinib', 'esmolol hydrochloride', 'finasteride', 'norepinephrine hydrochloride', 'ly2090314', 'methylthiouracil', 'benztropine mesylate', 'pentoxifylline', 'triamcinolone', 'budesonide', 'bestatin', 'venetoclax', 'epirubicin hydrochloride', 'acetohexamide', 'entrectinib', 'fingolimod hydrochloride', 'belumosudil mesylate', 'etc206', 'radotinib', 'bentamapimod', 'digitoxin', 'selinexor', 'hydroxyfasudil', 'tranilast', 'canagliflozin hemihydrate', 'rucaparib phosphate', 'bosentan hydrate', 'sapanisertib', 'rifaximin', 'mk8353', 'atazanavir sulfate', 'mifepristone', 'dimethyl fumarate', 'amsacrine', 'harringtonine', 'monocrotaline', 'entecavir monohydrate', 'leflornithine monohydrochloride', 'erythromycin', 'almonertinib hydrochloride', 'orlistat', 'nvpbhg712', 'macitentan', 'chlorhexidine diacetate', 'adenosine', 'lji308', 'bisoprolol hemifumarate', 'scrizotinib', 'niclosamide olamine', 'methyl aminolevulinate hydrochloride', '4egi1', 'benproperine phosphate', 'azd1390', 'clofarabine', 'lonafarnib', 'tolcapone', 'topotecan hydrochloride', 'adagrasib', 'celecoxib', 'bi3406', 'imiquimod maleate', 'thymol', 'bay1125976', 'ulk101', 'dabrafenib', 'voriconazole', 'verapamil', 'lapatinib ditosylate', 'bi78d3', 'canagliflozin', 'megestrol', 'goserelin acetate', 'nevirapine', 'lb100', 'loperamide hydrochloride', 'vilanterol', 'ralimetinib dimesylate', 'arbutin', 'simotinib', 'doxycycline monohydrate', 'fulvestrant', 'gemfibrozil', 'capmatinib', 'tirabrutinib hydrochloride', 'quinidine 15 dihydroquinidine', 'vinblastine sulfate', 'xrk3f2', 'gefitinib', 'brimonidine', 'hexylresorcinol', 'mitoxantrone dihydrochloride', 'pemetrexed', 'dexmedetomidine', 'pimitespib', 'larotrectinib', 'paclitaxel', 'sodium salicylate', 'bexarotene', 'palbociclib', 'homoharringtonine', 'perindopril erbumine', 'trametinib', 'clopidogrel', 'estrone sulfate potassium', 'aspirin', 'folic acid']",[],[],"['tofacitinib', 'betamethasone dipropionate', 'omeprazole', 'diphenhydramine', 'tofacitinib citrate', 'dexamethasone', 'triamcinolone']",[],[],"['tofacitinib', 'betamethasone dipropionate', 'omeprazole', 'diphenhydramine', 'tofacitinib citrate', 'dexamethasone', 'triamcinolone']"
chronic lymphocytic leukemia,EFO_0000095,name,0.05,[],"['naltrexone', 'ornidazole']",[],[],[],[],[]
multiple myeloma,EFO_0001378,name,0.05,"['rverapamil hydrochloride', 'econazole', 'hydroxyurea', 'methyl aminolevulinate hydrochloride', 'procainamide hydrochloride', 'flumatinib mesylate', 'topotecan hydrochloride', 'docetaxel trihydrate', 'thymol', 'ornidazole', 'ribociclib', 'cytarabine', 'dabrafenib', 'thymopentin', 'verapamil', 'glycyrrhizic acid', 'berbamine dihydrochloride', 'carbidopa monohydrate', 'belzutifan', 'dorzolamide hydrochloride', 'sonidegib', 'megestrol', 'loperamide hydrochloride', 'abemaciclib', 'pf06260933', 'ralimetinib dimesylate', 'plicamycin', 'epirubicin hydrochloride', 'daptomycin', 'naproxen', '18βglycyrrhetinic acid', 'sbi0640756', 'bentamapimod', 'diphenhydramine', 'rucaparib phosphate', 'bosentan hydrate', 'dexmedetomidine', 'pimitespib', 'edoxaban tosylate monohydrate', 'penfluridol', 'proglumide', 'encorafenib', 'dtp3', 'decitabine', 'entecavir monohydrate', 'berbamine', 'rimonabant hydrochloride', 'olaparib', 'altretamine', 'regorafenib', 'chlorhexidine diacetate', 'glasdegib']",[],[],"['cytarabine', 'dabrafenib', 'encorafenib', 'decitabine', 'sonidegib', 'topotecan hydrochloride', 'diphenhydramine', 'docetaxel trihydrate', 'abemaciclib']",[],[],"['cytarabine', 'dabrafenib', 'encorafenib', 'decitabine', 'sonidegib', 'topotecan hydrochloride', 'diphenhydramine', 'docetaxel trihydrate', 'abemaciclib']"
glaucoma,MONDO_0005041,name,0.05,"['ritonavir', 'pyridoxine', 'azd8055', 'glycyrrhizic acid', 'furosemide', 'futibatinib', 'abemaciclib', 'sivelestat sodium tetrahydrate', 'ng25', 'erdafitinib', 'tofacitinib', 'proglumide', 'indacaterol maleate', 'bimiralisib', 'dtp3', 'tofacitinib citrate', 'irinotecan hydrochloride', 'ots514', 'pf06260933', 'tucidinostat', 'berberine chloride hydrate', 'bendamustine', 'daidzin', 'busulfan', 'lidocaine hydrochloride', 'ckitin1', 'artesunate', 'mebendazole', 'oxaprozin', 'bergenin', 'sonidegib', 'triclosan', '5fluorouracil', 'flutamide', 'talc', 'balsalazide sodium hydrate', 'verteporfin', 'ropivacaine hydrochloride monohydrate', 'neratinib maleate', 'ciclopirox', 'piroxicam', 'lopinavir', 'volasertib', 'eplerenone', 'drospirenone', 'dapagliflozin 2s12propanediol hydrate', 'bimatoprost', 'abiraterone acetate', 'rutin trihydrate', 'benztropine mesylate', 'darinaparsin', 'ixazomib', 'bestatin', 'entrectinib', 'dapagliflozin', 'digitoxin', 'hydroxyfasudil', 'relugolix', 'cinacalcet', 'pimozide', 'orlistat', 'niclosamide olamine', 'sulfisoxazole', 'ornidazole', 'dabrafenib', 'filgotinib', 'raltitrexed', 'doxycycline monohydrate', 'fulvestrant', 'gemfibrozil', 'xrk3f2', 'elimusertib hydrochloride', 'dexmedetomidine', 'crizotinib hydrochloride', 'paclitaxel', 'pentamidine isethionate', 'perindopril erbumine', 'estrone sulfate potassium', 'regorafenib', 'rapamycin', 'rverapamil hydrochloride', 'flumatinib mesylate', 'pyridoxine hydrochloride', 'dt061', 'belumosudil', 'alpelisib', 'adenine', 'oleic acid', 'tak733', 'sacubitrilvalsartan', 'minodronic acid', 'azithromycin hydrate', 'gemcitabine', 'brivudine', 'tadalafil', 'bicalutamide', 'iq 1', 'diphenhydramine', 'nimesulide', 'trametinib dmso_tf solvate', 'pasireotide acetate', '8hydroxyquinoline', 'encorafenib', 'lucanthone', 'ipatasertib', 'ponatinib', 'medroxyprogesterone acetate', 'apalutamide', 'betamethasone dipropionate', 'tetracycline hydrochloride', 'ph797804', 'omeprazole', 'baicalin', 'dexamethasone', 'retinoic acid', 'auranofin', 'ribociclib', 'fedratinib hydrochloride hydrate', 'trimetrexate', 'tazarotene', 'belzutifan', 'clotrimazole', 'olanzapine', 'vismodegib', 'tomivosertib', 'daptomycin', 'anastrozole', 'sildenafil', 'almonertinib mesylate', 'ranolazine', 'silodosin', 'afatinib', 'menadione', 'neratinib', 'palmatine chloride', 'berbamine', 'torkinib', 'fenofibrate', 'olaparib', 'allopurinol', 'pentagastrin', 'econazole', 'posaconazole', 'temuterkib', 'ferulic acid', 'cytarabine hydrochloride', 'infigratinib', 'finasteride', 'norepinephrine hydrochloride', 'pioglitazone', 'rosiglitazone', 'meloxicam', 'quinestrol', 'pitavastatin calcium', 'bestatin hydrochloride', 'fingolimod hydrochloride', 'belumosudil mesylate', 'vincristine', 'canagliflozin hemihydrate', 'sapanisertib', 'rifaximin', 'mk8353', 'atazanavir sulfate', 'mifepristone', 'monocrotaline', 'harringtonine', 'leflornithine monohydrochloride', 'almonertinib hydrochloride', 'chlorhexidine diacetate', 'ivermectin', 'bisoprolol hemifumarate', 'artemether', 'vortioxetine', 'aprepitant', 'benproperine phosphate', 'azd1390', 'clofarabine', 'lonafarnib', 'bi3406', 'voriconazole', 'verapamil', 'bi78d3', 'canagliflozin', 'peretinoin', 'nevirapine', 'goserelin acetate', 'loperamide hydrochloride', 'omeprazole sodium', 'simotinib', 'methotrexate', 'cobimetinib', 'brimonidine', 'larotrectinib', 'edoxaban tosylate monohydrate', 'palbociclib', 'homoharringtonine', 'trametinib', 'cyclosporin a', 'fluvoxamine maleate', 'mk3903', 'cytarabine', 'dorzolamide hydrochloride', 'zileuton', 'irinotecan', '18βglycyrrhetinic acid', 'ouabain octahydrate', 'levobupivacaine hydrochloride', 'azd2858', 'lactate calcium', 'terfenadine', 'γoryzanol', 'isocorydine', 'capivasertib', 'lipoic acid', 'malotilate', 'temsirolimus', 'altretamine', 'ml264', 'riluzole hydrochloride', 'fumaric acid', 'gsk1059615', 'azd7648', 'docetaxel trihydrate', 'pexidartinib hydrochloride', 'lthyroxine sodium salt pentahydrate', 'hitopk032', 'ex229', 'asciminib', 'tirabrutinib', 'cysteamine hydrochloride', 'vemurafenib', 'resveratrol', 'apto253', 'elagolix sodium', 'hydroxyurea', 'tak901', 'uridine', 'clobetasol propionate', 'esmolol hydrochloride', 'methylthiouracil', 'triamcinolone', 'epirubicin hydrochloride', 'radotinib', 'bentamapimod', 'tranilast', 'rucaparib phosphate', 'bosentan hydrate', 'amsacrine', 'rimonabant hydrochloride', 'gallic acid', 'erythromycin', 'tubulin inhibitor 6', 'bortezomib', 'lji308', '4egi1', 'tolcapone', 'topotecan hydrochloride', 'adagrasib', 'imiquimod maleate', 'bay1125976', 'lapatinib ditosylate', 'roxadustat', 'megestrol', 'pemigatinib', 'ralimetinib dimesylate', 'ixazomib citrate', 'imiquimod hydrochloride', 'capmatinib', 'cilostazol', 'sadenosyllmethionine disulfate tosylate', 'hexylresorcinol', 'mitoxantrone dihydrochloride', 'sodium salicylate', 'acetazolamide', 'everolimus', 'bexarotene', 'clopidogrel', 'panobinostat', 'cp21r7', 'procainamide hydrochloride', 'ataluren', '5azacytidine', 'lumateperone tosylate', 'vitamin k4', 'sulfatinib', 'trifluridine', 'demeclocycline', 'fusidic acid', 'thymopentin', 'cloxacillin sodium', 'mozavaptan', 'saquinavir', 'erk5in2', 'belinostat', 'valdecoxib', 'aliskiren', 'phenylephrine hydrochloride', 'decitabine', 'cabozantinib smalate', 'at7519', 'fostamatinib disodium hexahydrate', 'sunitinib', 'gallic acid hydrate', 'rmc6236', 'ligustrazine', 'osimertinib mesylate', 'tolmetin', 'dinaciclib', 'erlotinib', 'ly2584702 tosylate salt', 'diammonium glycyrrhizinate', 'doxorubicin hydrochloride', 'binimetinib', 'idarubicin hydrochloride', 'lenalidomide hemihydrate', '9ing41', 'rimonabant', 'methylprednisolone succinate', 'vandetanib', 'crizotinib', 'ly2090314', 'docetaxel', 'sinomenine', 'plicamycin', 'venetoclax', 'darolutamide', 'acetohexamide', 'etc206', 'selinexor', 'dimethyl fumarate', 'penfluridol', 'entecavir monohydrate', 'nvpbhg712', 'macitentan', 'adenosine', 'hesperidin', 'scrizotinib', 'methyl aminolevulinate hydrochloride', 'celecoxib', 'cepharanthine', 'thymol', 'dihydroartemisinin', 'clonidine hydrochloride', 'ulk101', 'nafamostat mesylate', 'captopril', 'lb100', 'vilanterol', 'arbutin', 'tirabrutinib hydrochloride', 'carbamazepine', 'quinidine 15 dihydroquinidine', 'vinblastine sulfate', 'idoxuridine', 'gefitinib', 'pemetrexed', 'pimitespib', 'citalopram hydrobromide', 'larotrectinib sulfate', 'phenytoin sodium', 'aspirin', 'pralsetinib', 'folic acid', 'salicylic acid']","['01735700000', 'methylbenzethonium chloride', 'sb202190', 'ly294002', 'levodopa', 'genistein', 'pioglitazone', 'gallamine triethiodide', 'thioridazine', 'benzamil', 'iopanoic acid', 'thiethylperazine', 'pha00851261e', 'sertaconazole', 'pf0056215100', 'isocarboxazid', 'mifepristone', 'etacrynic acid', 'glyhislys']","['pioglitazone', 'mifepristone']","['acetazolamide', 'bosentan hydrate', 'omeprazole', 'dorzolamide hydrochloride', 'sildenafil', 'bimatoprost', '5fluorouracil', 'dexamethasone', 'cyclosporin a', 'brimonidine']",['etacrynic acid'],[],"['5fluorouracil', 'acetazolamide', 'omeprazole', 'dorzolamide hydrochloride', 'etacrynic acid', 'sildenafil', 'bimatoprost', 'bosentan hydrate', 'dexamethasone', 'cyclosporin a', 'brimonidine']"
anemia,MONDO_0002280,name,0.05,[],[],[],[],[],[],[]
Waldenstrom Macroglobulinemia,EFO_0009441,name,0.05,"['hydroxyurea', 'entecavir monohydrate', 'sonidegib', 'berbamine', 'tranilast', 'levobupivacaine hydrochloride', 'olaparib', 'finasteride', 'sivelestat sodium tetrahydrate', 'ralimetinib dimesylate', 'budesonide']",[],[],[],[],[],[]
hepatitis C,EFO_0003047,synonym,0.05,"['hydroxyurea', 'flumatinib mesylate', 'lonafarnib', 'pexidartinib hydrochloride', 'ribociclib', 'glycyrrhizic acid', 'carbidopa monohydrate', 'dorzolamide hydrochloride', 'mozavaptan', 'abemaciclib', 'budesonide', 'daptomycin', 'cobimetinib', 'glasdegib', 'trametinib dmso_tf solvate', 'ivabradine hydrochloride', 'dexmedetomidine', 'pimozide', 'berbamine', 'trametinib', 'regorafenib', 'pentagastrin', 'ots514']","['nordihydroguaiaretic acid', 'fusaric acid', 'cefepime', 'dihydroergotamine', 'valproic acid', 'flumequine', 'pepstatin', 'ly294002', 'vorinostat', 'niclosamide', 'prenylamine', '15delta prostaglandin j2', 'ouabain', 'rosiglitazone', 'albendazole', 'methylergometrine', 'moroxydine', 'cinchonine', 'colchicine', 'lysergol', 'fulvestrant', 'noretynodrel', 'ellipticine', 'alprenolol', 'trichostatin a', 'sirolimus', 'scoulerine', 'josamycin', 'chlortalidone']",[],[],[],[],[]
ulcerative colitis,EFO_0000729,name,0.05,"['fluvoxamine maleate', 'dt061', 'ritonavir', 'belumosudil', 'adenine', '5azacytidine', 'vitamin k4', 'minodronic acid', 'azd8055', 'fusidic acid', 'cloxacillin sodium', 'tadalafil', 'anethole trithione', 'ng25', 'diphenhydramine', 'aliskiren', 'trametinib dmso_tf solvate', 'isocorydine', 'bimiralisib', 'lucanthone', 'lipoic acid', 'temsirolimus', 'tofacitinib citrate', 'ml264', 'ipatasertib', 'ots514', 'pf06260933', 'gsk1059615', 'ponatinib', 'tetracycline hydrochloride', 'betamethasone dipropionate', 'rmc6236', 'azd7648', 'docetaxel trihydrate', 'ckitin1', 'artesunate', 'fedratinib hydrochloride hydrate', 'trimetrexate', 'diammonium glycyrrhizinate', 'doxorubicin hydrochloride', 'binimetinib', 'vismodegib', 'tomivosertib', 'balsalazide sodium hydrate', '9ing41', 'ex229', 'anastrozole', 'asciminib', 'tirabrutinib', 'ropivacaine hydrochloride monohydrate', 'neratinib', 'neratinib maleate', 'ciclopirox', 'palmatine chloride', 'torkinib', 'volasertib', 'fenofibrate', 'pentagastrin', 'crizotinib', 'tak901', 'ferulic acid', 'cytarabine hydrochloride', 'finasteride', 'rosiglitazone', 'darinaparsin', 'quinestrol', 'pitavastatin calcium', 'triamcinolone', 'bestatin', 'venetoclax', 'belumosudil mesylate', 'etc206', 'bentamapimod', 'selinexor', 'hydroxyfasudil', 'tranilast', 'rucaparib phosphate', 'sapanisertib', 'monocrotaline', 'mifepristone', 'amsacrine', 'dimethyl fumarate', 'harringtonine', 'gallic acid', 'almonertinib hydrochloride', 'orlistat', 'ivermectin', 'adenosine', 'scrizotinib', 'methyl aminolevulinate hydrochloride', '4egi1', 'clofarabine', 'azd1390', 'adagrasib', 'celecoxib', 'bi3406', 'bay1125976', 'clonidine hydrochloride', 'dabrafenib', 'verapamil', 'bi78d3', 'nevirapine', 'vilanterol', 'ralimetinib dimesylate', 'arbutin', 'doxycycline monohydrate', 'ixazomib citrate', 'fulvestrant', 'cilostazol', 'vinblastine sulfate', 'xrk3f2', 'gefitinib', 'brimonidine', 'mitoxantrone dihydrochloride', 'pemetrexed', 'paclitaxel', 'edoxaban tosylate monohydrate', 'palbociclib', 'homoharringtonine', 'trametinib', 'estrone sulfate potassium', 'folic acid']",[],[],"['rosiglitazone', 'doxycycline monohydrate']",[],[],"['rosiglitazone', 'doxycycline monohydrate']"
